GRIP Hydrogen Peroxide Concentrations

REFERENCES: 

De Angelis, M., J.P. Steffensen, M.R. Legrand, H.B. Clausen, and C.U.
Hammer. 1997. Primary aerosol (sea salt and soil dust) deposited in
Greenland ice during the last climatic cycle: Comparison with east
Antarctic records. Journal of Geophysical Research 102:26681-26698.

Steffensen, J.P. 1997. The size distribution of microparticles from
selected segments of the Greenland Ice Core Project ice core representing
different climatic periods. Journal of Geophysical Research 102:26755-26763

Sigg, A., T. Staffelbach, and A. Neftel. 1992. Gas-phase measurements of
hydrogen peroxide in Greenland and their meaning for the interpretation of
H2O2 records in ice cores. Journal of Atmospheric Chemistry 14:223-232.

DATA DESCRIPTION: 

A continuous melting technique, combined with continuous flow analysis,
has been developed for measurements of chemical trace species in ice cores
directly in the field (Sigg et al., 1994). A subcore with a cross section
area of 18x18mm2 cut from the main core is used for the simultaneous
analysis of the four components. The subcore is melted continuously from
one side at a constant rate. The main advantage of this method compared to
conventional sampling and analytical procedures of discrete samples are
given by the high spatial resolution (ca. 1cm for Hydrogen peroxide,
Ammonium and Formaldehyde; 3cm for Calcium) combined with a significant
reduction in sample handling. The spatial resolution is only limited by
the sample dispersion in the melting system and the analyser. The
detection limit for hydrogen peroxide is 1.7 ppb.  Ages are years before
1950.00, as calculated from the glaciological timescale (file
gripage.dat). 

DATA:		

Depth (m)	H2O2	Age
Midpoint	(ppb)	(years B.P.)

1397.825	121.1	8759.7
1398.375	62.76	8765.2
1398.925	71.47	8770.7
1399.475	105.42	8776.2
1400.025	67.98	8781.9
1400.575	84.75	8787.5
1401.125	86.48	8792.8
1401.675	49.15	8798.2
1402.225	63.53	8803.7
1402.775	97.51	8809.0
1403.325	70.96	8814.4
1403.875	59.26	8819.9
1404.425	39.91	8825.4
1404.975	68.73	8830.8
1405.525	44.2	8836.1
1406.075	53.84	8841.4
1406.625	36.51	8846.9
1407.175	79.42	8852.4
1407.725	55.07	8857.9
1408.275	80.95	8863.5
1408.825	75.36	8868.9
1409.375	65.12	8874.2
1409.925	55.79	8879.8
1410.475	74.1	8885.6
1411.025	64.12	8891.2
1411.575	51.42	8896.9
1412.125	57.04	8902.5
1412.675	85.98	8908.0
1413.225	56.97	8913.6
1413.775	45.06	8919.5
1414.325	31.95	8925.5
1414.875	53.66	8931.2
1415.425	71.03	8936.9
1415.975	58.74	8942.7
1416.525	56.62	8948.4
1417.075	68.49	8954.2
1417.625	55.05	8959.8
1418.175	67.87	8965.6
1418.725	18.57	8971.4
1419.275	73.84	8977.0
1419.825	42.07	8982.8
1420.375	43.57	8988.5
1420.925	56.77	8994.1
1421.475	51.57	8999.8
1422.025	69.79	9005.9
1422.575	63.93	9011.9
1423.125	52.59	9017.4
1423.675	65.37	9022.7
1424.225	55.04	9028.0
1424.775	77.41	9033.3
1425.325	47.44	9038.8
1425.875	50.35	9044.5
1426.425	39.69	9050.2
1426.975	80.81	9055.9
1427.525	64.51	9061.6
1428.075	56.27	9067.1
1428.625	119.09	9072.5
1429.175	78.74	9078.1
1429.725	42.53	9083.9
1430.275	48.27	9089.6
1430.825	53.39	9095.5
1431.375	65.56	9101.4
1431.925	26.44	9107.1
1432.475	36.33	9112.8
1433.025	62.91	9118.6
1433.575	59.63	9124.4
1434.125	53.66	9130.2
1434.675	43.67	9136.1
1435.225	46.13	9141.8
1435.775	48.28	9147.7
1436.325	32.97	9154.0
1436.875	54.49	9160.4
1437.425	65.08	9166.8
1437.975	34.56	9172.9
1438.525	31.64	9178.9
1439.075	52.81	9184.7
1439.625	50.41	9190.4
1440.175	58.78	9196.0
1440.725	65.34	9201.7
1441.275	50.1	9207.7
1441.825	33.68	9213.8
1442.375	49.4	9219.4
1442.925	52.05	9225.0
1443.475	77.55	9230.7
1444.025	59	9236.5
1444.575	74.62	9242.3
1445.125	67.55	9247.9
1445.675	62.35	9253.9
1446.225	28.26	9260.1
1446.775	48.91	9265.9
1447.325	63.83	9271.5
1447.875	47.17	9277.0
1448.425	74.7	9282.7
1448.975	74.52	9288.5
1449.525	89.07	9294.1
1450.075	64.81	9299.9
1450.625	49.27	9305.7
1451.175	58.38	9311.4
1451.725	71.21	9317.3
1452.275	41.46	9323.2
1452.825	37.54	9329.0
1453.375	64.48	9334.8
1453.925	73.72	9340.5
1454.475	70.18	9346.2
1455.025	46.63	9351.9
1455.575	39.46	9357.6
1456.125	61.41	9363.4
1456.675	38.44	9369.5
1457.225	27.11	9375.6
1457.775	35.82	9381.3
1458.325	28.49	9386.9
1458.875	31.07	9392.6
1459.425	26.87	9398.6
1459.975	17.39	9404.5
1460.525	29.62	9410.5
1461.075	16.71	9416.5
1461.625	16.85	9422.4
1462.175	14.44	9428.3
1462.725	19.47	9434.5
1463.275	23.37	9441.0
1463.825	84.55	9447.4
1464.375	57.17	9453.5
1464.925	31.51	9459.4
1465.475	21.53	9465.2
1466.025	56.17	9471.2
1466.575	55.15	9477.1
1467.125	25.23	9482.9
1467.675	46.27	9488.8
1468.225	46.27	9494.7
1468.775	32.99	9500.8
1469.325	27.77	9506.7
1469.875	43.6	9512.7
1470.425	28.31	9518.8
1470.975	30.26	9524.8
1471.525	23.03	9530.9
1472.075	31.46	9536.9
1472.625	33.46	9543.1
1473.175	44.18	9549.4
1473.725	29.61	9555.3
1474.275	46.43	9561.0
1474.825	72.23	9566.6
1475.375	50.23	9572.3
1475.925	49.66	9578.1
1476.475	51.72	9584.2
1477.025	47.89	9590.5
1477.575	39.92	9596.6
1478.125	52.87	9602.5
1478.675	41.3	9608.6
1479.225	21.55	9614.6
1479.775	54.51	9620.7
1480.325	64.86	9626.8
1480.875	59.59	9632.9
1481.425	34.93	9639.0
1481.975	29.21	9645.2
1482.525	33.12	9651.2
1483.075	19.82	9657.4
1483.625	9.88	9663.8
1484.175	19.04	9670.1
1484.725	46.79	9676.4
1485.275	16.06	9682.6
1485.825	24.54	9688.8
1486.375	39.6	9694.6
1486.925	33.21	9700.5
1487.475	26.94	9706.6
1488.025	43.26	9712.7
1488.575	32.42	9718.9
1489.125	54.61	9725.2
1489.675	38.54	9731.4
1490.225	44.69	9737.3
1490.775	32.98	9743.3
1491.325	18.35	9749.4
1491.875	42.04	9755.5
1492.425	21.67	9761.4
1492.975	47.09	9767.5
1493.525	41.38	9773.8
1494.075	48.25	9779.9
1494.625	26.22	9786.0
1495.175	22.76	9792.1
1495.725	29.96	9798.6
1496.275	22.86	9805.4
1496.825	39.98	9811.8
1497.375	38.29	9818.0
1497.925	50.88	9824.0
1498.475	36.63	9829.9
1499.025	28.06	9835.9
1499.575	21.05	9842.1
1500.125	11	9848.5
1500.675	33.89	9854.9
1501.225	19.88	9861.0
1501.775	39.06	9867.1
1502.325	28.42	9873.3
1502.875	47.99	9879.5
1503.425	74.96	9885.8
1503.975	43.13	9892.1
1504.525	19.09	9898.5
1505.075	23.56	9905.4
1505.625	10.7	9912.0
1506.175	32.88	9918.3
1506.725	51.55	9925.1
1507.275	109.59	9931.7
1507.825	79.19	9938.1
1508.375	31.25	9944.8
1508.925	51.57	9951.4
1509.475	67.18	9958.3
1510.025	58.61	9965.0
1510.575	50.5	9971.0
1511.125	35.83	9977.0
1511.675	30.82	9983.5
1512.225	44.22	9990.0
1512.775	57.01	9996.5
1513.325	37.67	10003.5
1513.875	47.6	10010.5
1514.425	78.91	10017.0
1514.975	62.57	10023.0
1515.525	105.95	10029.0
1516.075	66.21	10035.5
1516.625	70.17	10042.0
1517.175	65.73	10048.5
1517.725	24.75	10055.5
1518.275	44.4	10062.0
1518.825	57.71	10068.5
1519.375	69.72	10075.5
1519.925	40.65	10082.0
1520.475	28.56	10088.5
1521.025	15.64	10095.5
1521.575	37.36	10102.5
1522.125	45.36	10109.0
1522.675	30.69	10116.0
1523.225	47.32	10123.5
1523.775	32.37	10130.5
1524.325	53.65	10137.0
1524.875	27.1	10143.5
1525.425	22.75	10150.5
1525.975	25.78	10157.5
1526.525	47.28	10164.5
1527.075	32.29	10171.0
1527.625	31.58	10177.5
1528.175	8.46	10184.5
1528.725	12.47	10191.5
1529.275	4.48	10198.5
1529.825	10.25	10205.0
1530.375	17.27	10211.5
1530.925	24.13	10218.5
1531.475	33.27	10225.5
1532.025	60.06	10233.0
1532.575	32.48	10240.5
1533.125	47.02	10248.0
1533.675	32.87	10255.5
1534.225	49.76	10262.5
1534.775	26.85	10269.5
1535.325	34.96	10276.5
1535.875	38	10283.0
1536.425	25.01	10289.5
1536.975	40.41	10296.5
1537.525	39.97	10303.5
1538.075	999999	10310.5
1538.625	999999	10317.0
1539.175	999999	10323.5
1539.725	44.88	10330.5
1540.275	52.6	10337.0
1540.825	37.24	10344.0
1541.375	46.33	10351.0
1541.925	50.61	10357.5
1542.475	29.7	10365.0
1543.025	30.45	10372.5
1543.575	32.61	10379.5
1544.125	50.61	10386.5
1544.675	48.1	10393.5
1545.225	27.44	10400.5
1545.775	18.63	10408.0
1546.325	41.45	10415.5
1546.875	32.47	10423.0
1547.425	22.79	10430.5
1547.975	16.94	10437.5
1548.525	31.19	10444.5
1549.075	29.93	10451.5
1549.625	34.84	10458.5
1550.175	20.15	10465.5
1550.725	18.38	10472.5
1551.275	35.7	10479.5
1551.825	24.94	10487.0
1552.375	32.43	10494.5
1552.925	41.27	10501.5
1553.475	46.58	10508.5
1554.025	11.17	10515.5
1554.575	20.98	10523.0
1555.125	30.15	10531.0
1555.675	34.85	10538.5
1556.225	43.54	10545.0
1556.775	10.95	10552.0
1557.325	18.52	10560.0
1557.875	66.22	10567.5
1558.425	43.55	10575.0
1558.975	35.8	10583.0
1559.525	37.22	10590.5
1560.075	34.01	10598.0
1560.625	25.28	10605.5
1561.175	27.89	10612.5
1561.725	19.17	10619.5
1562.275	14.74	10626.5
1562.825	24.82	10634.0
1563.375	11.26	10642.0
1563.925	4.89	10649.5
1564.475	13.08	10657.0
1565.025	22.04	10664.5
1565.575	28.36	10672.5
1566.125	32.44	10681.5
1566.675	35.37	10689.5
1567.225	23.37	10697.0
1567.775	32.94	10705.0
1568.325	29.11	10713.0
1568.875	12.09	10721.0
1569.425	40.46	10729.0
1569.975	27.14	10737.0
1570.525	999999	10745.0
1571.075	999999	10752.5
1571.625	999999	10760.0
1572.175	46.82	10768.0
1572.725	28.2	10776.0
1573.275	26.67	10784.0
1573.825	31.17	10792.0
1574.375	27.2	10800.0
1574.925	15.87	10808.0
1575.475	999999	10816.0
1576.025	13.51	10824.0
1576.575	18	10832.5
1577.125	44.08	10840.5
1577.675	43.03	10847.5
1578.225	44.05	10855.0
1578.775	48.9	10863.0
1579.325	22.45	10871.0
1579.875	35.46	10878.5
1580.425	14.77	10886.0
1580.975	31.36	10894.0
1581.525	36.79	10902.0
1582.075	35.71	10910.0
1582.625	24.48	10917.5
1583.175	18.06	10925.0
1583.725	17.87	10934.0
1584.275	17.15	10943.0
1584.825	20.65	10951.0
1585.375	17.41	10959.5
1585.925	25.9	10968.0
1586.475	28.11	10976.0
1587.025	27.88	10984.0
1587.575	10.12	10992.0
1588.125	20.45	11000.5
1588.675	8.95	11010.0
1589.225	38.69	11018.5
1589.775	26.98	11026.5
1590.325	44.92	11035.0
1590.875	19.67	11043.0
1591.425	11.27	11052.0
1591.975	21.73	11061.0
1592.525	13.71	11069.0
