Depth (m)	Ca	Age
Midpoint	(ppb)	(yr B.P.)

1382.425	4.00	8603.5
1382.975	7.60	8608.9
1383.525	4.00	8614.6
1384.075	6.40	8620.5
1384.625	4.40	8626.4
1385.175	3.20	8631.9
1385.725	4.00	8637.1
1386.275	6.00	8642.5
1386.825	4.00	8648.1
1387.375	4.40	8653.5
1387.925	5.20	8658.9
1388.475	6.00	8664.5
1389.025	6.80	8669.9
1389.575	5.60	8675.3
1390.125	4.40	8680.8
1390.675	4.80	8686.4
1391.225	7.60	8692.0
1391.775	6.00	8697.7
1392.325	6.00	8703.6
1392.875	7.20	8709.3
1393.425	5.20	8714.9
1393.975	8.00	8720.4
1394.525	6.80	8725.8
1395.075	6.40	8731.1
1395.625	7.60	8736.4
1396.175	8.80	8742.1
1396.725	8.00	8748.1
1397.275	7.60	8754.1
1397.825	6.00	8759.7
1398.375	6.40	8765.2
1398.925	8.80	8770.7
1399.475	6.00	8776.2
1400.025	5.20	8781.9
1400.575	6.40	8787.5
1401.125	6.00	8792.8
1401.675	6.40	8798.2
1402.225	5.20	8803.7
1402.775	4.00	8809.0
1403.325	5.20	8814.4
1403.875	4.80	8819.9
1404.425	15.60	8825.4
1404.975	9.20	8830.8
1405.525	9.20	8836.1
1406.075	6.00	8841.4
1406.625	3.60	8846.9
1407.175	6.00	8852.4
1407.725	8.00	8857.9
1408.275	6.00	8863.5
1408.825	4.80	8868.9
1409.375	6.40	8874.2
1409.925	7.60	8879.8
1410.475	14.00	8885.6
1411.025	8.80	8891.2
1411.575	8.40	8896.9
1412.125	5.20	8902.5
1412.675	11.20	8908.0
1413.225	9.20	8913.6
1413.775	5.20	8919.5
1414.325	6.00	8925.5
1414.875	7.60	8931.2
1415.425	8.00	8936.9
1415.975	6.80	8942.7
1416.525	7.20	8948.4
1417.075	7.20	8954.2
1417.625	4.00	8959.8
1418.175	3.60	8965.6
1418.725	15.60	8971.4
1419.275	8.00	8977.0
1419.825	11.20	8982.8
1420.375	6.80	8988.5
1420.925	12.40	8994.1
1421.475	7.60	8999.8
1422.025	6.00	9005.9
1422.575	4.80	9011.9
1423.125	4.80	9017.4
1423.675	5.60	9022.7
1424.225	5.60	9028.0
1424.775	4.80	9033.3
1425.325	6.80	9038.8
1425.875	5.60	9044.5
1426.425	5.60	9050.2
1426.975	4.00	9055.9
1427.525	6.40	9061.6
1428.075	6.80	9067.1
1428.625	4.40	9072.5
1429.175	5.60	9078.1
1429.725	5.60	9083.9
1430.275	8.80	9089.6
1430.825	5.60	9095.5
1431.375	7.60	9101.4
1431.925	5.60	9107.1
1432.475	4.40	9112.8
1433.025	4.80	9118.6
1433.575	5.60	9124.4
1434.125	4.40	9130.2
1434.675	5.60	9136.1
1435.225	7.60	9141.8
1435.775	4.40	9147.7
1436.325	4.80	9154.0
1436.875	8.80	9160.4
1437.425	10.00	9166.8
1437.975	10.80	9172.9
1438.525	8.80	9178.9
1439.075	4.40	9184.7
1439.625	5.20	9190.4
1440.175	4.40	9196.0
1440.725	4.80	9201.7
1441.275	6.40	9207.7
1441.825	4.40	9213.8
1442.375	4.00	9219.4
1442.925	6.40	9225.0
1443.475	8.40	9230.7
1444.025	5.20	9236.5
1444.575	6.40	9242.3
1445.125	4.40	9247.9
1445.675	2.80	9253.9
1446.225	4.40	9260.1
1446.775	6.00	9265.9
1447.325	7.60	9271.5
1447.875	6.40	9277.0
1448.425	4.40	9282.7
1448.975	5.20	9288.5
1449.525	5.20	9294.1
1450.075	3.20	9299.9
1450.625	3.20	9305.7
1451.175	4.00	9311.4
1451.725	10.00	9317.3
1452.275	8.80	9323.2
1452.825	8.40	9329.0
1453.375	7.60	9334.8
1453.925	7.20	9340.5
1454.475	6.40	9346.2
1455.025	4.00	9351.9
1455.575	5.60	9357.6
1456.125	8.40	9363.4
1456.675	8.00	9369.5
1457.225	5.60	9375.6
1457.775	10.00	9381.3
1458.325	10.00	9386.9
1458.875	6.40	9392.6
1459.425	6.00	9398.6
1459.975	5.60	9404.5
1460.525	4.40	9410.5
1461.075	7.60	9416.5
1461.625	6.80	9422.4
1462.175	7.20	9428.3
1462.725	8.40	9434.5
1463.275	8.40	9441.0
1463.825	10.00	9447.4
1464.375	12.00	9453.5
1464.925	8.40	9459.4
1465.475	31.60	9465.2
1466.025	16.40	9471.2
1466.575	10.80	9477.1
1467.125	5.60	9482.9
1467.675	8.00	9488.8
1468.225	7.60	9494.7
1468.775	7.60	9500.8
1469.325	8.80	9506.7
1469.875	8.00	9512.7
1470.425	6.80	9518.8
1470.975	6.40	9524.8
1471.525	9.60	9530.9
1472.075	10.80	9536.9
1472.625	8.40	9543.1
1473.175	9.60	9549.4
1473.725	8.80	9555.3
1474.275	6.40	9561.0
1474.825	5.60	9566.6
1475.375	7.20	9572.3
1475.925	7.60	9578.1
1476.475	7.20	9584.2
1477.025	7.20	9590.5
1477.575	9.20	9596.6
1478.125	7.60	9602.5
1478.675	8.40	9608.6
1479.225	4.80	9614.6
1479.775	6.40	9620.7
1480.325	7.20	9626.8
1480.875	6.80	9632.9
1481.425	7.60	9639.0
1481.975	8.40	9645.2
1482.525	8.00	9651.2
1483.075	10.40	9657.4
1483.625	10.00	9663.8
1484.175	8.40	9670.1
1484.725	6.00	9676.4
1485.275	5.60	9682.6
1485.825	12.00	9688.8
1486.375	9.20	9694.6
1486.925	11.60	9700.5
1487.475	8.80	9706.6
1488.025	10.40	9712.7
1488.575	6.40	9718.9
1489.125	9.20	9725.2
1489.675	10.00	9731.4
1490.225	8.00	9737.3
1490.775	11.60	9743.3
1491.325	6.40	9749.4
1491.875	6.00	9755.5
1492.425	6.40	9761.4
1492.975	9.20	9767.5
1493.525	7.20	9773.8
1494.075	7.60	9779.9
1494.625	6.00	9786.0
1495.175	8.40	9792.1
1495.725	8.40	9798.6
1496.275	6.00	9805.4
1496.825	5.60	9811.8
1497.375	6.80	9818.0
1497.925	5.60	9824.0
1498.475	8.40	9829.9
1499.025	13.60	9835.9
1499.575	7.20	9842.1
1500.125	9.20	9848.5
1500.675	9.20	9854.9
1501.225	9.60	9861.0
1501.775	4.00	9867.1
1502.325	6.80	9873.3
1502.875	5.20	9879.5
1503.425	6.40	9885.8
1503.975	5.60	9892.1
1504.525	6.40	9898.5
1505.075	6.00	9905.4
1505.625	8.80	9912.0
1506.175	6.40	9918.3
1506.725	6.80	9925.1
1507.275	6.80	9931.7
1507.825	5.60	9938.1
1508.375	6.40	9944.8
1508.925	4.80	9951.4
1509.475	4.80	9958.3
1510.025	4.00	9965.0
1510.575	6.40	9971.0
1511.125	5.60	9977.0
1511.675	7.20	9983.5
1512.225	5.20	9990.0
1512.775	5.60	9996.5
1513.325	6.00	10003.5
1513.875	6.00	10010.5
1514.425	3.60	10017.0
1514.975	8.00	10023.0
1515.525	4.80	10029.0
1516.075	6.00	10035.5
1516.625	7.20	10042.0
1517.175	7.20	10048.5
1517.725	7.20	10055.5
1518.275	7.60	10062.0
1518.825	4.80	10068.5
1519.375	6.40	10075.5
1519.925	7.20	10082.0
1520.475	4.80	10088.5
1521.025	5.60	10095.5
1521.575	7.60	10102.5
1522.125	8.40	10109.0
1522.675	6.00	10116.0
1523.225	8.40	10123.5
1523.775	8.80	10130.5
1524.325	11.20	10137.0
1524.875	7.20	10143.5
1525.425	6.00	10150.5
1525.975	4.00	10157.5
1526.525	6.40	10164.5
1527.075	8.00	10171.0
1527.625	12.00	10177.5
1528.175	8.00	10184.5
1528.725	17.60	10191.5
1529.275	8.00	10198.5
1529.825	5.60	10205.0
1530.375	6.80	10211.5
1530.925	5.20	10218.5
1531.475	5.20	10225.5
1532.025	4.00	10233.0
1532.575	7.60	10240.5
1533.125	8.40	10248.0
1533.675	8.00	10255.5
1534.225	7.60	10262.5
1534.775	8.80	10269.5
1535.325	4.80	10276.5
1535.875	5.20	10283.0
1536.425	6.80	10289.5
1536.975	6.80	10296.5
1537.525	8.00	10303.5
1538.075	999999	10310.5
1538.625	999999	10317.0
1539.175	999999	10323.5
1539.725	9.60	10330.5
1540.275	9.20	10337.0
1540.825	6.80	10344.0
1541.375	10.80	10351.0
1541.925	11.60	10357.5
1542.475	4.80	10365.0
1543.025	5.60	10372.5
1543.575	5.20	10379.5
1544.125	5.60	10386.5
1544.675	7.60	10393.5
