GRIP Formaldehyde Concentrations

REFERENCES: 

De Angelis, M., J.P. Steffensen, M.R. Legrand, H.B. Clausen, and C.U.
Hammer. 1997. Primary aerosol (sea salt and soil dust) deposited in
Greenland ice during the last climatic cycle: Comparison with east
Antarctic records. Journal of Geophysical Research 102:26681-26698.

Steffensen, J.P. 1997. The size distribution of microparticles from
selected segments of the Greenland Ice Core Project ice core representing
different climatic periods. Journal of Geophysical Research 102:26755-26763

Sigg, A., T. Staffelbach, and A. Neftel. 1992. Gas-phase measurements of
hydrogen peroxide in Greenland and their meaning for the interpretation of
H2O2 records in ice cores. Journal of Atmospheric Chemistry 14:223-232.

DATA DESCRIPTION: 

A continuous melting technique, combined with continuous flow analysis,
has been developed for measurements of chemical trace species in ice cores
directly in the field (Sigg et al., 1994). A subcore with a cross section
area of 18x18mm2 cut from the main core is used for the simultaneous
analysis of the four components. The subcore is melted continuously from
one side at a constant rate. The main advantage of this method compared to
conventional sampling and analytical procedures of discrete samples are
given by the high spatial resolution (ca. 1cm for Hydrogen peroxide,
Ammonium and Formaldehyde; 3cm for Calcium) combined with a significant
reduction in sample handling. The spatial resolution is only limited by
the sample dispersion in the melting system and the analyser. The
detection limit for formaldehyde is 0.3 ppb.  Ages are years before
1950.00, as calculated from the glaciological timescale (file
gripage.dat). 

DATA:

Depth(m)	HCHO	Age
Mipoint	(ppb)	(years B.P.)

1401.125	1.11	8792.8
1401.675	0.9	8798.2
1402.225	0.93	8803.7
1402.775	1.1	8809.0
1403.325	0.8	8814.4
1403.875	0.4	8819.9
1404.425	0.88	8825.4
1404.975	1.15	8830.8
1405.525	1.3	8836.1
1406.075	1.67	8841.4
1406.625	1.02	8846.9
1407.175	1.34	8852.4
1407.725	1.06	8857.9
1408.275	1.47	8863.5
1408.825	1.11	8868.9
1409.375	0.92	8874.2
1409.925	1.5	8879.8
1410.475	2.2	8885.6
1411.025	1.5	8891.2
1411.575	1.32	8896.9
1412.125	1.16	8902.5
1412.675	1.68	8908.0
1413.225	1.6	8913.6
1413.775	1.25	8919.5
1414.325	1.2	8925.5
1414.875	1.41	8931.2
1415.425	1.47	8936.9
1415.975	1.39	8942.7
1416.525	1.48	8948.4
1417.075	1.36	8954.2
1417.625	1.46	8959.8
1418.175	1.6	8965.6
1418.725	1.94	8971.4
1419.275	1.82	8977.0
1419.825	1.99	8982.8
1420.375	1.96	8988.5
1420.925	1.43	8994.1
1421.475	1.12	8999.8
1422.025	1.46	9005.9
1422.575	1.14	9011.9
1423.125	0.87	9017.4
1423.675	0.93	9022.7
1424.225	1.28	9028.0
1424.775	1.14	9033.3
1425.325	1.09	9038.8
1425.875	1.05	9044.5
1426.425	1.3	9050.2
1426.975	1.35	9055.9
1427.525	0.98	9061.6
1428.075	1.35	9067.1
1428.625	1.42	9072.5
1429.175	1.32	9078.1
1429.725	0.78	9083.9
1430.275	0.87	9089.6
1430.825	0.74	9095.5
1431.375	0.91	9101.4
1431.925	0.71	9107.1
1432.475	0.58	9112.8
1433.025	0.96	9118.6
1433.575	1.03	9124.4
1434.125	0.81	9130.2
1434.675	0.76	9136.1
1435.225	0.64	9141.8
1435.775	1.49	9147.7
1436.325	1.01	9154.0
1436.875	0.85	9160.4
1437.425	0.81	9166.8
1437.975	1.14	9172.9
1438.525	1.04	9178.9
1439.075	0.8	9184.7
1439.625	1.21	9190.4
1440.175	1.1	9196.0
1440.725	1.6	9201.7
1441.275	0.97	9207.7
1441.825	0.72	9213.8
1442.375	0.7	9219.4
1442.925	0.98	9225.0
1443.475	1.63	9230.7
1444.025	1.2	9236.5
1444.575	1.5	9242.3
1445.125	1.23	9247.9
1445.675	1.35	9253.9
1446.225	1.12	9260.1
1446.775	1.32	9265.9
1447.325	1.74	9271.5
1447.875	0.44	9277.0
1448.425	0.58	9282.7
1448.975	0.58	9288.5
1449.525	0.7	9294.1
1450.075	0.52	9299.9
1450.625	0.56	9305.7
1451.175	0.48	9311.4
1451.725	1.04	9317.3
1452.275	1.25	9323.2
1452.825	1.93	9329.0
1453.375	1.14	9334.8
1453.925	1.62	9340.5
1454.475	1.37	9346.2
1455.025	1.51	9351.9
1455.575	1.5	9357.6
1456.125	0.96	9363.4
1456.675	0.66	9369.5
1457.225	1.03	9375.6
1457.775	1.06	9381.3
1458.325	0.91	9386.9
1458.875	0.77	9392.6
1459.425	0.77	9398.6
1459.975	1.11	9404.5
1460.525	1.35	9410.5
1461.075	1.86	9416.5
1461.625	1.64	9422.4
1462.175	1.25	9428.3
1462.725	999999	9434.5
1463.275	999999	9441.0
1463.825	1.44	9447.4
1464.375	0.88	9453.5
1464.925	0.93	9459.4
1465.475	1.92	9465.2
1466.025	1.02	9471.2
1466.575	0.63	9477.1
1467.125	0.87	9482.9
1467.675	0.72	9488.8
1468.225	0.81	9494.7
1468.775	1.21	9500.8
1469.325	1.03	9506.7
1469.875	1.33	9512.7
1470.425	0.99	9518.8
1470.975	0.46	9524.8
1471.525	0.61	9530.9
1472.075	0.9	9536.9
1472.625	0.94	9543.1
1473.175	1.36	9549.4
1473.725	1.31	9555.3
1474.275	1.34	9561.0
1474.825	1.21	9566.6
1475.375	1.61	9572.3
1475.925	1.86	9578.1
1476.475	1.84	9584.2
1477.025	1.44	9590.5
1477.575	1.14	9596.6
1478.125	1.31	9602.5
1478.675	1.14	9608.6
1479.225	1.1	9614.6
1479.775	1.63	9620.7
1480.325	1.43	9626.8
1480.875	1.29	9632.9
1481.425	0.96	9639.0
1481.975	0.83	9645.2
1482.525	1.14	9651.2
1483.075	0.96	9657.4
1483.625	1.04	9663.8
1484.175	1.18	9670.1
1484.725	1.07	9676.4
1485.275	0.85	9682.6
1485.825	0.62	9688.8
1486.375	1	9694.6
1486.925	1.01	9700.5
1487.475	0.83	9706.6
1488.025	1.25	9712.7
1488.575	0.76	9718.9
1489.125	1.04	9725.2
1489.675	1.07	9731.4
1490.225	1.01	9737.3
1490.775	0.69	9743.3
1491.325	0.59	9749.4
1491.875	0.61	9755.5
1492.425	0.39	9761.4
1492.975	0.78	9767.5
1493.525	0.59	9773.8
1494.075	0.69	9779.9
1494.625	0.77	9786.0
1495.175	0.48	9792.1
1495.725	0.52	9798.6
1496.275	0.43	9805.4
1496.825	0.43	9811.8
1497.375	0.43	9818.0
1497.925	0.35	9824.0
1498.475	999999	9829.9
1499.025	0.51	9835.9
1499.575	0.31	9842.1
1500.125	0.54	9848.5
1500.675	0.45	9854.9
1501.225	0.31	9861.0
1501.775	0.47	9867.1
1502.325	0.62	9873.3
1502.875	0.66	9879.5
1503.425	0.94	9885.8
1503.975	0.48	9892.1
1504.525	0.43	9898.5
1505.075	0.35	9905.4
1505.625	0.39	9912.0
1506.175	0.46	9918.3
1506.725	0.62	9925.1
1507.275	0.57	9931.7
1507.825	0.29	9938.1
1508.375	0.54	9944.8
1508.925	0.51	9951.4
1509.475	0.93	9958.3
1510.025	0.87	9965.0
1510.575	0.61	9971.0
1511.125	0.97	9977.0
1511.675	0.99	9983.5
1512.225	1.16	9990.0
1512.775	0.39	9996.5
1513.325	0.66	10003.5
1513.875	0.43	10010.5
1514.425	0.88	10017.0
1514.975	1.17	10023.0
1515.525	0.97	10029.0
1516.075	0.48	10035.5
1516.625	0.39	10042.0
1517.175	0.79	10048.5
1517.725	0.52	10055.5
1518.275	1.64	10062.0
1518.825	0.58	10068.5
1519.375	0.91	10075.5
1519.925	0.85	10082.0
1520.475	0.65	10088.5
1521.025	0.79	10095.5
1521.575	0.67	10102.5
1522.125	0.41	10109.0
1522.675	0.26	10116.0
1523.225	0.42	10123.5
1523.775	0.76	10130.5
1524.325	0.91	10137.0
1524.875	0.42	10143.5
1525.425	0.79	10150.5
1525.975	0.43	10157.5
1526.525	0.32	10164.5
1527.075	0.42	10171.0
1527.625	0.44	10177.5
1528.175	0.42	10184.5
1528.725	0.7	10191.5
1529.275	0.91	10198.5
1529.825	0.46	10205.0
1530.375	0.8	10211.5
1530.925	0.59	10218.5
1531.475	0.4	10225.5
1532.025	0.69	10233.0
1532.575	0.53	10240.5
1533.125	0.51	10248.0
1533.675	0.93	10255.5
1534.225	0.81	10262.5
1534.775	0.59	10269.5
1535.325	0.43	10276.5
1535.875	0.26	10283.0
1536.425	999999	10289.5
1536.975	999999	10296.5
1537.525	999999	10303.5
1538.075	999999	10310.5
1538.625	999999	10317.0
1539.175	999999	10323.5
1539.725	1.02	10330.5
1540.275	0.75	10337.0
1540.825	0.36	10344.0
1541.375	0.52	10351.0
1541.925	0.75	10357.5
1542.475	0.68	10365.0
1543.025	0.68	10372.5
1543.575	0.66	10379.5
1544.125	0.87	10386.5
1544.675	1.02	10393.5
1545.225	0.87	10400.5
1545.775	1.6	10408.0
1546.325	1.35	10415.5
1546.875	0.65	10423.0
1547.425	0.59	10430.5
1547.975	0.59	10437.5
1548.525	0.68	10444.5
1549.075	0.34	10451.5
1549.625	0.47	10458.5
1550.175	0.79	10465.5
1550.725	1.13	10472.5
1551.275	1.18	10479.5
1551.825	0.98	10487.0
1552.375	0.64	10494.5
1552.925	0.61	10501.5
1553.475	0.87	10508.5
1554.025	0.57	10515.5
1554.575	0.45	10523.0
1555.125	0.93	10531.0
1555.675	1.16	10538.5
1556.225	1.22	10545.0
1556.775	0.88	10552.0
1557.325	0.74	10560.0
1557.875	1.15	10567.5
1558.425	0.79	10575.0
1558.975	1.02	10583.0
1559.525	0.74	10590.5
1560.075	0.85	10598.0
1560.625	0.6	10605.5
1561.175	0.52	10612.5
1561.725	0.66	10619.5
1562.275	0.89	10626.5
1562.825	0.77	10634.0
1563.375	1.07	10642.0
1563.925	1.26	10649.5
1564.475	0.94	10657.0
1565.025	0.44	10664.5
1565.575	0.95	10672.5
1566.125	0.88	10681.5
1566.675	0.91	10689.5
1567.225	0.3	10697.0
1567.775	0.45	10705.0
1568.325	0.32	10713.0
1568.875	0.91	10721.0
1569.425	0.74	10729.0
1569.975	1.1	10737.0
1570.525	1.15	10745.0
1571.075	0.88	10752.5
1571.625	1.87	10760.0
1572.175	1.22	10768.0
1572.725	1.02	10776.0
1573.275	0.52	10784.0
1573.825	0.67	10792.0
1574.375	0.42	10800.0
1574.925	0.62	10808.0
1575.475	999999	10816.0
1576.025	999999	10824.0
1576.575	0.64	10832.5
1577.125	0.89	10840.5
1577.675	0.41	10847.5
1578.225	0.67	10855.0
1578.775	0.46	10863.0
1579.325	999999	10871.0
1579.875	999999	10878.5
1580.425	999999	10886.0
1580.975	1.13	10894.0
1581.525	1.43	10902.0
1582.075	1.65	10910.0
1582.625	1.09	10917.5
1583.175	1.27	10925.0
1583.725	1.14	10934.0
1584.275	1.31	10943.0
1584.825	0.71	10951.0
1585.375	0.58	10959.5
1585.925	0.37	10968.0
1586.475	0.59	10976.0
1587.025	0.3	10984.0
1587.575	0.48	10992.0
1588.125	0.27	11000.5
1588.675	0.33	11010.0
1589.225	0.54	11018.5
1589.775	0.66	11026.5
1590.325	0.9	11035.0
1590.875	0.47	11043.0
1591.425	0.37	11052.0
1591.975	0.24	11061.0
1592.525	0.73	11069.0
1593.075	0.94	11077.0
1593.625	0.95	11085.5
1594.175	0.63	11094.5
1594.725	0.81	11103.0
1595.275	0.81	11111.0
1595.825	0.88	11119.0
1596.375	0.89	11127.0
1596.925	0.52	11134.5
1597.475	0.61	11142.0
1598.025	0.84	11150.5
1598.575	1.09	11158.5
1599.125	1.24	11166.0
1599.675	1	11175.0
1600.225	0.8	11184.0
1600.775	1.46	11192.5
1601.325	0.64	11201.0
1601.875	0.58	11209.5
1602.425	0.47	11218.5
1602.975	0.52	11227.0
1603.525	0.43	11236.0
1604.075	0.34	11245.5
1604.625	0.24	11254.5
1605.175	0.64	11264.5
1605.725	0.5	11275.0
1606.275	0.5	11285.0
1606.825	0.6	11294.0
1607.375	0.59	11303.5
1607.925	0.39	11314.0
1608.475	0.37	11323.5
1609.025	0.73	11332.5
1609.575	0.71	11342.0
1610.125	0.28	11351.5
1610.675	0.43	11360.0
1611.225	999999	11368.5
1611.775	999999	11377.0
1612.325	999999	11386.0
1612.875	999999	11395.5
1613.425	999999	11404.5
1613.975	999999	11413.0
1614.525	0.58	11421.0
1615.075	0.52	11429.0
1615.625	0.55	11437.0
1616.175	0.62	11445.5
1616.725	1.03	11454.0
1617.275	0.92	11462.5
1617.825	1.04	11471.5
1618.375	0.8	11480.0
1618.925	0.81	11488.5
1619.475	1.15	11497.5
1620.025	1.53	11506.0
