GRIP Mineralogy of atmospheric micro-particles

REFERENCES: 

Maggi, V. 1997. Mineralogy of atmospheric microparticles deposited along
the Greenland Ice Core Project ice core. Journal of Geophysical Research
102:26725-26734.

DATA DESCRIPTION: 

This file contains measured abundances of atmospheric micro-particles,
segregated by mineralogy, in the GRIP ice core.

999999 indicates blanks.

Qtz = Quartz
Ka = Kaolinite
Ill = Illite
Chl = Chlorite
Mi = Micas
Fds = Feldspars
Maf = Mafics
Car = Carbonates
O&H = Oxides and Hydroxides
OS = Other Silicates
OM = Other Minerals
TS = Total Silicates
AlS = Aluminum Silicates					
TNS = Total non-silicates	


DATA:																														

	Relative abundance (%)															Error Bars (+/-)														
Midpoint Depth (m)	Qtz	Ka	Ill	Chl	Mi	Fds	Maf	Car	O&H	OS	OM	TS	AlS	TNS		
Depth	 Qtz	Ka	 Ill	Chl	Mi	Fds	Maf	Car	O&H	OS	OM	TS	AlS	TNS

2566.85	17.65	1.47	17.65	999999	7.35	13.24	2.94	5.88	11.76	15.47	6.59	61.76	22.21	24.24		2566.85	3.89	0.32	3.89	999999	1.62	2.92	0.65	1.3	2.6	3.41	1.45	13.62	4.9	5.35
2614.7	17.54	1.75	15.79	0.88	7.02	5.26	0.88	999999	3.51	13.53	33.84	48.25	13.39	37.35		2614.7	2.77	0.28	2.49	0.14	1.11	0.83	0.14	999999	0.55	2.14	5.34	7.62	2.11	5.9
2634.5	999999	44.71	999999	999999	999999	999999	999999	999999	3.53	4.71	999999	999999	43.53	8.24		2634.5	999999	4.47	999999	999999	999999	999999	999999	999999	0.35	0.47	999999	999999	4.35	0.82
2650.45	12.5	3.13	15.63	999999	23.44	4.69	6.25	1.56	4.69	19.48	8.64	70.31	30.32	14.89		2650.45	1.17	0.29	1.46	999999	2.2	0.44	0.59	0.15	0.44	1.83	0.81	6.59	2.84	1.4
2666.4	9.68	999999	11.29	4.84	38.71	12.9	999999	1.61	4.84	4.21	11.91	79.03	56.61	18.37		2666.4	1.25	999999	1.46	0.62	4.99	1.66	999999	0.21	0.62	0.54	1.54	10.2	7.3	2.37
2679.6	27.08	2.08	10.42	4.17	22.92	10.42	4.17	2.08	8.33	5.38	2.95	60.42	35.24	13.37		2679.6	2.26	0.17	0.87	0.35	1.91	0.87	0.35	0.17	0.69	0.45	0.25	5.03	2.94	1.11
2681.25	20	12.5	17.5	7.5	17.5	5	5	999999	5	7.65	2.35	75	24.25	7.35		2681.25	2	1.25	1.75	0.75	1.75	0.5	0.5	999999	0.5	0.77	0.23	7.5	2.43	0.73
2733.5	999999	28.57	999999	999999	999999	999999	999999	999999	1.43	10	999999	999999	55.71	11.43		2733.5	999999	2.86	999999	999999	999999	999999	999999	999999	0.14	1	999999	999999	5.57	1.14
2746.7	16.67	999999	16.67	6.25	10.42	12.5	4.17	999999	20.83	4.17	8.33	54.17	24.22	29.17		2746.7	2.08	999999	2.08	0.78	1.3	1.56	0.52	999999	2.6	0.52	1.04	6.77	3.03	3.65
2750	24	999999	10.25	4	30	6	4	6	12	2.54	1.21	56	36.6	19.21		2750	0.48	999999	0.21	0.08	0.6	0.12	0.08	0.12	0.24	0.05	0.02	1.12	0.73	0.38
2750.55	8.11	2.7	2.7	999999	35.14	2.7	24.32	13.51	999999	5.23	5.58	75.68	39.74	19.09		2750.55	0.44	0.15	0.15	999999	1.9	0.15	1.31	0.73	999999	0.28	0.3	4.09	2.15	1.03
2778.6	49.28	1.45	5.8	1.45	14.49	14.49	2.9	2.9	4.35	2.45	0.45	43.48	30.43	7.69		2778.6	4.93	0.14	0.58	0.14	1.45	1.45	0.29	0.29	0.43	0.25	0.04	4.35	3.04	0.77
2781.9	38.95	999999	10	6.67	20	8.33	3.33	5	6.67	0.24	0.81	46.67	29.67	12.48		2781.9	2.6	999999	0.67	0.44	1.33	0.56	0.22	0.33	0.44	0.02	0.05	3.11	1.98	0.83
2806.1	48.48	4.55	7.58	3.03	4.55	13.64	3.03	4.55	3.03	6.84	0.74	42.42	18.46	8.31		2806.1	2.94	0.28	0.46	0.18	0.28	0.83	0.18	0.28	0.18	0.41	0.04	2.57	1.12	0.5
2808.85	46.67	6.67	11.67	1.67	8.33	13.33	1.67	999999	1.67	3.24	5.09	48.33	21.94	6.76		2808.85	1.56	0.22	0.39	0.06	0.28	0.44	0.06	999999	0.06	0.11	0.17	1.61	0.73	0.23
2825.9	38.71	1.61	6.45	4.84	17.74	8.06	4.84	999999	12.9	2.9	1.94	51.61	26.66	14.84		2825.9	1.87	0.08	0.31	0.23	0.86	0.39	0.23	999999	0.62	0.14	0.09	2.5	1.29	0.72
2839.65	34.29	5.71	7.14	1.43	4.29	10	4.29	999999	20	9.58	3.28	50	14.59	23.28		2839.65	2.45	0.41	0.51	0.1	0.31	0.71	0.31	999999	1.43	0.68	0.23	3.57	1.04	1.66
2840.2	7.06	9.41	1.18	999999	3.53	7.06	7.06	11.76	44.71	6.85	1.39	34.12	10.67	57.86		2840.2	0.17	0.22	0.03	999999	0.08	0.17	0.17	0.28	1.05	0.16	0.03	0.8	0.25	1.36
2857.8	7.35	4.41	2.94	999999	8.82	8.82	13.24	4.41	29.41	16.93	3.65	42.65	18.04	37.48		2857.8	0.32	0.19	0.13	999999	0.39	0.39	0.58	0.19	1.3	0.75	0.16	1.88	0.8	1.65
2858.35	10	11.43	4.29	2.86	12.86	1.43	5.71	12.86	25.71	6.86	6	42.86	15.57	44.57		2858.35	1	1.14	0.43	0.29	1.29	0.14	0.57	1.29	2.57	0.69	0.6	4.29	1.56	4.46
2860	999999	999999	1.59	999999	4.76	999999	31.75	999999	47.62	5.69	8.6	44.44	4.99	56.21		2860	999999	999999	0.08	999999	0.23	999999	1.51	999999	2.27	0.27	0.41	2.12	0.24	2.68
2860.55	5.45	20	1.81	999999	9.09	1.82	14.55	5.46	7.27	21.26	13.28	54.55	11.07	26.02		2860.55	0.1	0.36	0.03	999999	0.17	0.03	0.26	0.12	0.13	0.39	0.24	0.99	0.2	0.47
