NEEM bottom depth;Age at bottom of sample;Acc mean;Acc min;Acc max;2 sigma
(m);(years b2k);(m/year i.e.);(m/year i.e.);(m/year i.e.);(m/year i.e.)
1617.38;25480;0.0409;0.0352;0.0507;0.0136
1617.54;25500;0.0407;0.0350;0.0508;0.0139
1617.71;25520;0.0407;0.0350;0.0509;0.0141
1617.87;25540;0.0406;0.0350;0.0508;0.0140
1618.03;25560;0.0405;0.0351;0.0506;0.0139
1618.20;25580;0.0405;0.0351;0.0503;0.0136
1618.36;25600;0.0404;0.0352;0.0499;0.0133
1618.52;25620;0.0403;0.0353;0.0496;0.0130
1618.69;25640;0.0402;0.0353;0.0493;0.0127
1618.85;25660;0.0399;0.0353;0.0490;0.0125
1619.02;25680;0.0398;0.0352;0.0488;0.0124
1619.18;25700;0.0398;0.0352;0.0486;0.0123
1619.34;25720;0.0397;0.0352;0.0485;0.0121
1619.51;25740;0.0398;0.0353;0.0484;0.0120
1619.68;25760;0.0399;0.0353;0.0484;0.0120
1619.84;25780;0.0399;0.0353;0.0484;0.0120
1620.01;25800;0.0400;0.0353;0.0483;0.0120
1620.18;25820;0.0399;0.0353;0.0483;0.0121
1620.35;25840;0.0397;0.0353;0.0482;0.0121
1620.51;25860;0.0397;0.0352;0.0481;0.0121
1620.68;25880;0.0397;0.0352;0.0479;0.0120
1620.84;25900;0.0395;0.0352;0.0477;0.0117
1621.01;25920;0.0395;0.0352;0.0474;0.0113
1621.17;25940;0.0396;0.0354;0.0470;0.0107
1621.34;25960;0.0401;0.0356;0.0468;0.0102
1621.52;25980;0.0407;0.0359;0.0468;0.0098
1621.70;26000;0.0414;0.0362;0.0474;0.0100
1621.88;26020;0.0421;0.0366;0.0477;0.0100
1622.07;26040;0.0425;0.0370;0.0483;0.0101
1622.26;26060;0.0430;0.0373;0.0488;0.0103
1622.45;26080;0.0436;0.0376;0.0494;0.0107
1622.65;26100;0.0441;0.0377;0.0500;0.0111
1622.85;26120;0.0445;0.0379;0.0506;0.0114
1623.05;26140;0.0448;0.0379;0.0508;0.0114
1623.25;26160;0.0452;0.0380;0.0513;0.0116
1623.47;26180;0.0460;0.0380;0.0526;0.0125
1623.68;26200;0.0464;0.0381;0.0526;0.0126
1623.90;26220;0.0465;0.0381;0.0526;0.0125
1624.12;26240;0.0464;0.0381;0.0526;0.0125
1624.34;26260;0.0462;0.0381;0.0522;0.0123
1624.55;26280;0.0459;0.0380;0.0518;0.0121
1624.76;26300;0.0456;0.0380;0.0513;0.0118
1624.97;26320;0.0449;0.0379;0.0499;0.0109
1625.17;26340;0.0447;0.0379;0.0496;0.0107
1625.37;26360;0.0445;0.0377;0.0496;0.0107
1625.57;26380;0.0441;0.0376;0.0493;0.0105
1625.77;26400;0.0442;0.0374;0.0497;0.0110
1625.97;26420;0.0442;0.0371;0.0499;0.0113
1626.17;26440;0.0443;0.0368;0.0505;0.0119
1626.37;26460;0.0441;0.0365;0.0504;0.0121
1626.57;26480;0.0435;0.0363;0.0501;0.0121
1626.76;26500;0.0430;0.0361;0.0498;0.0119
1626.95;26520;0.0427;0.0360;0.0494;0.0118
1627.14;26540;0.0424;0.0360;0.0490;0.0116
1627.33;26560;0.0417;0.0361;0.0482;0.0108
1627.51;26580;0.0412;0.0362;0.0472;0.0097
1627.68;26600;0.0413;0.0365;0.0471;0.0094
1627.87;26620;0.0417;0.0368;0.0472;0.0094
1628.05;26640;0.0422;0.0372;0.0475;0.0095
1628.24;26660;0.0424;0.0375;0.0478;0.0096
1628.42;26680;0.0425;0.0378;0.0477;0.0093
1628.61;26700;0.0428;0.0381;0.0481;0.0094
1628.80;26720;0.0433;0.0382;0.0487;0.0099
1628.99;26740;0.0436;0.0382;0.0492;0.0103
1629.18;26760;0.0436;0.0381;0.0493;0.0103
1629.38;26780;0.0436;0.0379;0.0493;0.0105
1629.57;26800;0.0437;0.0375;0.0492;0.0106
1629.76;26820;0.0436;0.0372;0.0492;0.0109
1629.96;26840;0.0437;0.0368;0.0492;0.0114
1630.16;26860;0.0434;0.0364;0.0486;0.0113
1630.35;26880;0.0432;0.0360;0.0480;0.0111
1630.55;26900;0.0434;0.0358;0.0484;0.0116
1630.75;26920;0.0435;0.0357;0.0491;0.0119
1630.95;26940;0.0434;0.0357;0.0489;0.0118
1631.14;26960;0.0432;0.0359;0.0486;0.0113
1631.34;26980;0.0431;0.0360;0.0483;0.0108
1631.54;27000;0.0430;0.0363;0.0483;0.0106
1631.73;27020;0.0432;0.0365;0.0489;0.0108
1631.93;27040;0.0431;0.0368;0.0485;0.0105
1632.12;27060;0.0432;0.0370;0.0481;0.0100
1632.32;27080;0.0433;0.0372;0.0482;0.0100
1632.51;27100;0.0433;0.0374;0.0485;0.0101
1632.70;27120;0.0433;0.0376;0.0488;0.0103
1632.89;27140;0.0433;0.0378;0.0490;0.0102
1633.08;27160;0.0432;0.0380;0.0485;0.0099
1633.27;27180;0.0431;0.0382;0.0485;0.0096
1633.45;27200;0.0431;0.0383;0.0485;0.0096
1633.64;27220;0.0433;0.0384;0.0491;0.0099
1633.84;27240;0.0436;0.0383;0.0490;0.0099
1634.03;27260;0.0438;0.0382;0.0491;0.0101
1634.22;27280;0.0438;0.0381;0.0490;0.0101
1634.42;27300;0.0437;0.0379;0.0489;0.0100
1634.61;27320;0.0437;0.0378;0.0489;0.0102
1634.81;27340;0.0436;0.0377;0.0485;0.0100
1635.00;27360;0.0434;0.0376;0.0479;0.0097
1635.19;27380;0.0434;0.0375;0.0481;0.0101
1635.38;27400;0.0430;0.0374;0.0480;0.0100
1635.57;27420;0.0430;0.0372;0.0480;0.0101
1635.76;27440;0.0432;0.0371;0.0483;0.0104
1635.95;27460;0.0436;0.0372;0.0485;0.0104
1636.15;27480;0.0450;0.0379;0.0512;0.0119
1636.36;27500;0.0474;0.0394;0.0554;0.0142
1636.59;27520;0.0501;0.0417;0.0587;0.0152
1636.85;27540;0.0541;0.0442;0.0641;0.0177
1637.13;27560;0.0583;0.0473;0.0691;0.0194
1637.43;27580;0.0625;0.0508;0.0748;0.0210
1637.75;27600;0.0669;0.0546;0.0810;0.0228
1638.09;27620;0.0698;0.0584;0.0827;0.0211
1638.43;27640;0.0724;0.0619;0.0835;0.0187
1638.77;27660;0.0753;0.0648;0.0865;0.0184
1639.13;27680;0.0779;0.0675;0.0886;0.0177
1639.50;27700;0.0797;0.0696;0.0916;0.0188
1639.88;27720;0.0796;0.0683;0.0933;0.0214
1640.24;27740;0.0770;0.0650;0.0905;0.0224
1640.58;27760;0.0732;0.0603;0.0890;0.0254
1640.90;27780;0.0685;0.0548;0.0860;0.0275
1641.20;27800;0.0632;0.0492;0.0810;0.0281
1641.46;27820;0.0569;0.0436;0.0740;0.0270
1641.69;27840;0.0510;0.0381;0.0658;0.0245
1641.89;27860;0.0464;0.0355;0.0581;0.0204
1642.08;27880;0.0439;0.0343;0.0546;0.0178
1642.26;27900;0.0430;0.0339;0.0512;0.0153
1642.46;27920;0.0427;0.0336;0.0503;0.0145
1642.65;27940;0.0419;0.0334;0.0486;0.0132
1642.84;27960;0.0416;0.0332;0.0481;0.0129
1643.03;27980;0.0413;0.0330;0.0481;0.0129
1643.22;28000;0.0412;0.0329;0.0480;0.0127
1643.42;28020;0.0411;0.0330;0.0480;0.0127
1643.61;28040;0.0410;0.0333;0.0479;0.0124
1643.79;28060;0.0406;0.0337;0.0463;0.0111
1643.97;28080;0.0405;0.0341;0.0462;0.0107
1644.15;28100;0.0406;0.0345;0.0461;0.0104
1644.33;28120;0.0406;0.0347;0.0459;0.0102
1644.51;28140;0.0408;0.0347;0.0462;0.0106
1644.69;28160;0.0406;0.0345;0.0457;0.0104
1644.86;28180;0.0407;0.0341;0.0460;0.0109
1645.04;28200;0.0409;0.0336;0.0468;0.0117
1645.23;28220;0.0407;0.0331;0.0465;0.0120
1645.41;28240;0.0406;0.0326;0.0470;0.0126
1645.60;28260;0.0405;0.0321;0.0471;0.0130
1645.78;28280;0.0402;0.0318;0.0469;0.0129
1645.97;28300;0.0403;0.0316;0.0476;0.0135
1646.16;28320;0.0403;0.0315;0.0476;0.0135
1646.35;28340;0.0403;0.0315;0.0476;0.0134
1646.54;28360;0.0404;0.0316;0.0476;0.0134
1646.73;28380;0.0408;0.0318;0.0483;0.0138
1646.93;28400;0.0413;0.0320;0.0494;0.0145
1647.12;28420;0.0417;0.0324;0.0498;0.0145
1647.32;28440;0.0417;0.0328;0.0490;0.0137
1647.51;28460;0.0423;0.0334;0.0499;0.0139
1647.72;28480;0.0430;0.0341;0.0509;0.0142
1647.92;28500;0.0439;0.0351;0.0522;0.0142
1648.13;28520;0.0446;0.0367;0.0518;0.0127
1648.34;28540;0.0461;0.0388;0.0531;0.0122
1648.56;28560;0.0485;0.0415;0.0563;0.0129
1648.80;28580;0.0518;0.0444;0.0610;0.0145
1649.06;28600;0.0553;0.0477;0.0653;0.0156
1649.34;28620;0.0591;0.0513;0.0694;0.0163
1649.63;28640;0.0635;0.0549;0.0754;0.0184
1649.95;28660;0.0672;0.0583;0.0793;0.0188
1650.28;28680;0.0709;0.0613;0.0843;0.0204
1650.62;28700;0.0735;0.0640;0.0867;0.0199
1650.97;28720;0.0759;0.0665;0.0886;0.0192
1651.33;28740;0.0786;0.0689;0.0919;0.0198
1651.70;28760;0.0801;0.0707;0.0929;0.0188
1652.06;28780;0.0810;0.0721;0.0935;0.0182
1652.44;28800;0.0824;0.0728;0.0974;0.0213
1652.82;28820;0.0816;0.0720;0.0963;0.0210
1653.19;28840;0.0798;0.0695;0.0948;0.0223
1653.55;28860;0.0762;0.0657;0.0914;0.0229
1653.87;28880;0.0711;0.0609;0.0854;0.0219
1654.18;28900;0.0661;0.0561;0.0802;0.0219
1654.45;28920;0.0607;0.0513;0.0737;0.0204
1654.69;28940;0.0552;0.0469;0.0658;0.0173
1654.91;28960;0.0510;0.0436;0.0599;0.0151
1655.11;28980;0.0481;0.0418;0.0559;0.0130
1655.31;29000;0.0463;0.0409;0.0531;0.0114
1655.50;29020;0.0450;0.0402;0.0507;0.0100
1655.69;29040;0.0439;0.0395;0.0491;0.0089
1655.87;29060;0.0434;0.0388;0.0482;0.0088
1656.05;29080;0.0428;0.0381;0.0474;0.0085
1656.23;29100;0.0424;0.0376;0.0467;0.0084
1656.40;29120;0.0420;0.0371;0.0461;0.0083
1656.57;29140;0.0416;0.0367;0.0456;0.0080
1656.74;29160;0.0416;0.0365;0.0457;0.0082
1656.91;29180;0.0417;0.0364;0.0456;0.0082
1657.08;29200;0.0417;0.0366;0.0456;0.0080
1657.26;29220;0.0418;0.0368;0.0458;0.0079
1657.43;29240;0.0421;0.0370;0.0462;0.0081
1657.60;29260;0.0421;0.0372;0.0465;0.0080
1657.77;29280;0.0425;0.0374;0.0470;0.0084
1657.94;29300;0.0424;0.0377;0.0469;0.0081
1658.11;29320;0.0426;0.0379;0.0471;0.0082
1658.29;29340;0.0426;0.0378;0.0472;0.0085
1658.47;29360;0.0425;0.0376;0.0471;0.0087
1658.64;29380;0.0419;0.0371;0.0466;0.0086
1658.81;29400;0.0418;0.0364;0.0464;0.0091
1658.98;29420;0.0412;0.0357;0.0458;0.0090
1659.15;29440;0.0407;0.0350;0.0455;0.0093
1659.31;29460;0.0401;0.0345;0.0452;0.0093
1659.47;29480;0.0399;0.0343;0.0449;0.0090
1659.62;29500;0.0398;0.0345;0.0448;0.0088
1659.78;29520;0.0401;0.0348;0.0450;0.0089
1659.95;29540;0.0404;0.0352;0.0457;0.0091
1660.11;29560;0.0405;0.0355;0.0458;0.0090
1660.28;29580;0.0408;0.0359;0.0458;0.0089
1660.45;29600;0.0409;0.0361;0.0457;0.0087
1660.62;29620;0.0408;0.0361;0.0455;0.0086
1660.79;29640;0.0409;0.0359;0.0456;0.0090
1660.96;29660;0.0405;0.0358;0.0451;0.0085
1661.12;29680;0.0400;0.0358;0.0441;0.0076
1661.29;29700;0.0402;0.0361;0.0447;0.0079
1661.46;29720;0.0403;0.0364;0.0449;0.0078
1661.63;29740;0.0406;0.0366;0.0453;0.0082
1661.80;29760;0.0407;0.0369;0.0454;0.0082
1661.97;29780;0.0407;0.0371;0.0451;0.0079
1662.14;29800;0.0409;0.0372;0.0457;0.0084
1662.32;29820;0.0412;0.0372;0.0466;0.0094
1662.50;29840;0.0408;0.0370;0.0458;0.0087
1662.67;29860;0.0406;0.0369;0.0453;0.0084
1662.84;29880;0.0406;0.0368;0.0453;0.0082
1663.02;29900;0.0409;0.0368;0.0460;0.0086
1663.20;29920;0.0413;0.0369;0.0473;0.0095
1663.39;29940;0.0415;0.0370;0.0478;0.0098
1663.56;29960;0.0413;0.0370;0.0469;0.0089
1663.74;29980;0.0416;0.0371;0.0473;0.0093
1663.92;30000;0.0417;0.0372;0.0476;0.0095
1664.11;30020;0.0416;0.0373;0.0476;0.0096
1664.28;30040;0.0413;0.0373;0.0469;0.0093
1664.46;30060;0.0408;0.0372;0.0456;0.0084
1664.63;30080;0.0404;0.0369;0.0447;0.0079
1664.80;30100;0.0403;0.0367;0.0445;0.0081
1664.97;30120;0.0403;0.0364;0.0452;0.0089
1665.14;30140;0.0400;0.0360;0.0450;0.0090
1665.31;30160;0.0396;0.0355;0.0443;0.0087
1665.48;30180;0.0394;0.0351;0.0446;0.0092
1665.65;30200;0.0392;0.0347;0.0446;0.0094
1665.82;30220;0.0390;0.0343;0.0444;0.0095
1665.99;30240;0.0388;0.0339;0.0442;0.0095
1666.16;30260;0.0387;0.0335;0.0442;0.0096
1666.33;30280;0.0388;0.0332;0.0447;0.0102
1666.50;30300;0.0389;0.0330;0.0447;0.0105
1666.67;30320;0.0388;0.0328;0.0445;0.0105
1666.84;30340;0.0393;0.0327;0.0456;0.0117
1667.01;30360;0.0393;0.0327;0.0460;0.0120
1667.18;30380;0.0394;0.0328;0.0465;0.0124
1667.35;30400;0.0389;0.0330;0.0458;0.0118
1667.51;30420;0.0388;0.0332;0.0457;0.0117
1667.67;30440;0.0391;0.0334;0.0466;0.0122
1667.83;30460;0.0395;0.0336;0.0471;0.0124
1668.00;30480;0.0400;0.0339;0.0478;0.0126
1668.17;30500;0.0405;0.0341;0.0479;0.0125
1668.35;30520;0.0414;0.0343;0.0492;0.0132
1668.54;30540;0.0425;0.0345;0.0502;0.0137
1668.73;30560;0.0435;0.0347;0.0517;0.0146
1668.93;30580;0.0441;0.0350;0.0524;0.0147
1669.13;30600;0.0448;0.0353;0.0536;0.0152
1669.33;30620;0.0450;0.0357;0.0531;0.0145
1669.54;30640;0.0459;0.0361;0.0548;0.0154
1669.76;30660;0.0469;0.0366;0.0566;0.0165
1669.98;30680;0.0481;0.0372;0.0591;0.0181
1670.21;30700;0.0491;0.0377;0.0612;0.0195
1670.45;30720;0.0496;0.0381;0.0617;0.0195
1670.68;30740;0.0500;0.0385;0.0620;0.0195
1670.92;30760;0.0504;0.0386;0.0631;0.0203
1671.16;30780;0.0504;0.0386;0.0629;0.0202
1671.39;30800;0.0497;0.0384;0.0614;0.0191
1671.62;30820;0.0489;0.0381;0.0596;0.0179
1671.83;30840;0.0479;0.0377;0.0573;0.0164
1672.05;30860;0.0472;0.0373;0.0566;0.0162
1672.25;30880;0.0461;0.0370;0.0549;0.0152
1672.45;30900;0.0452;0.0368;0.0533;0.0141
1672.65;30920;0.0447;0.0369;0.0531;0.0140
1672.85;30940;0.0439;0.0371;0.0518;0.0128
1673.04;30960;0.0433;0.0375;0.0504;0.0114
1673.22;30980;0.0432;0.0380;0.0500;0.0107
1673.41;31000;0.0434;0.0386;0.0505;0.0106
1673.61;31020;0.0440;0.0393;0.0515;0.0108
1673.80;31040;0.0445;0.0401;0.0518;0.0104
1674.00;31060;0.0449;0.0407;0.0516;0.0097
1674.19;31080;0.0456;0.0410;0.0527;0.0103
1674.40;31100;0.0460;0.0412;0.0535;0.0108
1674.59;31120;0.0461;0.0412;0.0530;0.0105
1674.79;31140;0.0458;0.0411;0.0518;0.0095
1674.98;31160;0.0455;0.0409;0.0510;0.0089
1675.16;31180;0.0455;0.0406;0.0513;0.0093
1675.36;31200;0.0456;0.0404;0.0520;0.0101
1675.54;31220;0.0454;0.0403;0.0516;0.0098
1675.73;31240;0.0452;0.0403;0.0509;0.0094
1675.92;31260;0.0451;0.0402;0.0511;0.0096
1676.11;31280;0.0452;0.0401;0.0515;0.0101
1676.30;31300;0.0451;0.0399;0.0513;0.0101
1676.49;31320;0.0449;0.0397;0.0511;0.0101
1676.67;31340;0.0445;0.0395;0.0498;0.0091
1676.86;31360;0.0445;0.0393;0.0498;0.0092
1677.04;31380;0.0444;0.0392;0.0498;0.0094
1677.22;31400;0.0442;0.0391;0.0494;0.0091
1677.41;31420;0.0441;0.0391;0.0494;0.0093
1677.59;31440;0.0442;0.0389;0.0496;0.0099
1677.77;31460;0.0438;0.0388;0.0488;0.0095
1677.95;31480;0.0437;0.0388;0.0491;0.0099
1678.13;31500;0.0434;0.0388;0.0486;0.0095
1678.31;31520;0.0433;0.0388;0.0487;0.0093
1678.50;31540;0.0437;0.0390;0.0503;0.0107
1678.69;31560;0.0438;0.0393;0.0506;0.0105
1678.88;31580;0.0441;0.0398;0.0510;0.0104
1679.07;31600;0.0446;0.0404;0.0521;0.0107
1679.27;31620;0.0450;0.0409;0.0524;0.0105
1679.46;31640;0.0453;0.0413;0.0526;0.0104
1679.66;31660;0.0460;0.0417;0.0540;0.0114
1679.86;31680;0.0461;0.0420;0.0533;0.0105
1680.06;31700;0.0463;0.0423;0.0534;0.0104
1680.26;31720;0.0465;0.0424;0.0539;0.0108
1680.46;31740;0.0465;0.0423;0.0539;0.0108
1680.66;31760;0.0465;0.0422;0.0539;0.0109
1680.86;31780;0.0464;0.0419;0.0539;0.0110
1681.05;31800;0.0460;0.0415;0.0530;0.0104
1681.25;31820;0.0458;0.0411;0.0523;0.0102
1681.44;31840;0.0457;0.0408;0.0524;0.0105
1681.63;31860;0.0454;0.0404;0.0513;0.0098
1681.82;31880;0.0454;0.0402;0.0510;0.0097
1682.01;31900;0.0455;0.0403;0.0508;0.0094
1682.20;31920;0.0457;0.0408;0.0511;0.0092
1682.39;31940;0.0463;0.0415;0.0518;0.0091
1682.59;31960;0.0474;0.0427;0.0535;0.0096
1682.79;31980;0.0485;0.0440;0.0546;0.0095
1682.99;32000;0.0498;0.0451;0.0560;0.0097
1683.21;32020;0.0514;0.0463;0.0580;0.0105
1683.43;32040;0.0532;0.0476;0.0599;0.0111
1683.66;32060;0.0554;0.0492;0.0628;0.0125
1683.89;32080;0.0572;0.0507;0.0646;0.0129
1684.13;32100;0.0590;0.0519;0.0664;0.0134
1684.38;32120;0.0610;0.0532;0.0686;0.0147
1684.64;32140;0.0630;0.0545;0.0714;0.0160
1684.90;32160;0.0647;0.0556;0.0733;0.0168
1685.16;32180;0.0660;0.0563;0.0761;0.0183
1685.42;32200;0.0672;0.0570;0.0780;0.0190
1685.68;32220;0.0687;0.0582;0.0803;0.0199
1685.96;32240;0.0707;0.0596;0.0829;0.0211
1686.24;32260;0.0722;0.0612;0.0846;0.0214
1686.53;32280;0.0735;0.0622;0.0859;0.0217
1686.82;32300;0.0744;0.0631;0.0872;0.0219
1687.11;32320;0.0757;0.0642;0.0885;0.0222
1687.42;32340;0.0772;0.0651;0.0902;0.0232
1687.73;32360;0.0783;0.0653;0.0923;0.0248
1688.03;32380;0.0787;0.0655;0.0941;0.0256
1688.34;32400;0.0796;0.0664;0.0959;0.0260
1688.65;32420;0.0807;0.0674;0.0972;0.0261
1688.97;32440;0.0810;0.0675;0.0990;0.0277
1689.28;32460;0.0791;0.0653;0.0966;0.0280
1689.59;32480;0.0751;0.0619;0.0925;0.0273
1689.86;32500;0.0702;0.0582;0.0871;0.0260
1690.12;32520;0.0651;0.0539;0.0807;0.0243
1690.36;32540;0.0591;0.0486;0.0739;0.0231
1690.58;32560;0.0534;0.0432;0.0676;0.0225
1690.77;32580;0.0485;0.0390;0.0609;0.0206
1690.95;32600;0.0456;0.0365;0.0579;0.0197
1691.13;32620;0.0441;0.0349;0.0555;0.0191
1691.30;32640;0.0428;0.0335;0.0530;0.0178
1691.48;32660;0.0419;0.0324;0.0514;0.0175
1691.66;32680;0.0415;0.0316;0.0506;0.0176
1691.83;32700;0.0410;0.0312;0.0500;0.0175
1692.00;32720;0.0405;0.0309;0.0491;0.0170
1692.17;32740;0.0401;0.0309;0.0482;0.0164
1692.33;32760;0.0398;0.0309;0.0477;0.0160
1692.50;32780;0.0402;0.0309;0.0479;0.0165
1692.67;32800;0.0404;0.0308;0.0480;0.0167
1692.84;32820;0.0406;0.0305;0.0484;0.0172
1693.01;32840;0.0405;0.0302;0.0486;0.0175
1693.19;32860;0.0404;0.0298;0.0487;0.0178
1693.36;32880;0.0401;0.0295;0.0483;0.0176
1693.53;32900;0.0400;0.0293;0.0482;0.0177
1693.70;32920;0.0399;0.0292;0.0478;0.0175
1693.87;32940;0.0398;0.0292;0.0482;0.0177
1694.04;32960;0.0397;0.0293;0.0480;0.0174
1694.21;32980;0.0396;0.0295;0.0480;0.0173
1694.38;33000;0.0393;0.0298;0.0477;0.0166
1694.54;33020;0.0392;0.0302;0.0477;0.0163
1694.71;33040;0.0394;0.0306;0.0479;0.0163
1694.87;33060;0.0394;0.0311;0.0481;0.0161
1695.03;33080;0.0392;0.0315;0.0478;0.0155
1695.19;33100;0.0393;0.0318;0.0477;0.0152
1695.35;33120;0.0395;0.0321;0.0478;0.0151
1695.51;33140;0.0399;0.0323;0.0483;0.0153
1695.68;33160;0.0405;0.0324;0.0491;0.0163
1695.84;33180;0.0404;0.0325;0.0493;0.0161
1696.00;33200;0.0405;0.0325;0.0496;0.0164
1696.17;33220;0.0407;0.0325;0.0499;0.0167
1696.33;33240;0.0409;0.0326;0.0501;0.0168
1696.50;33260;0.0410;0.0326;0.0503;0.0166
1696.67;33280;0.0419;0.0329;0.0511;0.0171
1696.84;33300;0.0426;0.0334;0.0518;0.0167
1697.02;33320;0.0439;0.0345;0.0522;0.0161
1697.22;33340;0.0467;0.0361;0.0572;0.0189
1697.44;33360;0.0499;0.0383;0.0618;0.0209
1697.68;33380;0.0533;0.0411;0.0674;0.0231
1697.94;33400;0.0570;0.0442;0.0731;0.0252
1698.22;33420;0.0604;0.0476;0.0778;0.0264
1698.51;33440;0.0635;0.0510;0.0816;0.0268
1698.82;33460;0.0669;0.0541;0.0870;0.0285
1699.13;33480;0.0689;0.0568;0.0877;0.0267
1699.45;33500;0.0703;0.0589;0.0884;0.0255
1699.77;33520;0.0714;0.0602;0.0893;0.0252
1700.09;33540;0.0721;0.0610;0.0897;0.0250
1700.40;33560;0.0720;0.0613;0.0879;0.0234
1700.70;33580;0.0719;0.0618;0.0869;0.0223
1701.00;33600;0.0722;0.0627;0.0854;0.0203
1701.30;33620;0.0731;0.0634;0.0861;0.0202
1701.61;33640;0.0740;0.0633;0.0880;0.0218
1701.92;33660;0.0735;0.0624;0.0881;0.0230
1702.22;33680;0.0715;0.0604;0.0852;0.0223
1702.50;33700;0.0695;0.0578;0.0843;0.0237
1702.79;33720;0.0672;0.0543;0.0828;0.0258
1703.06;33740;0.0637;0.0499;0.0805;0.0277
1703.31;33760;0.0595;0.0454;0.0756;0.0278
1703.54;33780;0.0553;0.0418;0.0701;0.0267
1703.75;33800;0.0519;0.0391;0.0646;0.0240
1703.96;33820;0.0504;0.0376;0.0626;0.0235
1704.16;33840;0.0492;0.0368;0.0605;0.0224
1704.36;33860;0.0482;0.0364;0.0586;0.0210
1704.56;33880;0.0477;0.0363;0.0578;0.0206
1704.76;33900;0.0469;0.0362;0.0567;0.0195
1704.95;33920;0.0461;0.0361;0.0554;0.0184
1705.14;33940;0.0459;0.0359;0.0550;0.0186
1705.32;33960;0.0454;0.0355;0.0541;0.0183
1705.51;33980;0.0450;0.0350;0.0539;0.0186
1705.69;34000;0.0448;0.0345;0.0542;0.0191
1705.88;34020;0.0442;0.0341;0.0532;0.0184
1706.06;34040;0.0439;0.0339;0.0526;0.0181
1706.24;34060;0.0436;0.0338;0.0521;0.0178
1706.41;34080;0.0434;0.0338;0.0521;0.0176
1706.59;34100;0.0433;0.0339;0.0521;0.0175
1706.77;34120;0.0432;0.0340;0.0517;0.0171
1706.94;34140;0.0429;0.0340;0.0512;0.0165
1707.12;34160;0.0431;0.0338;0.0513;0.0169
1707.30;34180;0.0435;0.0336;0.0525;0.0181
1707.48;34200;0.0436;0.0334;0.0526;0.0185
1707.66;34220;0.0433;0.0332;0.0520;0.0181
1707.84;34240;0.0435;0.0330;0.0530;0.0188
1708.02;34260;0.0434;0.0330;0.0528;0.0186
1708.20;34280;0.0434;0.0331;0.0525;0.0185
1708.38;34300;0.0433;0.0332;0.0524;0.0182
1708.56;34320;0.0431;0.0333;0.0514;0.0174
1708.74;34340;0.0432;0.0336;0.0514;0.0171
1708.92;34360;0.0436;0.0339;0.0518;0.0173
1709.09;34380;0.0436;0.0342;0.0511;0.0165
1709.27;34400;0.0442;0.0346;0.0524;0.0173
1709.46;34420;0.0444;0.0349;0.0528;0.0176
1709.63;34440;0.0441;0.0350;0.0532;0.0177
1709.81;34460;0.0441;0.0350;0.0535;0.0181
1709.99;34480;0.0438;0.0348;0.0536;0.0183
1710.16;34500;0.0433;0.0346;0.0533;0.0184
1710.33;34520;0.0427;0.0343;0.0527;0.0181
1710.49;34540;0.0421;0.0341;0.0513;0.0171
1710.66;34560;0.0419;0.0342;0.0511;0.0168
1710.82;34580;0.0425;0.0347;0.0509;0.0164
1710.99;34600;0.0426;0.0354;0.0510;0.0154
1711.16;34620;0.0439;0.0364;0.0526;0.0160
1711.34;34640;0.0449;0.0375;0.0534;0.0156
1711.52;34660;0.0464;0.0388;0.0548;0.0157
1711.71;34680;0.0482;0.0402;0.0563;0.0155
1711.91;34700;0.0508;0.0421;0.0604;0.0169
1712.13;34720;0.0541;0.0444;0.0656;0.0190
1712.37;34740;0.0578;0.0472;0.0704;0.0205
1712.63;34760;0.0609;0.0501;0.0746;0.0214
1712.90;34780;0.0639;0.0526;0.0788;0.0227
1713.18;34800;0.0660;0.0545;0.0818;0.0236
1713.48;34820;0.0676;0.0557;0.0843;0.0251
1713.76;34840;0.0675;0.0561;0.0836;0.0245
1714.04;34860;0.0669;0.0556;0.0815;0.0235
1714.32;34880;0.0664;0.0545;0.0809;0.0241
1714.58;34900;0.0650;0.0531;0.0783;0.0234
1714.84;34920;0.0640;0.0521;0.0769;0.0236
1715.10;34940;0.0629;0.0516;0.0751;0.0225
1715.35;34960;0.0628;0.0518;0.0751;0.0221
1715.60;34980;0.0635;0.0527;0.0751;0.0214
1715.86;35000;0.0644;0.0539;0.0767;0.0213
1716.12;35020;0.0649;0.0555;0.0758;0.0194
1716.39;35040;0.0664;0.0571;0.0783;0.0200
1716.66;35060;0.0678;0.0586;0.0796;0.0196
1716.93;35080;0.0695;0.0598;0.0811;0.0200
1717.22;35100;0.0709;0.0607;0.0837;0.0214
1717.51;35120;0.0719;0.0614;0.0852;0.0220
1717.81;35140;0.0728;0.0621;0.0864;0.0225
1718.11;35160;0.0736;0.0629;0.0881;0.0233
1718.41;35180;0.0740;0.0635;0.0874;0.0219
1718.72;35200;0.0750;0.0638;0.0892;0.0228
1719.03;35220;0.0759;0.0641;0.0910;0.0238
1719.34;35240;0.0760;0.0645;0.0900;0.0228
1719.65;35260;0.0766;0.0649;0.0913;0.0238
1719.96;35280;0.0767;0.0650;0.0912;0.0238
1720.27;35300;0.0766;0.0648;0.0905;0.0234
1720.58;35320;0.0770;0.0652;0.0914;0.0241
1720.89;35340;0.0771;0.0663;0.0903;0.0225
1721.20;35360;0.0782;0.0676;0.0921;0.0230
1721.52;35380;0.0790;0.0683;0.0937;0.0235
