NEEM bottom depth;Age at bottom of sample;Acc mean;Acc min;Acc max;2 sigma
(m);(years b2k);(m/year i.e.);(m/year i.e.);(m/year i.e.);(m/year i.e.)
488.14;2360;0.2291;0.2204;0.2364;0.0171
491.66;2380;0.2285;0.2191;0.2370;0.0192
495.17;2400;0.2282;0.2190;0.2357;0.0183
498.66;2420;0.2276;0.2193;0.2351;0.0169
502.15;2440;0.2277;0.2200;0.2338;0.0147
505.58;2460;0.2265;0.2189;0.2325;0.0145
509.00;2480;0.2267;0.2201;0.2322;0.0129
512.35;2500;0.2246;0.2186;0.2307;0.0129
515.72;2520;0.2254;0.2200;0.2311;0.0122
519.07;2540;0.2254;0.2203;0.2311;0.0116
522.42;2560;0.2248;0.2203;0.2300;0.0106
525.75;2580;0.2251;0.2201;0.2313;0.0122
529.14;2600;0.2266;0.2216;0.2331;0.0123
532.48;2620;0.2256;0.2196;0.2333;0.0146
535.87;2640;0.2278;0.2211;0.2350;0.0146
539.28;2660;0.2285;0.2205;0.2353;0.0155
542.67;2680;0.2287;0.2200;0.2372;0.0180
546.10;2700;0.2305;0.2197;0.2404;0.0215
549.51;2720;0.2298;0.2190;0.2394;0.0211
552.93;2740;0.2308;0.2193;0.2409;0.0224
556.36;2760;0.2305;0.2199;0.2399;0.0209
559.74;2780;0.2291;0.2193;0.2382;0.0196
563.05;2800;0.2272;0.2180;0.2358;0.0185
566.37;2820;0.2278;0.2186;0.2361;0.0180
569.65;2840;0.2270;0.2192;0.2341;0.0155
572.95;2860;0.2283;0.2203;0.2354;0.0156
576.21;2880;0.2276;0.2207;0.2344;0.0142
579.50;2900;0.2304;0.2224;0.2379;0.0161
582.84;2920;0.2324;0.2239;0.2399;0.0167
586.21;2940;0.2339;0.2261;0.2416;0.0162
589.56;2960;0.2338;0.2261;0.2416;0.0162
592.91;2980;0.2341;0.2259;0.2421;0.0170
596.23;3000;0.2332;0.2256;0.2411;0.0163
599.56;3020;0.2321;0.2249;0.2396;0.0155
602.82;3040;0.2305;0.2239;0.2384;0.0156
606.09;3060;0.2301;0.2234;0.2386;0.0162
609.30;3080;0.2276;0.2207;0.2364;0.0165
612.48;3100;0.2252;0.2189;0.2329;0.0148
615.60;3120;0.2235;0.2179;0.2307;0.0135
618.70;3140;0.2233;0.2172;0.2309;0.0144
621.81;3160;0.2249;0.2180;0.2327;0.0153
624.92;3180;0.2247;0.2180;0.2310;0.0133
628.00;3200;0.2253;0.2191;0.2311;0.0122
631.13;3220;0.2281;0.2224;0.2334;0.0115
634.28;3240;0.2294;0.2230;0.2347;0.0122
637.40;3260;0.2295;0.2212;0.2359;0.0156
640.56;3280;0.2314;0.2229;0.2381;0.0161
643.66;3300;0.2294;0.2215;0.2360;0.0153
646.75;3320;0.2299;0.2209;0.2377;0.0175
649.86;3340;0.2307;0.2204;0.2389;0.0196
652.97;3360;0.2306;0.2198;0.2386;0.0200
656.08;3380;0.2310;0.2211;0.2386;0.0186
659.24;3400;0.2328;0.2241;0.2404;0.0169
662.37;3420;0.2314;0.2235;0.2384;0.0155
665.52;3440;0.2326;0.2247;0.2395;0.0154
668.67;3460;0.2317;0.2247;0.2374;0.0136
671.76;3480;0.2302;0.2244;0.2361;0.0123
674.85;3500;0.2302;0.2240;0.2368;0.0133
677.92;3520;0.2299;0.2235;0.2366;0.0135
680.96;3540;0.2280;0.2227;0.2336;0.0114
683.97;3560;0.2282;0.2221;0.2352;0.0139
686.99;3580;0.2292;0.2215;0.2380;0.0172
690.06;3600;0.2312;0.2223;0.2406;0.0193
693.14;3620;0.2309;0.2218;0.2397;0.0187
696.19;3640;0.2307;0.2214;0.2403;0.0198
699.25;3660;0.2315;0.2214;0.2419;0.0214
702.34;3680;0.2328;0.2221;0.2433;0.0222
705.42;3700;0.2325;0.2228;0.2413;0.0193
