GRIP Depth Age Scale from Flow Modeling

REFERENCES: 

Johnsen, S.J., H.B. Clausen, W. Dansgaard, N.S. Gundestrup, C.U. Hammer, U.
Andersen, K.K. Andersen, C.S. Hvidberg, D. Dahl-Jensen, J.P. Steffensen, H.
Shoji, A.E. Sveinbjörnsdóttir, J.W.C. White, J. Jouzel, and D. Fisher.
1997. The d18O record along the Greenland Ice Core Pproject deep ice core
and the problem of possible Eemian climatic instability. Journal of
Geophysical Research 102:26397-26410.

DATA DESCRIPTION: 

This file contains the GRIP timescale ss09.  This is one of several
published depth age scales for the GRIP core.  It is based on a
Dansgaard-Johnsen (1969) type flow model, with a 1500 m lower shear layer,
13.5% bottom sliding and accumulation rates which are a function of the
d18O values: 23.0 cm of ice at -35.2 per mil with 8% and 18% change per
per mil at -35.2 per mil and -40 per mil, respectively.  The d18O values
are given in the file gripd18O.dat.  See also the stratigraphic ages by
Hammer et al. (1997), presented in the file gripstrat.dat. 

IMPORTANT NOTE: for most of the GRIP files on this CDROM, we have used
this timescale.  In some cases, ages were provided and these are not
necessarily on identical timescales.  Please refer to the document "A
note on the timescales" for more information. 

DATA: 

Depth (m)	Age (yrs BP)
710.05	3440.2
710.60	3443.4
711.15	3446.6
711.70	3450.2
712.25	3453.4
712.80	3456.6
713.35	3460.2
713.90	3463.5
714.45	3466.8
715.00	3470.1
715.55	3473.5
716.10	3476.9
716.65	3480
717.20	3483.3
717.75	3486.5
718.30	3489.6
718.85	3492.8
719.40	3495.9
719.95	3499.1
720.50	3502.8
721.05	3506.3
721.60	3509.4
722.15	3512.6
722.70	3515.8
723.25	3519
723.80	3522.2
724.35	3525.3
724.90	3528.8
725.45	3532.3
726.00	3535.6
726.55	3538.8
727.10	3542
727.65	3545.2
728.20	3548.6
728.75	3552
729.30	3555.4
729.85	3558.7
730.40	3561.8
730.95	3565.1
731.50	3568.3
732.05	3571.9
732.60	3575.6
733.15	3579.2
733.70	3582.3
734.25	3585.5
734.80	3588.8
735.35	3592.5
735.90	3595.9
736.45	3599.4
737.00	3603.2
737.55	3606.5
738.10	3609.7
738.65	3612.9
739.20	3616.3
739.75	3619.7
740.30	3623.2
740.85	3626.5
741.40	3629.7
741.95	3633.1
742.50	3636.8
743.05	3640.2
743.60	3643.5
744.15	3646.7
744.70	3650.3
745.25	3653.8
745.80	3657
746.35	3660.2
746.90	3663.5
747.45	3666.9
748.00	3670.1
748.55	3673.7
749.10	3676.9
749.65	3680
750.20	3683.2
750.75	3686.5
751.30	3689.7
751.85	3693.2
752.40	3696.3
752.95	3699.7
753.50	3702.9
754.05	3706
754.60	3709.1
755.15	3712.6
755.70	3716.1
756.25	3719.3
756.80	3722.6
757.35	3726
757.90	3729.5
758.45	3733.3
759.00	3736.9
759.55	3740.2
760.10	3743.5
760.65	3746.9
761.20	3750.4
761.75	3753.8
762.30	3757.1
762.85	3760.5
763.40	3763.8
763.95	3767.2
764.50	3770.7
765.05	3773.9
765.60	3777.5
766.15	3781.1
766.70	3784.3
767.25	3787.6
767.80	3791
768.35	3794.6
768.90	3798.4
769.45	3801.7
770.00	3805.3
770.55	3808.7
771.10	3812
771.65	3815.3
772.20	3818.7
772.75	3821.8
773.30	3825.1
773.85	3828.7
774.40	3832.2
774.95	3835.8
775.50	3839.3
776.05	3842.7
776.60	3845.9
777.15	3849.3
777.70	3852.8
778.25	3856.1
778.80	3859.3
779.35	3863
779.90	3866.8
780.45	3870.5
781.00	3874.1
781.55	3877.6
782.10	3881.1
782.65	3884.6
783.20	3887.8
783.75	3891.4
784.30	3894.9
784.85	3898.5
785.40	3901.9
785.95	3905.1
786.50	3908.6
787.05	3911.8
787.60	3915.2
788.15	3918.6
788.70	3922.5
789.25	3925.8
789.80	3929.2
790.35	3932.6
790.90	3936.2
791.45	3939.2
792.00	3942.7
792.55	3946.2
793.10	3949.5
793.65	3953.2
794.20	3956.6
794.75	3960.5
795.30	3964
795.85	3967.4
796.40	3970.7
796.95	3974
797.50	3977.4
798.05	3980.8
798.60	3984.6
799.15	3988
799.70	3991.5
800.25	3994.9
800.80	3998.1
801.35	4001.8
801.90	4005.2
802.45	4008.6
803.00	4012.1
803.55	4015.8
804.10	4019.1
804.65	4022.7
805.20	4026.2
805.75	4029.5
806.30	4033.1
806.85	4036.5
807.40	4039.9
807.95	4043.2
808.50	4046.5
809.05	4049.9
809.60	4053.4
810.15	4057
810.70	4060.4
811.25	4063.8
811.80	4067.6
812.35	4071.3
812.90	4074.9
813.45	4078.2
814.00	4081.6
814.55	4085
815.10	4088.3
815.65	4091.8
816.20	4095.3
816.75	4098.6
817.30	4101.9
817.85	4105.6
818.40	4109.1
818.95	4112.3
819.50	4115.9
820.05	4119.9
820.60	4123.3
821.15	4126.7
821.70	4130.1
822.25	4133.6
822.80	4137.5
823.35	4141.3
823.90	4144.9
824.45	4148.4
825.00	4151.8
825.55	4155.3
826.10	4159
826.65	4162.5
827.20	4166.2
827.75	4169.9
828.30	4173.4
828.85	4177.1
829.40	4180.5
829.95	4184.2
830.50	4187.7
831.05	4191.5
831.60	4194.9
832.15	4198.2
832.70	4201.9
833.25	4205.4
833.80	4208.7
834.35	4212.3
834.90	4215.9
835.45	4219.2
836.00	4223.1
836.55	4226.6
837.10	4230.1
837.65	4233.7
838.20	4237.2
838.75	4240.8
839.30	4244.5
839.85	4248.1
840.40	4251.7
840.95	4255
841.50	4258.5
842.05	4262
842.60	4265.5
843.15	4269.6
843.70	4273.3
844.25	4276.8
844.80	4280.3
845.35	4284.2
845.90	4287.8
846.45	4291.5
847.00	4295.3
847.55	4298.8
848.10	4302.3
848.65	4305.9
849.20	4309.4
849.75	4312.9
850.30	4316.4
850.85	4320
851.40	4323.7
851.95	4327.2
852.50	4330.7
853.05	4334.4
853.60	4337.8
854.15	4341.6
854.70	4345.1
855.25	4349.2
855.80	4352.9
856.35	4356.4
856.90	4359.9
857.45	4363.8
858.00	4367.5
858.55	4371
859.10	4375
859.65	4378.3
860.20	4381.8
860.75	4385.2
861.30	4388.6
861.85	4392
862.40	4395.7
862.95	4399.4
863.50	4403
864.05	4406.7
864.60	4410.8
865.15	4414.3
865.70	4417.6
866.25	4421.2
866.80	4424.7
867.35	4428.2
867.90	4431.7
868.45	4435.2
869.00	4439
869.55	4443.1
870.10	4446.8
870.65	4450.3
871.20	4454.1
871.75	4458.1
872.30	4461.7
872.85	4465.1
873.40	4468.9
873.95	4472.4
874.50	4476.3
875.05	4480.1
875.60	4483.7
876.15	4487.3
876.70	4491
877.25	4494.7
877.80	4498.1
878.35	4501.8
878.90	4505.6
879.45	4509.2
880.00	4513
880.55	4516.9
881.10	4520.4
881.65	4524
882.20	4527.7
882.75	4531.5
883.30	4535.3
883.85	4538.8
884.40	4542.2
884.95	4546.1
885.50	4550
886.05	4553.5
886.60	4557.1
887.15	4560.8
887.70	4564.2
888.25	4567.9
888.80	4571.6
889.35	4575.5
889.90	4579.3
890.45	4583.1
891.00	4587.1
891.55	4590.9
892.10	4594.5
892.65	4598.6
893.20	4602.3
893.75	4605.9
894.30	4609.6
894.85	4613.3
895.40	4616.9
895.95	4620.7
896.50	4624.8
897.05	4629.4
897.60	4632.9
898.15	4636.4
898.70	4640.1
899.25	4643.6
899.80	4647.2
900.35	4650.9
900.90	4654.4
901.45	4658.1
902.00	4661.8
902.55	4665.4
903.10	4669.3
903.65	4673.1
904.20	4676.8
904.75	4681.1
905.30	4684.8
905.85	4688.5
906.40	4692.2
906.95	4695.7
907.50	4699.6
908.05	4704
908.60	4707.8
909.15	4711.9
909.70	4715.6
910.25	4719.4
910.80	4723.3
911.35	4727.3
911.90	4731.3
912.45	4735
913.00	4738.7
913.55	4742.8
914.10	4746.7
914.65	4750.2
915.20	4753.9
915.75	4757.7
916.30	4761.4
916.85	4765.3
917.40	4769
917.95	4772.5
918.50	4776.2
919.05	4780.4
919.60	4784.1
920.15	4788
920.70	4791.8
921.25	4795.7
921.80	4800.1
922.35	4803.8
922.90	4807.4
923.45	4811.2
924.00	4815
924.55	4818.6
925.10	4822.2
925.65	4826.1
926.20	4830.1
926.75	4833.8
927.30	4837.4
927.85	4841.2
928.40	4844.9
928.95	4848.6
929.50	4852.4
930.05	4856.3
930.60	4860.1
931.15	4863.9
931.70	4867.5
932.25	4871.2
932.80	4875.2
933.35	4879
933.90	4883
934.45	4886.9
935.00	4890.9
935.55	4894.7
936.10	4898.3
936.65	4902.2
937.20	4905.8
937.75	4909.5
938.30	4913.1
938.85	4916.9
939.40	4920.6
939.95	4924.6
940.50	4928.6
941.05	4932.5
941.60	4936.4
942.15	4940.1
942.70	4943.6
943.25	4947.3
943.80	4951.2
944.35	4954.9
944.90	4958.8
945.45	4962.7
946.00	4966.7
946.55	4970.3
947.10	4974.6
947.65	4978.3
948.20	4982.2
948.75	4985.8
949.30	4989.5
949.85	4993.4
950.40	4997.4
950.95	5001.2
951.50	5004.9
952.05	5008.6
952.60	5012.2
953.15	5015.9
953.70	5019.5
954.25	5023.2
954.80	5027.3
955.35	5031.5
955.90	5035.4
956.45	5039.2
957.00	5043.1
957.55	5047.1
958.10	5050.7
958.65	5054.4
959.20	5058.1
959.75	5061.9
960.30	5065.8
960.85	5069.7
961.40	5073.8
961.95	5077.9
962.50	5081.6
963.05	5085.3
963.60	5089.2
964.15	5093.2
964.70	5097.2
965.25	5101.2
965.80	5105.4
966.35	5109.8
966.90	5113.4
967.45	5117.4
968.00	5121.3
968.55	5124.9
969.10	5128.8
969.65	5132.4
970.20	5136.2
970.75	5140.4
971.30	5144.4
971.85	5148.2
972.40	5151.9
972.95	5155.8
973.50	5159.8
974.05	5163.5
974.60	5167.3
975.15	5171.3
975.70	5175.4
976.25	5179.6
976.80	5183.5
977.35	5187.6
977.90	5191.5
978.45	5195.4
979.00	5199.7
979.55	5203.4
980.10	5207.1
980.65	5211.4
981.20	5215.3
981.75	5219.4
982.30	5223.2
982.85	5227.2
983.40	5231
983.95	5235
984.50	5239.3
985.05	5243.2
985.60	5247.4
986.15	5251.5
986.70	5255.8
987.25	5259.9
987.80	5263.6
988.35	5267.7
988.90	5271.6
989.45	5276
990.00	5280
990.55	5284
991.10	5288.1
991.65	5291.9
992.20	5295.9
992.75	5299.8
993.30	5303.9
993.85	5307.9
994.40	5311.8
994.95	5316.1
995.50	5319.8
996.05	5323.6
996.60	5327.5
997.15	5331.6
997.70	5336.2
998.25	5340.3
998.80	5344.2
999.35	5348.4
999.90	5352.4
1000.45	5356.6
1001.00	5360.6
1001.55	5364.7
1002.10	5368.3
1002.65	5372
1003.20	5376.1
1003.75	5379.8
1004.30	5383.8
1004.85	5387.9
1005.40	5392
1005.95	5396.4
1006.50	5400.5
1007.05	5404.5
1007.60	5408.4
1008.15	5412.8
1008.70	5416.8
1009.25	5420.7
1009.80	5424.6
1010.35	5428.7
1010.90	5432.8
1011.45	5436.9
1012.00	5440.8
1012.55	5444.7
1013.10	5448.7
1013.65	5452.6
1014.20	5456.5
1014.75	5460.5
1015.30	5464.8
1015.85	5469.2
1016.40	5473.2
1016.95	5477.1
1017.50	5481.1
1018.05	5485
1018.60	5489
1019.15	5493.2
1019.70	5497.3
1020.25	5501.5
1020.80	5505.7
1021.35	5509.5
1021.90	5513.7
1022.45	5517.9
1023.00	5521.9
1023.55	5526
1024.10	5530
1024.65	5534.1
1025.20	5538
1025.75	5541.9
1026.30	5545.6
1026.85	5549.5
1027.40	5553.5
1027.95	5557.8
1028.50	5562.2
1029.05	5566.4
1029.60	5570.6
1030.15	5574.4
1030.70	5578.4
1031.25	5582.2
1031.80	5586.2
1032.35	5590.4
1032.90	5594.4
1033.45	5598.7
1034.00	5602.6
1034.55	5606.7
1035.10	5610.6
1035.65	5614.9
1036.20	5618.9
1036.75	5622.7
1037.30	5627.1
1037.85	5631.2
1038.40	5635.7
1038.95	5639.5
1039.50	5643.4
1040.05	5647.3
1040.60	5651.3
1041.15	5655.2
1041.70	5659.7
1042.25	5663.8
1042.80	5668.1
1043.35	5672.1
1043.90	5676.2
1044.45	5680.1
1045.00	5684.5
1045.55	5688.5
1046.10	5692.6
1046.65	5696.4
1047.20	5700.8
1047.75	5705.2
1048.30	5709.4
1048.85	5713.4
1049.40	5717.4
1049.95	5721.5
1050.50	5725.6
1051.05	5729.9
1051.60	5733.9
1052.15	5737.9
1052.70	5742
1053.25	5745.9
1053.80	5749.9
1054.35	5754
1054.90	5757.9
1055.45	5761.7
1056.00	5765.8
1056.55	5769.9
1057.10	5775.1
1057.65	5779.2
1058.20	5783.4
1058.75	5787.9
1059.30	5792.3
1059.85	5796.4
1060.40	5800.9
1060.95	5805.1
1061.50	5809.2
1062.05	5813.5
1062.60	5817.5
1063.15	5821.5
1063.70	5825.4
1064.25	5829.9
1064.80	5834
1065.35	5838
1065.90	5842.3
1066.45	5846.4
1067.00	5850.4
1067.55	5854.3
1068.10	5858.3
1068.65	5862.6
1069.20	5867
1069.75	5871.1
1070.30	5875.2
1070.85	5879.3
1071.40	5883.8
1071.95	5887.8
1072.50	5891.8
1073.05	5896
1073.60	5899.9
1074.15	5904.4
1074.70	5908.5
1075.25	5912.9
1075.80	5917.1
1076.35	5921.4
1076.90	5925.4
1077.45	5929.3
1078.00	5934.5
1078.55	5938.9
1079.10	5943.1
1079.65	5947.3
1080.20	5951.8
1080.75	5956
1081.30	5960.4
1081.85	5964.7
1082.40	5969
1082.95	5973.6
1083.50	5978.1
1084.05	5982.6
1084.60	5986.7
1085.15	5991
1085.70	5995.4
1086.25	5999.7
1086.80	6003.7
1087.35	6007.7
1087.90	6012.1
1088.45	6016.4
1089.00	6021
1089.55	6025.3
1090.10	6029.8
1090.65	6034
1091.20	6038.3
1091.75	6042.4
1092.30	6047
1092.85	6051.2
1093.40	6055.5
1093.95	6059.7
1094.50	6063.9
1095.05	6068.4
1095.60	6072.4
1096.15	6076.7
1096.70	6081
1097.25	6085.6
1097.80	6089.8
1098.35	6093.8
1098.90	6098.2
1099.45	6102.9
1100.00	6107.1
1100.55	6111.2
1101.10	6115.4
1101.65	6119.6
1102.20	6123.7
1102.75	6127.9
1103.30	6132
1103.85	6136.6
1104.40	6141
1104.95	6145.4
1105.50	6150.1
1106.05	6154.8
1106.60	6159.3
1107.15	6163.6
1107.70	6167.9
1108.25	6172.1
1108.80	6176.7
1109.35	6181
1109.90	6185.6
1110.45	6189.7
1111.00	6194
1111.55	6198.2
1112.10	6202.4
1112.65	6206.4
1113.20	6210.8
1113.75	6215
1114.30	6219.4
1114.85	6223.8
1115.40	6228.2
1115.95	6232.8
1116.50	6237.2
1117.05	6241.6
1117.60	6246
1118.15	6250.5
1118.70	6255
1119.25	6259.1
1119.80	6263.3
1120.35	6267.6
1120.90	6271.9
1121.45	6276.7
1122.00	6280.9
1122.55	6285.2
1123.10	6289.7
1123.65	6294
1124.20	6298.9
1124.75	6303.1
1125.30	6307.8
1125.85	6312.2
1126.40	6316.4
1126.95	6320.8
1127.50	6325
1128.05	6329.3
1128.60	6333.6
1129.15	6338.2
1129.70	6342.7
1130.25	6347.3
1130.80	6351.9
1131.35	6356.3
1131.90	6360.6
1132.45	6364.9
1133.00	6368.9
1133.55	6373.8
1134.10	6378.2
1134.65	6382.6
1135.20	6387.1
1135.75	6391.9
1136.30	6396.3
1136.85	6400.8
1137.40	6405.1
1137.95	6409.6
1138.50	6414.3
1139.05	6418.8
1139.60	6423.1
1140.15	6427.6
1140.70	6431.9
1141.25	6436.3
1141.80	6440.7
1142.35	6445.3
1142.90	6449.6
1143.45	6454
1144.00	6459.1
1144.55	6463.5
1145.10	6468.4
1145.65	6472.6
1146.20	6477
1146.75	6481.4
1147.30	6485.8
1147.85	6490.2
1148.40	6494.9
1148.95	6499.3
1149.50	6503.8
1150.05	6508.1
1150.60	6512.6
1151.15	6516.9
1151.70	6521.5
1152.25	6525.9
1152.80	6530.4
1153.35	6534.9
1153.90	6539.7
1154.45	6544.1
1155.00	6548.6
1155.55	6553
1156.10	6557.5
1156.65	6561.9
1157.20	6566.6
1157.75	6571.1
1158.30	6575.5
1158.85	6579.9
1159.40	6584.5
1159.95	6589
1160.50	6593.5
1161.05	6598
1161.60	6602.3
1162.15	6607
1162.70	6612
1163.25	6616.6
1163.80	6621.1
1164.35	6625.4
1164.90	6630.1
1165.45	6634.6
1166.00	6639.1
1166.55	6644
1167.10	6648.2
1167.65	6652.7
1168.20	6657.2
1168.75	6661.7
1169.30	6666.2
1169.85	6670.9
1170.40	6675.3
1170.95	6679.8
1171.50	6684.1
1172.05	6688.4
1172.60	6692.7
1173.15	6697.2
1173.70	6701.6
1174.25	6706.3
1174.80	6710.9
1175.35	6715.7
1175.90	6720.3
1176.45	6724.7
1177.00	6729.1
1177.55	6733.4
1178.10	6737.7
1178.65	6742.1
1179.20	6746.8
1179.75	6751.5
1180.30	6756
1180.85	6761.1
1181.40	6765.6
1181.95	6770.1
1182.50	6774.6
1183.05	6779.3
1183.60	6784.1
1184.15	6788.9
1184.70	6793.5
1185.25	6798
1185.80	6802.6
1186.35	6807.4
1186.90	6812.2
1187.45	6816.8
1188.00	6821.2
1188.55	6825.7
1189.10	6830.7
1189.65	6835.5
1190.20	6839.9
1190.75	6844.2
1191.30	6849.1
1191.85	6853.7
1192.40	6858.1
1192.95	6862.4
1193.50	6867.1
1194.05	6872
1194.60	6876.6
1195.15	6881.2
1195.70	6885.7
1196.25	6890
1196.80	6894.5
1197.35	6899.1
1197.90	6903.8
1198.45	6908.7
1199.00	6913.5
1199.55	6917.9
1200.10	6922.5
1200.65	6927.4
1201.20	6932
1201.75	6936.8
1202.30	6941.4
1202.85	6945.8
1203.40	6950.4
1203.95	6955
1204.50	6959.4
1205.05	6964.2
1205.60	6969.1
1206.15	6973.7
1206.70	6978.8
1207.25	6983.3
1207.80	6988.2
1208.35	6992.8
1208.90	6997.4
1209.45	7002
1210.00	7006.5
1210.55	7011.3
1211.10	7015.9
1211.65	7020.7
1212.20	7025.1
1212.75	7029.9
1213.30	7034.6
1213.85	7039.9
1214.40	7044.6
1214.95	7049.1
1215.50	7054.1
1216.05	7059.2
1216.60	7064.3
1217.15	7069.1
1217.70	7074.3
1218.25	7078.8
1218.80	7083.6
1219.35	7088.1
1219.90	7092.5
1220.45	7097.1
1221.00	7101.7
1221.55	7106.4
1222.10	7111
1222.65	7115.9
1223.20	7121
1223.75	7125.8
1224.30	7130.5
1224.85	7135.2
1225.40	7139.8
1225.95	7144.2
1226.50	7149.1
1227.05	7153.8
1227.60	7158.7
1228.15	7163.4
1228.70	7167.9
1229.25	7172.6
1229.80	7177.4
1230.35	7182.2
1230.90	7186.8
1231.45	7191.3
1232.00	7196
1232.55	7200.6
1233.10	7205.3
1233.65	7209.7
1234.20	7214.5
1234.75	7219.2
1235.30	7223.7
1235.85	7228.3
1236.40	7232.8
1236.95	7237.7
1237.50	7242.7
1238.05	7247.5
1238.60	7252.3
1239.15	7257.3
1239.70	7262.1
1240.25	7266.7
1240.80	7271.5
1241.35	7276.1
1241.90	7280.7
1242.45	7285.2
1243.00	7290.1
1243.55	7295
1244.10	7299.6
1244.65	7304.2
1245.20	7309.1
1245.75	7313.7
1246.30	7318.7
1246.85	7323.5
1247.40	7328.3
1247.95	7332.9
1248.50	7337.6
1249.05	7342.5
1249.60	7347.1
1250.15	7351.8
1250.70	7356.6
1251.25	7361.5
1251.80	7366.3
1252.35	7371.3
1252.90	7375.9
1253.45	7380.9
1254.00	7385.6
1254.55	7390.6
1255.10	7395.3
1255.65	7400
1256.20	7404.9
1256.75	7409.8
1257.30	7414.8
1257.85	7419.5
1258.40	7424.1
1258.95	7429.2
1259.50	7434
1260.05	7439
1260.60	7444
1261.15	7448.7
1261.70	7453.4
1262.25	7458.4
1262.80	7463.3
1263.35	7468.1
1263.90	7472.9
1264.45	7477.9
1265.00	7482.9
1265.55	7487.7
1266.10	7492.3
1266.65	7496.9
1267.20	7501.9
1267.75	7506.7
1268.30	7511.5
1268.85	7516.2
1269.40	7521.3
1269.95	7526.4
1270.50	7531.5
1271.05	7536.3
1271.60	7541.1
1272.15	7546.2
1272.70	7550.9
1273.25	7555.8
1273.80	7561.2
1274.35	7566.3
1274.90	7571.2
1275.45	7576.2
1276.00	7581.3
1276.55	7586.1
1277.10	7591.1
1277.65	7596
1278.20	7601
1278.75	7606.1
1279.30	7610.8
1279.85	7615.8
1280.40	7620.5
1280.95	7625.3
1281.50	7630
1282.05	7634.6
1282.60	7639.5
1283.15	7644.3
1283.70	7649.4
1284.25	7654.6
1284.80	7659.2
1285.35	7664.1
1285.90	7669
1286.45	7674
1287.00	7678.8
1287.55	7683.6
1288.10	7688.7
1288.65	7693.9
1289.20	7698.9
1289.75	7704.3
1290.30	7709
1290.85	7713.7
1291.40	7718.5
1291.95	7723.5
1292.50	7728.5
1293.05	7733.4
1293.60	7738.7
1294.15	7743.5
1294.70	7748.2
1295.25	7753.1
1295.80	7758.1
1296.35	7763
1296.90	7767.8
1297.45	7772.9
1298.00	7777.7
1298.55	7782.7
1299.10	7788.2
1299.65	7793.2
1300.20	7797.9
1300.75	7803.2
1301.30	7808.4
1301.85	7813.8
1302.40	7818.7
1302.95	7824.2
1303.50	7829.2
1304.05	7834.1
1304.60	7839.3
1305.15	7844.1
1305.70	7849.3
1306.25	7854.4
1306.80	7859.5
1307.35	7864.4
1307.90	7869.5
1308.45	7875
1309.00	7880
1309.55	7885.1
1310.10	7889.9
1310.65	7894.8
1311.20	7899.9
1311.75	7904.8
1312.30	7909.7
1312.85	7914.9
1313.40	7919.8
1313.95	7925
1314.50	7930.2
1315.05	7935.3
1315.60	7940.7
1316.15	7946.1
1316.70	7951.2
1317.25	7956.4
1317.80	7961.6
1318.35	7966.9
1318.90	7972.9
1319.45	7977.9
1320.00	7983
1320.55	7988.8
1321.10	7994.5
1321.65	7999.8
1322.20	8004.9
1322.75	8009.9
1323.30	8015
1323.85	8020.4
1324.40	8025.4
1324.95	8030.8
1325.50	8036.5
1326.05	8041.9
1326.60	8047.5
1327.15	8053.2
1327.70	8059.1
1328.25	8064.8
1328.80	8070.5
1329.35	8075.4
1329.90	8080.3
1330.45	8086.4
1331.00	8092
1331.55	8098.2
1332.10	8103.7
1332.65	8109.3
1333.20	8114.9
1333.75	8120.4
1334.30	8126.5
1334.85	8133.8
1335.40	8139.7
1335.95	8145.6
1336.50	8151.3
1337.05	8157
1337.60	8162.1
1338.15	8167.4
1338.70	8173.5
1339.25	8178.8
1339.80	8184
1340.35	8189.1
1340.90	8194.2
1341.45	8199.5
1342.00	8204.7
1342.55	8210.2
1343.10	8215.9
1343.65	8221
1344.20	8226.2
1344.75	8231.4
1345.30	8236.9
1345.85	8242.2
1346.40	8247.3
1346.95	8252.8
1347.50	8258.4
1348.05	8263.6
1348.60	8269.1
1349.15	8274.7
1349.70	8279.7
1350.25	8284.7
1350.80	8290.1
1351.35	8295.4
1351.90	8300.6
1352.45	8306.1
1353.00	8311.7
1353.55	8317.2
1354.10	8323
1354.65	8328.3
1355.20	8333.6
1355.75	8338.9
1356.30	8344
1356.85	8349.4
1357.40	8354.7
1357.95	8360.5
1358.50	8366.3
1359.05	8371.6
1359.60	8377.2
1360.15	8382.6
1360.70	8387.5
1361.25	8392.6
1361.80	8398
1362.35	8403.4
1362.90	8408.9
1363.45	8414.7
1364.00	8420
1364.55	8425.2
1365.10	8430.6
1365.65	8436.1
1366.20	8441.6
1366.75	8447
1367.30	8452
1367.85	8457.5
1368.40	8463.2
1368.95	8468.6
1369.50	8473.7
1370.05	8479.1
1370.60	8484.6
1371.15	8489.8
1371.70	8495.6
1372.25	8501
1372.80	8506
1373.35	8511.2
1373.90	8516.6
1374.45	8522.5
1375.00	8527.9
1375.55	8533.2
1376.10	8539.2
1376.65	8544.7
1377.20	8550.3
1377.75	8555.6
1378.30	8561.3
1378.85	8567.5
1379.40	8572.9
1379.95	8578.5
1380.50	8584.3
1381.05	8589.9
1381.60	8595.5
1382.15	8600.8
1382.70	8606.2
1383.25	8611.5
1383.80	8617.6
1384.35	8623.4
1384.90	8629.3
1385.45	8634.5
1386.00	8639.7
1386.55	8645.2
1387.10	8650.9
1387.65	8656.1
1388.20	8661.7
1388.75	8667.3
1389.30	8672.5
1389.85	8678.1
1390.40	8683.5
1390.95	8689.3
1391.50	8694.6
1392.05	8700.7
1392.60	8706.4
1393.15	8712.1
1393.70	8717.6
1394.25	8723.1
1394.80	8728.5
1395.35	8733.6
1395.90	8739.1
1396.45	8745.1
1397.00	8751.1
1397.55	8757
1398.10	8762.4
1398.65	8768
1399.20	8773.4
1399.75	8778.9
1400.30	8784.9
1400.85	8790.1
1401.40	8795.4
1401.95	8801
1402.50	8806.3
1403.05	8811.7
1403.60	8817.1
1404.15	8822.6
1404.70	8828.2
1405.25	8833.4
1405.80	8838.7
1406.35	8844.1
1406.90	8849.6
1407.45	8855.1
1408.00	8860.7
1408.55	8866.3
1409.10	8871.5
1409.65	8876.8
1410.20	8882.8
1410.75	8888.3
1411.30	8894.1
1411.85	8899.7
1412.40	8905.3
1412.95	8910.7
1413.50	8916.4
1414.05	8922.5
1414.60	8928.4
1415.15	8934
1415.70	8939.7
1416.25	8945.6
1416.80	8951.2
1417.35	8957.1
1417.90	8962.5
1418.45	8968.6
1419.00	8974.2
1419.55	8979.8
1420.10	8985.8
1420.65	8991.2
1421.20	8997
1421.75	9002.6
1422.30	9009.1
1422.85	9014.7
1423.40	9020
1423.95	9025.3
1424.50	9030.6
1425.05	9036
1425.60	9041.6
1426.15	9047.4
1426.70	9053
1427.25	9058.8
1427.80	9064.3
1428.35	9069.8
1428.90	9075.2
1429.45	9081
1430.00	9086.8
1430.55	9092.4
1431.10	9098.5
1431.65	9104.2
1432.20	9109.9
1432.75	9115.6
1433.30	9121.5
1433.85	9127.3
1434.40	9133.1
1434.95	9139
1435.50	9144.6
1436.05	9150.8
1436.60	9157.1
1437.15	9163.7
1437.70	9169.9
1438.25	9175.9
1438.80	9181.8
1439.35	9187.5
1439.90	9193.2
1440.45	9198.8
1441.00	9204.6
1441.55	9210.8
1442.10	9216.7
1442.65	9222.1
1443.20	9227.8
1443.75	9233.6
1444.30	9239.4
1444.85	9245.1
1445.40	9250.7
1445.95	9257
1446.50	9263.1
1447.05	9268.7
1447.60	9274.2
1448.15	9279.8
1448.70	9285.6
1449.25	9291.3
1449.80	9296.9
1450.35	9302.8
1450.90	9308.6
1451.45	9314.2
1452.00	9320.3
1452.55	9326
1453.10	9331.9
1453.65	9337.7
1454.20	9343.3
1454.75	9349.1
1455.30	9354.7
1455.85	9360.5
1456.40	9366.2
1456.95	9372.7
1457.50	9378.4
1458.05	9384.2
1458.60	9389.6
1459.15	9395.6
1459.70	9401.5
1460.25	9407.5
1460.80	9413.4
1461.35	9419.5
1461.90	9425.2
1462.45	9431.3
1463.00	9437.6
1463.55	9444.3
1464.10	9450.5
1464.65	9456.5
1465.20	9462.2
1465.75	9468.1
1466.30	9474.2
1466.85	9479.9
1467.40	9485.8
1467.95	9491.7
1468.50	9497.7
1469.05	9503.8
1469.60	9509.6
1470.15	9515.8
1470.70	9521.8
1471.25	9527.8
1471.80	9533.9
1472.35	9539.9
1472.90	9546.3
1473.45	9552.4
1474.00	9558.1
1474.55	9563.8
1475.10	9569.4
1475.65	9575.1
1476.20	9581.1
1476.75	9587.3
1477.30	9593.7
1477.85	9599.5
1478.40	9605.5
1478.95	9611.6
1479.50	9617.6
1480.05	9623.7
1480.60	9629.8
1481.15	9635.9
1481.70	9642
1482.25	9648.3
1482.80	9654.1
1483.35	9660.7
1483.90	9666.9
1484.45	9673.3
1485.00	9679.4
1485.55	9685.8
1486.10	9691.7
1486.65	9697.4
1487.20	9703.5
1487.75	9709.6
1488.30	9715.7
1488.85	9722
1489.40	9728.3
1489.95	9734.4
