GISP2 Laser Light Scattering 1 meter and 1/2 meter averages

REFERENCES: 

Ram, M., and G. Koenig. 1997. Continuous dust concentration profile of pre
Holocene ice from the Greenland Ice Sheet Project 2 ice core: Dust
stadials, interstadials, and the Eemian. Journal of Geophysical Research
102:26641-26648.

Ram, M., M. Illing, P. Weber, G. Koenig, and M. Kaplan. 1995. Polar ice
stratigraphy from laser-light scattering: Scattering from ice. Geophysical
Research Letters 22:3525-3527.

Ram, M., and M. Illing. 1994. Polar ice stratigraphy from laser-light
scattering: scattering from meltwater. Journal of Glaciology 40:504-508.

DATA DESCRIPTION: 

These data are a compilation of the detailed solid ice laser light
scattering (LLS) files.  They are essentially 1 meter averages (every 500
data points of the LLS files averaged) above 2100 meters and 1/2 meter
averages below 2100 meters. There are several gaps in the data throughout
the record.  See the file lightinfo.txt for more information. 

DATA:

Depth	LLS	Age
Top (m)	relative intensity	(yr BP 1950)

2003.30	278.9	24445
2004.00	223.6	24493
2004.80	306.2	24541
2005.50	266.3	24584
2006.30	329.4	24633
2007.10	399.6	24683
2007.80	451.3	24729
2008.60	410.4	24779
2009.30	407.9	24824
2010.10	413.7	24879
2010.90	401.2	24931
2011.60	265.6	24975
2012.40	330.9	25024
2013.10	439.9	25068
2013.90	429.6	25120
2014.60	539.2	25165
2015.40	628.8	25217
2016.10	681.1	25263
2016.90	764.9	25316
2017.70	767.5	25369
2018.40	860.2	25416
2019.20	824.3	25471
2019.90	932.4	25518
2020.70	973.6	25572
2021.40	1137.1	25620
2022.20	1483.8	25675
2023.00	836.1	25728
2023.70	843.3	25774
2024.50	930.1	25828
2025.20	458.4	25877
2026.00	348.7	25935
2026.70	343.3	25984
2027.50	325.3	26039
2028.20	265.0	26085
2029.00	241.7	26137
2029.80	234.7	26191
2030.50	264.4	26238
2031.30	201.7	26291
2032.00	292.7	26336
2032.80	314.2	26393
2033.60	306.5	26448
2034.30	288.4	26496
2035.10	297.8	26551
2035.80	231.2	26596
2036.60	242.1	26647
2037.30	317.8	26689
2038.10	348.7	26736
2038.80	343.2	26780
2039.60	254.1	26830
2040.40	288.5	26880
2041.20	328.8	26930
2041.90	226.6	26974
2042.70	221.7	27027
2043.40	205.1	27071
2044.20	206.1	27119
2044.90	250.3	27163
2045.70	235.8	27218
2046.50	260.2	27274
2047.20	259.5	27323
2048.00	211.0	27381
2048.80	198.9	27437
2049.60	93.9	27493
2050.30	77.3	27538
2051.10	64.8	27582
2051.80	69.8	27622
2052.60	82.4	27662
