Laser	Light	Scattering	(SOLID)
Depth	Average
1850.910	206
1850.912	289
1850.914	405
1850.916	398
1850.918	410
1850.920	419
1850.922	515
1850.924	738
1850.926	748
1850.928	718
1850.930	753
1850.932	484
1850.934	264
1850.936	134
1850.938	130
1850.940	114
1850.942	144
1850.944	171
1850.946	169
1850.948	163
1850.950	291
1850.952	355
1850.954	226
1850.956	616
1850.958	589
1850.960	331
1850.962	302
1850.964	246
1850.966	166
1850.968	232
1850.970	422
1850.972	359
1850.974	262
1850.976	233
1850.978	243
1850.980	269
1850.982	319
1850.984	257
1850.986	150
1850.988	129
1850.990	163
1850.992	255
1850.994	385
1850.996	328
1851.002	688
1851.004	458
1851.006	465
1851.008	226
1851.010	212
1851.012	160
1851.014	153
1851.016	139
1851.018	109
1851.020	96
1851.022	90
1851.024	158
1851.026	212
1851.028	193
1851.030	337
1851.032	407
1851.034	325
1851.036	297
1851.038	286
1851.040	245
1851.042	223
1851.044	156
1851.046	265
1851.048	500
1851.050	351
1851.052	356
1851.054	882
1851.056	847
1851.058	255
1851.060	138
1851.062	116
1851.064	129
1851.066	166
1851.068	279
1851.070	396
1851.072	435
1851.074	501
1851.076	332
1851.078	363
1851.080	396
1851.082	401
1851.084	388
1851.086	377
1851.088	361
1851.090	306
1851.092	362
1851.094	278
1851.096	150
1851.098	135
1851.100	121
1851.102	122
1851.104	128
1851.106	188
1851.108	593
1851.110	506
1851.112	516
1851.114	411
1851.116	341
1851.118	356
1851.120	337
1851.122	281
1851.124	404
1851.126	679
1851.128	753
1851.130	610
1851.132	408
1851.134	286
1851.136	466
1851.138	660
1851.140	736
1851.142	567
1851.144	478
1851.146	473
1851.148	459
1851.150	405
1851.152	306
1851.154	195
1851.156	150
1851.158	196
1851.160	410
1851.162	503
1851.164	379
1851.166	231
1851.168	200
1851.170	240
1851.172	276
1851.174	262
1851.176	205
1851.178	150
1851.180	207
1851.182	224
1851.184	201
1851.186	223
1851.188	203
1851.190	205
1851.192	194
1851.194	200
1851.196	243
1851.198	256
1851.200	205
1851.202	146
1851.204	221
1851.206	334
1851.208	312
1851.210	336
1851.212	948
1851.214	524
1851.216	253
1851.218	274
1851.220	313
1851.222	337
1851.224	335
1851.226	194
1851.228	138
1851.230	138
1851.232	148
1851.234	184
1851.236	214
1851.238	237
1851.240	330
1851.242	608
1851.244	646
1851.246	420
1851.248	234
1851.250	456
1851.252	452
1851.254	276
1851.256	276
1851.258	356
1851.260	391
1851.262	412
1851.264	443
1851.266	335
1851.268	224
1851.270	173
1851.272	171
1851.274	197
1851.276	157
1851.278	196
1851.280	244
1851.282	294
1851.284	309
1851.286	279
1851.288	326
1851.290	389
1851.292	416
1851.294	438
1851.296	486
1851.298	429
1851.300	233
1851.302	235
1851.304	282
1851.306	276
1851.308	255
1851.310	272
1851.312	307
1851.314	275
1851.316	176
1851.318	219
1851.320	304
1851.322	372
1851.324	370
1851.326	379
1851.328	393
1851.330	422
1851.332	441
1851.334	440
1851.336	444
1851.338	467
1851.340	479
1851.342	933
1851.344	1114
1851.346	930
1851.348	495
1851.350	332
1851.352	301
1851.354	329
1851.356	374
1851.358	292
1851.360	195
1851.362	216
1851.364	339
1851.366	552
1851.368	654
1851.370	454
1851.372	309
1851.374	192
1851.376	186
1851.378	289
1851.380	290
1851.382	312
1851.384	288
1851.386	340
1851.388	338
1851.390	319
1851.392	363
1851.394	343
1851.396	542
1851.398	967
1851.400	1145
1851.402	1147
1851.404	746
1851.406	985
1851.408	1145
1851.410	1146
1851.412	1146
1851.414	975
1851.416	649
1851.418	367
1851.420	364
1851.422	499
1851.424	424
1851.426	438
1851.428	591
1851.430	475
1851.432	218
1851.434	139
1851.436	136
1851.438	139
1851.440	138
1851.442	152
1851.444	170
1851.446	159
1851.448	176
1851.450	164
1851.452	141
1851.454	175
1851.456	147
1851.458	202
1851.460	349
1851.462	381
1851.464	502
1851.466	337
1851.468	194
1851.470	183
1851.472	192
1851.474	197
1851.476	210
1851.478	201
1851.480	233
1851.482	257
1851.484	291
1851.486	341
1851.488	342
1851.490	304
1851.492	237
1851.494	274
1851.496	419
1851.502	374
1851.504	258
1851.506	132
1851.508	160
1851.510	217
1851.512	213
1851.514	207
1851.516	182
1851.518	149
1851.520	164
1851.522	126
1851.524	106
1851.526	98
1851.528	88
1851.530	91
1851.532	103
1851.534	118
1851.536	178
1851.538	239
1851.540	369
1851.542	570
1851.544	560
1851.546	286
1851.548	251
1851.550	407
1851.552	442
1851.554	410
1851.556	388
1851.558	256
1851.560	296
1851.562	364
1851.564	406
1851.566	478
1851.568	631
1851.570	445
1851.572	359
1851.574	301
1851.576	340
1851.578	395
1851.580	496
