Laser	Light	Scattering	(SOLID)
Depth	Average
2200.002	116
2200.003	69
2200.005	94
2200.006	120
2200.008	132
2200.010	99
2200.011	62
2200.012	58
2200.014	42
2200.015	52
2200.017	48
2200.019	83
2200.020	66
2200.021	72
2200.023	107
2200.024	79
2200.026	59
2200.027	57
2200.029	70
2200.031	79
2200.032	69
2200.033	57
2200.035	50
2200.036	65
2200.038	87
2200.040	70
2200.041	69
2200.042	57
2200.044	69
2200.045	59
2200.047	45
2200.048	58
2200.050	64
2200.052	52
2200.053	51
2200.054	38
2200.056	75
2200.057	146
2200.059	104
2200.061	56
2200.062	49
2200.063	51
2200.065	61
2200.066	55
2200.068	66
2200.069	70
2200.071	71
2200.073	52
2200.074	30
2200.075	39
2200.077	35
2200.078	46
2200.080	81
2200.082	109
2200.083	131
2200.084	111
2200.086	72
2200.087	62
2200.089	56
2200.090	52
2200.092	45
2200.094	30
2200.095	76
2200.096	62
2200.098	94
2200.099	96
2200.101	104
2200.103	104
2200.104	104
2200.105	102
2200.107	96
2200.108	88
2200.110	80
2200.112	172
2200.113	39
2200.115	32
2200.116	44
2200.117	52
2200.119	54
2200.120	42
2200.122	59
2200.124	61
2200.125	52
2200.126	57
2200.128	55
2200.129	51
2200.131	54
2200.133	45
2200.134	41
2200.135	40
2200.137	69
2200.138	102
2200.140	103
2200.141	81
2200.143	60
2200.145	68
2200.146	46
2200.147	42
2200.149	46
2200.150	41
2200.152	41
2200.154	40
2200.155	42
2200.156	155
2200.158	100
2200.159	34
2200.161	41
2200.162	32
2200.164	27
2200.166	26
2200.167	27
2200.168	31
2200.170	31
2200.171	29
2200.173	33
2200.175	28
2200.176	43
2200.177	84
2200.179	37
2200.180	28
2200.182	37
2200.183	56
2200.185	68
2200.187	126
2200.188	141
2200.189	88
2200.191	71
2200.192	60
2200.194	49
2200.196	30
2200.197	32
2200.198	31
2200.200	29
2200.201	27
2200.203	38
2200.204	33
2200.206	26
2200.208	20
2200.209	17
2200.210	25
2200.212	26
2200.213	38
2200.215	43
2200.217	49
2200.218	61
2200.219	65
2200.221	59
2200.222	56
2200.224	36
2200.225	45
2200.227	75
2200.229	78
2200.230	49
2200.231	37
2200.233	35
2200.234	66
2200.236	86
2200.238	57
2200.239	43
2200.240	48
2200.242	46
2200.243	46
2200.245	41
2200.246	43
2200.248	46
2200.250	52
2200.251	60
2200.252	78
2200.254	104
2200.255	92
2200.257	48
2200.259	41
2200.260	41
2200.261	32
2200.263	33
2200.264	26
2200.266	25
2200.267	54
2200.269	35
2200.271	68
2200.272	106
2200.273	76
2200.275	49
2200.276	54
2200.278	42
2200.280	58
2200.281	59
2200.282	54
2200.284	60
2200.285	50
2200.287	44
2200.289	34
2200.290	35
2200.292	37
2200.293	33
2200.294	41
2200.296	65
2200.297	69
2200.299	103
2200.301	140
2200.302	103
2200.303	66
2200.305	42
2200.306	70
2200.308	54
2200.310	55
2200.311	91
2200.313	85
2200.314	110
2200.315	130
2200.317	68
