Laser	Light	Scattering	(SOLID)
Depth	Average
2000.002	376
2000.003	533
2000.005	810
2000.006	738
2000.008	265
2000.009	178
2000.011	198
2000.012	219
2000.014	255
2000.016	259
2000.017	259
2000.018	285
2000.020	335
2000.021	276
2000.023	255
2000.024	322
2000.026	765
2000.027	470
2000.029	336
2000.030	820
2000.032	613
2000.033	135
2000.035	167
2000.036	338
2000.038	287
2000.039	179
2000.041	352
2000.042	626
2000.044	693
2000.045	400
2000.047	261
2000.048	244
2000.050	250
2000.052	253
2000.053	210
2000.054	202
2000.056	221
2000.057	105
2000.059	81
2000.060	88
2000.062	127
2000.063	159
2000.065	112
2000.066	123
2000.068	101
2000.069	106
2000.071	147
2000.073	127
2000.074	141
2000.075	161
2000.077	138
2000.078	145
2000.080	94
2000.081	282
2000.083	460
2000.084	190
2000.086	112
2000.087	168
2000.089	306
2000.090	288
2000.092	278
2000.094	208
2000.095	696
2000.096	890
2000.098	404
2000.099	718
2000.101	879
2000.102	991
2000.104	950
2000.105	744
2000.107	264
2000.108	155
2000.110	237
2000.111	334
2000.113	311
2000.115	150
2000.116	130
2000.117	128
2000.119	126
2000.120	227
2000.122	307
2000.123	328
2000.125	254
2000.126	275
2000.128	251
2000.129	236
2000.131	170
2000.132	156
2000.134	156
2000.135	180
2000.137	280
2000.138	490
2000.140	524
2000.141	459
2000.143	474
2000.144	348
2000.146	281
2000.147	196
2000.149	241
2000.151	211
2000.152	176
2000.153	188
2000.155	226
2000.156	220
2000.158	214
2000.159	180
2000.161	186
2000.162	234
2000.164	303
2000.165	232
2000.167	234
2000.168	254
2000.170	227
2000.172	218
2000.173	163
2000.174	162
2000.176	226
2000.177	260
2000.179	237
2000.180	230
2000.182	241
2000.183	283
2000.185	274
2000.186	307
2000.188	276
2000.189	299
2000.191	387
2000.193	688
2000.194	950
2000.195	411
2000.197	277
2000.198	292
2000.200	280
2000.201	293
2000.203	332
2000.204	175
2000.206	148
2000.207	266
2000.209	320
2000.210	313
2000.212	378
2000.214	397
2000.215	245
2000.216	197
2000.218	175
2000.219	237
2000.221	275
2000.222	261
2000.224	273
2000.225	200
2000.227	133
2000.228	127
2000.230	213
2000.231	190
2000.233	151
2000.234	111
2000.236	108
2000.237	113
2000.239	99
2000.240	90
2000.242	116
2000.243	125
2000.245	180
2000.246	251
2000.248	204
2000.250	154
2000.251	164
2000.252	268
2000.254	473
2000.255	472
2000.257	380
2000.258	362
2000.260	339
2000.261	178
2000.263	170
2000.264	124
2000.266	121
2000.267	156
2000.269	136
2000.271	127
2000.272	170
2000.273	218
2000.275	262
2000.276	278
2000.278	332
2000.279	301
2000.281	180
2000.282	182
2000.284	269
2000.285	343
2000.287	396
2000.288	590
2000.290	690
2000.292	604
2000.293	423
2000.294	274
2000.296	260
2000.297	279
2000.299	322
2000.300	348
2000.302	258
2000.303	182
2000.305	208
2000.306	246
2000.308	198
2000.309	259
2000.311	438
2000.313	562
2000.314	400
2000.315	326
2000.317	288
2000.318	228
2000.320	193
2000.321	146
2000.323	214
2000.324	324
2000.326	238
2000.327	173
2000.329	166
2000.330	71
2000.332	67
2000.333	85
2000.335	98
2000.336	98
2000.338	110
2000.339	104
2000.341	108
2000.342	160
2000.344	251
2000.345	300
2000.347	312
2000.349	312
2000.350	293
2000.351	278
2000.353	290
2000.354	369
2000.356	522
2000.357	531
2000.359	541
2000.360	538
2000.362	506
2000.363	375
2000.365	257
2000.366	255
2000.368	344
2000.370	350
2000.371	316
2000.372	312
2000.374	254
2000.375	118
2000.377	92
2000.378	86
2000.380	110
2000.381	110
2000.383	108
2000.384	101
2000.386	238
2000.387	327
2000.389	315
2000.391	301
2000.392	311
2000.393	312
2000.395	249
2000.396	388
2000.398	564
2000.399	385
2000.401	330
2000.402	315
2000.404	328
2000.405	314
2000.407	293
2000.408	316
2000.410	287
2000.411	247
2000.413	245
2000.414	246
2000.416	236
2000.417	226
2000.419	404
2000.420	548
2000.422	338
2000.423	208
2000.425	168
2000.427	170
2000.428	140
2000.429	165
2000.431	280
2000.432	480
2000.434	411
2000.435	366
2000.437	297
2000.438	263
2000.440	308
2000.441	146
2000.443	143
2000.444	331
2000.446	229
2000.448	152
2000.449	124
2000.450	209
2000.452	289
2000.453	393
2000.455	486
2000.456	536
2000.458	518
2000.459	382
2000.461	279
2000.462	234
2000.464	185
2000.465	176
2000.467	220
2000.469	366
2000.470	779
2000.471	683
2000.473	335
2000.474	390
2000.476	542
2000.477	433
2000.479	381
2000.480	907
2000.482	1151
2000.483	1150
2000.485	1150
2000.486	1150
2000.488	420
2000.490	315
2000.491	282
2000.492	503
2000.494	474
2000.495	426
2000.497	454
2000.502	314
2000.503	457
2000.505	430
2000.506	420
2000.508	415
2000.509	423
2000.511	414
2000.512	288
2000.514	154
2000.516	197
2000.517	329
2000.518	474
2000.520	226
2000.521	137
2000.523	158
2000.524	210
2000.526	927
2000.527	158
2000.529	149
2000.530	101
2000.532	121
2000.533	158
2000.535	279
2000.536	411
2000.538	459
2000.539	452
2000.541	425
2000.542	494
2000.544	468
2000.545	471
2000.547	423
2000.548	430
2000.550	399
2000.552	462
2000.553	744
2000.554	1149
2000.556	1148
2000.557	524
2000.559	501
2000.560	562
2000.562	540
2000.563	134
2000.565	144
2000.566	135
2000.568	156
2000.569	227
2000.571	302
2000.573	489
2000.574	468
2000.575	407
2000.577	268
2000.578	133
2000.580	148
2000.581	190
2000.583	235
2000.584	172
2000.586	211
2000.587	670
2000.589	937
2000.590	255
2000.592	146
2000.594	244
2000.595	236
2000.596	142
2000.598	122
2000.599	152
2000.601	148
2000.602	111
2000.604	127
2000.605	118
2000.607	110
2000.608	113
2000.610	118
2000.611	138
2000.613	180
2000.615	175
2000.616	138
2000.617	140
2000.619	163
2000.620	165
2000.622	201
2000.623	228
2000.625	111
2000.626	76
2000.628	111
2000.629	102
2000.631	85
2000.632	120
2000.634	508
2000.635	378
2000.637	357
2000.638	374
2000.640	553
2000.641	425
2000.643	388
2000.644	370
2000.646	452
2000.647	216
2000.649	185
2000.651	168
2000.652	165
2000.653	208
2000.655	408
2000.656	962
2000.658	617
2000.659	172
2000.661	151
2000.662	206
2000.664	930
2000.665	434
2000.667	180
2000.668	162
2000.670	177
2000.672	188
2000.673	149
2000.674	183
2000.676	251
2000.677	239
2000.679	155
2000.680	132
2000.682	141
2000.683	153
2000.685	133
2000.686	390
2000.688	1149
2000.689	1150
2000.691	1149
2000.693	503
2000.694	378
2000.695	517
2000.697	270
2000.698	225
2000.700	233
2000.701	285
2000.703	369
2000.704	293
2000.706	341
2000.707	350
2000.709	201
2000.710	170
2000.712	258
2000.714	260
2000.715	217
2000.716	368
2000.718	449
2000.719	448
2000.721	235
2000.722	123
2000.724	210
2000.725	210
2000.727	128
2000.728	243
2000.730	282
2000.731	220
2000.733	180
2000.734	202
2000.736	528
2000.737	565
2000.739	564
2000.740	302
2000.742	140
2000.743	205
2000.745	171
2000.746	130
2000.748	91
2000.750	134
2000.751	259
2000.752	359
2000.754	335
2000.755	399
2000.757	495
2000.758	478
2000.760	302
2000.761	318
2000.763	272
2000.764	218
2000.766	167
2000.767	155
2000.769	159
2000.771	169
2000.772	439
2000.773	557
2000.775	430
2000.776	128
2000.778	105
2000.779	139
2000.781	180
2000.782	313
2000.784	336
2000.785	191
2000.787	133
2000.788	148
2000.790	295
2000.792	360
2000.793	249
2000.794	153
2000.796	112
2000.797	125
2000.799	137
2000.800	105
2000.802	75
2000.803	62
2000.805	79
2000.806	105
2000.808	107
2000.809	120
2000.811	261
2000.813	231
2000.814	445
2000.815	756
2000.817	172
2000.818	88
2000.820	81
2000.821	117
2000.823	137
2000.824	231
2000.826	394
