Corrections for d18O Records,,,,,,,,,
Released July 2020,,,,,,,,,
Correction Description:,,,,,,,,,
sea water = change in sea water mean oxygen isotope ratio (d18O) through time,,,,,,,,,
latitude flow = latitude difference between the site of snow deposition and the ice-core site,,,,,,,,,
elevation flow = elevation difference between the site of snow deposition and the ice-core site,,,,,,,,,
Units:,,,,,,,,,
Time is in years before 1950 CE (BP).,,,,,,,,,
The sea water correction is in per mil relative to present.,,,,,,,,,
The latitude flow flow is in decimal degrees relative to present ice-core position.,,,,,,,,,
The elevation flow is in meters relative to the present ice-core elevation.,,,,,,,,,
Missing data = -999999,,,,,,,,,
Citations:,,,,,,,,,
For the sea water correction cite: Bintanja R. and van de Wal R. S. and Oerlemans J.: Modelled atmospheric temperatures and global sea levels over the past million years. Nature. 437. 125. 2005.,,,,,,,,,
For NEEM-specific corrections cite: Dahl-Jensen D. and Albert M. and Aldahan A. and Azuma N. and Balslev-Clausen D. and Baumgartner M. and Berggren A.-M. and Bigler M. and Binder T. and Blunier T. et al.: Eemian interglacial reconstructed from a Greenland folded ice core. Nature. 493. 489. 2013.,,,,,,,,,
For Camp Century and Dye3-specific corrections cite: Vinther B. M. and Buchardt S. L. and Clausen H. B. and Dahl-Jensen D. and Johnsen S. J. and Fisher D. and Koerner R. and Raynaud D. and Lipenkov V. and Andersen K. K. et al.: Holocene thinning of the Greenland ice sheet. Nature. 461. 385. 2009.,,,,,,,,,
Notes:,,,,,,,,,
When the original data was not available it was extracted from graphs. Thus the data provided here may deviate slightly from the original data of Dahl-Jensen et al. (2013) and Vinther et al. (2009). ,,,,,,,,,
Data:,,,,,,,,,
Sea water Age,Sea water Correction,NEEM latitude flow Age,NEEM latitude flow Correction,NEEM elevation flow Age,NEEM elevation flow Correction,Camp Century elevation flow Age,Camp Century elevation flow Correction,Dye3 elevation flow Age,Dye3 elevation flow Correction
7500,0.154,,,,,,,,
7600,0.1571,,,,,,,,
7700,0.1606,,,,,,,,
7800,0.1638,,,,,,,,
7900,0.1675,,,,,,,,
8000,0.1716,,,,,,,,
8100,0.1762,,,,,,,,
8200,0.1814,,,,,,,,
8300,0.1868,,,,,,,,
8400,0.193,,,,,,,,
8500,0.1992,,,,,,,,
8600,0.2059,,,,,,,,
8700,0.2134,,,,,,,,
8800,0.2211,,,,,,,,
8900,0.2296,,,,,,,,
9000,0.2389,,,,,,,,
9100,0.2486,,,,,,,,
9200,0.259,,,,,,,,
9300,0.27,,,,,,,,
9400,0.2817,,,,,,,,
9500,0.2938,,,,,,,,
9600,0.3063,,,,,,,,
9700,0.3189,,,,,,,,
9800,0.3315,,,,,,,,
9900,0.3442,,,,,,,,
10000,0.3568,,,,,,,,
10100,0.3695,,,,,,,,
10200,0.3822,,,,,,,,
10300,0.3947,,,,,,,,
10400,0.408,,,,,,,,
10500,0.4219,,,,,,,,
10600,0.4361,,,,,,,,
10700,0.4514,,,,,,,,
10800,0.4671,,,,,,,,
10900,0.4832,,,,,,,,
11000,0.4996,,,,,,,,
11100,0.5158,,,,,,,,
11200,0.5326,,,,,,,,
11300,0.5495,,,,,,,,
11400,0.5673,,,,,,,,
11500,0.5857,,,,,,,,
11600,0.6047,,,,,,,,
11700,0.6237,,,,,,,,
11800,0.6435,,,,,,,,
11900,0.6631,,,,,,,,
12000,0.6828,,,,,,,,
12100,0.7027,,,,,,,,
12200,0.7226,,,,,,,,
12300,0.7428,,,,,,,,
12400,0.7631,,,,,,,,
12500,0.7837,,,,,,,,
12600,0.805,,,,,,,,
12700,0.8271,,,,,,,,
12800,0.8502,,,,,,,,
12900,0.8725,,,,,,,,
13000,0.8949,,,,,,,,
13100,0.9166,,,,,,,,
13200,0.9382,,,,,,,,
13300,0.9596,,,,,,,,
13400,0.9814,,,,,,,,
13500,1.0027,,,,,,,,
13600,1.0242,,,,,,,,
13700,1.0456,,,,,,,,
13800,1.0676,,,,,,,,
13900,1.0894,,,,,,,,
14000,1.1107,,,,,,,,
14100,1.1319,,,,,,,,
14200,1.153,,,,,,,,
14300,1.1741,,,,,,,,
14400,1.1954,,,,,,,,
14500,1.2165,,,,,,,,
14600,1.2373,,,,,,,,
14700,1.2588,,,,,,,,
14800,1.28,,,,,,,,
14900,1.3014,,,,,,,,
15000,1.3218,,,,,,,,
15100,1.342,,,,,,,,
15200,1.3623,,,,,,,,
15300,1.3822,,,,,,,,
15400,1.4016,,,,,,,,
15500,1.4213,,,,,,,,
15600,1.4408,,,,,,,,
15700,1.46,,,,,,,,
15800,1.4785,,,,,,,,
15900,1.4971,,,,,,,,
16000,1.5142,,,,,,,,
16100,1.5305,,,,,,,,
16200,1.5464,,,,,,,,
16300,1.5617,,,,,,,,
16400,1.5764,,,,,,,,
16500,1.5907,,,,,,,,
16600,1.604,,,,,,,,
16700,1.6169,,,,,,,,
16800,1.6296,,,,,,,,
16900,1.6422,,,,,,,,
17000,1.6535,,,,,,,,
17100,1.664,,,,,,,,
17200,1.6742,,,,,,,,
17300,1.6835,,,,,,,,
17400,1.6924,,,,,,,,
17500,1.7005,,,,,,,,
17600,1.7076,,,,,,,,
17700,1.7144,,,,,,,,
17800,1.7203,,,,,,,,
17900,1.726,,,,,,,,
18000,1.7302,,,,,,,,
18100,1.7337,,,,,,,,
18200,1.7365,,,,,,,,
18300,1.7388,,,,,,,,
18400,1.7404,,,,,,,,
18500,1.7416,,,,,,,,
18600,1.7427,,,,,,,,
18700,1.7432,,,,,,,,
18800,1.7438,,,,,,,,
