Age,Agassiz_SMOW d18O,Camp Century_SMOW_elevflow d18O,Dye3_SMOW_elevflow d18O,GISP2_SMOW d18O,GRIP_SMOW d18O,NEEM_SMOW_elevflow_latflow d18O,NGRIP_SMOW d18O,Renland_SMOW d18O
11200,0.116059595,-4.558703368,-3.560649476,-1.556832351,-1.770263688,-2.584521443,-2.214588072,-0.609388816
11250,-0.112028735,-4.857077196,-3.501703862,-2.266249714,-1.803374551,-2.181692424,-2.505889861,-0.827478365
11300,0.042945585,-4.998928975,-4.002518968,-2.012913768,-2.362928677,-2.82749623,-2.464102914,-0.902373222
11350,-0.423724858,-5.795731395,-5.386485892,-3.307370451,-3.234283452,-3.27632052,-2.832406781,-2.298518056
11400,-0.417418325,-6.376070374,-4.818300138,-2.949504464,-3.102953329,-4.032194738,-3.950372838,-2.155608278
11450,-0.146478452,-5.126001818,-4.378594621,-2.340332618,-2.277238332,-3.504435357,-3.104662847,-1.6914322
11500,-0.338682895,-5.468432863,-3.389297319,-1.811328706,-1.944660503,-2.641304463,-2.279034095,-1.217348434
11550,-0.784280118,-4.586797729,-2.986547407,-2.043509675,-2.070358961,-1.760392738,-2.093251629,-0.895063562
11600,-1.000046945,-5.377539172,-4.002983789,-2.998742474,-2.40263619,-2.690569057,-2.75366306,-1.102501959
11650,-3.809043948,-4.96076534,-6.113588138,-5.754525932,-5.041823943,-4.863920945,-4.834860656,-2.575651741
11700,-999999,-999999,-7.337932342,-4.809276879,-5.14926107,-7.095395292,-5.89670319,-999999
11750,-999999,-999999,-7.644772093,-5.668187002,-6.189715551,-6.534001979,-5.692942685,-999999
11800,-999999,-999999,-7.955616403,-5.690987279,-5.57791972,-6.027579761,-5.232725686,-999999
11850,-999999,-999999,-8.118480241,-5.79200322,-6.383472066,-6.800210954,-6.176525962,-999999
11900,-999999,-999999,-7.933572687,-5.060228549,-5.816581747,-5.694211332,-6.833824326,-999999
11950,-999999,-999999,-7.812660943,-5.056345259,-5.412956998,-7.052402192,-5.640725112,-999999
12000,-999999,-999999,-7.693771526,-4.659413313,-5.575643229,-7.255497586,-5.666833965,-999999
12050,-999999,-999999,-8.104587625,-5.834812313,-5.381975116,-6.354510686,-6.903841851,-999999
12100,-999999,-999999,-8.32154103,-5.358023648,-6.357500462,-7.512817896,-7.084912767,-999999
12150,-999999,-999999,-8.422571715,-6.148675824,-6.005619631,-6.320481154,-5.763717653,-999999
12200,-999999,-999999,-8.595575092,-5.756847676,-5.640443817,-6.557010047,-6.121358105,-999999
12250,-999999,-999999,-8.688739686,-3.914534737,-6.284640153,-7.810207658,-6.337531488,-999999
12300,-999999,-999999,-9.031737354,-6.555619597,-5.796355332,-7.474591037,-6.92011929,-999999
12350,-999999,-999999,-8.897124431,-4.638449236,-5.784428579,-6.794067292,-6.616731572,-999999
12400,-999999,-999999,-8.170994529,-6.278630858,-5.825814177,-6.767945982,-6.476586405,-999999
12450,-999999,-999999,-8.550131168,-6.226858727,-6.018854375,-7.691204425,-6.931087671,-999999
12500,-999999,-999999,-8.285837407,-5.981970715,-6.718224993,-8.364791867,-5.870161206,-999999
12550,-999999,-999999,-8.233629763,-6.871432985,-6.883253217,-8.354437585,-7.755500085,-999999
12600,-999999,-999999,-7.492075661,-6.671847159,-6.4655083,-8.18928028,-6.806509875,-999999
12650,-999999,-999999,-7.552166704,-5.068693355,-7.348659637,-9.288487226,-7.751275972,-999999
12700,-999999,-999999,-6.567242104,-5.70383549,-6.942974234,-9.01900167,-6.674476559,-999999
12750,-999999,-999999,-5.654633391,-5.365136853,-6.476028023,-6.799080021,-5.994380806,-999999
12800,-999999,-999999,-5.225604002,-4.836619679,-4.713544744,-6.347392384,-5.297664624,-999999
12850,-999999,-999999,-4.984136535,-4.108001015,-4.194748047,-4.540316556,-5.516561093,-999999
12900,-999999,-999999,-4.774624416,-3.852275321,-3.799141974,-4.091176136,-4.14679062,-999999
12950,-999999,-999999,-5.088688472,-3.834715343,-4.11128791,-4.458992681,-5.18829218,-999999
13000,-999999,-999999,-5.622493162,-4.263383893,-4.433380901,-5.665216233,-5.63692791,-999999
13050,-999999,-999999,-6.142047979,-5.849083407,-5.146532619,-6.464228372,-5.963752157,-999999
13100,-999999,-999999,-6.78544234,-5.686302052,-5.679784215,-6.788449749,-6.390427061,-999999
13150,-999999,-999999,-7.454763615,-5.350309651,-5.871635119,-5.538902207,-6.129361417,-999999
13200,-999999,-999999,-6.779313523,-4.148455972,-4.954505503,-4.729041597,-5.601866547,-999999
13250,-999999,-999999,-5.514364256,-4.266970696,-4.548505904,-4.442185884,-4.836202077,-999999
13300,-999999,-999999,-4.595137696,-3.419753852,-3.56641572,-3.995507915,-4.839831676,-999999
13350,-999999,-999999,-5.032755168,-3.693275288,-3.77000239,-4.092083354,-4.417346127,-999999
13400,-999999,-999999,-5.268533604,-3.427316604,-3.417457019,-3.970539124,-4.364501666,-999999
13450,-999999,-999999,-4.936693163,-3.229450539,-2.76670873,-3.91856305,-3.91354593,-999999
13500,-999999,-999999,-4.600860001,-3.467798654,-2.968428693,-3.365366392,-4.341695606,-999999
13550,-999999,-999999,-5.415938517,-4.144104873,-4.335701489,-4.537612888,-5.397606629,-999999
13600,-999999,-999999,-6.025211617,-3.435152042,-3.964736873,-4.731122562,-5.357957427,-999999
13650,-999999,-999999,-5.25786004,-3.83503293,-3.527140414,-3.858762558,-4.718890921,-999999
13700,-999999,-999999,-5.439579142,-3.116107264,-3.199473658,-4.606132568,-4.439493411,-999999
13750,-999999,-999999,-5.44369824,-3.820902118,-3.567956776,-4.264836871,-4.275197525,-999999
13800,-999999,-999999,-5.317960702,-3.739881184,-3.433661348,-3.880283231,-4.287405981,-999999
13850,-999999,-999999,-5.46785756,-3.367439993,-3.414173732,-4.059835136,-4.281228451,-999999
13900,-999999,-999999,-5.008364516,-4.040485625,-3.387979509,-4.093148819,-4.84771479,-999999
13950,-999999,-999999,-4.8263961,-5.246095826,-5.387717167,-4.512176412,-5.360741825,-999999
14000,-999999,-999999,-5.735189551,-4.60036208,-4.880159686,-5.746533722,-6.339866987,-999999
14050,-999999,-999999,-4.82597333,-3.403554636,-3.075696594,-3.199380892,-4.19743742,-999999
14100,-999999,-999999,-4.88765944,-3.671770583,-3.438805039,-4.301658347,-4.255882166,-999999
14150,-999999,-999999,-4.511810998,-3.039307071,-2.926207241,-2.75196429,-3.548498636,-999999
14200,-999999,-999999,-4.15194617,-2.686529115,-2.603393788,-2.729486647,-3.823325868,-999999
14250,-999999,-999999,-4.089743728,-1.721134982,-1.573075987,-2.927173225,-3.134265612,-999999
14300,-999999,-999999,-3.731907035,-2.407172099,-2.087644074,-3.072923279,-3.334190571,-999999
14350,-999999,-999999,-3.394125617,-2.071140875,-1.913091493,-2.690021082,-2.685186371,-999999
14400,-999999,-999999,-3.306042927,-1.442134672,-1.865057267,-2.382930405,-3.138214956,-999999
14450,-999999,-999999,-2.972187571,-1.022817526,-0.759894844,-1.626400509,-2.271086571,-999999
14500,-999999,-999999,-2.668268221,-1.975142326,-1.485829304,-1.461783238,-2.515924145,-999999
14550,-999999,-999999,-2.765754619,-2.800828493,-1.658986521,-2.013326468,-2.381118053,-999999
14600,-999999,-999999,-3.476528861,-3.373502265,-2.687774838,-3.602524778,-3.771120447,-999999
14650,-999999,-999999,-5.653706543,-5.862355835,-4.525778957,-5.609615622,-7.420186399,-999999
14700,-999999,-999999,-6.334726595,-6.16393601,-6.210627164,-6.922956623,-7.566945819,-999999
14750,-999999,-999999,-6.220632615,-5.293554189,-4.870842015,-7.451934935,-6.441871616,-999999
14800,-999999,-999999,-6.428135166,-6.091054686,-5.615077217,-7.57182386,-7.617209117,-999999
14850,-999999,-999999,-6.581774372,-5.049309357,-6.474215894,-7.11991648,-6.966609414,-999999
14900,-999999,-999999,-6.735331192,-6.141431504,-4.896459021,-6.778349111,-7.60097282,-999999
14950,-999999,-999999,-6.886531004,-5.933211581,-5.160969179,-7.924705313,-8.669399035,-999999
15000,-999999,-999999,-6.967764318,-6.217607122,-5.908090133,-8.315942194,-7.753685652,-999999
15050,-999999,-999999,-6.836282046,-3.76057671,-6.144138813,-8.088002574,-9.332927786,-999999
15100,-999999,-999999,-6.682424312,-4.752290928,-5.914133853,-6.707720362,-7.99937065,-999999
15150,-999999,-999999,-6.835785929,-5.108215183,-5.414536415,-6.865415804,-7.544697259,-999999
15200,-999999,-999999,-6.900972729,-5.018053948,-4.938231447,-7.762012496,-9.237080355,-999999
15250,-999999,-999999,-6.944045729,-6.705315194,-5.4238067,-7.799617232,-7.878481736,-999999
15300,-999999,-999999,-7.021012106,-5.067082057,-5.646345863,-8.346593302,-7.411951767,-999999
15350,-999999,-999999,-7.185676389,-7.128555389,-5.222936734,-8.183128511,-7.907243855,-999999
15400,-999999,-999999,-7.34035826,-5.415266936,-6.227521293,-9.487484431,-8.558970051,-999999
15450,-999999,-999999,-7.507127018,-5.170044633,-5.371485771,-8.486530375,-9.034364207,-999999
15500,-999999,-999999,-7.689864012,-6.193035496,-6.981964831,-8.374324213,-9.499770268,-999999
15550,-999999,-999999,-7.610901196,-5.528341172,-6.573568585,-8.791198797,-8.523832013,-999999
15600,-999999,-999999,-7.362150617,-5.299677559,-5.056744568,-9.417752074,-7.874076014,-999999
15650,-999999,-999999,-7.091329888,-6.200932991,-5.663431752,-8.755887896,-9.600776625,-999999
15700,-999999,-999999,-6.778503368,-6.869113941,-6.519674718,-8.971074537,-10.13246064,-999999
15750,-999999,-999999,-6.539324447,-7.90649919,-6.095873449,-8.476939383,-8.360609565,-999999
15800,-999999,-999999,-6.701537804,-6.081391688,-6.114718951,-8.004349998,-7.560644649,-999999
15850,-999999,-999999,-6.911712675,-5.617655141,-6.02875697,-8.869815044,-9.411786693,-999999
15900,-999999,-999999,-6.826200429,-7.636792279,-6.175689682,-9.106286108,-7.584978627,-999999
15950,-999999,-999999,-6.608353371,-6.603296739,-6.774744363,-8.623368072,-8.485237201,-999999
16000,-999999,-999999,-6.51419509,-7.473454144,-6.977578938,-8.652567007,-8.273682651,-999999
16050,-999999,-999999,-6.563534351,-7.472974885,-7.155165666,-10.62846832,-10.4881623,-999999
16100,-999999,-999999,-6.616801156,-6.763507949,-7.059758162,-10.77409392,-8.322560198,-999999
16150,-999999,-999999,-6.665930571,-4.762560225,-5.553046932,-9.142304168,-9.350275832,-999999
16200,-999999,-999999,-6.722979382,-6.778704113,-5.846848549,-9.98671127,-7.818536268,-999999
16250,-999999,-999999,-6.843714053,-6.769419853,-5.223522346,-8.514509134,-7.817565735,-999999
16300,-999999,-999999,-6.980346837,-7.003013946,-5.475431752,-9.116743293,-7.942990411,-999999
16350,-999999,-999999,-6.893115085,-5.955068406,-6.161444846,-9.499191903,-8.640632851,-999999
16400,-999999,-999999,-6.644081685,-6.424685357,-6.424714342,-8.87548217,-7.960373658,-999999
16450,-999999,-999999,-6.333007458,-6.143674554,-5.890772369,-10.18857498,-6.178399237,-999999
16500,-999999,-999999,-5.89403877,-6.06559064,-5.220298283,-7.607842942,-7.641193794,-999999
16550,-999999,-999999,-5.564543631,-6.900698245,-5.250028368,-7.462871517,-8.128511414,-999999
16600,-999999,-999999,-5.963810071,-6.188185861,-5.938611194,-8.436072281,-8.196408893,-999999
16650,-999999,-999999,-6.462768075,-7.716934324,-5.686893673,-9.401536146,-8.136033476,-999999
16700,-999999,-999999,-6.396601265,-6.912729614,-7.152363672,-8.759438136,-7.100532196,-999999
16750,-999999,-999999,-6.060801334,-7.160090098,-4.685795265,-9.243151683,-6.570823471,-999999
16800,-999999,-999999,-6.102373595,-6.818388619,-5.97977732,-9.107864148,-6.636794318,-999999
16850,-999999,-999999,-6.671047448,-7.841091498,-6.210445855,-9.821152718,-7.691111789,-999999
16900,-999999,-999999,-7.037929282,-7.66565964,-7.159842307,-10.41463002,-7.946641329,-999999
16950,-999999,-999999,-6.641600717,-6.929030596,-6.436527457,-9.350370722,-7.772418846,-999999
17000,-999999,-999999,-6.217203167,-5.916068128,-6.242210762,-9.840327357,-7.172102484,-999999
17050,-999999,-999999,-6.321646853,-6.135789304,-5.283884029,-10.18018521,-7.18382542,-999999
17100,-999999,-999999,-6.5897603,-7.200698357,-6.491892292,-10.51315976,-6.69964137,-999999
17150,-999999,-999999,-6.727980826,-7.33371214,-6.237223875,-10.63639266,-6.889231709,-999999
17200,-999999,-999999,-6.764280813,-7.383457044,-6.012429749,-10.29040147,-7.624496634,-999999
17250,-999999,-999999,-6.766316757,-7.752346205,-6.990305279,-10.05385975,-7.223011169,-999999
17300,-999999,-999999,-6.686421146,-7.488881857,-6.164456762,-9.547773459,-6.914625962,-999999
17350,-999999,-999999,-6.614370195,-7.815948798,-6.544772715,-10.83856753,-8.634344075,-999999
17400,-999999,-999999,-6.640069491,-7.533968433,-7.294383916,-10.56831115,-8.094463904,-999999
17450,-999999,-999999,-6.679459766,-6.985493717,-5.624478675,-10.02814481,-7.654135861,-999999
17500,-999999,-999999,-6.505095653,-6.576670813,-5.172400622,-11.82754571,-6.731185811,-999999
17550,-999999,-999999,-6.247223488,-6.972795766,-5.886321375,-12.08923118,-7.272063308,-999999
17600,-999999,-999999,-6.113708178,-6.503644991,-5.255783393,-10.03486956,-6.771297951,-999999
17650,-999999,-999999,-6.302154991,-7.234006307,-4.93461344,-11.18491907,-8.177168935,-999999
17700,-999999,-999999,-6.4486259,-6.979309422,-5.016014658,-9.899129649,-7.799346273,-999999
17750,-999999,-999999,-6.439042545,-6.855737406,-5.953958006,-9.532329755,-6.496132409,-999999
17800,-999999,-999999,-6.425414055,-6.339439338,-5.39440255,-10.16365855,-8.973018063,-999999
17850,-999999,-999999,-6.637325481,-7.190717747,-4.152623448,-9.466408441,-7.609771815,-999999
17900,-999999,-999999,-6.922970539,-7.269881187,-5.333227167,-10.70573267,-9.151410054,-999999
17950,-999999,-999999,-6.960507744,-7.614725092,-5.185592658,-8.969649001,-9.052018035,-999999
18000,-999999,-999999,-6.762333921,-6.714914426,-5.463748913,-10.43802819,-8.280315797,-999999
18050,-999999,-999999,-6.57988374,-6.08605854,-6.541938464,-10.19911152,-9.415069468,-999999
18100,-999999,-999999,-6.46123577,-5.174272459,-5.184258274,-11.07821782,-8.007471122,-999999
18150,-999999,-999999,-6.364300538,-6.892679185,-5.042558175,-11.11875209,-8.200187068,-999999
18200,-999999,-999999,-6.437000531,-7.043725922,-6.018840995,-10.65996841,-9.188112192,-999999
18250,-999999,-999999,-6.537473579,-6.92007446,-4.855330927,-10.91963491,-8.042900367,-999999
18300,-999999,-999999,-6.548022766,-5.794754966,-5.73153332,-11.84811786,-9.652823485,-999999
18350,-999999,-999999,-6.488443999,-6.712304109,-4.847216761,-10.67997265,-8.708608095,-999999
18400,-999999,-999999,-6.638438788,-6.421883769,-4.485255668,-10.08083885,-8.985532185,-999999
18450,-999999,-999999,-7.127699915,-6.499016802,-5.657150577,-9.910824994,-7.71667359,-999999
18500,-999999,-999999,-7.479176339,-5.983816026,-5.624443101,-11.22800364,-7.456029,-999999
18550,-999999,-999999,-7.177754165,-6.285491234,-5.922790491,-11.0078172,-8.701059642,-999999
18600,-999999,-999999,-6.814384309,-6.317590765,-4.630531558,-9.939229732,-7.091019661,-999999
18650,-999999,-999999,-6.828143241,-6.026709057,-5.02013104,-11.53580837,-8.008032466,-999999
18700,-999999,-999999,-6.977650992,-6.873811784,-5.625987852,-10.16765105,-8.565639327,-999999
18750,-999999,-999999,-7.001413556,-5.448244913,-6.66778619,-9.837807953,-7.943670977,-999999
18800,-999999,-999999,-6.89989834,-6.894318941,-6.441775509,-10.03704342,-7.67107456,-999999
18850,-999999,-999999,-6.76560012,-5.947757669,-5.924465702,-10.65543022,-7.904122711,-999999
18900,-999999,-999999,-6.537128795,-5.816332983,-4.844694847,-9.261865097,-8.276818912,-999999
18950,-999999,-999999,-6.354485161,-5.662822849,-5.559670274,-10.58301952,-8.317970597,-999999
19000,-999999,-999999,-6.513152884,-6.70045485,-5.452630718,-9.573613346,-8.079494966,-999999
19050,-999999,-999999,-6.751503481,-5.621599821,-4.610029637,-10.76020823,-8.35661177,-999999
19100,-999999,-999999,-6.850026525,-5.374557396,-5.441109381,-9.850455294,-8.79338095,-999999
19150,-999999,-999999,-6.862485383,-5.859363143,-5.61146286,-9.050280719,-9.717426109,-999999
19200,-999999,-999999,-6.904886419,-6.101233702,-5.778463567,-10.57603581,-8.428629723,-999999
19250,-999999,-999999,-7.007254693,-4.884044435,-5.294998571,-9.560512044,-8.158130289,-999999
19300,-999999,-999999,-7.0556985,-5.363898312,-5.497002469,-8.57491862,-8.157156374,-999999
19350,-999999,-999999,-6.824520738,-6.728778076,-4.688987962,-9.87103542,-9.548659605,-999999
19400,-999999,-999999,-6.571360346,-6.353320985,-5.664518596,-9.430164187,-8.105058722,-999999
19450,-999999,-999999,-6.746585012,-7.160777452,-6.308923368,-9.717971488,-8.353486302,-999999
19500,-999999,-999999,-7.15423241,-6.497437525,-5.765375163,-9.297007399,-8.62852232,-999999
19550,-999999,-999999,-7.265191865,-5.456381402,-5.333264284,-8.217166873,-7.228091072,-999999
19600,-999999,-999999,-6.932055289,-6.015861605,-5.726365488,-10.02642414,-7.468126006,-999999
19650,-999999,-999999,-6.672683299,-6.36726451,-6.154302448,-7.852444513,-8.353607749,-999999
19700,-999999,-999999,-6.646878262,-7.191153534,-6.97486369,-9.517699226,-8.064421873,-999999
19750,-999999,-999999,-6.652946758,-6.504247889,-7.18973549,-9.945034838,-9.483883245,-999999
19800,-999999,-999999,-6.798792638,-6.023657991,-6.126818115,-8.076332982,-7.346154719,-999999
19850,-999999,-999999,-6.980683907,-6.426650292,-5.989075267,-8.67350158,-7.619372187,-999999
19900,-999999,-999999,-6.904978499,-7.019298175,-6.62331798,-9.580138788,-8.691196737,-999999
19950,-999999,-999999,-6.643378436,-5.570247646,-7.154195143,-9.108959275,-8.884324857,-999999
20000,-999999,-999999,-6.631334415,-6.327370478,-6.76994873,-9.605035928,-8.954300539,-999999
