Age,Agassiz_SMOW d18O,Camp Century_SMOW_elevflow d18O,Dye3_SMOW_elevflow d18O,GISP2_SMOW d18O,GRIP_SMOW d18O,NEEM_SMOW_elevflow_latflow d18O,NGRIP_SMOW d18O,Renland_SMOW d18O
1250,0.170599597,0.987034475,-0.283143223,-0.093830373,-0.025799154,-0.317141341,-0.228598399,-0.015114874
1300,0.043106913,0.505563402,-0.285800409,0.082015371,0.088380291,0.2168113,-0.019419272,-0.132607791
1350,-0.186051968,0.270758674,-0.178458245,-999999,-0.037439117,-0.101946769,-0.130238904,0.083231098
1400,-0.268570484,0.539258595,-0.127808324,0.423300704,-0.026618242,0.012289074,-0.094418177,0.195710933
1450,-0.237898867,0.309285753,-0.138967362,0.127694656,-0.429269294,-0.185482135,-0.512069222,0.356380865
1500,0.276076057,0.609283089,0.019846099,0.585010861,0.111380407,-0.126270987,-0.426415895,-0.089637264
1550,0.130056151,0.637615803,0.210325716,-999999,0.318698732,0.225303,0.515895968,0.744333962
1600,0.290693408,0.455944201,0.0041357,0.262980236,-0.040650619,-0.051359143,-0.475113956,0.081645543
1650,0.167964639,0.250904177,0.119573659,0.643587261,-0.108371277,0.074313913,-0.471168438,0.14224805
1700,0.248560382,0.35918766,0.30833731,0.010866478,0.007232863,0.07514158,-0.397230178,-0.010486818
1750,0.220824162,0.614135517,-0.041225547,-0.063527256,-0.005494931,0.565612363,-0.393291351,-0.239887045
1800,-0.093574491,0.319090871,0.242536423,0.278739582,-0.011556106,-0.057994751,-0.206021756,0.387367385
1850,0.013687501,0.77236844,0.117971021,0.424342227,0.432375751,0.312766822,0.279576108,0.062968912
1900,-0.479040325,0.785652429,0.350066543,0.279949521,0.492979706,0.900631206,0.311847205,0.20522975
1950,-0.228447559,0.610606548,0.447163927,0.482429882,0.140257587,0.234674788,-0.157539561,0.210826164
2000,0.558807837,-0.037756837,0.070943378,0.387830415,0.034204809,-0.194933504,0.026402161,0.296427718
2050,0.22945303,-0.106094875,0.221415434,0.835134813,0.383178188,0.355794731,0.075381537,0.24873373
2100,0.073447959,0.422240453,0.148577987,0.322477925,0.088850487,0.080596443,-0.515606266,0.284390974
2150,-0.057485969,0.202329369,-0.0341856,0.28821536,-0.218738721,0.06352744,-0.426537419,-0.253201042
2200,-0.371722849,0.339103179,0.213067297,0.480640176,0.590339118,0.082749448,0.162545538,0.099213336
2250,-0.6492221,0.410949383,0.140398616,-0.093512841,0.219514636,0.562622305,0.09171415,0.420032513
2300,0.433251828,0.196142379,0.321063674,0.395819045,0.068691653,-0.057812872,-0.045775792,-0.259117653
2350,0.644044018,0.019632546,0.425028003,0.869773976,0.697813616,0.044034449,0.170023297,-0.106656828
2400,0.474858876,0.516451446,-0.010980409,0.153943092,0.146978644,0.285374434,-0.304146569,0.192479357
2450,0.337446772,0.54838904,-0.225220626,0.203198552,0.32623084,-0.12173908,-0.546549459,-0.403253511
2500,0.376722618,1.073671905,0.453873722,0.345810471,0.792167102,0.566103234,0.077716133,0.567663182
2550,0.211039941,0.147364869,0.344691989,0.266797378,0.329831337,0.289762234,-0.197957891,0.300316467
2600,-0.424615702,0.174377119,0.348853409,0.204463317,0.330828876,0.24000749,-0.183627189,0.26297622
2650,-0.280258366,0.181425712,0.179722085,-0.049496117,0.353527795,0.002413745,-0.329256295,0.289003312
2700,0.7607313,0.39179475,0.263910021,0.473181144,0.186226106,0.322133277,0.028426148,0.025032635
2750,-0.186622364,0.440430724,0.044702846,0.069149296,0.07718534,0.164157211,0.094379918,0.407637424
2800,0.232641347,0.432395334,0.448802788,0.385088466,0.458122597,0.420899514,0.03033137,0.186921224
2850,0.556943312,0.134405161,0.099629266,0.272743416,0.225781424,0.288315602,-0.047014715,0.301229947
2900,0.514583977,0.206396441,0.18043571,0.510380222,0.356755288,0.343017058,0.375616107,0.512195326
2950,0.380489917,0.968292623,0.484496344,-0.103691416,0.434326782,0.431452162,0.221528713,0.299770504
3000,0.626356664,0.450207012,0.315213953,0.22551222,0.191883624,-0.048270732,-0.13591037,0.353977298
3050,0.128845233,0.552028391,0.154193583,0.494646691,0.162695825,0.35958304,-0.015103481,0.248118337
3100,0.384633492,0.447184343,0.483148937,0.363789049,0.073503873,0.390713986,-0.017631979,0.385577399
3150,0.802117654,0.960685828,0.558815497,0.392961118,0.545992735,0.328513906,0.143201995,0.401409974
3200,0.596285505,0.044235372,0.301154935,0.502123482,0.258503743,0.667601465,-0.155952929,0.273908034
3250,0.620373065,0.544326031,0.363410877,0.79120767,0.789245463,0.568314023,-0.208521209,0.324661481
3300,0.261116905,0.767734177,0.632299051,0.433625367,0.75998324,0.512578623,0.315528128,0.452052309
3350,0.138446976,0.9127407,0.807785826,-0.055688386,0.462328095,0.430368909,-0.005459199,0.382712964
3400,0.645737359,0.577754496,0.493280329,0.407873256,0.184659856,0.482428698,0.146854584,0.406690269
3450,0.256399435,0.856075471,0.632088864,0.802247736,0.205312384,0.108105983,0.017513487,0.495664648
3500,0.297042993,0.591087165,0.497576263,0.119597829,0.619280685,0.000762445,-0.065162648,0.461310977
3550,0.254356894,0.85440801,0.541389401,0.520232752,0.163287977,0.281142049,0.170480182,0.263631688
3600,-0.084988443,0.567748069,0.308542508,0.467548467,0.1372696,0.342943243,0.232790624,0.922572611
3650,0.407258197,0.572705569,0.850622949,0.293168002,0.551194671,0.408568573,0.333397339,0.766515686
3700,0.289520778,1.047626793,0.652725943,0.318765116,0.501795666,0.485672824,0.220668146,0.583780779
3750,0.205079419,0.865878276,0.50979084,0.290996387,0.389030976,0.371688185,0.001242178,0.654331047
3800,0.017310349,1.19077042,0.480183656,0.116568457,0.309598221,0.609831935,-0.154852908,0.251572271
3850,0.517874569,0.714072949,0.673933694,0.12383332,0.216868584,0.307152084,-0.095923691,0.737136704
3900,0.308475665,0.574025208,0.487703264,0.021104235,0.570781504,0.74901481,-0.020328882,0.786056922
3950,0.100708258,1.522215716,0.438096543,0.68663115,0.339690498,0.483864863,-0.028098305,0.764945071
4000,0.506227243,1.440448941,0.555134317,0.162210236,0.505231633,0.370308843,0.237437456,0.453836467
4050,0.5933946,1.440308647,0.482147032,0.574368333,0.472415056,0.695239623,-0.315349449,0.662663371
4100,0.640563905,1.316842231,0.495821558,0.389893724,0.54959207,0.628708365,0.088475893,0.561507652
4150,1.066079833,0.993423477,0.486199785,0.327114251,0.130167143,0.668465825,0.387341889,0.895362149
4200,0.641652742,0.846668118,0.709903703,0.354335805,0.427372789,0.70816139,-0.000411247,0.412605168
4250,-0.171082794,0.776574993,0.530298617,0.33489371,0.322935971,0.462513057,0.240130772,0.588141925
4300,0.082782971,1.129788546,0.530682864,-0.094522558,0.341824895,0.639310587,0.167358815,0.370369744
4350,0.281651888,1.174687922,0.689390049,0.107688107,0.165726375,0.266985915,-0.322053042,0.785890753
4400,0.37052096,0.879602891,0.698100292,-0.033418764,0.626246933,0.712596251,0.47177943,0.881425278
4450,0.1543745,1.21277452,0.668009061,0.095189604,0.248453342,0.457915817,0.020657343,0.808601677
4500,0.484858167,1.762597275,0.481114212,0.20759537,0.267300492,0.287027688,0.2394909,0.449131005
4550,0.712050554,1.475845335,0.628797286,0.023158493,0.501168186,0.844103711,0.468358928,0.901307517
4600,0.682587027,1.552395588,0.456496065,-0.364603567,0.018412408,0.624272605,0.02393367,0.456872845
4650,0.714714731,1.043915864,0.509107874,0.300822747,0.528849609,0.573524727,0.141065271,0.424005001
4700,1.013457198,1.022036426,0.611683667,-0.167035769,-0.030668996,0.535254334,0.198168821,0.497763887
4750,0.727134958,0.651742961,0.579161962,-999999,0.186316886,0.167927272,0.263498814,0.366430492
4800,0.247468734,1.334678407,0.466255108,0.373568202,0.306617181,0.659225758,0.255475069,0.778364228
4850,0.199401871,0.944325584,0.735915068,0.540495544,0.328555978,1.039086504,0.280746705,0.843620774
4900,1.074537901,0.850558742,0.478286643,0.360724963,0.433763493,1.606274939,0.599270665,0.732166069
4950,1.236109213,0.991488772,0.438689721,0.282330273,0.420363778,1.067579679,0.142572582,0.630425292
5000,0.614371811,0.809072712,0.5157111,0.353884982,0.483585921,1.143350062,0.342450423,0.658635254
5050,0.742645244,0.923369765,0.466147723,0.093871239,0.481884117,0.620834839,0.254088999,0.991891284
5100,0.694260113,0.784348611,0.373249326,0.633783737,0.206865966,0.796216015,0.029066543,0.691859896
5150,0.624103608,1.100181176,0.578551596,0.515312172,0.563354042,0.777164764,0.750522939,0.868348036
5200,0.687236031,1.362651805,0.580505696,0.263866956,0.199872764,0.387253298,0.255385883,0.658170701
5250,0.550315147,0.411827394,0.465732482,-0.003405764,0.024638496,0.371943909,-0.163160064,1.064533187
5300,0.966657291,1.097501705,0.487594041,-0.063669605,0.172688569,0.529591725,-0.055105993,0.980920649
5350,0.816349196,1.108201535,0.507753344,-0.2772876,0.085725339,0.472443657,0.042913135,0.405652403
5400,0.905999013,1.155069275,0.667879535,0.262336305,0.302046977,0.579808415,0.290898042,0.336984644
5450,0.847258371,1.25827549,0.554627448,0.488584857,0.396642041,0.570846772,0.478816865,0.566549487
5500,1.015142388,1.081490252,0.574676025,0.418176588,0.277905848,0.365880799,0.550060754,0.672773016
5550,0.848024525,1.167976306,0.576357586,0.389395614,0.547427836,0.609833683,0.054661311,0.197354286
5600,0.864234458,1.337799355,0.604716059,0.387291317,0.350344357,0.935787755,0.215873959,0.661850759
5650,0.963875527,0.877796828,0.42820349,0.340298201,0.403341014,0.583560377,0.125552411,0.753159564
5700,1.003542178,0.657789186,0.425025184,0.153339967,0.353034743,0.473052973,0.085245152,0.727833388
5750,1.039875974,0.317795669,0.720146619,0.276347914,0.364388238,0.956479598,0.44156039,0.814161527
5800,0.699611969,0.647752895,0.535347302,0.202736587,0.245782721,0.968252886,0.15130695,0.627213227
5850,1.006083299,0.58289687,0.722314605,0.227589442,0.405619565,0.336975137,0.887743737,0.855360291
5900,0.822643912,1.067974329,0.772663036,0.365794007,0.488830781,0.573125534,0.211043184,0.440281205
5950,0.13763422,0.907723263,0.444759036,0.524030999,0.167125339,0.542247286,0.019322456,0.831809655
6000,0.729164454,1.307232115,0.436843207,0.089031921,-0.021236039,0.221657569,-0.055719232,0.983391593
6050,0.229267457,0.846951203,0.752328436,-0.374189183,0.273783349,0.438122093,0.235966833,1.133413933
6100,0.872601794,0.85998564,0.667901853,0.482465095,0.365532086,0.975585311,0.447700324,0.450245275
6150,0.311193243,0.831465189,0.555252894,0.252693414,0.525711506,0.72225877,0.062948279,0.615411913
6200,1.013016627,0.71634776,0.372671462,-0.113668942,0.02269983,0.523972089,0.181524343,0.527335378
6250,0.798503867,0.756424232,0.498598045,0.13010312,0.393122545,0.345866032,0.160330348,1.057726997
6300,0.96400047,1.373150558,0.781228848,0.20395491,0.230338077,0.385824303,0.279176023,0.961590377
6350,0.86130589,0.711816663,0.472376768,0.51308434,0.240970761,0.893728559,0.33813539,1.085532426
6400,0.821949303,1.027034816,0.536821468,0.065253967,0.14496388,0.911504372,0.393774865,0.792875596
6450,1.154174145,1.172239227,0.546237604,0.055866933,0.243895741,0.521046678,0.536033774,1.318407725
6500,0.803176365,0.664217123,0.572337641,0.009837461,0.312850688,0.147126525,0.108388394,1.087393476
6550,0.957253614,0.512956943,0.595247382,0.26890816,0.421941663,0.808080139,0.229144337,0.541564964
6600,0.858077274,0.808348099,0.594872244,0.181403915,0.274445707,0.390820858,0.426601496,0.702353279
6650,1.105627173,1.048853268,0.349637643,0.112336978,0.195380204,0.572570918,0.387530145,0.914908014
6700,0.999898628,1.149383838,0.534350789,0.376563841,0.436277046,0.509395587,0.411789984,0.72419103
6750,1.304042016,0.569936952,0.609007841,0.715709302,0.433803281,0.681904978,0.036034371,0.82336298
6800,1.03825786,0.810370449,0.513681869,0.788218254,0.444654462,0.751635581,0.473492978,0.849205066
6850,1.092464957,0.60090213,0.253414925,0.74411199,0.097257869,0.394461234,0.174422839,1.051724663
6900,1.113349879,0.754722816,0.559741531,0.390056072,0.336452255,0.544059897,0.375289135,0.960958499
6950,0.645970701,0.836886812,0.397800812,0.332625277,0.460662625,0.284656733,0.337855435,0.725213032
7000,0.891804342,0.395772492,0.295832351,-0.064776108,0.428209055,0.18162553,0.107096867,0.976045735
7050,1.379162518,0.84275805,0.427056949,0.290758771,0.3639873,0.331312714,0.261177312,0.613525605
7100,0.546691012,0.729804254,0.294966581,0.150045522,-0.043537133,0.384747867,0.065288698,1.050871082
7150,0.922378725,0.203577282,0.576149468,0.059141945,0.672108787,0.433350109,0.224348761,0.73165916
7200,0.961428697,0.387228091,0.657341758,-0.115101916,0.391213385,0.497130241,0.293402341,1.165651515
7250,1.055363699,0.264150218,0.590115534,0.297128645,0.575143937,0.573039313,0.017400772,0.914636658
7300,0.922613413,-0.132271748,0.459513732,0.399352919,0.589047977,0.643773049,0.227942509,0.943529052
7350,0.773020853,0.169358192,0.223749829,0.464738693,0.692761339,0.439059042,0.49996427,1.222205212
7400,0.583408925,-0.258927942,0.247921107,0.433446653,0.486495579,0.437717916,0.408681137,1.000930527
7450,1.330356785,-0.035610649,0.952024639,-0.252709957,0.42024449,0.524432791,0.602390336,1.074646963
7500,0.954116363,-0.34557041,0.33297072,0.360909171,0.413958549,0.008267818,0.206163793,1.041687086
7550,0.767669089,-0.105793097,0.335310504,0.594408811,0.597466101,0.038166102,0.624634938,0.971887843
7600,0.871118192,-0.622622562,0.287599755,0.351257971,0.337651644,0.692126752,0.65977377,1.175320625
7650,1.084407066,-0.546353475,0.603022568,0.54123126,0.214341405,0.44994209,0.591454075,1.308621273
7700,1.304354106,-0.290119984,0.591823454,0.694536392,0.86756719,0.936255046,0.553123215,1.391922904
7750,1.391096042,0.017877691,0.535738702,0.797954995,0.396079353,0.587243111,0.678205376,1.290361412
7800,1.547813305,-0.307229357,0.293005069,0.494760918,0.727781882,1.004758394,0.746617195,1.322098645
7850,0.977804648,0.012000707,0.448361484,0.234716937,0.217779092,0.36118701,0.114967447,1.571954567
7900,1.730851785,0.314849987,0.113740781,0.544520274,0.347613071,0.320938485,0.206474407,1.398488576
7950,1.128982827,-0.184076888,0.595507481,0.39092621,0.813914669,0.783886381,1.091038321,1.563156504
8000,1.183611852,0.123468419,0.513977024,-0.132661829,0.09702625,0.261959458,0.282497995,1.547796157
8050,1.214732928,0.064231497,0.247300776,-0.158177361,0.024851597,0.189794195,0.401955889,1.029011439
8100,0.472585403,-0.934910636,-0.372715848,-0.467047058,-0.60062869,-0.144370224,-0.121876766,0.56014922
8150,0.53008436,-1.322703786,-1.416201621,-1.337693758,-0.484784366,-1.292715061,-0.897541726,-0.040568276
8200,1.100771265,-1.613897802,-0.999998503,-0.642005471,-0.908894515,-1.280115749,-0.806744564,0.408474454
8250,1.274790462,-1.405252873,-0.10062376,0.326892849,0.304959391,0.076213798,-0.192781273,0.959092592
8300,1.395420158,-0.79008297,-0.187801134,0.182595553,0.148998225,0.268175812,0.054516704,1.316345214
8350,1.579084913,-0.588456273,0.364615474,-0.048634513,0.349353866,-0.354996882,0.006586033,1.453351799
8400,1.652718491,-1.083414692,-0.26612831,0.259981693,0.086412758,-0.079827144,0.115240263,1.04041179
8450,1.163127596,-0.31694967,0.119598489,0.145345447,0.493341906,-0.275996698,0.320541511,1.017397795
8500,1.380033861,-1.100214592,-0.167908897,0.177314874,0.283692488,-0.039398927,0.079231796,0.871042656
8550,1.321815952,-1.010494724,0.069302093,0.399069275,0.627088962,0.081310731,0.289322244,1.001120557
8600,1.120209802,-1.16747553,0.183118801,0.147502561,0.03392586,0.244740654,-0.010567164,1.154442009
8650,1.219923506,-1.404722881,0.013375247,0.282240149,0.13533775,-0.513234601,0.262474239,1.149176452
8700,1.509530425,-1.275444313,-0.043121455,0.490229767,0.110045135,-0.034425436,-0.047757876,1.140513513
8750,1.477467693,-1.429509587,-0.337971052,0.244912345,0.063020721,-0.385558505,-0.029796721,1.826628201
8800,1.265379696,-0.817141831,-0.392936795,0.242812603,0.172563874,-0.186779616,0.04475328,1.416248489
8850,1.099663717,-0.864913415,-0.16491677,0.691993507,0.565092364,0.18298626,0.487270416,1.583789313
8900,1.463724305,-0.779486526,0.036337082,0.587863039,0.84420778,-0.026733939,0.326486509,1.128035029
8950,1.225969698,-0.461064357,-0.217589267,0.048550735,0.631485996,0.307924468,0.273728535,1.380166211
9000,0.621560457,-1.035843482,-0.501583898,0.2623199,0.065439534,0.046084995,-0.378963274,1.175660053
9050,1.371684512,-1.007573317,-0.265844287,0.209344442,0.242409315,0.088987384,0.169584375,1.470890877
9100,1.388578261,-0.849406079,-0.043508481,0.422899286,0.63258681,-0.026558062,0.23817454,1.539437305
9150,1.301915237,-1.269676301,-0.409607512,0.139662318,0.587623578,-0.212345468,0.064911864,1.591069771
9200,1.445108975,-1.666698663,-0.65915062,-0.213635757,0.072698629,-0.119162625,-0.574978469,1.389351267
9250,1.066558459,-1.692362175,-1.103854671,0.139336373,-0.387448143,-0.789072963,-0.800185252,0.790856683
9300,1.181127864,-1.164924656,-0.418941181,0.362256036,0.521957824,-0.408759292,-0.022409524,1.43195138
9350,0.885558746,-1.555821657,-0.429092932,0.643243931,0.476368237,0.539746991,-0.026341103,1.449626655
9400,1.039795091,-1.493579375,-0.209381499,0.131046945,0.530680956,0.214752717,-0.220289913,1.610523839
9450,1.68374644,-1.474801958,-0.499668168,-0.627880416,0.494877268,-0.382382739,0.007166842,1.303076726
9500,1.594520044,-1.416087272,-0.490091396,-0.200532511,0.159111167,-0.385585575,-0.058677244,1.355475819
9550,1.21190694,-1.384173502,-0.35569465,-0.169878987,0.433023077,-0.230301851,-0.25462323,1.286101558
9600,1.788970521,-1.338963802,-0.647867865,0.397245186,0.157069062,-0.536916327,-0.080711941,1.050080505
9650,1.549581578,-1.698663832,-0.736802701,-0.032028844,0.735815315,0.284889884,0.043177036,1.558793299
9700,1.356839729,-1.911746167,-0.872395293,0.461734418,0.118263197,-0.446863143,0.030435256,1.43769524
9750,1.182428689,-1.583334316,-0.753067931,-0.074173664,-0.116072462,-0.120932791,-0.043952696,1.476545221
9800,0.758095235,-2.014681674,-0.807024719,-0.050265016,0.369349941,-0.486954411,-0.288291308,1.112188475
9850,1.120133148,-2.007873208,-0.559452136,-0.306300193,0.311580394,-0.487104994,-0.411034694,1.059362907
9900,2.108616775,-2.250979758,-1.151594235,-0.025848222,0.183835456,-0.693320062,-0.243877421,1.116499537
9950,2.097474865,-2.332437489,-0.750707975,0.161334075,0.194413333,-0.897606285,-0.283280804,0.877109103
