Accumulation Rate Records for Moderate Precipitation Scenario Assimilated,,,,,
Released July 2020,,,,,
Units:,,,,,
Time is in years before 1950 CE (BP).,,,,,
Accumulation rate is dimensionless (fraction relative to the reference period).,,,,,
Values are for the middle of the interval. For example the value at time 100 BP is the average over time 75 to 125 BP.,,,,,
The timescales are all equivalent to the GICC05 timescale.,,,,,
Missing data = -999999,,,,,
Reference for Fraction:,,,,,
mean over 100 to -50 BP,,,,,
Citations:,,,,,
For GISP2 cite: Cuffey K. M. and Clow G. D.: Temperature accumulation and ice sheet elevation in central Greenland through the last deglacial transition. Journal of Geophysical Research: Oceans. 102. 26 383-26 396. 1997.,,,,,
For NEEM cite: Rasmussen S. O. and Abbott P. and Blunier T. and Bourne A. and Brook E. J. and Buchardt S. L. and Buizert C. and Chappellaz J. and Clausen H. B. and Cook E. et al.: A First chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past. 9. 2013.,,,,,
For GRIP and NGRIP and Dye3 cite: Badgeley J. A. and Steig E. J. and Hakim G. J. and Fudge T. J.: Greenland temperature and precipitation over the last 20000 years using data assimilation. Climate of the Past. in press. 2020. (preprint: https://doi.org/10.5194/cp-2019-164),,,,,
Data:,,,,,
Age,GISP2 Accumulation Rate,NEEM Accumulation Rate,GRIP Accumulation Rate,NGRIP Accumulation Rate,Dye3 Accumulation Rate
3200,0.985574086,1.019948012,1.008832217,1.027092667,1.110388181
3250,1.052347095,1.01795164,1.013195749,0.974613845,1.102926268
3300,0.963663555,1.022901483,1.030749303,1.002106424,1.143635582
3350,0.991261531,1.028813258,1.038369047,1.082413288,1.173461792
3400,0.928997278,1.026151429,1.010326819,1.001364163,1.105504241
3450,0.953316059,1.019723239,1.036225768,0.991389909,1.077529908
3500,1.020695638,1.012705322,1.010936206,1.021569088,1.095144989
3550,1.015568766,1.024155862,1.015302946,0.988084438,1.104870308
3600,0.982161148,1.026892616,1.012424394,1.026309919,1.095813802
3650,0.974956729,1.02814619,1.083195076,1.020274469,1.162081719
3700,0.94010428,1.024230786,1.020426608,1.023234837,1.149592184
3750,0.958593167,1.032358873,0.987923828,0.998347884,1.077193901
3800,1.032785852,1.024082549,1.060025539,1.039410345,1.115053876
3850,1.004504612,1.017731701,1.00408381,0.989816701,1.120701992
3900,0.942643355,1.007388108,1.005153444,1.01440675,1.087987722
3950,0.963602269,1.038785452,1.131655778,0.974081731,1.088798619
4000,0.957049346,1.046247275,1.01316528,1.10928121,1.1259725
4050,0.953787388,1.033908116,1.001218889,1.076863681,1.103362117
4100,0.957966619,1.005614092,0.962818685,0.965911075,1.080139881
4150,1.003060527,1.001330512,0.946400516,0.945691691,1.056020667
4200,0.991890572,1.01846886,0.970543468,0.974540583,1.037698052
4250,0.946748119,1.014406025,0.981691241,1.031298491,1.038121101
4300,0.922548152,1.017879132,1.028629278,0.997677921,0.998883817
4350,0.939766751,1.005763135,0.969382425,1.047261924,0.970394594
4400,0.967682897,0.987588736,1.007053769,0.952222624,0.98194715
4450,0.933720954,0.975841721,0.9345752,0.887913897,0.985224977
4500,0.932799924,0.998671099,1.038068362,0.99292745,1.008183848
4550,1.022969874,1.024155862,1.037522319,1.034083416,1.034294462
4600,0.989404598,1.006945007,0.960129364,0.991294476,0.95703016
4650,0.926554689,1.000443504,0.966260118,0.916063907,1.010388053
4700,0.970999031,1.020093027,1.053453781,1.023240621,0.985739868
4750,0.927606091,1.029253137,0.961749853,1.042608815,1.014279972
4800,0.995697351,1.005317617,0.976103323,0.965650802,0.975061889
4850,0.985845032,0.98780787,0.912666132,0.919204539,0.968792321
4900,1.030171344,0.998964352,0.943751286,0.948495895,0.927784761
4950,0.990149098,1.023048915,1.011288208,0.999001459,1.011920244
5000,1.008903387,1.044326633,1.021507468,1.02156716,1.011890164
