-40000  -30
-39076  -30
-38114  -30
-37537  -30
-37152  -30
-36498  -30
-35921  -30
-35151  -30
-34574  -30
-33997  -30
-33419  -30
-32804  -30
-32303  -30
-31803  -30
-31110  -29
-30610  -29
-30187  -29
-29725  -28
-29263  -27
-28801  -26
-28417  -26
-28070  -25
-27647  -23
-27339  -20
-27070  -17
-26800  -13
-26569  -8
-26454  -4
-26300  0
-26261  1
-26035  21
-25656  53
-25200  87
-24858  113
-24323  148
-23980  173
-23287  208
-22903  230
-22129  262
-21585  279
-21234  288
-20959  291
-20604  294
-19934  297
-19460  299
-19026  300
-18710  300
-18077  300
-17522  297
-17125  294
-16687  288
-16210  283
-15851  277
-15450  266
-14687  243
-14365  232
-14001  218
-13355  192
-13111  178
-12667  161
-12179  136
-11897  126
-11614  115
-11413  107
-10888  87
-10604  73
-10401  62
-10197  52
-9791  30
-9547  18
-9302  4
-9149  -2
-9012  -9
-8778  -16
-8655  -20
-8572  -22
-8476  -26
-8242  -33
-8118  -37
-7953  -42
-7761  -49
-7624  -53
-7541  -55
-7418  -58
-7185  -63
-7062  -65
-6953  -67
-6789  -68
-6531  -70
-6395  -70
-6259  -70
-6110  -70
-5838  -70
-5689  -69
-5568  -68
-5432  -67
-5162  -65
-5013  -63
-4905  -62
-4783  -60
-4526  -57
-4405  -55
-4311  -53
-4162  -50
-3920  -45
-3812  -43
-3705  -41
-3584  -38
-3341  -33
-3247  -31
-3139  -29
-2977  -26
-2707  -22
-2532  -19
-2356  -16
-2072  -13
-1965  -11
-1829  -10
-1708  -8
-1451  -4
-1316  -3
-1181  -1
-1059  0
-789  4
-695  5
-560  7
-411  8 
-329  8
-247  7
-165  5
-96  3
-27  0
0  0

