# Greenland Ice Sheet Holocene Ice Mass Loss Simulations and Climate Reconstructions 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/30172 
#       Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/gcmoutput/briner2020/briner2020holocene-ice-loss.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data Type: Paleoclimate Modeling
#
# Dataset DOI: 
#
# Parameter_Keywords: other model 
#--------------------
# Contribution_Date
#	Date: 2020-07-20
#--------------------
# File_Last_Modified_Date
#	Date: 2020-07-20
#--------------------
# Title
#	Study_Name: Greenland Ice Sheet Holocene Ice Mass Loss Simulations and Climate Reconstructions 
#--------------------
# Investigators
#	Investigators: Briner, J.P.; Cuzzone, J.K.; Badgeley, J.A.; Steig, E.J.; Morlighem, M.; Schlegel, N.-J.; Larour, E.
#--------------------
# Description_Notes_and_Keywords
#	Description: Greenland ice sheet mass loss simulations from an ensemble (n=9) spanning 12,000 years ago to 1850 CE. 
#	It also includes Gt/yr data from an ensemble of simulations from 1850 to 2012 CE, and Gt/yr data from an ensemble of 
#	simulations from 2000-2100 CE following representative concentration pathway climates as part of CMIP6/ISMIP6.  
#	Gridded temperature and precipitation reconstructions for the past 20,000 years are also included in netCDF file format. 
#	Greenland gridded temperature and precipitation reconstructions are from data assimilation of ice-core data and a transient climate model.
#	
#	Provided Keywords: ice sheet model, Holocene, Greenland Ice Sheet, Ice mass loss, mass loss rate, 2100, RCP, Paleoclimate, climate change
#
#--------------------
# Publication 
#	Authors: Jason P. Briner, Joshua K. Cuzzone, Jessica A. Badgeley, Nicol·s E. Young, Eric J. Steig, Mathieu Morlighem, Nicole-Jeanne Schlegel, Gregory J. Hakim, Joerg M. Schaefer, Jesse V. Johnson, Alia J. Lesnek, Elizabeth K. Thomas, Estelle Allan, Ole Bennike, Allison A. Cluett, Beata Csatho, Anne de Vernal, Jacob Downs, Eric Larour, Sophie Nowicki 
#	Published_Date_or_Year: 2020-10-01   
#	Published_Title: Rate of mass loss from the Greenland Ice Sheet will exceed Holocene values this century
#	Journal_Name: Nature
#	Volume: 586
#	Edition: 
#	Issue: 7827
#	Pages: 70-74
#	Report_Number: 
#	DOI: 10.1038/s41586-020-2742-6
#	Online_Resource: https://www.nature.com/articles/s41586-020-2742-6
#	Full_Citation: 
#	Abstract: The Greenland Ice Sheet (GIS) is losing mass at a high rate. Given the short-term nature of the observational record, it is difficult to assess the historical importance of this mass-loss trend. Unlike records of greenhouse gas concentrations and global temperature, in which observations have been merged with palaeoclimate datasets, there are no comparably long records for rates of GIS mass change. Here we reveal unprecedented mass loss from the GIS this century, by placing contemporary and future rates of GIS mass loss within the context of the natural variability over the past 12,000 years. We force a high-resolution ice-sheet model with an ensemble of climate histories constrained by ice-core data. Our simulation domain covers southwestern Greenland, the mass change of which is dominated by surface mass balance. The results agree favourably with an independent chronology of the history of the GIS margin. The largest pre-industrial rates of mass loss (up to 6,000 billion tonnes per century) occurred in the early Holocene, and were similar to the contemporary (ad 2000-2018) rate of around 6,100 billion tonnes per century. Simulations of future mass loss from southwestern GIS, based on Representative Concentration Pathway (RCP) scenarios corresponding to low (RCP2.6) and high (RCP8.5) greenhouse gas concentration trajectories, predict mass loss of between 8,800 and 35,900 billion tonnes over the twenty-first century. These rates of GIS mass loss exceed the maximum rates over the past 12,000 years. Because rates of mass loss from the southwestern GIS scale linearly with the GIS as a whole, our results indicate, with high confidence, that the rate of mass loss from the GIS will exceed Holocene rates this century.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: 1504267
#------------------
# Site_Information 
#	Site_Name: Greenland Ice Sheet
#	Location: North America>Greenland
#	Country: Greenland
#	Northernmost_Latitude: 87.16
# 	Southernmost_Latitude: 53.81
# 	Easternmost_Longitude: -3.75
# 	Westernmost_Longitude: -86.25
# 	Elevation:  
#------------------
# Data_Collection   
#	Collection_Name: Briner2020HoloceneIceLoss 
#	Earliest_Year: 12000
#	Most_Recent_Year: 100
#	Time_Unit: Cal. Year BP
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## age	age, , , calendar year before present, , paleoclimatic modeling, , ,N,
## sim1	ice mass loss, , , gigaton per century, ,paleoclimatic modeling,,,N,simulation 1
## sim2	ice mass loss, , , gigaton per century, ,paleoclimatic modeling,,,N,simulation 2
## sim3	ice mass loss, , , gigaton per century, ,paleoclimatic modeling,,,N,simulation 3
## sim4	ice mass loss, , , gigaton per century, ,paleoclimatic modeling,,,N,simulation 4
## sim5	ice mass loss, , , gigaton per century, ,paleoclimatic modeling,,,N,simulation 5
## sim6	ice mass loss, , , gigaton per century, ,paleoclimatic modeling,,,N,simulation 6
## sim7	ice mass loss, , , gigaton per century, ,paleoclimatic modeling,,,N,simulation 7
## sim8	ice mass loss, , , gigaton per century, ,paleoclimatic modeling,,,N,simulation 8
## sim9	ice mass loss, , , gigaton per century, ,paleoclimatic modeling,,,N,simulation 9
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age	sim1	sim2	sim3	sim4	sim5	sim6	sim7	sim8	sim9
-3450	1063	1100	1330	545	905	1279	84	-110	711
-3350	594	1639	1547	1212	1640	1698	835	1122	2393
-3250	1068	1417	1738	1476	2292	2409	2233	1898	2407
-3150	861	1602	1765	17	1165	1105	107	561	1653
-3050	543	1104	1533	188	1410	1420	424	-102	1209
-2950	1054	1219	1461	1868	1453	1818	1403	2210	1414
-2850	840	1591	1484	0	852	1293	642	-145	1532
-2750	1358	1424	1563	753	682	1209	-286	80	922
-2650	-822	1119	1246	-1080	607	336	-843	-1500	-492
-2550	208	23	612	-182	635	281	58	822	1286
-2450	-560	373	620	-24	353	1279	782	415	1283
-2350	467	750	735	-657	217	415	-1863	-1348	-902
-2250	440	936	1166	-296	316	269	-452	-1014	-211
-2150	-514	662	479	-98	374	793	329	656	1014
-2050	-215	151	148	-353	290	305	-363	-1151	169
-1950	-952	-504	-208	-1700	-761	-1060	-3154	-2622	-2078
-1850	1072	1370	1029	340	146	834	795	703	1159
-1750	503	1028	1397	217	813	872	989	722	1781
-1650	-474	681	326	-43	474	902	134	481	984
-1550	1386	1080	1358	1051	1001	960	302	232	670
-1450	975	1400	1676	415	1178	1140	868	1018	1110
-1350	-19	130	500	-161	243	442	544	62	867
-1250	-707	224	441	-1465	-21	-475	-1586	-1287	-328
-1150	33	27	346	55	-172	272	-143	-191	-98
-1050	-774	-614	-232	-660	-292	-179	-955	-1109	-514
-950	893	1233	687	-80	441	238	-247	-496	-417
-850	586	612	1313	1156	1145	1081	599	882	1628
-750	83	1050	756	-523	325	436	-79	-110	43
-650	1368	1573	1367	1630	949	1836	1405	1755	1715
-550	1389	1450	1628	1437	1498	1603	1178	1034	1669
-450	920	1313	1302	714	1038	1159	520	543	682
-350	996	813	1064	51	623	965	128	-113	177
-250	465	639	932	392	465	837	249	179	388
-150	68	547	311	401	780	164	875	1025	1271
