Oxygen isotopes -- snowpits; GISP2 Site 15

REFERENCES: 

Bolzan, J.F., and M. Strobel. 1994. Accumulation-rate variations around
Summit, Greenland. Journal of Glaciology 40:56-66.

DATA DESCRIPTION: 

These files contain oxygen-isotope profiles for 9 shallow cores (to
approximately 17 m depth) recovered over a 150 x 150 km survey grid in
central Greenland.  All cores were recovered in May, 1987.  Isotopic data
in the upper 2 m of each profile were from the shallow drilling pits. 
Details on the site location, the core recovery, and the assignment of
core loss are given in Bolzan and Strobel, (1994). 

For the data below, all depths are in cm.  Dating of samples was based on
the seasonal variation in the oxygen isotope stratigraphy, along with
measurements of gross beta activity (see Bolzan and Strobel, 1994).  Time
is in decimal years, where 87 = 1987, etc. 

The first 2 columns refer to the true depth and age at the top of the
sample, where the age is based on a spline interpolation of the dating
described in Bolzan and Strobel (1994).  The time is in decimal calendar
years. 

Column 3 is density in kg/m3. 

Column 4 are the O18 values in per mil. 

Column 5 is the ice-equivalent depths at the top of the sample.

SITE 15: N 72 58 53, W 37 42 15, 3188 m				

DATA:				

Depth Top	Cal. Year	Density	del18O	Ice depth
(cm)	Top	kg/m^3	(per mil)	(cm)

0	1987.64	351.59	-38.11	0
10	1987.43	339.66	-36	3.83
20	1987.23	365.36	-38.31	7.53
30	1987	365.36	-38.5	11.51
40	1986.77	312.12	-34.33	15.49
50	1986.58	276.32	-32.15	18.89
60	1986.42	317.63	-37.82	21.9
70	1986.23	366.28	-39.31	25.36
80	1986	366.28	-39.19	29.35
90	1985.75	358.94	-30.9	33.34
100	1985.5	355.27	-30.16	37.25
110	1985.28	376.38	-34.38	41.12
120	1985.09	403	-36.79	45.22
130	1984.92	369.95	-35.88	49.61
140	1984.78	373.63	-34.67	53.64
150	1984.6	348.84	-32.49	57.71
160	1984.38	338.74	-33.08	61.51
170	1984.13	369.04	-39.68	65.2
180	1983.9	389.23	-36.57	69.22
190	1983.73	384.64	-36.82	73.46
200	1983.59	420.44	-34.65	77.65
205	1983.5	420.44	-34.24	79.94
210	1983.39	343.33	-36.49	82.23
215	1983.29	343.33	-39.29	84.1
220	1983.18	343.33	-41.39	85.97
225	1983.06	343.33	-42.27	87.84
230	1982.93	359.86	-37.51	89.71
235	1982.79	370.87	-32.34	91.67
240	1982.64	370.87	-30.37	93.69
245	1982.5	370.87	-30.51	95.71
250	1982.37	370.87	-34.58	97.73
255	1982.24	370.87	-38.41	99.75
260	1982.12	376.38	-40.02	101.77
265	1982	376.38	-39.7	103.82
270	1981.88	378.22	-37.4	105.87
275	1981.76	376.38	-34.03	107.93
280	1981.63	374.54	-31.17	109.98
285	1981.5	370.87	-31.57	112.02
290	1981.36	383.72	-33.79	114.04
295	1981.21	387.4	-37.09	116.13
300	1981.07	361.69	-39.07	118.24
305	1980.94	361.69	-38.58	120.21
310	1980.81	359.86	-36.04	122.18
315	1980.69	361.69	-31.83	124.14
320	1980.56	359.86	-31	126.11
325	1980.43	361.69	-32.3	128.07
330	1980.3	359.86	-34.8	130.04
335	1980.15	361.69	-36.64	132
340	1980	359.85	-36.69	133.97
345	1979.85	361.69	-36.08	135.93
350	1979.7	365.37	-35.18	137.9
355	1979.56	370.87	-34.2	139.89
360	1979.44	372.71	-34.42	141.91
365	1979.35	370.87	-34.68	143.94
370	1979.26	372.71	-36.16	145.96
375	1979.17	370.87	-38.06	147.99
380	1979.07	372.21	-38.4	150.01
385.5	1978.92	370.54	-38.14	152.24
391	1978.75	387.4	-36.7	154.46
396	1978.59	395.57	-33.8	156.57
401.5	1978.42	396.58	-34.44	158.94
406.5	1978.29	396.57	-36.38	161.1
411.5	1978.17	402.08	-38.28	163.26
416.5	1978.06	400.25	-39.18	165.45
421.5	1977.94	400.58	-38.96	167.63
427	1977.81	400.58	-37.29	170.03
432.5	1977.68	400.25	-33.77	172.43
437.5	1977.56	402.08	-32.36	174.61
442.5	1977.44	405.75	-32.74	176.8
447.5	1977.32	407.26	-34.38	179.01
453	1977.19	407.59	-38.32	181.45
458	1977.07	422.28	-39.17	183.67
463	1976.93	437.3	-38.05	185.97
468.5	1975.8	427.29	-35.74	201.4
474	1975.6	427.29	-34.36	203.96
479.5	1975.4	427.79	-35	206.52
484.5	1975.24	425.62	-38.16	208.85
490	1975.07	424.12	-40.43	211.4
495	1974.94	425.95	-40.17	213.71
500	1974.82	424.12	-38.37	216.03
505	1974.71	425.62	-35.09	218.34
510.5	1974.57	425.95	-31.98	220.89
515.5	1974.42	424.12	-33.54	223.21
520.5	1974.25	405.75	-37.42	225.52
525.5	1974.08	407.59	-37.61	227.73
530.5	1973.92	405.76	-36.8	229.95
535.5	1973.76	412.27	-34.92	232.16
541	1973.58	422.28	-33.97	234.63
546	1973.42	435.13	-36.1	236.93
551	1973.25	435.13	-39.75	239.3
556	1973.08	435.13	-41.49	241.67
561	1972.92	433.3	-40.02	244.04
566	1972.77	435.13	-37.66	246.4
571	1972.38	427.79	-35.81	254.43
576	1972.29	427.79	-36.33	256.76
581	1972.19	436.56	-38.02	259.09
585.5	1972.08	464.51	-38.73	261.23
590.5	1971.91	407.59	-36.19	263.76
595.5	1971.75	418.61	-33.72	265.98
600.5	1971.58	468.18	-31.37	268.26
605.5	1971.43	466.35	-32.47	270.81
610.5	1971.31	466.35	-34.86	273.35
615.5	1971.23	468.18	-37.71	275.89
620.5	1971.16	469.2	-39.14	278.44
625	1971.11	471.85	-40.1	280.74
630	1971.04	470.02	-40.75	283.31
635	1970.95	471.85	-39.86	285.87
640	1970.85	471.85	-37.69	288.44
645	1970.72	471.85	-34.91	291.01
