GISP2 Bidecadal Oxygen Isotope Data

REFERENCES: 

Stuiver, M., T.F. Braziunas, P.M. Grootes, and G.A. Zielinski. 1997. Is
there evidence for solar forcing of climate in the GISP2 oxygen isotope
record?  Quaternary Research 48:259-266.

Stuiver, M., P.M. Grootes, and T.F. Braziunas. 1995. The GISP2 18O climate
record of the past 16,500 years and the role of the sun, ocean and
volcanoes. Quaternary Research 44:341-354.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Steig, E.J., P.M. Grootes, and M. Stuiver. 1994. Seasonal precipitaion
timing and ice core records. Science 266:1885-1886.

DATA DESCRIPTION: 

This file contains the GISP2 bidecadal delta 18O data set back to 16,510
yr B.P., measured at the Quaternary Isotope Laboratory, University of
Washington, as of February 1st, 1997.  The timescale includes revisions by
D. A. Meese as of September 1994. The GISP2 depths below 167 meters are
those of the D core; above 167 meters the core depths are those of the B
core + 1.09 meters.  See the file gisp2age.dat for further information on
the timescale. 

Between 1650.29 and 1844.88 meters, the delta 18-O values of this time
series are based on high resolution data (0.2 meter). They differ slightly
from the 2-meter time series (file UW2md18O.dat). 

The data columns represent: 

(1) top depths of intervals (in meters)

(2) mean delta 18-O values (in per mil) over bidecadal intervals starting
at top depths.  Standard deviation in a single delta 18-O measurement is
0.14 per mil. Multiple measurements (such as for the ones below) reduce
the standard deviation to the 0.05 to 0.1 per mil range. 

(3) layer count ages at top depths (in yr BP) where 0 BP represents AD
1950 SUMMER to AD 1949 SUMMER

DATA:		

Depth	d18O	Age (top)
Top (m)	(per mil)	(yr BP)

819.73	-34.85	3890
822.98	-34.84	3910
826.16	-35.24	3930
829.43	-34.83	3950
832.51	-34.78	3970
835.68	-34.58	3990
838.91	-34.29	4010
841.97	-35.24	4030
845.24	-34.69	4050
848.41	-34.58	4070
851.39	-34.88	4090
854.59	-34.07	4110
857.7	-34.4	4130
860.78	-34.95	4150
864.11	-34.55	4170
867.35	-34.71	4190
870.53	-34.7	4210
873.76	-34.82	4230
876.97	-34.6	4250
879.93	-34.43	4270
883.11	-34.76	4290
886.42	-34.9	4310
889.42	-35.25	4330
892.7	-35.39	4350
895.77	-34.62	4370
898.9	-35.15	4390
901.97	-34.99	4410
905.16	-34.71	4430
908.3	-35.02	4450
911.47	-35.49	4470
914.66	-34.72	4490
917.64	-34.47	4510
920.65	-35.18	4530
923.82	-34.92	4550
926.77	-34.49	4570
929.86	-35.17	4590
932.89	-35.13	4610
935.9	-35.24	4630
939.04	-36.01	4650
942.03	-34.73	4670
945.34	-34.6	4690
948.21	-34.48	4710
951.45	-35.48	4730
954.41	-35.07	4750
957.38	-35.74	4770
960.22	-34.68	4790
963.28	-34.68	4810
966.28	-35.24	4830
969.41	-34.53	4850
972.47	-34.21	4870
975.42	-34.36	4890
978.47	-34.84	4910
981.49	-34.22	4930
984.61	-34.89	4950
987.54	-34.67	4970
990.33	-34.73	4990
993.33	-34.85	5010
996.23	-34.37	5030
999.22	-34.52	5050
1002.03	-35.28	5070
1004.95	-34.8	5090
1007.95	-34.34	5110
1010.7	-34.77	5130
1013.63	-34.68	5150
1016.47	-33.93	5170
1019.28	-34.25	5190
1022.04	-34.72	5210
1024.91	-34.8	5230
1027.85	-34.57	5250
1030.64	-34.66	5270
1033.46	-35.38	5290
1036.11	-34.93	5310
1038.82	-34.95	5330
1041.69	-34.78	5350
1044.52	-35.64	5370
1047.44	-35.26	5390
1050.36	-35.11	5410
1053.13	-34.5	5430
1055.84	-34.95	5450
1058.49	-34.68	5470
1061.21	-34.4	5490
1063.86	-34.63	5510
1066.49	-34.52	5530
1069.27	-34.55	5550
1071.92	-34.6	5570
1074.73	-34.49	5590
1077.42	-34.7	5610
1080.03	-34.66	5630
1082.64	-34.72	5650
1085.31	-34.33	5670
1087.73	-34.85	5690
1090.31	-34.42	5710
1092.83	-35.23	5730
1095.29	-34.57	5750
1097.74	-34.85	5770
1100.39	-34.56	5790
1102.92	-34.74	5810
1105.67	-35.39	5830
1108.14	-34.24	5850
1110.77	-34.72	5870
1113.44	-34.27	5890
1116.15	-35.17	5910
1118.79	-34.37	5930
1121.41	-34.52	5950
1124.04	-34.84	5970
1126.88	-34.56	5990
1129.47	-34.47	6010
1132.04	-35.1	6030
1134.69	-34.65	6050
1137.28	-34.76	6070
1139.79	-35.47	6090
1142.22	-35.19	6110
1144.74	-34.54	6130
1147.28	-34.49	6150
1150.17	-34.41	6170
1152.63	-34.61	6190
1155.16	-34.97	6210
1157.62	-35.08	6230
1160.01	-34.88	6250
1162.42	-35.12	6270
1165.05	-35.35	6290
1167.6	-34.42	6310
1170.18	-34.82	6330
1172.74	-34.62	6350
1175.32	-34.84	6370
1178.02	-34.4	6390
1180.44	-34.17	6410
1182.99	-35.15	6430
1185.47	-34.86	6450
1188.04	-34.9	6470
1190.42	-34.36	6490
1193.04	-35.21	6510
1195.54	-34.69	6530
1198.11	-35.37	6550
1200.75	-35.07	6570
1203.19	-34.39	6590
1205.81	-35.04	6610
1208.38	-34.85	6630
1210.76	-34.3	6650
1213.36	-34.95	6670
1215.79	-34.82	6690
1218.3	-34.94	6710
1220.71	-35.14	6730
1223.15	-34.28	6750
1225.52	-34.02	6770
1227.92	-34.19	6790
