GISP2 Stable Isotopes (Deuterium, High Resolution)

REFERENCES: 

Barlow, L.K., J.C. Rogers, M.C. Serreze, and R.G. Barry. 1997. Aspects of
climate variability in the North Atlantic sector: Discussion and relation
to the Greenland Ice Sheet Project 2 high-resolution isotopic signal.
Journal of Geophysical Research 102:26333-26344.

White, D.E., J.W.C. White, E.J. Steig, and L.K. Barlow. 1997.
Reconstructing annual and seasonal climatic responses from volcanic events
since A.D. 1270 as recorded in the deuterium signal from the Greenland Ice
Sheet Project 2 ice core. Journal of Geophysical Research 102:19683-19694.

Barlow, L.K. 1994. Evaluation of seasonal to decadal scale deuterium and
deuterium excess signals, GISP2 ice core, Summit, Greenland, A.D. 1270
1985. Ph.D. Thesis, University of Colorado, Boulder, Colorado, USA.

Barlow, L.K., J.W.C. White, R.G. Barry, J.C. Rogers, and P.M. Grootes.
1993. The North Atlantic oscillation signature in deuterium and deuterium
excess signals in the Greenland Ice Sheet Project 2 ice core, 1840-1970.
Geophysical Research Letters 20:2901-2904.

DATA DESCRIPTION: 

These are the high resolution (~10 samples per year) hydrogen isotope
(delta deuterium) data produced in the Stable Isotope Laboratory of at the
University of Colorado. All data are from the GISP2 "B" core.  The ages
given in this file are from the final B-core timescale (file
bcoreage.dat). 

DATA: 

Depth   delta Deuterium	Age
Top (m) (per mil)	(yr BP 1950)

5.4664	-276.86	-29.1248
5.4994	-271.13	-29.0688
5.5324	-269.69	-29.0129
5.5654	-272.64	-28.9331
5.5984	-288.23	-28.8462
5.6315	-303.89	-28.7593
5.6645	-316.34	-28.6725
5.6975	-322.25	-28.5856
5.7305	-316.87	-28.4987
5.7630	-311.03	-28.4132
5.7960	-306.46	-28.3263
5.8290	-303.34	-28.2394
5.8620	-295.88	-28.1525
5.8951	-283.08	-28.0656
5.9281	-266.89	-27.9868
5.9611	-248.69	-27.9327
5.9941	-242.18	-27.8785
6.0271	-242.36	-27.8244
6.0601	-249.34	-27.7703
6.0931	-259.23	-27.7162
6.1262	-269.41	-27.6620
6.1592	-278.81	-27.6079
6.1922	-287.26	-27.5538
6.2252	-293.60	-27.4997
6.2582	-297.74	-27.4456
6.2912	-297.58	-27.3914
6.3242	-292.63	-27.3373
6.3572	-287.50	-27.2832
6.3903	-281.80	-27.2291
6.4233	-272.96	-27.1750
6.4563	-260.54	-27.1209
6.4893	-245.13	-27.0667
6.5223	-228.66	-27.0126
6.5553	-220.30	-26.9578
6.5883	-216.63	-26.9028
6.6214	-218.39	-26.8478
6.6544	-223.70	-26.7927
6.6874	-236.84	-26.7377
6.7204	-246.78	-26.6827
6.7534	-257.89	-26.6277
6.7864	-272.27	-26.5726
6.8194	-285.08	-26.5176
6.8524	-292.70	-26.4626
6.8855	-292.17	-26.4076
6.9185	-285.39	-26.3526
6.9515	-268.14	-26.2975
6.9845	-257.23	-26.2425
7.0170	-249.93	-26.1883
7.0500	-246.31	-26.1333
7.0830	-247.64	-26.0783
7.1161	-252.17	-26.0233
7.1491	-262.74	-25.9640
7.1821	-283.38	-25.9017
7.2151	-302.03	-25.8395
7.2481	-313.73	-25.7772
7.2811	-313.91	-25.7149
7.3141	-305.00	-25.6526
7.3471	-285.57	-25.5903
7.3802	-270.02	-25.5280
7.4132	-258.90	-25.4657
7.4462	-250.06	-25.4034
7.4792	-240.56	-25.3411
7.5122	-235.78	-25.2788
7.5452	-233.03	-25.2166
7.5782	-232.79	-25.1543
7.6113	-234.48	-25.0920
7.6443	-242.58	-25.0297
7.6773	-253.68	-24.9640
7.7103	-267.44	-24.8952
7.7433	-279.38	-24.8265
7.7763	-284.88	-24.7577
7.8093	-286.62	-24.6889
7.8423	-284.24	-24.6201
7.8754	-280.09	-24.5513
7.9084	-277.05	-24.4826
7.9414	-269.64	-24.4138
7.9744	-259.57	-24.3450
8.0074	-250.39	-24.2763
8.0404	-244.73	-24.2075
8.0734	-248.22	-24.1388
8.1064	-259.12	-24.0701
8.1393	-272.42	-24.0014
8.1723	-283.03	-23.8803
8.2053	-286.49	-23.7582
8.2383	-284.49	-23.6360
8.2713	-278.98	-23.5139
8.3042	-271.91	-23.3917
8.3372	-262.52	-23.2696
8.3702	-255.61	-23.1474
8.4032	-252.97	-23.0252
8.4362	-253.55	-22.9362
8.4692	-253.41	-22.8557
8.5021	-254.50	-22.7753
8.5351	-259.38	-22.6949
8.5681	-269.31	-22.6144
8.6011	-283.00	-22.5340
8.6341	-290.35	-22.4535
8.6670	-293.97	-22.3731
8.7000	-291.21	-22.2926
8.7330	-280.94	-22.2122
8.7665	-263.69	-22.1305
8.7995	-253.58	-22.0501
8.8325	-246.59	-21.9761
8.8654	-245.09	-21.9126
8.8984	-250.30	-21.8492
8.9314	-266.82	-21.7858
8.9644	-279.98	-21.7223
8.9974	-290.92	-21.6589
9.0303	-297.90	-21.5955
9.0633	-299.11	-21.5321
9.0963	-299.12	-21.4687
9.1293	-298.67	-21.4052
9.1623	-296.70	-21.3418
9.1953	-292.96	-21.2784
9.2282	-284.97	-21.2149
9.2612	-270.67	-21.1515
9.2942	-255.85	-21.0881
9.3272	-245.76	-21.0247
9.3602	-243.91	-20.9496
9.3931	-257.96	-20.8672
9.4261	-270.97	-20.7847
9.4591	-282.70	-20.7022
9.4921	-291.45	-20.6198
9.5251	-294.69	-20.5373
9.5581	-292.60	-20.4549
9.5910	-285.25	-20.3724
9.6240	-272.48	-20.2900
9.6575	-257.37	-20.2063
9.6905	-245.67	-20.1238
9.7235	-236.27	-20.0414
9.7564	-234.00	-19.9635
9.7894	-241.40	-19.8902
9.8224	-256.98	-19.8169
9.8554	-270.56	-19.7436
9.8884	-278.53	-19.6703
9.9214	-281.53	-19.5970
9.9543	-282.53	-19.5237
9.9873	-283.28	-19.4504
10.0203	-276.40	-19.3771
10.0533	-271.99	-19.3038
10.0863	-264.22	-19.2305
10.1192	-256.98	-19.1572
10.1522	-256.86	-19.0840
10.1852	-262.16	-19.0106
10.2182	-273.92	-18.9359
10.2512	-281.84	-18.8610
10.2842	-283.51	-18.7860
10.3171	-279.33	-18.7111
10.3501	-271.75	-18.6361
10.3831	-261.89	-18.5611
10.4161	-250.17	-18.4862
10.4491	-238.58	-18.4112
10.4820	-229.57	-18.3363
10.5150	-224.69	-18.2613
10.5480	-226.03	-18.1863
10.5815	-232.25	-18.1103
10.6145	-241.27	-18.0353
10.6475	-253.58	-17.9585
10.6804	-270.59	-17.8799
10.7134	-288.26	-17.8014
10.7464	-298.07	-17.7229
10.7794	-298.44	-17.6443
10.8124	-291.64	-17.5658
10.8453	-281.68	-17.4873
