GISP2 Oxygen Isotope Data (1 year averages)

REFERENCES: 

Grootes, P.M., and M. Stuiver. 1997. Oxygen 18/16 variability in Greenland
snow and ice with 10^3 to 10^5-year time resolution. Journal of
Geophysical Research 102:26455-26470.

Stuiver, M., P.M. Grootes, and T.F. Braziunas. 1995. The GISP2 18O climate
record of the past 16,500 years and the role of the sun, ocean and
volcanoes. Quaternary Research 44:341-354.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Steig, E.J., P.M. Grootes, and M. Stuiver. 1994. Seasonal precipitaion
timing and ice core records. Science 266:1885-1886.

Grootes, P.M., M. Stuiver, J.W.C. White, S.J. Johnsen, and J. Jouzel. 1993.
Comparison of oxygen isotope records from the GISP2 and GRIP Greenland ice
cores. Nature 366:552-554.

DATA DESCRIPTION: 

This file contains the GISP2 delta 18O data over 1 year intervals, back to
1133 years B.P., measured at the Quaternary Isotope Laboratory, University
of Washington, as of February 1st, 1997. The timescale includes revisions
by D. A. Meese as of September 1994. The GISP2 depths below 167 meters are
those of the D core; above 167 meters the core depths are those of the B
core + 1.09 meters.  See the file gisp2age.dat for further information on
the timescale. 

The data columns represent:

(1) top depths of intervals (in meters)		

(2) mean delta 18-O values (in per mil) over annual intervals starting at		
top depths.  Standard deviation in a single delta 18-O measurement is 0.14		
per mil. Multiple measurements (such as for the ones below) reduce the		
standard deviation to the 0.05 to 0.1 per mil range.		

(3) layer count ages at top depths (in yr BP) where 0 BP represents AD		
1950 SUMMER to AD 1949 SUMMER		

DATA:		

Depth	d18O	Age
210.6	-35.46	743
210.89	-35.53	744
211.11	-34.88	745
211.32	-31.82	746
211.55	-32.62	747
211.76	-32.8	748
212.03	-35.72	749
212.31	-36.02	750
212.52	-35.32	751
212.68	-34.81	752
212.89	-34.76	753
213.09	-35.9	754
213.33	-35.35	755
213.53	-35.83	756
213.73	-35.46	757
213.91	-33.5	758
214.17	-33.42	759
214.41	-34.3	760
214.59	-35.68	761
214.81	-34.72	762
215.04	-35.05	763
215.28	-35.47	764
215.51	-34.89	765
215.71	-36.84	766
215.94	-35.46	767
216.14	-35.03	768
216.36	-35.66	769
216.54	-36.53	770
216.8	-34.47	771
217.01	-34.85	772
217.25	-35.89	773
217.45	-35.55	774
217.63	-33.82	775
217.83	-34.04	776
218.07	-34.22	777
218.22	-34.59	778
218.37	-36.56	779
218.57	-35.93	780
218.91	-35.4	781
219.08	-35.26	782
219.3	-34.81	783
219.53	-34.88	784
219.72	-36.25	785
219.89	-35.29	786
220.09	-35.23	787
220.32	-37.26	788
220.56	-34.49	789
220.79	-35.37	790
221.09	-34.81	791
221.27	-34.7	792
221.52	-36.04	793
221.79	-36.55	794
222.06	-35.81	795
222.26	-35.45	796
222.42	-36.41	797
222.64	-36.44	798
222.86	-35.96	799
223.08	-34.89	800
223.38	-36.1	801
223.58	-34.17	802
223.82	-35.54	803
224.05	-34.44	804
224.29	-34.02	805
224.52	-34.69	806
224.75	-35.7	807
225.04	-34.51	808
225.31	-33.35	809
225.56	-34.92	810
225.8	-34.11	811
225.99	-35.71	812
226.23	-34.77	813
226.53	-34.55	814
226.83	-33.73	815
227.05	-35.06	816
227.33	-34.56	817
227.51	-34.11	818
227.75	-33.89	819
228.01	-34.17	820
228.27	-34.1	821
228.47	-34.99	822
228.75	-34.45	823
228.9	-33.48	824
229.18	-34.57	825
229.4	-36	826
229.63	-34.33	827
229.85	-31.45	828
230	-33.6	829
230.24	-33.91	830
230.4	-35.35	831
230.65	-34.71	832
230.8	-35.37	833
231.07	-35	834
231.39	-34.45	835
231.61	-33.68	836
231.9	-33.7	837
232.09	-36.27	838
232.42	-34.51	839
232.66	-36.35	840
232.89	-34.69	841
233.13	-34.69	842
233.36	-33.63	843
233.6	-35.01	844
233.83	-37.11	845
234.03	-34.38	846
234.26	-33.82	847
234.48	-32.93	848
234.75	-34.37	849
234.94	-36.22	850
235.22	-34.85	851
235.44	-34.59	852
235.7	-34.83	853
235.87	-35.17	854
236.13	-35.36	855
236.42	-35.48	856
236.84	-36.18	857
237.02	-35.02	858
237.25	-34.49	859
237.48	-34.91	860
237.69	-34.34	861
237.9	-35.12	862
238.11	-34.12	863
238.31	-34.98	864
238.52	-34.6	865
238.73	-34.4	866
238.94	-34.83	867
239.15	-33.24	868
239.36	-35.28	869
239.56	-34.87	870
239.77	-35.13	871
239.98	-35.95	872
240.19	-35.68	873
240.41	-35.63	874
240.59	-34.72	875
240.71	-34.36	876
240.9	-34.74	877
241.1	-34.69	878
241.3	-34.6	879
241.57	-34.29	880
241.75	-35.57	881
241.9	-35.27	882
242.13	-33.68	883
242.46	-34.37	884
242.71	-35.33	885
242.9	-36.37	886
243.18	-35.5	887
243.49	-32.92	888
243.73	-34.99	889
244.1	-35.9	890
244.21	-36.24	891
244.36	-35.45	892
244.63	-35.02	893
244.96	-35.76	894
245.23	-35.25	895
245.44	-34.33	896
245.63	-34.44	897
245.89	-36.3	898
246.25	-35.09	899
246.39	-33.28	900
246.51	-33.03	901
246.77	-34.71	902
247.01	-36.05	903
247.25	-36	904
247.54	-34.15	905
247.78	-34.36	906
248.06	-35.81	907
248.3	-36.43	908
248.48	-35.02	909
248.83	-33.94	910
249.06	-33.29	911
249.28	-35.03	912
249.52	-36.49	913
249.67	-35.04	914
249.99	-34.6	915
250.22	-36.48	916
250.4	-35.23	917
250.64	-34.2	918
250.8	-36.2	919
251.01	-37.27	920
251.14	-35.81	921
251.33	-34.25	922
251.65	-36.25	923
251.82	-36.51	924
252.01	-34.78	925
252.17	-35.24	926
252.48	-35.07	927
252.75	-33.9	928
253.03	-35.25	929
253.24	-34.03	930
253.5	-34.31	931
253.9	-33.91	932
254.16	-34.45	933
254.37	-34.36	934
254.67	-36.49	935
254.86	-34.47	936
255.09	-33.37	937
255.28	-32.63	938
255.5	-36.35	939
255.76	-34.55	940
255.99	-35.46	941
256.25	-35.52	942
256.47	-32.84	943
256.7	-35.01	944
256.92	-37.3	945
257.1	-35.94	946
257.41	-35.27	947
257.52	-32.85	948
257.86	-34.5	949
258.07	-35.96	950
258.46	-36.07	951
258.64	-34.96	952
258.87	-35.11	953
259.08	-34.77	954
259.34	-33.18	955
259.56	-32.89	956
259.79	-34.65	957
260.06	-33.25	958
260.16	-34.3	959
260.39	-33.35	960
260.57	-33.23	961
260.7	-35.23	962
260.9	-35.65	963
261.23	-35.81	964
261.35	-33.73	965
261.6	-33.8	966
261.8	-33.11	967
262.07	-33.16	968
262.35	-33.26	969
262.6	-35.31	970
262.83	-35.54	971
263.05	-33.88	972
263.28	-35.39	973
263.5	-35.55	974
263.75	-34.43	975
264.03	-31.76	976
264.29	-32.57	977
264.51	-33.92	978
264.77	-35.63	979
264.94	-34.71	980
265.22	-35.14	981
265.42	-35.09	982
265.79	-34	983
265.93	-33.35	984
266.14	-35.72	985
266.35	-36.01	986
266.59	-36.58	987
266.84	-35.41	988
267.03	-34.84	989
267.29	-34.89	990
267.51	-35.78	991
267.75	-36.44	992
267.94	-33.93	993
268.12	-33.56	994
268.34	-34.19	995
268.56	-33.38	996
268.85	-35.38	997
269.03	-33.03	998
269.34	-34.28	999
269.54	-33.83	1000
269.78	-35.7	1001
270.03	-34.39	1002
270.3	-33.83	1003
270.48	-34.68	1004
270.68	-35.94	1005
270.9	-35.5	1006
271.11	-33.88	1007
271.38	-33.93	1008
271.59	-34.23	1009
271.89	-35.37	1010
272.09	-33.27	1011
272.49	-34.12	1012
272.66	-34.36	1013
272.96	-34.3	1014
273.15	-33.31	1015
273.42	-34.53	1016
273.78	-34.61	1017
273.84	-34.87	1018
273.98	-35.28	1019
274.28	-35.21	1020
274.5	-33.81	1021
274.75	-34.51	1022
274.99	-35.12	1023
275.19	-33.24	1024
275.36	-33.72	1025
275.6	-35.12	1026
275.86	-35.41	1027
276.09	-33.93	1028
276.3	-35.64	1029
276.48	-35.42	1030
276.75	-36.48	1031
276.91	-35.99	1032
277.18	-34.94	1033
277.39	-34.88	1034
277.65	-35.03	1035
277.84	-36.25	1036
278.03	-34.31	1037
278.28	-33.82	1038
278.48	-35.33	1039
278.71	-35.51	1040
278.87	-33.11	1041
279.13	-35.75	1042
279.34	-34.98	1043
279.52	-34.74	1044
279.71	-34.95	1045
279.92	-33.15	1046
280.17	-35.45	1047
280.41	-35.77	1048
280.61	-35.94	1049
280.84	-35.79	1050
281.1	-37.08	1051
281.33	-35.63	1052
281.57	-33.94	1053
281.8	-34.67	1054
282.04	-33.52	1055
282.28	-34.25	1056
282.49	-35.75	1057
282.69	-34.35	1058
282.9	-34.49	1059
283.2	-35.01	1060
283.51	-34.59	1061
283.67	-36.29	1062
283.84	-34.94	1063
284.08	-34.3	1064
284.27	-35.31	1065
284.48	-35.18	1066
284.71	-36.05	1067
284.93	-35.43	1068
285.19	-34.69	1069
285.42	-35.6	1070
285.71	-35.36	1071
286.05	-35.4	1072
286.3	-36.07	1073
286.55	-36.14	1074
286.68	-35.66	1075
286.86	-35.34	1076
287.08	-33.65	1077
287.45	-33.67	1078
287.61	-36.24	1079
287.83	-34.81	1080
288.03	-36.33	1081
288.2	-35.71	1082
288.35	-35.16	1083
288.68	-34.5	1084
288.92	-34.91	1085
289.07	-35.1	1086
289.26	-34.95	1087
289.62	-34.31	1088
289.79	-35.22	1089
289.96	-35.85	1090
290.27	-34.79	1091
290.58	-34.04	1092
290.74	-36.6	1093
290.97	-37.33	1094
291.17	-36.43	1095
291.42	-37.51	1096
291.73	-36.39	1097
291.96	-34.7	1098
292.18	-35.26	1099
292.4	-35.79	1100
292.68	-34.67	1101
292.86	-34.94	1102
293.11	-34.19	1103
293.39	-33.85	1104
293.66	-36.39	1105
293.91	-37.65	1106
294.16	-34.97	1107
294.38	-36.7	1108
294.56	-36.35	1109
294.75	-35.13	1110
294.98	-34.15	1111
295.24	-33.57	1112
295.41	-35.69	1113
295.74	-36.02	1114
295.99	-35.13	1115
296.16	-35.59	1116
296.37	-33.66	1117
296.62	-35.46	1118
296.79	-35.5	1119
296.98	-33.88	1120
297.27	-33.54	1121
297.52	-33.26	1122
297.72	-34.37	1123
297.93	-33.98	1124
298.19	-34.11	1125
298.46	-34.67	1126
298.67	-36.52	1127
298.92	-35.51	1128
299.13	-35.55	1129
299.38	-36.77	1130
299.62	-35.39	1131
299.9	-36.2	1132
