age (yr)	total sulfate (ppb)	volcanic sulfate

343.18	26.90	0
345.32	95.58	0
346.89	57.64	9
348.15	31.22	0
349.75	48.99	17
351.28	51.87	23
352.88	35.54	10
354.81	35.54	0
356.82	32.18	0
361.47	67.24	16
362.36	105.18	55
363.65	26.90	0
365.48	25.94	0
367.38	30.26	0
368.64	37.94	0
370.18	35.06	0
371.76	33.14	0
372.67	34.10	0
373.79	26.90	0
375.33	20.65	0
377.00	29.30	0
379.09	60.52	10
380.83	34.10	0
382.62	34.58	0
384.64	27.38	0
386.76	32.66	0
388.92	26.42	0
390.36	32.18	24
392.35	31.22	0
394.32	40.34	0
395.96	19.69	0
397.79	26.90	0
399.30	33.14	0
400.50	26.90	0
402.54	24.50	0
404.74	28.82	0
406.76	29.78	0
408.38	41.79	0
409.78	34.10	0
411.13	24.01	0
411.98	22.09	0
413.56	29.30	0
415.41	21.13	0
417.10	28.82	0
418.77	33.14	0
420.39	41.31	0
422.61	27.86	0
424.88	26.90	0
426.72	28.82	0
428.55	30.26	0
430.97	38.42	0
433.00	30.26	0
435.25	47.07	0
437.24	23.53	0
438.71	29.78	0
440.28	24.50	0
442.22	30.74	0
444.74	36.98	0
446.95	29.78	0
448.46	22.57	0
449.90	32.18	0
451.65	45.15	0
452.78	37.94	0
454.00	36.50	0
455.17	31.22	0
457.51	31.70	0
458.90	28.82	0
460.48	23.53	0
462.38	24.98	0
464.23	28.82	0
465.94	65.80	11
468.03	56.19	0
469.92	26.42	0
470.99	95.10	36
473.91	30.26	0
476.37	26.42	0
478.30	50.91	1
480.88	29.30	0
483.46	22.09	0
485.14	36.98	0
487.24	42.27	0
489.17	97.02	51
490.47	87.89	56
492.35	26.90	0
498.34	35.54	0
499.33	32.18	0
501.60	29.30	0
503.57	28.82	0
505.22	26.90	0
506.83	36.98	0
509.09	27.86	0
510.39	26.42	0
511.75	23.53	0
513.58	25.94	0
515.21	34.10	0
516.79	28.34	0
518.79	31.22	0
520.12	25.94	0
521.45	28.34	0
522.71	34.10	0
523.70	43.23	1
525.14	34.58	0
526.63	32.66	0
528.48	33.14	0
530.28	30.74	1
531.95	24.01	0
533.50	44.67	0
535.07	26.90	0
537.00	30.26	0
538.90	33.62	0
540.28	23.53	0
542.00	29.78	0
544.11	24.01	0
546.31	23.53	0
548.00	21.13	0
549.89	27.38	0
551.44	36.02	0
555.41	28.09	0
557.22	22.86	0
558.65	23.77	0
560.46	27.42	1
562.66	34.53	1
564.83	37.79	12
566.60	26.22	0
568.66	32.03	1
570.55	41.68	0
572.36	34.86	0
574.01	39.57	0
575.91	35.34	0
578.07	28.96	0
580.27	25.02	0
582.06	24.06	0
584.02	35.25	0
585.52	31.50	0
587.42	32.99	0
589.59	36.02	0
591.66	30.59	0
593.63	26.65	0
595.74	27.23	0
597.48	25.79	0
599.48	28.86	0
601.65	29.87	0
603.74	35.15	0
605.36	86.15	46
607.14	38.47	0
609.33	39.33	0
611.41	25.40	0
613.14	30.64	0
614.98	30.73	0
616.85	32.99	0
619.26	38.42	0
621.23	63.48	19
623.21	43.27	2
624.94	30.21	3
627.15	31.07	0
628.71	24.64	0
631.23	29.77	0
633.08	26.27	0
635.10	25.50	0
637.22	28.86	0
639.01	23.34	0
641.01	26.60	0
643.21	26.84	0
645.07	24.88	8
646.79	28.09	0
648.88	25.31	0
651.35	31.69	0
653.04	21.71	0
655.16	28.52	0
657.23	34.14	0
659.30	39.28	0
661.57	32.94	0
663.54	74.96	37
665.14	39.52	0
667.34	28.04	0
669.34	26.03	0
671.38	28.09	0
673.28	47.93	12
675.32	24.40	0
677.16	21.90	0
678.86	34.86	0
681.12	32.99	0
683.18	24.73	0
685.36	41.78	11
687.28	32.08	0
689.49	47.06	6
691.38	380.61	323
693.46	32.80	0
695.46	27.04	0
698.15	26.17	0
700.23	30.40	0
702.08	23.48	0
704.01	25.21	0
706.19	32.94	0
707.78	26.12	0
709.72	22.62	0
711.84	31.89	0
713.88	25.60	0
715.99	26.12	0
717.94	27.52	0
719.88	112.13	63
721.91	68.19	31
724.31	55.61	6
726.33	24.49	0
728.72	22.38	0
731.39	35.20	0
733.36	23.10	0
735.13	27.66	0
737.10	41.01	0
739.17	38.37	4
742.70	44.42	12
744.45	67.90	33
746.54	34.48	0
748.51	41.54	0
750.20	35.20	0
752.61	36.74	0
754.72	96.57	55
756.93	32.37	0
759.00	22.76	0
761.16	30.06	0
763.17	57.10	12
765.12	34.14	3
767.24	32.37	0
769.46	33.57	0
771.46	26.65	0
773.51	181.23	139
775.87	27.95	0
778.25	35.06	0
780.42	20.79	0
782.39	36.16	0
784.47	105.17	63
786.92	30.01	0
788.86	22.91	0
790.63	27.28	0
792.65	21.99	0
794.36	25.31	0
796.50	29.10	0
798.70	37.79	0
800.56	29.58	6
802.50	27.04	0
804.43	27.32	0
806.37	22.76	0
808.06	25.36	0
809.80	43.46	0
811.86	31.98	0
813.62	28.86	0
815.17	34.00	0
816.97	23.10	0
819.09	34.53	0
820.83	23.39	0
822.74	29.15	0
824.82	32.03	0
826.79	39.95	5
829.14	43.84	0
831.34	28.62	0
833.51	27.18	0
835.00	24.16	0
836.80	29.77	0
838.62	32.89	0
840.37	46.63	5
842.29	34.34	0
844.21	51.19	12
846.30	132.92	86
848.26	26.36	0
850.22	26.89	0
852.05	29.92	0
854.13	37.74	0
855.77	31.45	0
856.92	33.38	0
859.03	31.45	0
861.08	33.71	0
863.24	35.92	0
865.42	26.32	0
867.57	38.27	0
869.75	31.65	0
871.91	33.90	0
874.01	30.25	0
876.79	31.50	0
879.04	25.69	0
881.08	32.70	0
883.25	31.36	0
884.81	38.42	0
886.76	39.33	0
888.30	34.72	0
889.76	40.87	3
891.99	30.93	3
893.89	18.97	0
895.62	36.98	3
897.69	26.75	0
899.07	38.47	0
901.77	38.51	0
903.62	31.12	0
905.28	20.22	0
906.99	35.49	0
909.07	25.88	0
910.54	31.45	0
912.52	36.98	0
914.57	24.88	0
916.45	29.53	0
918.69	25.88	0
921.31	26.56	0
922.99	77.46	35
925.54	37.79	0
927.24	23.19	0
928.87	33.33	19
930.78	50.47	3
931.98	24.44	0
933.85	29.05	0
935.62	29.87	0
937.76	37.02	0
939.70	37.17	0
941.54	48.21	1
943.47	39.38	1
945.59	39.23	0
947.58	42.35	0
949.30	42.55	0
950.77	43.32	0
952.77	46.24	7
954.71	36.35	0
956.66	30.64	0
958.99	35.87	0
