age (yr)	total sulfate (ppb)	volcanic sulfate

6840.27	22.31	0
6841.81	63.68	18
6844.21	31.74	0
6846.48	26.63	0
6848.65	31.24	0
6851.04	32.89	0
6853.00	29.12	0
6855.28	32.74	0
6857.59	32.17	0
6859.68	82.28	56
6861.97	23.28	0
6863.92	43.99	0
6866.19	24.72	0
6868.21	28.18	0
6870.07	33.82	0
6872.25	35.33	4
6874.36	36.61	0
6876.18	41.05	0
6878.63	26.76	0
6880.72	31.69	0
6882.92	46.75	7
6885.25	36.77	0
6887.68	38.49	0
6890.17	73.08	35
6892.65	26.50	0
6894.77	26.33	0
6896.88	31.82	0
6898.57	32.36	0
6901.65	28.99	0
6903.52	25.51	0
6905.71	28.59	0
6907.30	48.81	20
6910.81	30.36	0
6911.96	27.97	3
6914.29	24.04	0
6916.82	44.03	0
6918.36	48.45	11
6921.56	32.91	0
6923.27	39.02	0
6925.95	31.00	0
6927.96	32.74	0
6930.28	31.29	0
6932.30	41.25	3
6934.43	54.65	0
6937.00	128.69	95
6939.20	48.81	23
6940.90	30.38	0
6943.29	59.96	18
6945.71	63.23	27
6950.83	32.53	0
6952.75	27.19	0
6955.04	37.52	3
6957.82	33.95	0
6959.86	28.72	0
6962.29	49.33	5
6967.32	27.33	0
6969.37	41.36	0
6971.85	26.64	9
6974.30	40.23	0
6976.75	32.61	1
6979.67	29.29	0
6981.04	30.70	0
6983.41	32.53	0
6985.13	41.20	0
6987.62	59.00	4
6990.00	26.35	0
6992.25	40.66	0
6995.35	25.63	1
6997.92	43.24	0
6999.46	23.77	0
7001.63	37.10	0
7003.95	61.54	14
7006.26	41.88	17
7008.65	72.81	24
7011.24	57.66	24
7012.70	41.93	0
7015.42	32.58	0
7017.77	26.57	0
7019.93	23.65	0
7022.32	50.34	0
7024.78	41.90	0
7027.26	28.80	0
7030.20	35.55	0
7032.44	37.31	0
7034.81	42.39	0
7037.00	41.19	0
7039.10	47.56	0
7040.96	33.31	0
7043.46	33.69	0
7045.71	39.47	0
7048.10	41.90	15
7050.76	59.64	18
7052.62	29.13	0
7055.39	31.83	0
7057.85	34.85	0
7060.75	45.00	0
7062.38	35.78	2
7064.57	31.46	0
7069.28	27.27	0
7070.84	27.30	0
7073.42	37.16	0
7075.57	69.44	21
7078.04	35.13	5
7080.15	37.49	5
7084.52	36.35	0
7099.13	65.78	23
7101.30	73.13	34
7103.57	31.37	0
7106.38	32.23	0
7108.59	30.37	0
7110.18	29.88	0
7113.14	38.09	0
7114.68	41.39	0
7117.43	27.51	0
7119.21	33.27	0
7121.65	39.32	0
7124.11	37.17	0
7126.27	60.13	10
7128.52	33.65	1
7130.85	31.22	0
7133.21	48.33	5
7135.44	50.96	2
7137.70	60.99	0
7140.00	60.91	22
7142.17	44.45	5
7144.32	44.19	7
7146.63	61.94	20
7148.88	32.44	0
7151.40	31.92	0
7153.65	30.37	0
7155.90	32.48	0
7157.76	109.92	60
7159.57	25.06	0
7161.96	33.79	0
7164.00	58.24	0
7166.08	38.85	0
7167.97	42.15	0
7170.09	32.84	0
7172.19	38.57	0
7174.25	42.25	0
7176.39	28.75	0
7178.88	41.80	0
7182.28	33.55	7
7184.39	61.70	4
7186.13	87.23	26
7189.14	77.38	27
7191.44	55.85	21
7193.65	81.33	22
7195.76	37.23	0
7197.42	26.49	0
7204.90	31.74	0
7207.24	51.41	0
7209.67	31.34	0
7211.86	30.28	0
7213.60	36.63	0
7216.75	31.27	0
7218.78	35.97	0
7221.62	32.45	0
7223.57	44.36	0
7226.04	713.44	646
7227.68	440.50	406
7229.91	34.63	0
7232.50	27.69	0
7234.45	27.42	0
7236.05	38.70	0
7239.68	40.49	7
7241.74	30.04	0
7243.78	28.36	0
7246.25	33.23	0
7248.44	29.03	0
7253.69	44.02	0
7255.96	44.24	0
7260.95	30.50	0
7263.26	29.88	0
7265.85	44.25	0
7268.52	33.13	0
7270.45	32.47	0
7272.85	39.33	0
7275.11	26.96	0
7277.38	44.56	0
7279.52	33.31	0
7281.95	36.00	0
7283.66	33.99	0
7292.77	32.50	0
7294.84	40.02	0
7296.88	80.29	38
7299.24	36.02	0
7301.48	30.58	0
7303.60	31.73	0
7305.74	36.95	0
7307.26	34.57	1
7310.19	93.89	38
7312.83	25.40	3
7315.22	32.34	0
7317.38	34.24	0
7319.46	37.26	0
7322.18	35.36	0
7324.45	31.73	0
7327.00	24.59	0
7329.54	28.75	0
7331.59	26.31	0
7333.78	41.35	0
7335.80	36.32	0
7337.73	46.25	0
7340.50	70.74	16
7343.00	50.38	0
7345.48	33.37	0
7347.46	46.72	1
7349.62	34.13	1
7351.58	37.10	2
7353.60	44.10	0
7356.00	44.81	0
7358.65	44.70	0
7360.73	35.41	0
7363.06	44.57	1
7365.04	35.89	27
7367.00	60.71	6
7369.27	40.04	0
7371.50	54.10	5
7373.42	38.73	0
7375.48	31.19	0
7377.65	33.58	0
7382.63	42.45	0
7384.63	40.19	0
7386.64	55.31	0
7389.25	42.35	3
7391.57	38.66	0
7393.75	32.92	6
7395.88	46.58	4
7398.25	35.23	0
7400.27	31.70	0
7402.65	50.87	17
7405.08	86.52	34
7407.48	45.49	0
7409.95	37.07	0
7412.44	30.46	27
7414.33	36.58	0
7416.70	36.12	0
7419.20	29.43	0
7421.32	31.59	0
7423.52	39.61	0
7425.04	24.34	3
7427.73	29.95	0
7429.96	29.24	0
7432.09	32.32	0
7433.83	31.11	0
7436.26	29.66	0
7437.80	29.66	0
7440.74	33.50	0
7442.69	50.92	0
7444.90	49.32	0
7447.32	42.06	0
7449.04	28.20	0
7451.71	32.80	0
7453.87	33.38	0
7456.07	25.50	0
7458.00	30.83	0
7460.42	30.46	0
7462.76	36.65	0
7465.33	31.87	0
7467.55	71.45	17
7469.67	165.06	109
7472.35	39.64	0
7474.80	35.02	0
7477.00	43.22	0
7479.10	24.87	0
7481.46	37.38	0
7483.48	36.65	0
7485.73	46.38	2
7487.91	28.41	0
7490.36	31.25	0
7492.59	31.89	0
7494.83	40.27	0
7497.27	33.42	0
7499.73	38.33	0
7501.63	38.38	0
7503.95	31.80	0
7506.75	32.25	0
7507.96	36.78	0
7510.40	66.00	26
7512.89	25.08	0
7515.29	31.90	0
7517.77	49.33	0
7520.00	62.58	11
7522.27	48.63	2
7524.60	35.58	0
7529.36	50.44	0
7531.59	41.85	0
7534.06	54.37	13
7536.82	106.06	77
7539.10	40.12	0
7541.25	48.14	5
7543.60	27.24	0
7545.65	27.09	0
7547.85	36.89	0
7550.04	45.18	2
7552.20	50.56	19
7553.73	53.74	18
7556.33	46.04	8
7558.52	53.73	10
7560.73	55.10	10
7562.62	70.89	15
7565.04	38.36	0
7567.21	43.29	3
7569.27	23.61	0
7571.26	26.09	0
7573.39	29.04	0
7575.65	29.24	0
7578.08	110.28	67
7580.15	49.23	6
7582.60	39.81	0
7584.81	63.22	21
7586.77	89.04	35
7589.18	87.98	38
7591.52	37.09	0
7593.74	41.34	0
7595.60	35.99	0
7597.52	28.61	0
7600.10	34.96	0
7602.10	41.10	0
7604.45	31.63	0
7606.82	47.03	5
7608.87	44.40	5
7610.96	46.96	0
7613.05	59.24	8
7615.79	29.06	0
7618.26	32.53	0
7620.67	34.61	0
7622.80	208.43	152
7625.24	694.52	654
7627.65	41.60	0
7630.00	30.21	0
7633.00	62.43	7
7635.14	38.59	10
7637.50	118.76	76
7639.57	28.41	0
7641.62	31.10	0
7643.85	35.74	0
7645.87	29.37	0
7648.10	31.90	0
7650.46	45.72	27
7652.74	30.18	0
7655.06	29.74	0
7656.85	34.14	0
7659.23	29.35	0
7661.45	37.30	0
7663.67	40.43	0
7666.00	25.86	0
7668.40	27.30	0
7670.89	32.97	0
7673.76	27.72	2
7676.00	29.91	0
7678.12	39.35	0
7680.40	34.28	0
7682.50	30.87	0
7684.63	27.21	0
7686.74	54.73	18
7689.07	47.44	17
7691.08	54.00	10
7693.04	39.35	13
7695.07	33.28	0
7697.28	37.94	0
7699.55	66.32	26
7701.44	61.42	6
7703.59	45.69	13
7705.76	29.46	0
7708.17	41.50	0
7710.53	44.14	51
7713.09	29.15	0
7715.25	36.46	0
7717.56	30.36	0
7720.65	36.58	0
7722.75	44.94	0
7725.16	70.27	11
7727.22	33.89	0
7729.75	113.28	71
7731.85	32.08	0
7734.29	22.97	0
7736.50	26.37	0
7738.52	31.54	0
7740.84	33.28	0
7743.58	44.36	0
7745.44	23.48	0
7747.56	30.07	0
7750.03	33.74	0
7751.96	55.48	8
7754.41	43.69	3
7756.18	39.26	4
7758.85	40.25	0
7760.68	27.62	0
7762.79	28.09	0
7765.26	52.65	13
7767.55	52.54	12
7769.63	44.30	1
7771.59	39.07	0
7773.63	34.24	0
7776.11	37.59	0
7778.54	32.16	0
7780.69	31.36	0
7782.72	34.30	0
7784.78	46.46	1
7786.96	25.18	0
7789.30	31.21	0
7791.74	27.01	0
7793.84	50.83	9
7796.00	33.62	0
7798.46	42.50	0
7800.36	28.11	0
7802.18	56.43	22
7804.32	34.41	0
7806.56	29.17	0
7808.87	87.12	35
7811.48	36.18	0
7813.37	27.51	0
7815.38	24.66	0
7817.34	50.45	10
7819.43	79.81	33
7821.70	41.68	0
7824.16	28.15	0
7826.52	39.08	0
7828.80	37.53	0
7830.62	34.21	0
7832.62	58.24	10
7835.08	37.14	4
7837.21	36.98	0
7839.59	32.45	0
7841.80	38.13	0
7844.24	22.35	0
7846.82	31.77	0
7849.35	41.04	0
7851.77	32.73	0
7853.73	39.57	0
7855.52	57.08	7
7857.47	66.51	16
7859.86	46.63	5
7862.00	41.53	0
7864.57	30.38	0
7867.05	74.78	23
7869.63	83.42	31
7871.80	39.50	0
7874.10	55.82	0
7876.65	52.85	0
7878.18	50.89	22
7880.65	31.73	0
7882.81	33.17	0
7884.96	40.83	0
7887.21	41.12	0
7889.38	38.64	0
7891.89	47.13	1
7894.55	24.20	0
7896.56	32.01	0
7898.77	37.45	0
7901.00	44.98	1
7902.96	109.49	67
7905.78	28.37	0
7908.24	36.58	0
7910.23	44.65	0
7912.52	33.55	0
7914.85	31.13	0
7916.92	35.63	0
7919.30	35.51	0
7921.65	39.53	0
7923.96	51.14	12
7926.00	24.38	0
7928.11	46.39	0
7930.20	51.70	12
7932.53	41.13	0
7934.60	38.06	4
7937.00	31.59	0
7939.37	51.05	10
7942.05	43.52	6
7944.43	151.72	93
7947.17	33.93	4
7949.45	35.99	0
7952.00	33.61	0
7954.05	30.82	0
7956.36	78.46	36
7958.88	24.29	0
7961.41	27.95	7
7963.64	39.71	0
7965.70	26.47	0
7967.82	31.19	0
7969.91	26.97	0
7972.25	27.93	0
7974.54	41.82	0
7977.00	29.02	0
7979.00	25.79	0
7981.32	50.42	6
7983.62	31.86	0
7985.71	32.54	0
7987.85	36.19	0
7989.65	33.05	0
7991.77	25.98	0
7993.95	23.26	0
7996.15	20.47	0
7998.56	28.39	0
8000.71	31.08	0
8002.96	33.05	2
8005.56	22.22	0
8008.00	25.30	0
8010.18	26.08	0
8012.39	38.41	0
8014.84	27.47	0
8016.60	30.62	0
8021.54	56.29	25
8023.67	32.61	0
8025.79	31.41	0
8028.25	56.00	17
8031.17	49.90	3
8034.40	35.11	0
8037.00	35.06	1
8039.67	21.33	0
8043.03	33.04	0
8045.28	56.72	0
8047.45	23.10	0
8049.25	66.52	38
8051.25	75.07	37
8053.06	47.60	11
8055.32	43.80	0
8056.93	47.21	21
8058.89	52.11	0
8060.85	82.56	35
8064.27	94.04	26
8066.65	33.33	0
8068.94	29.78	0
8071.04	30.45	0
8072.96	38.38	0
8075.57	42.89	6
8078.17	57.06	6
8080.31	30.45	0
8083.55	27.23	0
8086.30	36.74	0
8088.07	27.81	0
8089.84	27.33	0
8092.00	25.26	0
8093.82	31.36	0
8095.83	41.11	0
8097.86	30.26	0
8100.18	25.02	0
8102.28	24.78	0
8104.27	38.42	0
8106.50	25.98	0
8108.88	68.97	0
8111.19	27.28	0
8112.92	30.59	0
8115.15	24.01	0
8116.88	47.12	0
8119.15	31.51	0
8120.82	25.79	0
8123.10	25.41	0
8125.20	22.00	0
8127.15	26.85	0
8128.82	36.84	0
8131.00	71.28	12
8132.77	38.52	0
8136.70	25.55	0
8139.86	28.77	0
8142.60	65.27	1
8145.70	54.51	21
8148.13	46.83	0
8150.40	37.03	0
8152.96	29.11	0
8155.00	25.74	0
8156.45	27.95	0
8158.00	36.89	0
8159.88	39.48	0
8161.53	30.16	0
8163.05	39.14	0
8165.05	49.04	0
8167.06	74.88	1
8169.08	28.96	0
8171.23	31.27	0
8172.53	26.70	0
8174.00	42.79	0
8175.91	27.04	0
8178.04	26.37	0
8180.05	35.64	0
8182.00	42.89	0
8183.69	36.55	0
8186.25	33.76	0
8188.18	37.94	0
8189.94	30.07	0
8192.38	35.93	0
8194.05	30.79	0
8195.83	35.35	11
8197.82	30.07	0
8199.50	26.51	0
8201.00	58.40	6
8202.32	30.79	0
8204.09	30.07	0
8205.71	56.87	0
8207.06	70.03	0
8208.58	54.61	0
8210.04	29.54	0
8211.38	31.27	0
8212.57	83.71	19
8213.94	28.10	0
8215.95	34.49	0
8218.17	29.97	0
8219.91	114.69	34
8221.75	186.21	113
8223.78	34.73	0
8225.75	32.90	0
8227.95	31.27	0
8229.90	37.41	0
8231.86	54.95	0
8233.65	50.05	0
8235.38	34.39	0
8236.80	39.77	0
8239.06	34.53	0
8241.29	35.06	0
8242.92	28.72	0
8244.89	66.42	18
8246.69	57.20	0
8248.08	39.91	0
8249.30	35.21	0
8250.73	33.91	0
8252.33	28.87	0
8254.13	34.77	0
8255.19	43.75	0
8256.95	50.57	0
8259.04	38.18	0
8260.10	29.92	0
8262.00	31.80	0
8263.42	35.93	0
8264.94	25.12	0
8266.50	34.15	0
8269.19	39.05	0
8271.55	41.07	0
8274.18	35.59	0
8277.04	36.02	0
8279.17	29.87	0
8280.68	59.84	0
8282.00	34.15	0
8283.85	32.32	0
8286.06	52.74	0
8287.47	260.12	194
8289.00	38.81	0
8290.35	75.12	38
8292.08	27.09	0
8293.89	42.55	0
8296.07	51.01	7
8297.50	35.01	0
8298.79	47.98	0
8300.31	30.98	0
8301.41	22.91	0
8302.29	24.64	0
8303.36	70.36	0
8304.38	48.61	0
8306.00	39.58	8
8307.08	53.36	8
8308.73	130.54	58
8310.12	33.57	0
8311.43	48.51	0
8312.88	24.21	0
8314.29	37.27	0
8315.33	40.25	0
8316.67	33.33	0
8318.33	27.28	0
8319.31	29.73	0
8320.00	36.36	0
8321.35	49.09	0
8323.10	49.47	0
8324.90	39.05	0
8326.40	35.64	0
8328.14	35.01	0
8329.50	36.89	0
8330.42	37.75	0
8331.25	25.74	0
8332.89	27.33	0
8335.10	43.42	0
8338.19	24.01	0
8339.75	20.36	0
8341.43	29.06	0
8342.54	45.15	0
8343.46	30.93	0
8344.23	47.60	0
8345.20	165.08	100
8346.93	459.20	400
8348.29	52.06	0
8349.60	28.29	0
8350.71	35.45	0
8352.17	29.92	0
8354.15	38.23	33
8355.80	24.98	17
8357.50	29.01	0
8358.60	32.85	0
8359.61	25.12	0
8360.54	28.58	1
8362.11	25.84	0
8363.40	37.90	0
8364.47	30.93	0
8365.69	29.39	0
8367.14	31.80	0
8367.86	41.79	0
8368.94	40.92	0
8369.77	33.72	0
8370.59	30.83	0
8371.45	51.63	0
8372.56	42.55	0
8373.60	18.64	0
8374.46	29.49	0
8375.46	20.60	0
8376.58	35.06	0
8377.93	22.33	0
8378.95	27.62	0
8380.43	41.11	16
8381.54	40.68	7
8382.50	30.50	0
8383.32	35.11	0
8384.03	23.87	0
8384.73	29.25	0
8386.30	32.80	3
8387.54	44.04	0
8388.46	39.53	0
8389.44	89.62	35
8390.75	47.02	9
8392.00	19.74	0
8392.67	26.80	0
8393.42	20.03	0
8394.75	27.09	0
8396.88	32.61	0
8398.18	29.25	0
8400.30	47.45	0
8402.29	39.10	0
8404.25	26.94	0
8407.04	28.10	0
8408.97	20.27	0
8412.18	40.58	0
8414.35	29.15	0
8417.21	29.83	0
8418.82	26.03	0
8421.17	36.98	0
8422.86	186.59	117
8425.35	742.48	668
8427.69	36.26	0
8428.93	30.69	0
8430.23	31.70	0
8431.96	28.00	0
8433.06	31.36	0
8435.07	23.25	0
8437.00	23.20	0
8439.00	52.69	0
8443.38	23.49	0
8445.00	22.96	0
8446.92	23.63	0
8449.23	38.33	0
8451.31	49.95	0
8453.13	26.18	0
8455.31	28.77	0
8457.09	36.36	0
8459.22	26.70	0
8461.00	46.49	0
8463.33	51.73	0
8464.92	35.64	0
8467.44	30.74	0
8469.21	30.74	0
8471.00	70.41	27
8472.90	28.67	0
8475.15	46.30	0
8477.29	51.34	0
8479.36	24.06	0
8481.30	24.93	0
8483.06	25.22	0
8484.29	26.18	0
8485.83	23.68	0
8488.22	74.69	0
8490.44	35.54	0
8492.27	36.79	0
8494.45	37.85	0
8496.36	29.87	0
8498.83	29.11	0
8500.64	39.77	0
8502.36	46.49	0
8504.29	135.30	74
8506.00	38.47	0
8508.56	97.79	35
8510.88	27.76	0
8512.45	24.26	0
8514.15	20.65	0
8515.82	31.36	0
8517.43	38.09	4
8519.38	35.30	0
8521.64	27.71	0
8523.58	29.73	0
8525.56	37.90	0
8527.30	29.59	0
8529.20	40.73	0
8531.38	28.00	0
8533.10	26.80	0
8535.22	38.76	0
8537.00	18.06	0
8538.75	30.88	0
8541.00	22.38	0
8542.90	37.46	0
8545.20	26.51	0
8547.50	26.90	0
8549.30	32.42	0
8551.33	33.81	0
8553.27	66.33	10
8555.06	28.82	0
8557.10	31.32	0
8558.96	28.82	0
8561.15	35.11	0
8563.10	272.76	207
8564.96	38.09	0
8566.96	27.33	0
8568.85	39.62	0
8571.17	38.95	0
8573.21	34.29	0
8575.22	22.86	0
8576.95	44.62	0
8578.13	33.86	0
8580.00	30.21	0
8581.89	26.13	0
8583.77	29.25	0
8586.00	41.59	0
8587.69	37.70	0
8590.40	49.57	0
8592.85	31.12	0
8595.23	27.81	0
8597.73	29.15	0
8600.25	33.14	9
8602.46	45.20	0
8606.83	24.16	0
8608.85	39.00	0
8610.88	32.23	0
8612.38	34.05	0
8614.31	30.45	0
8616.14	24.78	0
8617.74	31.17	0
8619.79	47.65	0
8621.71	49.57	4
8623.06	47.45	0
8624.95	39.05	0
8626.82	48.08	0
8629.04	50.72	0
8631.08	65.46	12
8633.23	25.74	0
8634.88	25.26	0
8636.93	30.45	0
8638.85	31.22	0
8640.92	28.53	0
8642.93	29.06	0
8644.59	44.04	0
8646.00	35.54	0
8648.86	32.52	0
8651.65	36.74	0
8653.40	31.65	0
8654.85	67.29	9
8656.75	65.18	15
8658.45	24.21	0
8659.66	35.21	0
8661.10	45.96	0
8663.19	72.48	17
8664.86	39.62	0
8666.90	70.31	13
8668.91	439.51	375
8671.15	615.49	564
8673.04	30.26	0
8675.14	46.73	0
8677.11	36.93	0
8678.95	42.89	3
8681.00	34.49	0
8683.45	47.07	0
8685.06	31.27	0
8686.92	58.12	0
8689.06	31.03	0
8691.10	25.41	0
8693.83	35.30	0
8695.60	26.37	0
8699.43	48.41	0
8701.25	39.10	0
8702.96	32.04	1
8705.00	31.80	0
8706.77	34.92	0
8708.96	29.15	0
8710.95	29.54	0
8713.14	25.50	0
8714.83	188.27	128
8716.05	28.53	0
8717.93	35.40	0
8720.00	39.77	0
8722.71	68.68	19
8727.22	25.60	0
8728.90	30.59	0
8730.35	46.54	0
8732.11	25.07	0
8734.15	83.91	43
8736.09	49.18	0
8737.64	26.27	0
8740.11	37.80	0
8742.08	58.26	5
8744.00	27.71	0
8745.64	65.70	12
8747.23	42.07	0
8748.71	45.82	0
8751.46	35.06	0
8752.68	29.49	0
8755.00	27.81	0
8756.54	31.22	0
8758.40	31.12	0
8760.24	33.19	0
8761.50	28.53	0
8763.40	69.93	16
8765.38	44.09	0
8767.30	26.61	0
8769.60	67.48	19
8771.11	27.57	0
8772.92	29.87	0
8775.00	26.70	0
8776.82	70.84	30
8778.45	31.60	0
8780.75	42.99	0
8782.45	38.81	0
8784.44	25.84	0
8786.57	48.99	0
8788.78	39.86	2
8791.57	49.23	6
8793.91	74.93	49
8795.47	33.43	0
8797.11	30.21	0
8799.56	31.17	0
8801.00	28.77	0
8803.17	39.62	0
8805.25	38.42	0
8807.10	40.92	0
8809.45	38.76	0
8811.13	57.11	0
8813.33	33.48	0
8815.33	34.20	0
8817.75	32.80	0
8819.11	34.92	3
8821.14	33.57	0
8823.50	28.77	0
8825.78	27.52	0
8827.57	30.45	0
8830.00	38.18	0
8832.18	40.68	0
8834.29	37.90	7
8836.70	42.36	8
8838.78	30.98	4
8840.67	30.55	0
8842.43	32.66	0
8844.45	36.26	0
8846.88	41.79	0
8849.00	24.93	0
8850.86	26.27	0
8852.67	55.67	16
8854.91	33.76	0
8856.67	34.44	0
8858.46	45.05	13
8860.18	74.20	34
8862.00	46.78	12
8864.25	39.53	8
8866.58	35.35	0
8868.36	31.17	0
8870.42	33.04	0
8872.25	36.79	3
8874.44	29.73	0
8876.64	35.06	0
8878.88	35.30	0
8880.50	79.58	30
8882.45	42.55	0
8884.36	56.53	19
8885.93	32.52	5
8887.85	28.00	2
8889.75	31.27	0
8891.82	33.81	0
8893.45	28.10	0
8895.20	64.36	30
8896.62	39.29	0
8899.00	31.99	0
8900.50	92.12	49
8902.11	41.69	0
8904.25	273.28	194
8906.13	31.36	0
8908.89	25.50	0
8910.87	25.17	0
8912.57	36.93	0
8914.67	39.72	0
8916.22	32.28	0
8918.40	32.47	0
8919.93	26.51	0
8922.00	108.64	43
8923.63	58.98	6
8925.25	33.09	0
8927.50	42.12	0
8929.82	27.47	0
8931.80	28.05	0
8933.33	61.62	24
8935.00	37.51	0
8937.11	35.78	2
8939.25	40.73	8
8941.38	36.60	0
8943.75	27.62	0
8945.83	31.80	0
8947.33	26.85	0
8949.67	51.54	0
8951.64	39.34	0
8953.73	49.81	20
8955.55	48.89	2
8958.00	33.62	0
8960.20	23.63	0
8961.92	39.86	0
8964.08	32.85	0
8965.80	31.32	0
8967.86	34.34	0
8969.50	33.86	0
8971.50	37.90	0
8973.70	36.26	0
8976.00	66.18	4
8977.93	32.13	0
8979.82	30.83	0
8981.70	47.21	0
8983.78	41.02	0
8986.44	31.84	0
8988.00	45.44	0
8990.00	30.07	0
8992.00	46.78	0
8993.45	53.46	0
8995.75	27.18	0
8998.27	31.70	0
9000.00	62.05	34
9002.50	86.21	24
9003.85	44.81	0
9005.88	66.76	0
9007.73	120.79	58
9009.88	65.61	13
9011.91	32.56	0
9014.20	77.76	40
9016.38	26.99	0
9018.43	36.45	0
9019.92	42.65	0
9022.10	37.13	0
9024.14	33.04	0
9026.40	32.56	0
9028.80	30.79	0
9030.85	29.01	0
9032.78	47.60	0
9035.00	34.29	0
9037.00	26.75	0
9039.27	23.97	0
9041.21	30.31	0
9042.82	30.55	0
9045.25	64.60	12
9047.56	177.71	116
9048.94	24.83	0
9050.56	29.54	0
9052.33	32.08	0
9053.67	34.49	0
9055.20	44.19	0
9057.43	27.95	0
9059.31	23.20	0
9061.39	33.04	0
9063.55	30.93	0
9065.50	29.44	0
9067.90	42.31	0
9069.88	29.35	0
9071.42	39.53	0
9073.44	32.28	0
9075.13	28.67	0
9077.43	28.24	0
9078.89	31.36	0
9081.40	32.08	0
9083.14	31.08	0
9085.44	26.90	0
9088.28	24.26	0
9090.00	32.42	0
9092.00	33.38	0
9094.13	27.33	0
9095.97	49.18	0
9098.43	33.33	0
9101.45	30.11	0
9103.95	34.44	0
9106.81	34.97	0
9108.50	60.76	0
9109.95	206.09	146
9111.83	25.98	0
9114.00	54.08	13
9115.75	122.62	80
9118.00	40.68	0
9120.25	47.12	5
9122.47	29.01	0
9123.86	19.16	8
9125.36	37.03	0
9127.05	42.99	0
9129.64	35.40	0
9131.50	36.74	0
9133.73	31.36	0
9135.90	32.85	0
9137.92	29.15	0
9140.68	28.48	0
9143.13	24.06	0
9145.08	26.42	0
9146.80	33.28	0
9148.89	30.74	0
9151.13	42.51	0
9153.06	60.18	10
9155.21	37.75	0
9158.06	38.86	0
9160.36	30.93	2
9161.87	39.34	0
9163.05	33.81	0
9165.31	32.04	0
9167.50	36.45	0
9169.09	38.86	0
9170.79	43.32	0
9172.82	39.34	0
9174.83	77.42	37
9177.05	51.06	0
9179.04	33.48	0
9180.63	46.30	0
9182.65	48.46	0
9185.33	44.19	0
9188.00	40.49	6
9189.95	53.31	1
9192.05	32.71	2
9194.18	60.56	9
9195.86	41.11	0
9198.32	44.19	0
9200.50	49.04	0
9203.15	58.02	0
9205.19	85.20	37
9207.58	37.75	0
9210.05	24.54	0
9212.35	29.59	0
9215.00	88.47	27
9216.88	60.56	6
9219.25	39.48	0
9221.93	51.63	0
9223.59	45.48	0
9226.21	54.13	0
9228.23	36.07	0
9230.75	51.92	1
9233.93	31.12	0
9235.38	82.42	13
9237.58	47.21	0
9239.25	34.63	0
9241.42	79.87	17
9244.04	47.98	0
9246.15	39.19	0
9248.35	31.84	0
9250.41	38.18	0
9252.69	64.84	24
9254.77	30.02	0
9257.31	45.92	0
9258.86	38.28	0
9260.72	36.65	0
9263.64	36.98	0
9265.85	55.28	0
9267.71	33.33	0
9270.00	35.25	0
9272.39	52.26	0
9274.50	67.14	4
9276.42	43.66	0
9279.25	51.06	14
9280.96	33.76	0
9283.50	31.99	0
9285.54	25.98	0
9287.68	107.87	54
9290.58	43.66	0
9293.21	33.57	0
9295.46	33.62	0
9297.08	35.93	0
9300.75	35.78	0
9303.13	42.22	0
9305.33	34.00	0
9307.78	36.60	0
9309.54	34.77	0
9312.00	38.04	0
9313.47	44.14	4
9314.92	33.62	0
9317.27	38.76	0
9319.21	44.86	0
9320.64	112.58	45
9322.56	39.48	0
9325.00	33.52	0
9326.50	83.47	31
9328.63	27.14	0
9330.58	28.39	0
9332.90	35.01	0
9334.82	45.48	0
9336.63	60.52	2
9339.05	36.55	0
9341.05	38.42	0
9343.57	35.69	0
9345.90	28.00	0
9348.22	28.77	0
9350.17	34.82	0
9352.70	36.89	0
9354.73	44.48	0
9356.67	92.07	36
9358.62	42.65	0
9360.64	29.59	0
9362.78	28.15	0
9365.00	75.74	16
9366.67	87.46	11
9368.80	30.16	0
9370.46	63.54	0
9373.00	42.27	0
9374.77	38.52	0
9377.59	31.72	0
9380.14	39.27	0
9382.21	42.31	0
9384.33	33.84	16
9386.75	40.99	0
9389.06	94.19	19
9391.29	139.18	34
9393.32	42.26	5
9395.22	38.15	0
9397.60	42.52	0
9399.89	47.34	24
9401.85	38.15	2
9403.76	39.38	0
9405.93	30.70	0
9408.26	40.56	0
9410.21	52.88	0
9412.59	58.37	27
9414.89	56.10	22
9416.83	63.52	11
9418.68	67.57	18
9420.85	47.98	2
9423.00	40.13	0
9425.29	37.97	6
9427.38	43.33	16
9429.41	56.86	20
9431.06	54.10	15
9433.37	75.27	16
9435.47	75.94	22
9437.68	86.18	42
9440.00	40.13	0
9442.14	102.89	36
9443.91	56.33	7
9446.00	71.19	20
9447.77	70.05	28
9449.85	80.28	52
9452.05	84.69	31
9454.19	76.12	40
9456.00	52.05	0
9458.33	67.85	5
9460.50	83.25	40
9462.86	108.20	67
9465.18	128.80	85
9467.30	67.79	17
9469.50	88.92	47
9471.88	112.19	67
9473.95	88.98	47
9475.89	90.73	38
9478.00	119.60	56
9479.94	133.04	83
9482.47	127.39	88
9485.10	133.98	84
9486.91	95.90	48
9489.38	86.74	46
9491.70	126.92	78
9494.21	86.36	51
9496.75	77.49	54
9498.57	94.41	53
9500.53	98.38	26
9503.06	79.66	34
9505.50	42.75	0
9507.53	29.75	0
9510.18	43.71	12
9512.86	32.66	0
9515.64	51.56	5
9517.96	66.47	13
9520.27	43.71	1
9522.28	43.89	5
9524.39	42.73	2
