GISP2 Ions: Deep (D) Core (Detailed)

REFERENCES: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This file contains the GISP2 major ion concentrations in parts per billion
(ppb) by mass. Blanks (999999) in chemical species represent samples below
detection limits.  Firn samples were cleaned in the freezer by hand
scraping and placed in a pre-cleaned container.  The pieces were kept
frozen until analyzed.  Samples from 96 meters to 200 meters were cleaned
by rinsing with milli-Q water.  Samples below 200 meters were cleaned by
hand scraping after sectioning. 

DATA: 											

depth top (m)	depth bottom (m)	Na	NH4	K	Mg	Ca	Cl	NO3	SO4	age top (yr)	
age bottom (yr)

2736.56	2736.61	12.22	12.36	1.61	3.52	19.25	21.54	69.44	46.49	98205.4	98217.3
2736.61	2736.65	8.58	4.54	1.87	4.83	16.38	18.97	59.46	49.92	98217.3	98226.7
2736.65	2736.69	9.9	5.51	1.44	6.11	16.71	19.23	60.55	57.29	98226.7	98236.2
2736.69	2736.72	8.82	7.54	1.63	3.97	11.96	18.87	63.66	38.81	98236.2	98243.3
2736.72	2736.76	8.43	5.67	1.98	1.83	15.69	17.24	64.6	35.56	98243.3	98252.7
2736.76	2736.8	8.36	8.42	1.73	4.89	13.14	18.17	62.73	46.37	98252.7	98262.2
2736.8	2736.84	10.65	7.11	1.59	7.92	20.48	18.44	58.91	77.44	98262.2	98271.7
2736.84	2736.88	8.45	7.47	1.3	4.08	17.21	19.18	63.84	49.39	98271.7	98281.1
2736.88	2736.92	7.14	6.84	1.23	2.06	12.89	16.64	63.19	31.76	98281.1	98290.6
2736.92	2736.96	7.33	6.17	1.39	1.75	16.79	17.48	62.2	40.05	98290.6	98300.0
2736.96	2737	9.74	4.11	1.84	6.51	18.37	25.43	57.04	71.91	98300.0	98309.5
2737	2737.04	9.86	3.7	1.14	5.22	16.01	31.33	54.99	74.51	98309.5	98319.0
2737.04	2737.08	9.11	6.66	0.97	7.38	18.12	24.93	61.96	85.04	98319.0	98328.4
2737.08	2737.12	8.19	6.62	1.11	4.65	17.95	17.86	68.71	58.03	98328.4	98337.9
2737.12	2737.16	11.19	5	1.37	1.74	14.11	19.52	63.83	34.28	98337.9	98347.3
2737.16	2737.2	6.91	7.1	1.34	6.2	10.25	15.99	60.62	43.48	98347.3	98356.8
2737.2	2737.24	7.44	15.55	1.18	4.89	10.23	17.82	69.92	37.69	98356.8	98366.3
2737.24	2737.28	7.38	8.63	1.37	3.65	11.24	15.63	61.42	36.54	98366.3	98375.7
2737.28	2737.32	9.57	9.45	1.2	4.46	17.02	19.05	63.24	50.45	98375.7	98385.2
2737.32	2737.36	9.27	5.63	1.58	2.91	14.67	19.02	61.98	34.45	98385.2	98394.6
2737.36	2737.4	8.18	11.09	1.35	2.71	16.96	19	67.84	35.49	98394.6	98404.1
2737.4	2737.44	9.06	6.9	1.23	3.11	18.25	19.13	65.47	34.09	98404.1	98413.6
2737.44	2737.48	9.99	4.96	1.31	2.76	17.62	18.69	64.39	36.16	98413.6	98423.0
2737.48	2737.52	8.55	5.47	1.32	4.85	24.48	19.17	62.19	62.12	98423.0	98432.5
2737.52	2737.56	9.1	4.28	1.38	2.8	19.75	18.93	60.76	46.84	98432.5	98441.9
2737.56	2737.6	7.14	7.65	1.34	2.53	15.46	18.19	63.22	36.94	98441.9	98451.4
2737.6	2737.64	8.54	6.55	1.32	3.61	17.45	18.35	63.21	46.16	98451.4	98460.9
2737.64	2737.68	8.13	4.36	1.21	4.63	19.39	16.46	61.9	55.12	98460.9	98470.3
2737.68	2737.72	8.82	7.27	2.1	1.41	15.69	17.69	64.3	33.03	98470.3	98479.8
2737.72	2737.76	10.21	7.19	1.39	11.4	19.62	20.52	61.87	115.5	98479.8	98489.2
2737.76	2737.8	10.02	6.14	1.02	8.19	19.11	21.66	58.13	124.24	98489.2	98498.7
2737.8	2737.84	10.23	12.22	1.51	12.68	16.29	21	65.94	117.35	98498.7	98508.2
2737.84	2737.88	9.34	16.37	2.33	9.99	18.71	22.56	70.26	108.61	98508.2	98517.6
2737.88	2737.92	10.41	17.75	1.75	8.52	17.7	23.21	70.35	112	98517.6	98527.1
2737.92	2737.96	10.96	6.87	2.14	9.85	18.15	19.33	59.46	116.56	98527.1	98536.5
2737.96	2738	12.95	4.58	999999	2.05	21.02	22.88	58.32	43.96	98536.5	98546.0
2738	2738.04	7.71	12.15	1.83	2.73	21.11	17.88	67.26	43.71	98546.0	98555.5
2738.04	2738.08	6.82	10.68	1.52	3.11	21.33	17.12	67.06	43.52	98555.5	98564.9
2738.08	2738.12	6.89	7.49	1.33	2.7	19.47	16.4	63.55	40.47	98564.9	98574.4
2738.12	2738.16	6.56	6.67	1.83	2.77	16.85	16.33	60.99	36.41	98574.4	98583.8
2738.16	2738.2	9.84	7.74	1.29	3.48	18.24	19.72	63.64	43.97	98583.8	98593.3
2738.2	2738.24	10.78	9.06	1.24	3.55	14.97	22.1	62.1	37.99	98593.3	98602.8
2738.24	2738.28	14.83	5.08	1.44	5.68	17.03	21.15	59.48	52.88	98602.8	98612.2
2738.28	2738.32	9.58	9.36	1.21	2.79	17.31	18.21	60.85	41.18	98612.2	98621.7
2738.32	2738.36	7.08	5.23	1.26	2.58	15.39	15.22	59.6	38.41	98621.7	98631.1
2738.36	2738.4	7.41	5.27	1.29	11.22	15.2	15.31	59.84	76.73	98631.1	98640.6
2738.4	2738.44	8.54	10.21	1.33	5.27	15.52	17.32	62.64	50.51	98640.6	98650.1
2738.44	2738.48	9.29	10.75	1.5	2.75	16.76	18.22	64.75	40.82	98650.1	98659.5
2738.48	2738.52	10.2	4.63	1.25	1.63	15.3	16.79	59.57	34.6	98659.5	98669.0
2738.52	2738.56	7.27	13.02	1.05	4.87	15.71	17.27	66.6	49.48	98669.0	98678.4
2738.56	2738.6	7.35	8.83	1.2	5.15	14.46	16.47	62.97	47.53	98678.4	98687.9
2738.6	2738.64	6.73	6.74	1.12	1.85	13.45	15.24	62.65	29.86	98687.9	98697.4
2738.64	2738.68	6.84	6.89	1.37	2.48	13.27	14.69	62.96	33.4	98697.4	98706.8
2738.68	2738.72	8.57	10.7	1.3	5.56	14.67	17.1	64.18	48.08	98706.8	98716.3
2738.72	2738.76	7.22	8.74	1.21	1.76	16.46	16.58	63.22	35.85	98716.3	98725.7
2738.76	2738.8	11.53	15.73	1.55	3.19	20.02	20.83	70.53	44.58	98725.7	98735.2
2738.8	2738.84	8.03	9.34	1.31	9.44	15.89	16.51	61.93	60	98735.2	98744.7
2738.84	2738.88	8.33	4.79	1.35	2.39	14.08	16.09	57.98	28.81	98744.7	98754.1
2738.88	2738.92	8.74	3.55	1.29	2.77	14.33	16.23	59.36	28.26	98754.1	98763.6
2738.92	2738.96	8.48	4.36	1.29	3.02	14.89	16.13	59.02	28.96	98763.6	98773.0
2738.96	2739	8.39	12.05	1.27	6.25	18.26	15.68	60.79	50.43	98773.0	98782.5
2739	2739.04	5.77	5.97	3.26	2.54	13.67	15.03	54.76	28.52	98782.5	98792.0
2739.04	2739.08	10.4	4.22	2.11	2.65	12.92	19.32	56.29	28.52	98792.0	98801.4
2739.08	2739.12	13.14	3.86	1.72	3.16	20.24	20.74	60.21	46.33	98801.4	98810.9
2739.12	2739.16	8.23	6.39	2.09	3.21	16.54	17.96	60.89	32.94	98810.9	98820.3
2739.16	2739.2	9.33	10.95	1.75	3.07	15.87	18.21	64.97	30.81	98820.3	98829.8
2739.2	2739.24	11.06	5.64	3.64	4.81	19.91	19.96	60.28	43.59	98829.8	98839.3
2739.24	2739.28	9.54	8.83	1.86	3.21	18.49	18.64	66.27	33.94	98839.3	98848.7
2739.28	2739.32	7.7	12.31	1.49	2.96	17.59	18.69	69.25	27.46	98848.7	98858.2
2739.32	2739.36	9.92	7.18	1.53	3.54	18.13	18.82	64.69	33.77	98858.2	98867.6
2739.36	2739.4	8.65	4.42	2.2	4.31	19.34	18.78	59.5	40.54	98867.6	98877.1
2739.4	2739.44	9.35	2.81	1.77	4.19	19.14	17.66	58.2	39.71	98877.1	98886.6
2739.44	2739.48	8.2	17.16	1.54	3.3	18.43	20.02	69.68	36.1	98886.6	98896.0
2739.48	2739.52	9.77	5.9	2.25	3.93	14.34	15.52	56.81	26.24	98896.0	98905.5
2739.52	2739.56	8.42	21.86	1.65	3.08	20.23	19.02	75.85	38.46	98905.5	98914.9
2739.56	2739.6	7.87	14.63	1.8	3.18	16.38	17.07	64.56	30.45	98914.9	98924.4
2739.6	2739.64	6.92	9.37	1.48	3.37	14.01	15.01	59.92	27.32	98924.4	98933.9
2739.64	2739.68	6.61	19.43	1.38	3.23	17.05	17.12	70.87	31.26	98933.9	98943.3
2739.68	2739.72	8.48	5.08	1.59	3.82	16.36	14.71	58	33.14	98943.3	98952.8
2739.72	2739.76	8.6	5.63	1.46	3.35	18.08	16.41	62.47	38.31	98952.8	98962.2
2739.76	2739.8	6.96	4.48	1.56	3.92	19.2	15.68	61.03	38.74	98962.2	98971.7
2739.8	2739.84	8.81	7.78	1.57	3.48	21.26	18.56	65.96	43.33	98971.7	98981.2
2739.84	2739.88	9.76	11.46	1.72	3.33	21.03	21.13	71.58	43.86	98981.2	98990.6
2739.88	2739.92	11.48	12.26	1.61	3.89	19.16	19.85	69.53	39.07	98990.6	99000.1
2739.92	2739.96	9.53	4.2	1.8	3.71	19.16	17.7	64.18	38.79	99000.1	99009.5
2739.96	2740	9.3	7.28	3.23	3.12	18.06	20.14	68.23	35.85	99009.5	99019.0
2740	2740.04	11.8	6.14	1.39	9.92	17.55	19.18	68.39	69.66	99019.0	99027.6
2740.04	2740.08	7.51	10.47	1.31	2.32	15.28	17.44	69.06	32.16	99027.6	99036.3
2740.08	2740.12	9.04	11.77	1.43	2.05	16.13	17.66	71.26	34.53	99036.3	99044.9
2740.12	2740.16	6.72	9.83	1.44	2.94	17.94	17.04	65.99	43.02	99044.9	99053.6
2740.16	2740.2	12.56	3.39	1.76	4.05	15.28	20.32	62.91	43.69	99053.6	99062.2
2740.2	2740.24	6.28	6.87	1.32	1.23	13.26	16.73	62.75	26.6	99062.2	99070.8
2740.24	2740.28	10.06	6.71	1.44	3.82	17.23	19.82	63.92	46.25	99070.8	99079.5
2740.28	2740.32	8.6	12.41	1.5	2.16	12.84	20.04	67.14	30.03	99079.5	99088.1
2740.32	2740.36	9.15	17.48	1.31	4.88	14.32	20.74	71.6	37.93	99088.1	99096.8
2740.36	2740.4	8.44	6.05	1.29	1.82	14.1	17.2	62.76	34.25	99096.8	99105.4
2740.4	2740.44	8.24	6.16	1.18	2.13	13.4	17.3	63.87	33.91	99105.4	99114.0
2740.44	2740.48	6.88	8.08	1.37	2.91	14.89	16.38	65.96	39.42	99114.0	99122.7
2740.48	2740.52	7.39	12.87	1.58	2.92	16.81	17.6	68.99	40.97	99122.7	99131.3
2740.52	2740.56	6.43	15	1.45	1.87	20.66	17.66	69.92	42.13	99131.3	99140.0
2740.56	2740.6	7.72	10.82	1.52	1.99	16.6	17.47	65.71	37.14	99140.0	99148.6
2740.6	2740.64	8.16	8.68	1.49	4.44	15.58	17.48	64.67	48.96	99148.6	99157.2
2740.64	2740.68	8.56	8.62	2.18	6.66	15.54	17.98	62.56	61.23	99157.2	99165.9
2740.68	2740.72	10.64	6.93	1.71	4.16	18.66	19.7	63.36	55.99	99165.9	99174.5
2740.72	2740.76	9.97	7.55	1.35	5.98	18.31	19.03	62.95	60.64	99174.5	99183.2
2740.76	2740.8	9.01	8.44	1.71	7.05	15.93	19.19	63.69	61.73	99183.2	99191.8
2740.8	2740.84	13.69	6	1.77	2.16	21.78	21.79	64.04	49.43	99191.8	99200.4
2740.84	2740.88	9.47	9.85	1.83	2.97	22.24	21.76	63.9	45.91	99200.4	99209.1
2740.88	2740.92	9.83	14.33	1.75	3.26	20.86	23.67	68.42	41.72	99209.1	99217.7
2740.92	2740.96	12.28	11.96	1.81	4.05	19.35	23.02	65.91	38.98	99217.7	99226.4
2740.96	2741	12.35	13.35	2.07	3.8	20.59	23.7	66.99	41.57	99226.4	99235.0
2741	2741.04	19.05	3.1	2.92	4.57	14.96	31.93	54.43	40.27	99235.0	99243.6
2741.04	2741.08	14	4.3	3.94	4.04	19.42	26.22	54.55	45.16	99243.6	99252.3
2741.08	2741.12	13.52	4.89	4.04	4.09	17.19	24.59	56.14	40.33	99252.3	99260.9
2741.12	2741.16	12.06	9.79	3.9	3.12	16.26	24.19	63.25	36.71	99260.9	99269.6
2741.16	2741.2	10.27	12.76	2.3	3.03	16.2	21.52	63.71	36.51	99269.6	99278.2
2741.2	2741.24	9.11	23.65	2.27	3.56	16.28	22.68	75.54	55.02	99278.2	99286.8
2741.24	2741.28	9.11	5.22	1.95	3.16	16.28	20.04	62.08	39.42	99286.8	99295.5
2741.28	2741.32	10.34	3.18	999999	1.87	16.03	20.11	62.23	40.18	99295.5	99304.1
2741.32	2741.36	8.51	4.8	1.57	5.38	13.77	18.61	64.35	51.76	99304.1	99312.8
2741.36	2741.4	10.36	5.89	1.4	4.36	13.4	19.75	67.91	48.92	99312.8	99321.4
2741.4	2741.44	9.89	7.61	1.61	2.78	15.85	19.74	69.5	49.14	99321.4	99330.0
2741.44	2741.48	7.12	5.13	1.23	3.95	12.1	17.19	65.06	45.71	99330.0	99338.7
2741.48	2741.52	6.51	6.2	1.15	4.66	13.89	16	64.94	55.6	99338.7	99347.3
2741.52	2741.56	7.09	4.61	1.21	1.47	13.18	15.39	64.85	36.85	99347.3	99356.0
2741.56	2741.6	7.92	4.14	1.23	2.32	13.64	16.12	64.71	41.89	99356.0	99364.6
2741.6	2741.64	7.81	4.53	1.33	3.96	12.95	16.43	66.04	47.29	99364.6	99373.2
2741.64	2741.68	6.35	9.5	0.99	0.82	14.45	17.99	71.09	34.51	99373.2	99381.9
2741.68	2741.72	7.88	5.17	1.11	5.05	15.35	19.48	64.88	60.31	99381.9	99390.5
2741.72	2741.76	7.85	10.05	1.03	3.65	13.99	19.59	68.51	44.91	99390.5	99399.2
2741.76	2741.8	9.21	6.98	1.17	4.79	10.53	21.33	62.64	46.63	99399.2	99407.8
2741.8	2741.84	7.49	16	1.01	4.88	17.42	19.97	68.75	65.32	99407.8	99416.4
2741.84	2741.88	8.24	10.16	1.17	3.87	17.86	18.6	65.68	58.07	99416.4	99425.1
2741.88	2741.92	7.45	25.93	1.16	6.78	15.57	24.17	75.88	55.14	99425.1	99433.7
2741.92	2741.96	10.02	11.71	1.28	3.59	15.24	19.7	61.23	49.33	99433.7	99442.4
2741.96	2742	8.2	8.79	1.46	2.4	16.95	16.3	61.41	47.48	99442.4	99451.0
2742	2742.04	6.8	12.84	1.55	2.49	15.06	14.66	59.96	32.87	99451.0	99459.6
2742.04	2742.08	7.64	9.27	1.36	1.8	15.81	16.13	60.02	34.96	99459.6	99468.3
2742.08	2742.12	8.87	7.94	1.39	2.65	17.25	17.84	61.7	42.33	99468.3	99476.9
2742.12	2742.16	8.19	5.77	1.51	5.8	17.61	17.93	61.31	54.89	99476.9	99485.6
2742.16	2742.2	7.48	8.69	1.29	2.49	18.35	17.4	64.94	42.33	99485.6	99494.2
2742.2	2742.24	6.89	10.16	1.49	2.17	15.22	17.24	66.4	32.92	99494.2	99502.8
2742.24	2742.28	7.6	10.24	1.66	2.37	15.65	17.67	66.13	33.49	99502.8	99511.5
2742.28	2742.32	10.02	14.25	1.17	3.43	18.89	19.02	69.19	43.38	99511.5	99520.1
2742.32	2742.36	11.18	7.8	1.49	6.97	14.38	22.09	60.94	57.71	99520.1	99528.8
2742.36	2742.4	10.21	4.46	1.16	4.85	16.18	19.57	59.81	52.09	99528.8	99537.4
2742.4	2742.44	7.59	6.77	1.44	3.61	19.03	18.46	62.88	48.07	99537.4	99546.0
2742.44	2742.48	6.64	12.3	1.3	2.93	21.64	17.76	66.04	47.8	99546.0	99554.7
2742.48	2742.5	8.12	10.61	1.72	3.02	21.07	16.81	63.54	46.21	99554.7	99559.0
2742.5	2742.56	9.28	8.54	1.68	5.69	17.3	17.7	61.84	48.66	99559.0	99572.0
2742.56	2742.6	7.3	10.46	1.46	2.67	15.01	15.97	63.51	28.86	99572.0	99580.6
2742.6	2742.64	6.98	8.63	1.57	2.56	16.25	17.57	66.28	29.7	99580.6	99589.2
2742.64	2742.68	9.41	7.76	1.5	2.8	18.99	18.61	65.93	32.92	99589.2	99597.9
2742.68	2742.72	9.05	6.62	1.81	3.55	18.34	18.11	61.58	41.99	99597.9	99606.5
2742.72	2742.76	8.22	3.8	1.65	3.54	12.34	15.6	55.21	31.13	99606.5	99615.2
2742.76	2742.8	7.72	7.44	1.55	4.16	12.93	17.22	57.29	35.45	99615.2	99623.8
2742.8	2742.84	9.8	8.48	1.46	3.74	16.66	18.88	62.28	39.91	99623.8	99632.4
2742.84	2742.88	10.23	5.5	1.5	3.59	19.55	18.21	63.19	44.76	99632.4	99641.1
2742.88	2742.92	8.1	10.88	1.63	3.29	19.9	18.42	66.48	40.04	99641.1	99649.7
2742.92	2742.96	8.6	13.48	1.47	2.84	17.78	18.75	70.67	32.05	99649.7	99658.4
2742.96	2743	7.28	9.59	1.79	3.1	18.25	16.12	64.19	33.96	99658.4	99667.0
2743	2743.04	999999	7.12	999999	2.76	16.03	999999	62.15	34.59	99667.0	99675.6
2743.04	2743.08	7.26	3.33	3.66	2.84	13.92	16.19	57.11	31.51	99675.6	99684.3
2743.08	2743.12	8.14	19.22	2.48	2.03	13.79	19.63	74.57	29.52	99684.3	99692.9
2743.12	2743.16	6.93	9.74	2.24	2.73	12.29	15.61	59.13	29.53	99692.9	99701.6
2743.16	2743.2	9.47	5.71	2.37	3.31	17.15	17.59	58.03	45.72	99701.6	99710.2
2743.2	2743.24	7.25	18.61	1.92	5.27	14.75	15.4	63.93	46.9	99710.2	99718.8
2743.24	2743.28	5.23	12.2	1.88	4.61	10.58	13.86	62.47	41.17	99718.8	99727.5
2743.28	2743.32	6.36	7.78	2.89	3.36	11.77	16.59	59.23	36.16	99727.5	99736.1
2743.32	2743.36	7.64	6.2	1.64	2.27	15.99	17.55	57.89	42.44	99736.1	99744.8
2743.36	2743.4	8.64	7.23	1.58	9.39	19.08	19.81	59.21	78.99	99744.8	99753.4
2743.4	2743.44	7.86	5.13	1.71	3.95	15.29	19.04	56.84	46	99753.4	99762.0
2743.44	2743.48	6.37	5.54	1.79	1.69	14.59	17.01	57.8	32.33	99762.0	99770.7
2743.48	2743.52	5.91	5.74	1.66	1.71	13.45	15.06	57.29	31.75	99770.7	99779.3
2743.52	2743.56	7.4	12.28	1.46	8.48	15.57	18.22	67.1	69.75	99779.3	99788.0
2743.56	2743.6	7.58	7.41	1.75	5.67	17.05	17.01	60.52	69.04	99788.0	99796.6
2743.6	2743.64	5.71	10.16	1.43	6.11	13.75	14.98	63.01	67.23	99796.6	99805.2
2743.64	2743.68	5.78	8.38	1.33	4.31	11.22	13.95	60.33	45.84	99805.2	99813.9
2743.68	2743.72	5.73	9.53	1.45	5.28	12.74	14.55	61.95	52.98	99813.9	99822.5
2743.72	2743.76	6.86	8.44	1.4	2.04	14.01	16.02	63.77	36.24	99822.5	99831.2
2743.76	2743.8	7.5	7.54	1.73	3.76	15.8	17.29	63.13	45.08	99831.2	99839.8
2743.8	2743.84	8.07	10.34	1.84	2.47	16.12	19.59	65.32	35.59	99839.8	99848.4
2743.84	2743.88	9	12.07	1.89	2.68	19.45	19.49	69.34	42.28	99848.4	99857.1
2743.88	2743.92	7.98	12.89	1.52	2.37	19.29	17.64	70.75	42.15	99857.1	99865.7
2743.92	2743.96	9.92	7.26	1.53	3.67	18.16	17.44	64.36	50.24	99865.7	99874.4
2743.96	2744	7.13	13.24	1.64	2.5	16.57	17.42	67.49	42.61	99874.4	99883.0
2744	2744.04	6.97	5.4	2.07	5.31	17.39	15.48	61.78	61.99	99883.0	99890.6
2744.04	2744.08	8.01	4.86	1.7	3.74	22.43	16.17	62.36	72.87	99890.6	99898.2
2744.08	2744.12	7.19	6.41	1.51	7.39	19.81	16.81	62.87	88.1	99898.2	99905.8
2744.12	2744.16	8.27	6.06	1.87	9.29	18.18	16.53	58.63	92.6	99905.8	99913.4
2744.16	2744.2	8.02	12.95	1.79	2	18.12	17.43	65.3	41.2	99913.4	99921.0
2744.2	2744.24	8.8	9.76	1.83	2.65	21.7	16.37	64.35	43.15	99921.0	99928.6
2744.24	2744.28	9	12.65	1.96	2.73	19.71	18.9	68.9	38.85	99928.6	99936.2
2744.28	2744.32	7.31	6.87	1.5	2.98	14.44	15.88	62.74	32.35	99936.2	99943.8
2744.32	2744.36	8.04	7.73	1.41	3.03	14.94	16.64	61.16	36.98	99943.8	99951.4
2744.36	2744.4	6.76	6.87	1.49	2.86	12.57	14.87	60.84	32.36	99951.4	99959.0
2744.4	2744.44	6.71	14.31	2.4	3.75	15.15	15.54	69.59	38.04	99959.0	99966.6
2744.44	2744.48	6.79	13.22	1.54	3.9	13.23	15.78	70.27	36.31	99966.6	99974.2
2744.48	2744.52	6.2	15.66	1.39	3.95	16.69	17.17	72.36	43.08	99974.2	99981.8
2744.52	2744.56	8.07	8.91	2.08	3.66	17.07	17.22	66.34	43.41	99981.8	99989.4
2744.56	2744.6	7.46	6.62	1.47	2.4	12.98	16.39	63.74	30.22	99989.4	99997.0
2744.6	2744.64	7.87	11.87	1.32	3.14	14.67	17.29	66.28	38.2	99997.0	100004.6
2744.64	2744.68	8.06	8.33	1.32	4.53	16.37	17.4	60.3	49.6	100004.6	100012.2
2744.68	2744.72	8.88	6.71	1.23	4.27	11.42	15.54	58.24	39.85	100012.2	100019.8
2744.72	2744.76	6.28	16.6	1.59	2.16	16.44	16.84	68.81	38.95	100019.8	100027.4
2744.76	2744.8	5.68	5.76	1.51	2.76	13.42	14.47	59.22	33.06	100027.4	100035.0
2744.8	2744.84	7.53	5.77	1.41	2.5	14.31	16.22	61.71	31.65	100035.0	100042.6
2744.84	2744.88	7.93	11	1.59	2.75	15.76	16.55	63.86	33.39	100042.6	100050.2
2744.88	2744.92	7.5	16.21	1.68	3.15	17.19	14.86	64.4	35.41	100050.2	100057.8
2744.92	2744.96	6.61	11.01	1.5	2.83	13.62	13.91	59.05	34.29	100057.8	100065.4
2744.96	2745	7.43	23.33	1.96	6.36	15.06	16.4	67.07	49.55	100065.4	100073.0
2745	2745.04	8.24	16.9	2.24	2.84	17.47	17.39	65.4	37.19	100073.0	100080.6
2745.04	2745.08	8.37	12.36	4.55	2.7	14.93	16.69	60.58	29.98	100080.6	100088.2
2745.08	2745.12	7.29	24.91	1.39	2.44	20.39	18.9	77.33	38.63	100088.2	100095.8
2745.12	2745.16	6.72	6.01	1.64	3.53	20.1	12.97	54.84	42	100095.8	100103.4
2745.16	2745.2	6.22	7.1	1.59	3.5	19.97	13.55	56.03	39.38	100103.4	100111.0
2745.2	2745.24	6.46	6.87	1.58	3.58	14.51	12.97	53.68	28.49	100111.0	100118.6
2745.24	2745.28	7.35	23.05	1.67	2.7	16.92	18.9	72.18	31.17	100118.6	100126.2
2745.28	2745.32	8.34	12.85	1.74	2.91	16	16.08	60.4	33.5	100126.2	100133.8
2745.32	2745.36	9.16	15.63	1.47	3.26	14.69	16.54	63.3	30.71	100133.8	100141.4
2745.36	2745.4	5.63	11.41	1.43	2.75	13.38	15.24	59.35	28.58	100141.4	100149.0
2745.4	2745.44	5.36	10.42	1.41	2.47	12.64	14.29	59.18	26.62	100149.0	100156.6
2745.44	2745.48	6	7.06	1.42	2.39	13.95	13.2	55.85	29.67	100156.6	100164.2
2745.48	2745.52	6.81	8.58	1.52	2.54	17.5	13.76	58.92	37.25	100164.2	100171.8
2745.52	2745.56	7.29	9.35	1.61	2.65	23.25	14.42	59.04	49.37	100171.8	100179.4
2745.56	2745.6	5.8	11.24	1.48	2.44	15.81	14.37	62.65	35.44	100179.4	100187.0
2745.6	2745.64	7.87	10.46	1.65	2.34	16.02	15.9	62	34.34	100187.0	100194.6
2745.64	2745.68	7.84	3.99	1.41	2.06	17.85	14.76	57.37	39.46	100194.6	100202.2
2745.68	2745.72	10.77	7.3	1.5	2.44	21.7	19.84	61.57	50.18	100202.2	100209.8
2745.72	2745.76	7.56	10.63	1.42	3.29	20.79	18.93	61.35	53.9	100209.8	100217.4
2745.76	2745.8	9.47	9.53	1.19	7.45	21.74	22.08	60.16	90.08	100217.4	100225.0
2745.8	2745.84	9.86	7.5	1.16	3.58	18.83	21.48	60.55	57.78	100225.0	100232.6
2745.84	2745.88	8	10.68	1.27	1.46	20.85	17.56	62.08	49.41	100232.6	100240.2
2745.88	2745.92	7.79	12.13	1.61	5.63	18.15	19.28	61.57	63.3	100240.2	100247.8
2745.92	2745.96	8.92	13.16	1.56	10.15	25.98	24.94	57.55	122.06	100247.8	100255.4
2745.96	2746	7.92	12.87	1.68	9.53	23.26	27.81	53.56	122.27	100255.4	100263.0
2746	2746.04	9.06	9.79	1.95	6.06	19.98	21.49	55.62	76.11	100263.0	100270.6
2746.04	2746.08	6.56	11.85	1.79	2.8	15.91	15.73	62.51	41.59	100270.6	100278.2
2746.08	2746.12	6.57	13.11	1.58	2.34	18.75	14.52	66.21	41.85	100278.2	100285.8
2746.12	2746.16	5.68	14.27	1.62	2.09	15.32	14.36	63	31.64	100285.8	100293.4
2746.16	2746.2	6.62	12.88	1.9	2.11	13.49	14.67	59.46	25.66	100293.4	100301.0
2746.2	2746.24	5.06	23.46	1.66	2.03	13.68	17.24	71.01	23.33	100301.0	100308.6
2746.24	2746.28	6.38	8.93	1.72	2.34	13.4	13.08	54.24	26.35	100308.6	100316.2
2746.28	2746.32	6.91	13.44	1.56	2.42	14.48	15.51	61.2	31.56	100316.2	100323.8
2746.32	2746.36	9.61	14.59	1.52	3.76	20.39	16.65	64.72	48.57	100323.8	100331.4
2746.36	2746.4	7.8	15.76	1.79	3.18	16.14	16.37	64.56	37.68	100331.4	100339.0
2746.4	2746.44	5.91	19.48	1.47	2.87	20.75	16.41	71.32	42.91	100339.0	100346.6
2746.44	2746.48	5.65	15.52	1.42	2.25	16.45	15.02	67.62	34.55	100346.6	100354.2
2746.48	2746.52	5.38	18.86	1.31	2.27	17.64	16.15	72.4	36.53	100354.2	100361.8
2746.52	2746.56	5.03	20.97	1.27	2.42	19.03	16.71	73.49	39.65	100361.8	100369.4
2746.56	2746.6	6.01	13.07	1.59	2.87	16.72	14.48	64.44	35.79	100369.4	100377.0
2746.6	2746.64	6.73	13.87	1.36	2.55	17.5	15.38	65.98	38.17	100377.0	100384.6
2746.64	2746.68	6.77	11.32	1.31	2.78	14.97	16.4	65.08	32.19	100384.6	100392.2
2746.68	2746.72	8.98	6.43	1.26	2.94	21.81	15.87	60.04	50.08	100392.2	100399.8
2746.72	2746.76	6.32	15.54	1.2	2.77	16.68	18.09	70.87	33.23	100399.8	100407.4
2746.76	2746.8	6.49	11.36	1.34	2.94	13.97	16.06	63.39	28.46	100407.4	100415.0
