Kindler et al., 2014, Clim. Past;;;;;;;;;;;
Temperature reconstruction from 10 to 120 kyr b2k from the NGRIP ice core;;;;;;;;;;;
supplementary data file;;;;;;;;;;;
;;;;;;;;;;;
modelled NGRIP data ;;;;;;;;;;;
'the model was run using the ss09sea06bm time scale (NGRIP members, 2004; Anderson et al., 2006), additionally ages have been transformed to GICC05modelext time scale (Svensson et al., 2008; Wolff et al., 2010)';;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;ss09sea06bm;;GICC05modelext;
depth ;age ss09sea06bm ;age GICC05modelext;accumulation tuned;temperature;;;depth ;ice age;gas age ;ice age;gas age
[m];[yr];[yr];[m ice/yr];[°C];;;[m];[yr];[yr];[yr];[yr]
2039.63;37220;37178;0.064;-41.5;;;1827.65;24904;23384;25491;23987
2040.11;37240;37196;0.066;-41.1;;;1827.81;24915;23394;25502;23998
2040.60;37260;37214;0.067;-40.8;;;1827.96;24925;23404;25512;24008
2041.09;37280;37232;0.068;-40.5;;;1828.12;24936;23414;25524;24019
2041.59;37300;37251;0.069;-40.4;;;1828.27;24946;23424;25535;24030
2042.08;37320;37269;0.069;-40.4;;;1828.43;24956;23434;25546;24042
2042.58;37340;37288;0.070;-40.4;;;1828.59;24966;23444;25557;24053
2043.09;37360;37306;0.070;-40.3;;;1828.74;24976;23454;25567;24064
2043.58;37380;37324;0.069;-40.3;;;1828.90;24986;23464;25577;24075
2044.08;37400;37343;0.069;-40.4;;;1829.04;24995;23474;25587;24085
2044.56;37420;37361;0.068;-40.7;;;1829.20;25005;23484;25597;24095
2045.04;37440;37380;0.068;-41.0;;;1829.35;25015;23494;25607;24105
2045.51;37460;37399;0.068;-41.1;;;1829.48;25024;23504;25616;24115
2045.98;37480;37416;0.070;-40.8;;;1829.61;25034;23514;25625;24125
2046.48;37500;37434;0.072;-40.2;;;1829.75;25044;23524;25634;24134
2047.01;37520;37453;0.074;-39.5;;;1829.89;25054;23534;25643;24144
2047.56;37540;37472;0.076;-38.9;;;1830.03;25065;23544;25653;24153
2048.11;37560;37491;0.078;-38.6;;;1830.16;25075;23554;25662;24162
2048.66;37580;37510;0.079;-38.5;;;1830.30;25086;23564;25672;24173
2049.21;37600;37528;0.080;-38.5;;;1830.45;25097;23574;25682;24183
2049.76;37620;37548;0.080;-38.4;;;1830.59;25108;23584;25692;24192
2050.30;37640;37567;0.081;-38.3;;;1830.72;25118;23594;25701;24202
2050.85;37660;37586;0.081;-38.3;;;1830.86;25129;23604;25711;24210
2051.41;37680;37604;0.081;-38.3;;;1831.02;25141;23614;25722;24218
2051.96;37700;37622;0.082;-38.3;;;1831.16;25152;23624;25731;24228
2052.50;37720;37642;0.082;-38.2;;;1831.30;25163;23634;25741;24238
2053.05;37740;37660;0.083;-38.1;;;1831.44;25174;23644;25750;24246
2053.61;37760;37679;0.084;-38.0;;;1831.58;25185;23654;25760;24255
2054.17;37780;37697;0.084;-37.9;;;1831.74;25197;23664;25770;24264
2054.73;37800;37716;0.084;-37.9;;;1831.87;25208;23674;25779;24272
2055.29;37820;37736;0.084;-37.9;;;1832.03;25220;23684;25789;24281
2055.83;37840;37755;0.084;-38.0;;;1832.18;25232;23694;25799;24292
2056.38;37860;37775;0.084;-38.0;;;1832.34;25244;23704;25809;24302
2056.92;37880;37794;0.084;-38.1;;;1832.49;25256;23714;25820;24311
2057.47;37900;37812;0.084;-38.2;;;1832.65;25268;23724;25831;24319
2058.00;37920;37830;0.084;-38.2;;;1832.80;25279;23734;25841;24328
2058.53;37940;37849;0.083;-38.3;;;1832.96;25291;23744;25852;24338
2059.06;37960;37867;0.084;-38.4;;;1833.13;25303;23754;25863;24348
2059.59;37980;37885;0.084;-38.4;;;1833.28;25314;23764;25874;24357
2060.12;38000;37902;0.085;-38.2;;;1833.44;25326;23774;25886;24368
2060.65;38020;37918;0.086;-38.0;;;1833.59;25337;23784;25897;24379
2061.21;38040;37938;0.088;-37.7;;;1833.75;25348;23794;25907;24388
2061.77;38060;37957;0.089;-37.5;;;1833.90;25359;23804;25917;24398
2062.32;38080;37975;0.090;-37.3;;;1834.07;25371;23814;25928;24407
2062.89;38100;37993;0.091;-37.2;;;1834.22;25382;23824;25938;24416
2063.47;38120;38012;0.092;-37.1;;;1834.37;25393;23834;25949;24426
2064.04;38140;38031;0.093;-37.0;;;1834.52;25404;23844;25959;24437
2064.60;38160;38048;0.093;-37.0;;;1834.67;25415;23854;25970;24447
2065.17;38180;38066;0.094;-37.0;;;1834.81;25425;23864;25979;24456
2065.74;38200;38084;0.096;-36.8;;;1834.98;25436;23874;25990;24466
2066.32;38220;38103;0.097;-36.4;;;1835.14;25447;23884;26001;24475
2066.91;38240;38120;0.099;-36.1;;;1835.29;25457;23894;26010;24485
2067.52;38260;38138;0.099;-35.8;;;1835.46;25468;23904;26020;24494
2068.13;38280;38156;0.098;-35.9;;;1835.61;25478;23914;26030;24504
2068.73;38300;38175;0.095;-36.4;;;1835.77;25488;23924;26039;24514
2069.27;38320;38192;0.091;-37.3;;;1835.92;25498;23934;26047;24525
2069.77;38340;38210;0.084;-38.8;;;1836.07;25508;23944;26055;24536
2070.24;38360;38231;0.078;-40.6;;;1836.23;25518;23954;26063;24548
2070.65;38380;38256;0.071;-42.4;;;1836.38;25528;23964;26072;24560
2071.01;38400;38279;0.065;-43.7;;;1836.53;25537;23974;26080;24571
2071.35;38420;38301;0.060;-44.7;;;1836.69;25547;23984;26090;24582
2071.68;38440;38319;0.056;-45.4;;;1836.83;25556;23994;26100;24592
2072.00;38460;38338;0.054;-45.8;;;1836.98;25565;24004;26110;24602
2072.32;38480;38356;0.053;-46.0;;;1837.14;25574;24014;26119;24612
2072.64;38500;38376;0.053;-45.9;;;1837.30;25583;24024;26129;24622
2072.96;38520;38398;0.053;-45.7;;;1837.45;25591;24034;26137;24633
2073.28;38540;38420;0.053;-45.4;;;1837.61;25600;24044;26146;24643
2073.60;38560;38441;0.053;-45.3;;;1837.75;25608;24054;26154;24654
2073.92;38580;38460;0.053;-45.4;;;1837.90;25616;24064;26161;24665
2074.23;38600;38484;0.052;-45.7;;;1838.04;25624;24074;26169;24676
2074.55;38620;38502;0.052;-46.0;;;1838.18;25632;24084;26176;24686
2074.85;38640;38522;0.051;-46.4;;;1838.32;25640;24094;26184;24697
2075.16;38660;38543;0.051;-46.7;;;1838.45;25647;24104;26190;24706
2075.46;38680;38564;0.050;-46.9;;;1838.59;25655;24114;26197;24715
2075.75;38700;38582;0.050;-46.9;;;1838.73;25663;24124;26205;24725
2076.05;38720;38601;0.049;-46.8;;;1838.87;25671;24134;26212;24736
2076.34;38740;38623;0.048;-46.8;;;1839.01;25679;24144;26219;24745
2076.62;38760;38642;0.048;-46.9;;;1839.16;25687;24154;26226;24754
2076.90;38780;38659;0.047;-47.2;;;1839.30;25695;24164;26232;24763
2077.18;38800;38679;0.046;-47.6;;;1839.44;25703;24174;26239;24773
2077.45;38820;38698;0.046;-48.2;;;1839.58;25711;24184;26246;24783
2077.73;38840;38717;0.045;-48.7;;;1839.72;25719;24194;26254;24793
2078.00;38860;38735;0.045;-48.9;;;1839.86;25727;24204;26262;24804
2078.26;38880;38752;0.044;-48.9;;;1839.98;25734;24214;26268;24815
2078.52;38900;38769;0.044;-48.8;;;1840.11;25742;24224;26276;24825
2078.79;38920;38785;0.044;-48.6;;;1840.25;25750;24234;26283;24833
2079.05;38940;38802;0.044;-48.6;;;1840.38;25758;24244;26291;24842
2079.33;38960;38822;0.045;-48.5;;;1840.52;25766;24254;26298;24850
2079.61;38980;38838;0.046;-48.4;;;1840.66;25774;24264;26305;24859
2079.90;39000;38861;0.047;-48.3;;;1840.78;25781;24274;26312;24867
2080.18;39020;38880;0.048;-48.0;;;1840.92;25789;24284;26320;24875
2080.48;39040;38901;0.049;-47.7;;;1841.06;25797;24294;26328;24883
2080.79;39060;38922;0.049;-47.4;;;1841.21;25805;24304;26335;24891
2081.09;39080;38941;0.050;-47.1;;;1841.35;25813;24314;26343;24899
2081.39;39100;38958;0.049;-46.8;;;1841.49;25821;24324;26351;24908
2081.68;39120;38975;0.049;-46.8;;;1841.64;25829;24334;26359;24917
2081.96;39140;38994;0.048;-47.2;;;1841.79;25837;24344;26368;24927
2082.24;39160;39012;0.047;-48.0;;;1841.93;25845;24354;26377;24937
2082.51;39180;39029;0.045;-49.0;;;1842.08;25853;24364;26385;24947
2082.77;39200;39046;0.044;-49.8;;;1842.24;25862;24374;26395;24956
2083.03;39220;39064;0.043;-50.3;;;1842.39;25870;24384;26403;24966
2083.28;39240;39083;0.042;-50.5;;;1842.55;25879;24394;26413;24976
2083.53;39260;39101;0.042;-50.4;;;1842.69;25887;24404;26421;24987
2083.77;39280;39118;0.041;-50.3;;;1842.85;25896;24414;26432;24998
2084.02;39300;39138;0.041;-50.0;;;1843.00;25904;24424;26441;25008
2084.28;39320;39155;0.042;-49.6;;;1843.15;25913;24434;26449;25017
2084.54;39340;39172;0.042;-49.1;;;1843.30;25922;24444;26457;25027
2084.79;39360;39189;0.042;-48.9;;;1843.45;25931;24454;26464;25036
2085.04;39380;39206;0.043;-48.8;;;1843.60;25940;24464;26472;25046
2085.31;39400;39225;0.043;-49.0;;;1843.72;25949;24474;26479;25055
2085.57;39420;39243;0.043;-49.3;;;1843.85;25958;24484;26486;25065
2085.83;39440;39260;0.044;-49.5;;;1843.99;25968;24494;26493;25075
2086.09;39460;39280;0.044;-49.6;;;1844.11;25977;24504;26499;25084
2086.35;39480;39299;0.044;-49.5;;;1844.24;25987;24514;26507;25094
2086.61;39500;39317;0.043;-49.3;;;1844.38;25997;24524;26515;25103
2086.87;39520;39336;0.044;-49.2;;;1844.51;26007;24534;26523;25113
2087.13;39540;39356;0.044;-49.2;;;1844.64;26017;24544;26532;25123
2087.40;39560;39374;0.044;-49.2;;;1844.77;26027;24554;26541;25133
2087.67;39580;39390;0.044;-49.2;;;1844.91;26038;24564;26551;25143
2087.94;39600;39408;0.044;-49.0;;;1845.06;26049;24574;26560;25152
2088.20;39620;39426;0.044;-48.8;;;1845.20;26060;24584;26570;25161
2088.46;39640;39443;0.044;-48.7;;;1845.34;26071;24594;26579;25172
2088.71;39660;39461;0.044;-48.8;;;1845.48;26082;24604;26587;25183
2088.98;39680;39482;0.044;-49.3;;;1845.62;26093;24614;26595;25193
2089.26;39700;39504;0.045;-49.7;;;1845.75;26103;24624;26602;25204
2089.53;39720;39524;0.045;-49.9;;;1845.90;26114;24634;26612;25215
2089.80;39740;39543;0.045;-49.5;;;1846.05;26125;24644;26622;25225
2090.06;39760;39561;0.045;-48.9;;;1846.18;26135;24654;26631;25236
2090.32;39780;39582;0.045;-48.4;;;1846.33;26146;24664;26640;25247
2090.59;39800;39600;0.045;-48.3;;;1846.49;26156;24674;26650;25259
2090.87;39820;39621;0.046;-48.6;;;1846.63;26165;24684;26658;25270
2091.15;39840;39640;0.046;-48.9;;;1846.78;26175;24694;26667;25281
2091.43;39860;39663;0.047;-48.9;;;1846.92;26184;24704;26675;25292
2091.71;39880;39684;0.046;-48.7;;;1847.07;26194;24714;26684;25304
2091.97;39900;39703;0.046;-48.6;;;1847.20;26203;24724;26692;25315
2092.24;39920;39724;0.046;-48.6;;;1847.34;26212;24734;26700;25325
2092.52;39940;39744;0.046;-48.7;;;1847.47;26221;24744;26708;25336
2092.79;39960;39766;0.046;-48.9;;;1847.61;26230;24754;26717;25346
2093.06;39980;39787;0.045;-49.1;;;1847.74;26239;24764;26725;25355
2093.32;40000;39807;0.045;-49.3;;;1847.87;26248;24774;26732;25364
2093.59;40020;39828;0.045;-49.5;;;1848.00;26257;24784;26740;25373
2093.86;40040;39850;0.046;-49.7;;;1848.13;26266;24794;26749;25382
2094.15;40060;39869;0.046;-49.8;;;1848.26;26275;24804;26757;25392
2094.43;40080;39887;0.048;-49.4;;;1848.39;26284;24814;26765;25402
2094.73;40100;39905;0.050;-48.7;;;1848.51;26293;24824;26772;25411
2095.03;40120;39924;0.052;-47.8;;;1848.63;26301;24834;26778;25420
2095.36;40140;39946;0.055;-46.8;;;1848.76;26310;24844;26785;25430
2095.72;40160;39968;0.059;-45.7;;;1848.89;26319;24854;26792;25440
2096.09;40180;39989;0.063;-44.6;;;1849.01;26327;24864;26798;25450
2096.48;40200;40008;0.066;-43.6;;;1849.14;26336;24874;26806;25460
2096.89;40220;40028;0.069;-42.8;;;1849.25;26344;24884;26813;25471
2097.32;40240;40049;0.072;-42.3;;;1849.38;26353;24894;26821;25481
2097.76;40260;40070;0.073;-41.9;;;1849.50;26362;24904;26828;25491
2098.20;40280;40090;0.074;-41.7;;;1849.63;26371;24914;26835;25501
2098.63;40300;40110;0.072;-41.8;;;1849.76;26380;24924;26843;25511
2099.04;40320;40130;0.070;-42.3;;;1849.89;26389;24934;26851;25521
2099.43;40340;40150;0.066;-43.3;;;1850.02;26398;24944;26859;25532
2099.78;40360;40169;0.062;-44.7;;;1850.15;26407;24954;26866;25543
2100.11;40380;40187;0.059;-46.3;;;1850.28;26416;24964;26874;25555
2100.44;40400;40205;0.056;-47.5;;;1850.40;26424;24974;26881;25565
2100.74;40420;40224;0.053;-48.0;;;1850.54;26433;24984;26888;25575
2101.03;40440;40244;0.051;-48.0;;;1850.66;26441;24994;26895;25586
2101.32;40460;40263;0.050;-47.8;;;1850.78;26449;25004;26902;25596
2101.62;40480;40279;0.050;-47.7;;;1850.91;26457;25014;26910;25606
2101.92;40500;40299;0.050;-47.5;;;1851.04;26465;25024;26917;25616
2102.22;40520;40318;0.051;-47.4;;;1851.17;26473;25034;26925;25625
2102.52;40540;40336;0.051;-47.4;;;1851.29;26481;25044;26932;25634
2102.83;40560;40354;0.051;-47.3;;;1851.40;26488;25054;26939;25643
2103.13;40580;40371;0.051;-47.3;;;1851.51;26495;25064;26945;25652
2103.43;40600;40390;0.052;-47.3;;;1851.63;26503;25074;26952;25661
2103.74;40620;40410;0.052;-47.2;;;1851.74;26510;25084;26957;25670
2104.04;40640;40433;0.052;-47.2;;;1851.85;26517;25094;26963;25679
2104.34;40660;40454;0.052;-47.2;;;1851.95;26524;25104;26969;25688
2104.65;40680;40475;0.052;-47.2;;;1852.06;26531;25114;26974;25697
2104.95;40700;40494;0.051;-47.1;;;1852.17;26538;25124;26980;25706
2105.24;40720;40513;0.050;-47.1;;;1852.28;26545;25134;26986;25715
2105.53;40740;40531;0.049;-47.2;;;1852.38;26552;25144;26993;25724
2105.81;40760;40549;0.048;-47.5;;;1852.51;26560;25154;27000;25733
2106.09;40780;40568;0.047;-48.0;;;1852.61;26567;25164;27006;25742
2106.36;40800;40586;0.046;-48.6;;;1852.72;26574;25174;27013;25750
2106.62;40820;40603;0.045;-49.1;;;1852.84;26582;25184;27021;25759
2106.88;40840;40619;0.044;-49.5;;;1852.95;26589;25194;27028;25767
2107.14;40860;40635;0.043;-49.6;;;1853.07;26597;25204;27035;25776
2107.38;40880;40650;0.042;-49.5;;;1853.19;26604;25214;27042;25784
2107.63;40900;40665;0.041;-49.4;;;1853.31;26612;25224;27050;25793
2107.87;40920;40680;0.041;-49.2;;;1853.43;26619;25234;27056;25801
2108.10;40940;40696;0.040;-49.1;;;1853.55;26627;25244;27063;25809
2108.34;40960;40714;0.040;-49.3;;;1853.68;26635;25254;27070;25818
2108.59;40980;40728;0.040;-49.6;;;1853.79;26642;25264;27076;25827
2108.84;41000;40742;0.041;-50.0;;;1853.91;26650;25274;27083;25836
2109.09;41020;40758;0.042;-50.1;;;1854.02;26657;25284;27090;25845
2109.35;41040;40777;0.043;-49.7;;;1854.14;26664;25294;27096;25854
2109.62;41060;40794;0.044;-48.9;;;1854.27;26672;25304;27103;25864
2109.89;41080;40811;0.045;-47.7;;;1854.39;26679;25314;27110;25874
2110.17;41100;40828;0.046;-46.5;;;1854.51;26686;25324;27117;25884
2110.46;41120;40847;0.048;-45.7;;;1854.64;26694;25334;27124;25894
2110.77;41140;40865;0.049;-45.2;;;1854.76;26701;25344;27131;25903
2111.08;41160;40883;0.051;-45.0;;;1854.90;26709;25354;27139;25913
2111.40;41180;40902;0.052;-44.9;;;1855.02;26716;25364;27147;25922
2111.73;41200;40921;0.054;-44.7;;;1855.14;26723;25374;27156;25931
2112.07;41220;40942;0.055;-44.3;;;1855.28;26731;25384;27165;25940
2112.41;41240;40962;0.057;-43.8;;;1855.42;26739;25394;27174;25950
2112.78;41260;40980;0.060;-42.9;;;1855.55;26746;25404;27182;25959
2113.16;41280;40999;0.063;-41.9;;;1855.69;26754;25414;27190;25969
2113.56;41300;41017;0.065;-40.9;;;1855.81;26761;25424;27198;25978
2113.98;41320;41038;0.068;-39.9;;;1855.94;26769;25434;27206;25988
2114.42;41340;41060;0.071;-39.0;;;1856.07;26777;25444;27214;25998
2114.87;41360;41084;0.072;-38.4;;;1856.21;26785;25454;27222;26008
2115.32;41380;41105;0.073;-38.3;;;1856.34;26793;25464;27230;26017
2115.76;41400;41125;0.073;-38.3;;;1856.48;26801;25474;27239;26026
2116.21;41420;41146;0.074;-38.6;;;1856.61;26809;25484;27246;26035
2116.66;41440;41164;0.073;-38.8;;;1856.74;26817;25494;27253;26044
2117.11;41460;41184;0.073;-38.7;;;1856.87;26825;25504;27261;26052
2117.56;41480;41203;0.074;-38.4;;;1857.01;26834;25514;27268;26060
2118.00;41500;41223;0.074;-38.2;;;1857.16;26843;25524;27276;26069
2118.47;41520;41243;0.075;-38.1;;;1857.30;26852;25534;27284;26077
2118.94;41540;41261;0.076;-37.9;;;1857.44;26861;25544;27293;26087
2119.41;41560;41280;0.077;-37.5;;;1857.58;26870;25554;27301;26098
2119.88;41580;41298;0.078;-37.1;;;1857.73;26880;25564;27310;26109
2120.36;41600;41318;0.079;-36.8;;;1857.89;26890;25574;27319;26119
2120.85;41620;41338;0.080;-36.5;;;1858.03;26900;25584;27327;26130
2121.35;41640;41358;0.082;-36.0;;;1858.17;26910;25594;27336;26140
2121.85;41660;41378;0.082;-35.4;;;1858.32;26920;25604;27345;26150
2122.36;41680;41397;0.082;-35.1;;;1858.47;26931;25614;27354;26160
2122.88;41700;41415;0.081;-35.1;;;1858.61;26941;25624;27363;26169
2123.36;41720;41432;0.077;-36.0;;;1858.76;26952;25634;27372;26178
2123.80;41740;41449;0.072;-37.8;;;1858.91;26963;25644;27380;26187
2124.20;41760;41468;0.066;-40.3;;;1859.06;26974;25654;27389;26196
2124.55;41780;41487;0.060;-43.0;;;1859.20;26985;25664;27398;26205
2124.86;41800;41509;0.055;-45.2;;;1859.35;26996;25674;27406;26215
2125.16;41820;41528;0.050;-46.7;;;1859.50;27008;25684;27416;26223
2125.43;41840;41545;0.047;-47.7;;;1859.65;27019;25694;27424;26232
2125.70;41860;41562;0.045;-48.3;;;1859.80;27030;25704;27433;26240
2125.97;41880;41581;0.043;-48.7;;;1859.95;27041;25714;27442;26249
2126.23;41900;41602;0.043;-48.6;;;1860.10;27052;25724;27452;26259
2126.50;41920;41621;0.043;-48.4;;;1860.26;27063;25734;27463;26268
2126.76;41940;41638;0.043;-48.1;;;1860.41;27073;25744;27472;26278
2127.02;41960;41657;0.043;-48.0;;;1860.55;27083;25754;27481;26287
2127.29;41980;41676;0.042;-48.0;;;1860.70;27093;25764;27490;26296
2127.55;42000;41693;0.042;-48.1;;;1860.86;27103;25774;27499;26305
2127.80;42020;41711;0.042;-48.1;;;1861.02;27113;25784;27509;26315
2128.06;42040;41729;0.042;-48.3;;;1861.17;27122;25794;27517;26325
2128.31;42060;41748;0.042;-48.6;;;1861.34;27131;25804;27525;26335
2128.56;42080;41767;0.041;-49.1;;;1861.49;27139;25814;27531;26344
2128.82;42100;41786;0.041;-49.4;;;1861.66;27148;25824;27539;26354
2129.08;42120;41804;0.041;-49.5;;;1861.82;27156;25834;27545;26365
2129.32;42140;41822;0.041;-49.2;;;1861.96;27163;25844;27550;26376
2129.57;42160;41839;0.041;-48.8;;;1862.13;27171;25854;27556;26386
2129.81;42180;41857;0.041;-48.5;;;1862.28;27178;25864;27562;26397
2130.06;42200;41876;0.041;-48.5;;;1862.43;27185;25874;27568;26408
2130.32;42220;41895;0.041;-48.7;;;1862.59;27192;25884;27574;26418
2130.57;42240;41915;0.041;-49.0;;;1862.73;27198;25894;27579;26430
2130.83;42260;41932;0.041;-49.1;;;1862.87;27204;25904;27584;26441
2131.08;42280;41950;0.041;-49.1;;;1863.02;27210;25914;27589;26450
2131.32;42300;41969;0.041;-49.0;;;1863.18;27216;25924;27594;26459
2131.57;42320;41988;0.041;-49.1;;;1863.31;27221;25934;27598;26467
2131.82;42340;42007;0.041;-49.3;;;1863.47;27227;25944;27604;26475
2132.07;42360;42026;0.041;-49.3;;;1863.61;27232;25954;27609;26483
2132.33;42380;42045;0.042;-49.3;;;1863.75;27237;25964;27613;26490
2132.59;42400;42063;0.042;-49.1;;;1863.89;27242;25974;27618;26497
2132.85;42420;42081;0.043;-48.9;;;1864.03;27247;25984;27623;26504
2133.12;42440;42100;0.043;-48.5;;;1864.18;27252;25994;27627;26512
2133.39;42460;42120;0.044;-48.1;;;1864.29;27256;26004;27631;26520
2133.66;42480;42142;0.045;-47.6;;;1864.43;27261;26014;27635;26529
2133.94;42500;42162;0.045;-47.2;;;1864.55;27265;26024;27639;26538
2134.22;42520;42184;0.046;-47.2;;;1864.69;27270;26034;27643;26547
2134.50;42540;42204;0.047;-47.3;;;1864.81;27274;26044;27647;26556
2134.80;42560;42227;0.048;-47.3;;;1864.93;27278;26054;27651;26565
2135.11;42580;42248;0.050;-47.1;;;1865.04;27282;26064;27654;26573
2135.42;42600;42268;0.051;-46.5;;;1865.19;27287;26074;27659;26581
2135.74;42620;42286;0.053;-45.6;;;1865.32;27291;26084;27663;26588
2136.07;42640;42304;0.055;-44.6;;;1865.44;27295;26094;27667;26595
2136.41;42660;42322;0.056;-43.8;;;1865.59;27300;26104;27673;26603
2136.76;42680;42343;0.058;-43.4;;;1865.72;27304;26114;27678;26612
2137.12;42700;42365;0.059;-43.3;;;1865.85;27308;26124;27682;26621
2137.48;42720;42385;0.059;-43.4;;;1865.97;27312;26134;27686;26630
2137.83;42740;42405;0.059;-43.5;;;1866.13;27317;26144;27692;26638
2138.17;42760;42425;0.058;-43.8;;;1866.26;27321;26154;27696;26648
2138.51;42780;42443;0.058;-44.2;;;1866.39;27325;26164;27700;26657
2138.86;42800;42462;0.057;-44.8;;;1866.52;27329;26174;27704;26666
2139.19;42820;42481;0.056;-45.3;;;1866.68;27334;26185;27710;26676
2139.53;42840;42499;0.056;-45.5;;;1866.82;27338;26195;27714;26685
2139.85;42860;42518;0.056;-45.4;;;1866.96;27342;26205;27718;26694
2140.18;42880;42537;0.056;-45.3;;;1867.09;27346;26215;27722;26703
2140.52;42900;42555;0.057;-45.1;;;1867.23;27350;26225;27726;26712
2140.88;42920;42575;0.058;-44.9;;;1867.38;27354;26235;27730;26721
2141.23;42940;42596;0.059;-44.5;;;1867.56;27359;26245;27735;26730
2141.58;42960;42615;0.061;-43.9;;;1867.70;27363;26255;27739;26738
2141.95;42980;42635;0.062;-43.4;;;1867.84;27367;26265;27743;26748
2142.33;43000;42657;0.064;-43.0;;;1867.98;27371;26275;27747;26757
2142.73;43020;42677;0.066;-42.5;;;1868.11;27375;26285;27751;26766
2143.12;43040;42699;0.068;-41.9;;;1868.24;27379;26295;27754;26773
2143.53;43060;42722;0.069;-41.5;;;1868.37;27383;26304;27758;26780
2143.94;43080;42744;0.071;-41.2;;;1868.51;27388;26314;27762;26788
2144.36;43100;42767;0.072;-41.0;;;1868.62;27392;26324;27765;26796
2144.79;43120;42792;0.073;-40.8;;;1868.76;27397;26334;27769;26804
2145.21;43140;42814;0.074;-40.7;;;1868.87;27401;26344;27772;26813
2145.64;43160;42834;0.075;-40.5;;;1869.00;27406;26354;27776;26822
2146.07;43180;42854;0.075;-40.4;;;1869.13;27411;26364;27780;26830
2146.52;43200;42874;0.076;-40.3;;;1869.26;27416;26374;27785;26838
2146.96;43220;42893;0.077;-40.0;;;1869.39;27421;26384;27790;26846
2147.41;43240;42913;0.078;-39.7;;;1869.53;27427;26394;27797;26855
2147.86;43260;42933;0.079;-39.5;;;1869.63;27432;26404;27802;26864
2148.32;43280;42953;0.081;-39.3;;;1869.76;27438;26414;27811;26872
2148.79;43300;42974;0.082;-39.1;;;1869.89;27444;26424;27820;26881
2149.26;43320;42996;0.084;-38.7;;;1870.03;27451;26434;27828;26889
2149.74;43340;43017;0.085;-38.2;;;1870.15;27458;26444;27837;26898
2150.23;43360;43038;0.087;-37.7;;;1870.27;27465;26454;27845;26907
2150.73;43380;43060;0.087;-37.4;;;1870.39;27472;26464;27852;26917
2151.23;43400;43080;0.087;-37.4;;;1870.53;27480;26474;27859;26926
2151.72;43420;43101;0.087;-37.7;;;1870.66;27488;26484;27868;26935
2152.20;43440;43120;0.085;-38.3;;;1870.79;27496;26494;27876;26944
2152.66;43460;43139;0.083;-39.1;;;1870.93;27505;26504;27885;26952
2153.12;43480;43158;0.081;-39.9;;;1871.08;27514;26514;27894;26961
2153.54;43500;43175;0.079;-40.6;;;1871.23;27523;26524;27903;26969
2153.96;43520;43191;0.077;-41.2;;;1871.39;27533;26534;27914;26977
2154.39;43540;43209;0.077;-41.5;;;1871.53;27542;26544;27923;26985
2154.81;43560;43227;0.077;-41.5;;;1871.69;27552;26554;27932;26994
2155.23;43580;43245;0.077;-41.1;;;1871.85;27562;26564;27942;27004
2155.67;43600;43263;0.078;-40.5;;;1872.00;27572;26574;27952;27013
2156.11;43620;43281;0.078;-40.1;;;1872.14;27581;26584;27961;27023
2156.55;43640;43299;0.077;-40.0;;;1872.29;27591;26594;27969;27032
2156.96;43660;43316;0.074;-40.5;;;1872.44;27601;26604;27977;27042
2157.35;43680;43333;0.071;-41.7;;;1872.60;27612;26614;27987;27052
2157.71;43700;43354;0.067;-43.5;;;1872.75;27622;26624;27996;27061
2158.04;43720;43377;0.062;-45.5;;;1872.91;27633;26634;28006;27069
2158.34;43740;43400;0.058;-47.2;;;1873.05;27643;26644;28015;27078
2158.62;43760;43421;0.054;-48.6;;;1873.21;27654;26654;28024;27087
2158.89;43780;43439;0.050;-49.7;;;1873.37;27665;26664;28034;27096
2159.14;43800;43457;0.047;-50.6;;;1873.52;27676;26674;28044;27105
2159.38;43820;43474;0.045;-51.3;;;1873.70;27688;26684;28055;27115
2159.61;43840;43490;0.043;-51.8;;;1873.85;27699;26694;28065;27124
2159.84;43860;43507;0.042;-52.0;;;1874.02;27711;26704;28075;27134
2160.06;43880;43526;0.040;-52.3;;;1874.19;27723;26714;28086;27145
2160.27;43900;43543;0.039;-52.6;;;1874.35;27734;26724;28097;27157
2160.48;43920;43559;0.039;-53.1;;;1874.52;27746;26734;28109;27168
2160.70;43940;43577;0.039;-53.6;;;1874.69;27757;26744;28120;27179
2160.91;43960;43595;0.039;-54.1;;;1874.86;27769;26754;28132;27190
2161.13;43980;43612;0.039;-54.2;;;1875.03;27780;26764;28144;27201
2161.35;44000;43630;0.040;-54.0;;;1875.21;27792;26774;28155;27211
2161.58;44020;43648;0.041;-53.4;;;1875.37;27803;26784;28165;27221
2161.81;44040;43665;0.042;-52.5;;;1875.53;27814;26794;28177;27231
2162.04;44060;43683;0.043;-51.5;;;1875.69;27825;26804;28187;27241
2162.29;44080;43701;0.044;-50.6;;;1875.85;27836;26814;28197;27251
2162.53;44100;43721;0.045;-49.8;;;1876.03;27848;26824;28209;27260
2162.79;44120;43741;0.046;-49.5;;;1876.19;27859;26834;28220;27268
2163.05;44140;43761;0.047;-49.4;;;1876.36;27870;26844;28231;27277
2163.32;44160;43781;0.048;-49.5;;;1876.53;27881;26854;28242;27286
