Kindler et al., 2014, Clim. Past;;;;;;;;;;;
Temperature reconstruction from 10 to 120 kyr b2k from the NGRIP ice core;;;;;;;;;;;
supplementary data file;;;;;;;;;;;
;;;;;;;;;;;
modelled NGRIP data ;;;;;;;;;;;
'the model was run using the ss09sea06bm time scale (NGRIP members, 2004; Anderson et al., 2006), additionally ages have been transformed to GICC05modelext time scale (Svensson et al., 2008; Wolff et al., 2010)';;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;ss09sea06bm;;GICC05modelext;
depth ;age ss09sea06bm ;age GICC05modelext;accumulation tuned;temperature;;;depth ;ice age;gas age ;ice age;gas age
[m];[yr];[yr];[m ice/yr];[°C];;;[m];[yr];[yr];[yr];[yr]
1486.47;11440;11592;0.140;-33.7;;;1442.76;10771;10490;10845;10518
1487.81;11460;11615;0.138;-33.6;;;1443.54;10782;10500;10856;10530
1489.16;11480;11638;0.130;-34.1;;;1444.36;10794;10510;10868;10542
1490.43;11500;11660;0.121;-35.3;;;1445.15;10806;10520;10881;10554
1491.57;11520;11682;0.107;-37.3;;;1445.87;10817;10530;10892;10565
1492.44;11540;11704;0.093;-39.6;;;1446.65;10829;10540;10905;10577
1493.14;11560;11726;0.081;-41.6;;;1447.51;10842;10551;10920;10589
1493.79;11580;11745;0.072;-42.9;;;1448.30;10854;10561;10934;10600
1494.43;11600;11766;0.067;-43.6;;;1449.10;10866;10571;10947;10612
1495.06;11620;11787;0.065;-43.9;;;1449.94;10879;10581;10960;10624
1495.69;11640;11808;0.064;-43.9;;;1450.72;10891;10591;10975;10635
1496.34;11660;11829;0.064;-43.7;;;1451.52;10903;10601;10988;10647
1496.98;11680;11851;0.065;-43.5;;;1452.40;10916;10611;11002;10659
1497.62;11700;11873;0.065;-43.4;;;1453.23;10928;10621;11015;10670
1498.27;11720;11897;0.064;-43.7;;;1454.06;10940;10631;11029;10682
1498.89;11740;11918;0.063;-44.1;;;1454.90;10952;10641;11042;10694
1499.46;11760;11938;0.062;-44.5;;;1455.72;10964;10651;11056;10706
1500.04;11780;11956;0.062;-44.7;;;1456.47;10975;10661;11068;10717
1500.62;11800;11976;0.062;-44.5;;;1457.27;10987;10671;11082;10728
1501.22;11820;11997;0.063;-44.1;;;1458.02;10998;10681;11094;10740
1501.83;11840;12019;0.064;-43.5;;;1458.84;11010;10691;11108;10751
1502.49;11860;12039;0.064;-43.2;;;1459.61;11021;10701;11120;10763
1503.13;11880;12061;0.064;-43.2;;;1460.37;11032;10711;11132;10775
1503.74;11900;12083;0.063;-43.8;;;1461.12;11043;10721;11145;10786
1504.32;11920;12103;0.061;-44.5;;;1461.87;11054;10732;11158;10800
1504.87;11940;12123;0.059;-45.1;;;1462.55;11064;10741;11170;10810
1505.40;11960;12142;0.058;-45.3;;;1463.29;11075;10752;11182;10823
1505.96;11980;12164;0.058;-45.2;;;1464.01;11086;10762;11194;10835
1506.52;12000;12185;0.059;-45.0;;;1464.67;11096;10771;11205;10845
1507.08;12020;12205;0.059;-44.7;;;1465.35;11107;10782;11217;10856
1507.68;12040;12227;0.060;-44.5;;;1465.99;11117;10791;11228;10865
1508.27;12060;12249;0.061;-44.4;;;1466.64;11127;10801;11240;10875
1508.85;12080;12269;0.061;-44.4;;;1467.29;11137;10811;11250;10886
1509.44;12100;12289;0.060;-44.5;;;1467.96;11147;10821;11261;10897
1510.01;12120;12310;0.059;-44.7;;;1468.66;11157;10831;11272;10908
1510.55;12140;12331;0.058;-44.9;;;1469.43;11168;10841;11285;10919
1511.09;12160;12351;0.057;-45.1;;;1470.15;11178;10851;11296;10930
1511.64;12180;12372;0.057;-45.2;;;1470.80;11188;10861;11308;10942
1512.17;12200;12392;0.057;-45.1;;;1471.52;11199;10871;11320;10952
1512.71;12220;12411;0.057;-45.1;;;1472.24;11210;10881;11333;10963
1513.26;12240;12430;0.057;-45.0;;;1472.90;11220;10891;11344;10975
1513.81;12260;12448;0.058;-44.9;;;1473.69;11232;10901;11357;10986
1514.35;12280;12466;0.058;-44.7;;;1474.39;11243;10911;11369;10996
1514.91;12300;12486;0.059;-44.5;;;1475.14;11255;10921;11382;11007
1515.49;12320;12508;0.060;-44.3;;;1475.89;11267;10932;11395;11019
1516.08;12340;12529;0.060;-44.1;;;1476.63;11279;10942;11409;11031
1516.66;12360;12551;0.060;-44.1;;;1477.39;11292;10952;11423;11042
1517.23;12380;12572;0.059;-44.4;;;1478.09;11304;10962;11438;11054
1517.76;12400;12593;0.057;-44.8;;;1478.80;11317;10972;11453;11065
1518.27;12420;12615;0.055;-45.3;;;1479.51;11330;10982;11468;11076
1518.78;12440;12635;0.053;-45.5;;;1480.27;11343;10992;11482;11087
1519.28;12460;12652;0.052;-45.7;;;1480.97;11355;11002;11495;11099
1519.76;12480;12670;0.051;-45.8;;;1481.76;11368;11012;11510;11110
1520.25;12500;12687;0.051;-45.9;;;1482.52;11380;11022;11524;11121
1520.73;12520;12704;0.051;-46.0;;;1483.29;11392;11032;11538;11132
1521.21;12540;12720;0.053;-45.8;;;1484.09;11404;11042;11551;11144
1521.71;12560;12736;0.055;-45.2;;;1484.88;11416;11052;11565;11156
1522.27;12580;12757;0.059;-44.2;;;1485.67;11428;11062;11580;11167
1522.86;12600;12778;0.063;-43.1;;;1486.40;11439;11072;11591;11179
1523.50;12620;12802;0.066;-42.3;;;1487.20;11451;11082;11604;11190
1524.18;12640;12825;0.070;-41.5;;;1488.02;11463;11092;11619;11201
1524.87;12660;12846;0.073;-40.9;;;1488.82;11475;11102;11632;11212
1525.57;12680;12868;0.076;-40.3;;;1489.68;11488;11112;11647;11223
1526.28;12700;12889;0.078;-39.8;;;1490.55;11502;11122;11662;11234
1527.02;12720;12909;0.081;-39.2;;;1491.35;11516;11132;11678;11245
1527.80;12740;12929;0.083;-38.6;;;1492.19;11533;11142;11696;11256
1528.63;12760;12950;0.084;-38.3;;;1492.80;11550;11152;11715;11267
1529.46;12780;12972;0.084;-38.4;;;1493.50;11571;11163;11736;11279
1530.23;12800;12989;0.083;-38.6;;;1494.20;11593;11173;11758;11291
1530.96;12820;13006;0.080;-39.0;;;1495.00;11618;11183;11785;11302
1531.69;12840;13025;0.078;-39.4;;;1495.79;11643;11193;11811;11313
1532.38;12860;13043;0.075;-39.7;;;1496.57;11667;11203;11836;11325
1533.06;12880;13059;0.073;-40.1;;;1497.33;11691;11213;11863;11336
1533.73;12900;13077;0.071;-40.4;;;1498.11;11715;11223;11891;11347
1534.39;12920;13095;0.069;-40.7;;;1498.86;11739;11233;11917;11358
1535.02;12940;13114;0.067;-41.1;;;1499.55;11763;11243;11941;11369
1535.61;12960;13132;0.065;-41.4;;;1500.27;11788;11253;11964;11380
1536.21;12980;13149;0.065;-41.6;;;1500.95;11811;11263;11988;11391
1536.80;13000;13167;0.065;-41.6;;;1501.67;11835;11273;12014;11402
1537.40;13020;13185;0.065;-41.4;;;1502.42;11858;11283;12037;11413
1538.02;13040;13202;0.067;-41.2;;;1503.16;11881;11293;12062;11425
1538.66;13060;13220;0.069;-40.9;;;1503.86;11904;11303;12087;11437
1539.32;13080;13239;0.072;-40.6;;;1504.54;11928;11314;12111;11450
1540.00;13100;13260;0.074;-40.2;;;1505.21;11953;11324;12135;11461
1540.71;13120;13278;0.077;-39.9;;;1505.93;11979;11334;12162;11472
1541.46;13140;13295;0.079;-39.6;;;1506.66;12005;11344;12190;11484
1542.20;13160;13313;0.080;-39.5;;;1507.41;12031;11354;12217;11494
1542.94;13180;13330;0.082;-39.3;;;1508.16;12056;11364;12245;11505
1543.69;13200;13348;0.083;-39.1;;;1508.91;12082;11374;12271;11517
1544.47;13220;13367;0.085;-38.8;;;1509.64;12107;11384;12296;11528
1545.26;13240;13385;0.086;-38.6;;;1510.36;12133;11394;12323;11540
1546.07;13260;13403;0.088;-38.4;;;1511.07;12159;11405;12350;11553
1546.89;13280;13422;0.089;-38.2;;;1511.75;12184;11415;12377;11564
1547.69;13300;13439;0.089;-38.0;;;1512.42;12209;11425;12400;11576
1548.50;13320;13459;0.090;-37.9;;;1513.06;12233;11435;12424;11587
1549.31;13340;13477;0.091;-37.7;;;1513.71;12256;11445;12445;11598
1550.13;13360;13495;0.092;-37.5;;;1514.30;12278;11455;12464;11609
1550.98;13380;13514;0.092;-37.4;;;1514.85;12298;11465;12484;11621
1551.83;13400;13532;0.091;-37.6;;;1515.40;12317;11475;12505;11632
1552.65;13420;13550;0.089;-37.9;;;1515.90;12334;11485;12522;11644
1553.45;13440;13567;0.086;-38.4;;;1516.40;12351;11494;12541;11653
1554.21;13460;13586;0.083;-38.9;;;1516.83;12366;11504;12558;11664
1554.92;13480;13604;0.082;-39.3;;;1517.26;12381;11514;12573;11676
1555.61;13500;13623;0.081;-39.7;;;1517.66;12396;11524;12588;11687
1556.32;13520;13641;0.083;-39.7;;;1518.00;12409;11534;12602;11697
1557.08;13540;13660;0.086;-39.2;;;1518.35;12423;11544;12618;11708
1557.88;13560;13680;0.089;-38.3;;;1518.68;12436;11554;12631;11720
1558.72;13580;13698;0.093;-37.5;;;1519.01;12449;11564;12643;11730
1559.60;13600;13717;0.095;-36.8;;;1519.33;12462;11574;12654;11739
1560.49;13620;13737;0.097;-36.6;;;1519.62;12474;11584;12664;11749
1561.38;13640;13757;0.097;-36.6;;;1519.93;12487;11594;12676;11759
1562.22;13660;13775;0.097;-36.8;;;1520.22;12499;11604;12687;11770
1563.04;13680;13793;0.097;-36.7;;;1520.53;12512;11614;12698;11781
1563.89;13700;13811;0.098;-36.3;;;1520.82;12524;11624;12708;11792
1564.76;13720;13830;0.099;-35.8;;;1521.11;12536;11634;12717;11802
1565.67;13740;13850;0.100;-35.5;;;1521.41;12548;11644;12727;11812
1566.55;13760;13868;0.101;-35.4;;;1521.71;12560;11654;12736;11823
1567.47;13780;13887;0.101;-35.4;;;1522.01;12571;11663;12747;11832
1568.36;13800;13907;0.100;-35.6;;;1522.32;12582;11673;12759;11843
1569.25;13820;13925;0.098;-36.1;;;1522.62;12592;11683;12770;11854
1570.11;13840;13944;0.095;-36.8;;;1522.96;12603;11694;12782;11866
1570.93;13860;13965;0.090;-38.1;;;1523.25;12612;11703;12793;11877
1571.71;13880;13985;0.085;-39.3;;;1523.57;12622;11713;12805;11889
1572.40;13900;14004;0.080;-40.4;;;1523.88;12631;11723;12815;11900
1573.07;13920;14023;0.077;-41.4;;;1524.15;12639;11733;12824;11911
1573.71;13940;14043;0.075;-41.7;;;1524.46;12648;11743;12833;11921
1574.35;13960;14062;0.076;-41.5;;;1524.73;12656;11753;12841;11931
1575.03;13980;14080;0.079;-40.9;;;1525.05;12665;11763;12852;11941
1575.75;14000;14097;0.083;-40.0;;;1525.33;12673;11773;12861;11950
1576.56;14020;14115;0.087;-39.1;;;1525.60;12681;11783;12870;11959
1577.38;14040;14135;0.091;-38.5;;;1525.88;12689;11793;12878;11969
1578.22;14060;14153;0.094;-38.1;;;1526.13;12696;11803;12885;11979
1579.06;14080;14174;0.097;-37.7;;;1526.42;12704;11813;12893;11990
1579.92;14100;14194;0.100;-37.5;;;1526.72;12712;11823;12901;12001
1580.80;14120;14212;0.102;-37.3;;;1526.98;12719;11833;12908;12012
1581.66;14140;14230;0.104;-37.3;;;1527.28;12727;11843;12916;12022
1582.52;14160;14247;0.105;-37.2;;;1527.56;12734;11853;12924;12032
1583.40;14180;14265;0.106;-36.9;;;1527.84;12741;11863;12930;12043
1584.32;14200;14285;0.108;-36.5;;;1528.13;12748;11873;12937;12054
1585.26;14220;14302;0.109;-36.2;;;1528.42;12755;11883;12945;12065
1586.19;14240;14319;0.110;-36.0;;;1528.71;12762;11893;12953;12076
1587.13;14260;14338;0.111;-35.8;;;1529.00;12769;11903;12961;12086
1588.06;14280;14356;0.112;-35.5;;;1529.25;12775;11913;12967;12096
1589.01;14300;14376;0.112;-35.3;;;1529.54;12782;11923;12974;12106
1589.97;14320;14396;0.111;-35.1;;;1529.77;12788;11933;12980;12116
1590.93;14340;14416;0.110;-35.1;;;1530.04;12795;11943;12986;12126
1591.89;14360;14436;0.109;-35.1;;;1530.30;12802;11953;12991;12135
1592.80;14380;14454;0.108;-35.0;;;1530.52;12808;11963;12996;12145
1593.75;14400;14471;0.109;-34.7;;;1530.78;12815;11973;13001;12156
1594.73;14420;14493;0.109;-34.4;;;1531.00;12821;11983;13007;12167
1595.76;14440;14513;0.112;-34.0;;;1531.25;12828;11993;13014;12178
1596.80;14460;14533;0.113;-33.6;;;1531.51;12835;12003;13020;12188
1597.84;14480;14551;0.112;-33.4;;;1531.76;12842;12013;13027;12198
1598.84;14500;14569;0.111;-33.3;;;1532.00;12849;12023;13033;12208
1599.85;14520;14587;0.109;-33.5;;;1532.25;12856;12033;13040;12219
1600.84;14540;14607;0.105;-34.1;;;1532.52;12864;12043;13046;12230
1601.79;14560;14628;0.100;-35.2;;;1532.76;12871;12053;13052;12241
1602.68;14580;14647;0.094;-36.6;;;1532.99;12878;12063;13057;12252
1603.51;14600;14664;0.086;-38.6;;;1533.23;12885;12073;13063;12262
1604.21;14620;14681;0.080;-40.8;;;1533.50;12893;12083;13070;12272
1604.91;14640;14701;0.074;-43.2;;;1533.73;12900;12093;13077;12281
1605.53;14660;14725;0.070;-45.0;;;1534.00;12908;12103;13084;12292
1606.11;14680;14746;0.067;-45.9;;;1534.23;12915;12113;13091;12303
1606.72;14700;14768;0.067;-45.9;;;1534.48;12923;12123;13098;12313
1607.36;14720;14789;0.067;-45.6;;;1534.70;12930;12133;13105;12323
1608.00;14740;14811;0.067;-45.4;;;1534.95;12938;12143;13112;12334
1608.64;14760;14834;0.068;-45.3;;;1535.20;12946;12153;13120;12344
1609.27;14780;14857;0.067;-45.3;;;1535.40;12953;12163;13126;12354
1609.87;14800;14880;0.067;-45.3;;;1535.64;12961;12172;13133;12363
1610.49;14820;14904;0.065;-45.5;;;1535.88;12969;12182;13140;12374
1611.09;14840;14928;0.064;-45.9;;;1536.12;12977;12192;13147;12384
1611.67;14860;14953;0.062;-46.4;;;1536.36;12985;12202;13154;12394
1612.20;14880;14976;0.060;-46.5;;;1536.56;12992;12212;13160;12403
1612.74;14900;14997;0.059;-46.6;;;1536.80;13000;12222;13167;12413
1613.27;14920;15018;0.058;-46.7;;;1537.04;13008;12232;13174;12423
1613.80;14940;15044;0.057;-46.7;;;1537.28;13016;12242;13181;12432
1614.31;14960;15066;0.057;-46.6;;;1537.52;13024;12252;13188;12441
1614.84;14980;15088;0.057;-46.6;;;1537.77;13032;12262;13195;12450
1615.37;15000;15111;0.057;-46.6;;;1537.99;13039;12272;13201;12458
1615.89;15020;15136;0.057;-46.6;;;1538.24;13047;12282;13209;12468
1616.40;15040;15160;0.057;-46.5;;;1538.46;13054;12292;13215;12478
1616.91;15060;15183;0.057;-46.5;;;1538.72;13062;12302;13222;12488
1617.45;15080;15206;0.057;-46.5;;;1538.95;13069;12312;13229;12499
1617.94;15100;15230;0.057;-46.5;;;1539.18;13076;12322;13235;12510
1618.44;15120;15251;0.057;-46.6;;;1539.45;13084;12332;13243;12520
1618.93;15140;15272;0.057;-46.6;;;1539.69;13091;12342;13250;12531
1619.43;15160;15292;0.059;-46.5;;;1539.93;13098;12352;13258;12542
1619.95;15180;15313;0.060;-46.3;;;1540.14;13104;12362;13264;12553
1620.51;15200;15338;0.062;-46.0;;;1540.39;13111;12372;13270;12564
1621.10;15220;15364;0.063;-45.8;;;1540.64;13118;12382;13276;12574
1621.66;15240;15389;0.063;-45.8;;;1540.86;13124;12392;13281;12584
1622.22;15260;15413;0.062;-45.9;;;1541.09;13130;12402;13287;12595
1622.75;15280;15436;0.060;-46.1;;;1541.35;13137;12412;13293;12606
1623.23;15300;15458;0.057;-46.3;;;1541.57;13143;12422;13298;12617
1623.69;15320;15477;0.055;-46.4;;;1541.79;13149;12432;13303;12627
