Holocene site elevation data presented in Vinther et al., 2009 
Original File name Vinther_etal_2009_data_29sep2009.xls 
All ages are given in years b2k (years relative to A.D. 2000). 
Age values refer to the bottom of each interval. 
Thus the age value 60 b2k refer to the interval 40 - 60 b2k. 
Site elevation data has been corrected for upstream effects.  
These are the data shown in fig. 2a. 
The estimated 1-sigma uncertainties on both site elevation data 
are +/- 40 m for GRIP and NGRIP, and +/- 65 m for Camp Century 
and DYE-3 (see Vinther et al., 2009 suppl. inf. for details).

Age    CampCentury     NGRIP       GRIP      DYE-3
         Site elev. Site elev. Site elev. Site elev.
(yrs        change     change     change     change
b2k)           (m)        (m)        (m)        (m)
2880         -20.9       32.1       23.5       -8.2
2900         -20.8       32.5       24.2       -8.3
2920         -20.7       32.8       24.9       -8.4
2940         -20.7       33.2       25.6       -8.5
2960         -20.7       33.5       26.2       -8.7
2980         -20.8       33.8       26.8       -8.9
3000         -21.0       34.1       27.4       -9.2
3020         -21.2       34.4       28.0       -9.4
3040         -21.5       34.7       28.5       -9.7
3060         -21.9       35.0       29.0      -10.1
3080         -22.3       35.2       29.5      -10.4
3100         -22.7       35.5       29.9      -10.8
3120         -23.3       35.7       30.3      -11.2
3140         -23.9       35.9       30.7      -11.6
3160         -24.6       36.1       31.1      -12.1
3180         -25.3       36.3       31.4      -12.5
3200         -26.1       36.5       31.7      -13.0
3220         -27.0       36.7       32.0      -13.5
3240         -27.9       36.8       32.2      -14.0
3260         -28.9       37.0       32.4      -14.5
3280         -29.9       37.2       32.6      -15.0
3300         -31.0       37.3       32.8      -15.4
3320         -32.2       37.4       33.0      -15.9
3340         -33.4       37.6       33.2      -16.4
3360         -34.6       37.7       33.3      -16.9
3380         -35.9       37.8       33.5      -17.3
3400         -37.3       37.9       33.6      -17.7
3420         -38.6       38.1       33.8      -18.2
3440         -40.1       38.2       33.9      -18.5
3460         -41.5       38.3       34.1      -18.9
3480         -43.0       38.5       34.2      -19.2
3500         -44.5       38.6       34.4      -19.5
3520         -46.0       38.8       34.6      -19.8
3540         -47.6       38.9       34.8      -20.0
3560         -49.2       39.1       35.0      -20.2
3580         -50.7       39.3       35.2      -20.4
3600         -52.3       39.5       35.4      -20.5
3620         -53.9       39.7       35.7      -20.6
3640         -55.5       39.9       35.9      -20.7
3660         -57.1       40.1       36.2      -20.7
3680         -58.7       40.4       36.5      -20.7
3700         -60.3       40.6       36.8      -20.6
3720         -61.8       40.9       37.1      -20.5
3740         -63.4       41.1       37.5      -20.4
3760         -64.9       41.4       37.9      -20.2
3780         -66.4       41.7       38.3      -20.1
3800         -67.9       41.9       38.7      -19.8
3820         -69.4       42.2       39.1      -19.6
3840         -70.8       42.5       39.6      -19.3
3860         -72.2       42.7       40.1      -19.0
3880         -73.6       43.0       40.5      -18.7
3900         -74.9       43.2       41.1      -18.4
3920         -76.2       43.5       41.6      -18.0
3940         -77.4       43.7       42.2      -17.7
3960         -78.6       43.9       42.7      -17.3
3980         -79.7       44.1       43.3      -16.9
4000         -80.8       44.3       44.0      -16.5
4020         -81.9       44.5       44.6      -16.0
4040         -82.9       44.6       45.3      -15.6
4060         -83.8       44.7       46.0      -15.1
4080         -84.7       44.8       46.7      -14.6
4100         -85.5       44.9       47.4      -14.2
4120         -86.3       45.0       48.1      -13.7
4140         -87.0       45.0       48.9      -13.2
4160         -87.7       45.0       49.7      -12.7
4180         -88.2       45.0       50.5      -12.1
4200         -88.7       45.0       51.3      -11.6
4220         -89.2       45.0       52.2      -11.0
4240         -89.6       44.9       53.0      -10.5
4260         -89.9       44.8       53.9       -9.9
4280         -90.1       44.8       54.8       -9.3
4300         -90.3       44.7       55.7       -8.6
4320         -90.4       44.6       56.6       -8.0
4340         -90.4       44.5       57.6       -7.4
4360         -90.4       44.4       58.5       -6.7
4380         -90.2       44.3       59.5       -6.0
4400         -90.0       44.2       60.5       -5.2
4420         -89.7       44.1       61.4       -4.5
4440         -89.4       44.0       62.4       -3.7
4460         -88.9       43.9       63.4       -2.9
4480         -88.4       43.9       64.4       -2.1
4500         -87.8       43.8       65.5       -1.3
4520         -87.1       43.8       66.5       -0.5
4540         -86.4       43.8       67.5        0.4
4560         -85.6       43.8       68.5        1.3
4580         -84.7       43.8       69.5        2.2
4600         -83.8       43.8       70.5        3.1
4620         -82.8       43.9       71.5        4.0
4640         -81.7       44.0       72.5        5.0
4660         -80.6       44.1       73.4        5.9
4680         -79.5       44.2       74.4        6.9
4700         -78.3       44.4       75.4        7.8
4720         -77.1       44.6       76.3        8.8
4740         -75.8       44.8       77.2        9.8
4760         -74.5       45.0       78.1       10.7
4780         -73.2       45.3       79.0       11.7
4800         -71.8       45.6       79.9       12.6
4820         -70.5       45.9       80.7       13.5
4840         -69.1       46.2       81.6       14.4
4860         -67.8       46.5       82.4       15.3
4880         -66.4       46.9       83.1       16.1
4900         -65.1       47.3       83.9       17.0
4920         -63.8       47.7       84.6       17.8
4940         -62.5       48.1       85.4       18.5
4960         -61.2       48.5       86.1       19.3
4980         -59.9       48.9       86.7       20.0
5000         -58.7       49.3       87.4       20.6
5020         -57.5       49.8       88.0       21.3
5040         -56.4       50.2       88.6       21.9
5060         -55.2       50.6       89.2       22.4
5080         -54.2       51.1       89.7       22.9
5100         -53.1       51.5       90.2       23.4
5120         -52.1       51.9       90.7       23.8
5140         -51.2       52.3       91.2       24.2
5160         -50.2       52.7       91.7       24.5
5180         -49.4       53.1       92.1       24.8
5200         -48.5       53.5       92.5       25.1
5220         -47.7       53.8       92.8       25.3
5240         -46.9       54.2       93.2       25.4
5260         -46.2       54.5       93.5       25.6
5280         -45.4       54.8       93.8       25.7
5300         -44.7       55.1       94.1       25.7
5320         -44.1       55.3       94.3       25.7
5340         -43.4       55.6       94.6       25.7
5360         -42.8       55.8       94.8       25.7
5380         -42.1       56.0       95.0       25.6
5400         -41.5       56.2       95.1       25.5
5420         -40.9       56.3       95.3       25.4
5440         -40.3       56.4       95.4       25.3
5460         -39.7       56.6       95.6       25.1
5480         -39.1       56.6       95.7       24.9
5500         -38.5       56.7       95.8       24.7
5520         -37.9       56.8       95.9       24.5
5540         -37.3       56.8       96.0       24.3
5560         -36.7       56.9       96.1       24.1
5580         -36.1       56.9       96.1       23.9
5600         -35.5       56.9       96.2       23.6
5620         -34.9       56.9       96.3       23.4
5640         -34.3       56.9       96.4       23.2
5660         -33.7       56.9       96.5       22.9
5680         -33.1       56.9       96.7       22.7
5700         -32.5       56.8       96.8       22.5
5720         -31.9       56.8       96.9       22.3
5740         -31.3       56.8       97.1       22.2
5760         -30.7       56.8       97.3       22.0
5780         -30.1       56.8       97.5       21.9
5800         -29.5       56.8       97.7       21.7
5820         -28.9       56.8       97.9       21.6
5840         -28.3       56.8       98.2       21.6
5860         -27.7       56.8       98.5       21.5
5880         -27.1       56.9       98.8       21.5
5900         -26.5       56.9       99.1       21.6
5920         -25.9       57.0       99.5       21.6
5940         -25.2       57.1       99.8       21.7
5960         -24.6       57.2      100.2       21.9
5980         -24.0       57.3      100.6       22.0
6000         -23.4       57.4      101.1       22.2
6020         -22.8       57.6      101.5       22.5
6040         -22.1       57.7      102.0       22.8
6060         -21.5       57.9      102.5       23.1
6080         -20.8       58.1      103.0       23.5
6100         -20.1       58.3      103.5       23.9
6120         -19.4       58.5      104.0       24.3
6140         -18.7       58.7      104.6       24.8
6160         -17.9       58.9      105.1       25.4
6180         -17.2       59.2      105.7       25.9
6200         -16.4       59.4      106.2       26.5
6220         -15.5       59.7      106.7       27.2
6240         -14.7       60.0      107.2       27.8
6260         -13.8       60.3      107.8       28.5
6280         -12.8       60.6      108.3       29.2
6300         -11.9       60.9      108.8       30.0
6320         -10.9       61.2      109.2       30.8
6340          -9.8       61.5      109.7       31.6
6360          -8.7       61.8      110.1       32.4
6380          -7.6       62.1      110.5       33.2
6400          -6.4       62.5      110.9       34.0
6420          -5.2       62.8      111.2       34.9
6440          -4.0       63.1      111.6       35.8
6460          -2.7       63.4      111.9       36.6
6480          -1.3       63.7      112.1       37.5
6500           0.1       64.1      112.3       38.4
6520           1.6       64.4      112.5       39.2
6540           3.1       64.7      112.7       40.1
6560           4.7       65.0      112.8       41.0
6580           6.3       65.3      112.9       41.8
6600           8.0       65.6      113.0       42.7
6620           9.8       65.9      113.0       43.5
6640          11.6       66.2      113.0       44.4
6660          13.5       66.5      112.9       45.2
6680          15.4       66.8      112.8       46.0
6700          17.5       67.0      112.7       46.8
6720          19.5       67.3      112.6       47.5
6740          21.7       67.5      112.4       48.3
6760          24.0       67.8      112.2       49.1
6780          26.3       68.0      112.0       49.8
6800          28.7       68.2      111.8       50.5
6820          31.2       68.4      111.5       51.2
6840          33.8       68.6      111.2       51.9
6860          36.4       68.8      111.0       52.6
6880          39.2       69.0      110.7       53.3
6900          42.0       69.1      110.3       54.0
6920          44.8       69.1      109.9       54.5
6940          47.6       69.0      109.4       55.0
6960          50.5       68.9      108.9       55.4
6980          53.4       68.8      108.3       55.9
7000          56.5       68.6      107.8       56.3
7020          59.6       68.4      107.3       56.8
7040          62.8       68.3      106.8       57.2
7060          66.2       68.1      106.3       57.7
7080          69.5       67.8      105.9       58.2
7100          73.0       67.6      105.5       58.7
7120          76.6       67.4      105.1       59.2
7140          80.2       67.2      104.7       59.8
7160          83.8       66.9      104.4       60.3
7180          87.6       66.7      104.1       60.9
7200          91.4       66.4      103.9       61.6
7220          95.2       66.2      103.8       62.3
7240          99.1       66.0      103.6       63.0
7260         103.1       65.7      103.6       63.8
7280         107.0       65.5      103.6       64.6
7300         111.0       65.3      103.7       65.5
7320         115.1       65.2      103.9       66.4
7340         119.1       65.0      104.1       67.3
7360         123.2       64.9      104.4       68.4
7380         127.2       64.8      104.7       69.4
7400         131.3       64.8      105.2       70.6
7420         135.4       64.8      105.7       71.8
7440         139.4       64.8      106.3       73.0
7460         143.4       64.9      107.0       74.3
7480         147.4       65.0      107.8       75.7
7500         151.4       65.3      108.6       77.2
7520         155.3       65.5      109.5       78.7
7540         159.2       65.8      110.5       80.2
7560         163.1       66.2      111.5       81.8
7580         166.9       66.7      112.7       83.5
7600         170.7       67.2      113.8       85.2
7620         174.4       67.8      115.1       87.0
7640         178.1       68.4      116.4       88.8
7660         181.7       69.1      117.7       90.7
7680         185.3       69.9      119.1       92.6
7700         188.8       70.8      120.5       94.5
7720         192.3       71.7      122.0       96.5
7740         195.7       72.6      123.5       98.5
7760         199.1       73.7      125.0      100.5
7780         202.5       74.8      126.5      102.6
7800         205.8       75.9      128.1      104.7
7820         209.1       77.1      129.6      106.8
7840         212.3       78.3      131.1      108.9
7860         215.5       79.6      132.6      111.0
7880         218.7       80.9      134.1      113.1
7900         221.9       82.2      135.6      115.2
7920         225.0       83.6      137.1      117.3
7940         228.1       85.0      138.5      119.4
7960         231.2       86.4      139.8      121.5
7980         234.3       87.8      141.1      123.5
8000         237.4       89.2      142.4      125.6
8020         240.4       90.6      143.6      127.6
8040         243.4       92.0      144.7      129.5
8060         246.4       93.4      145.8      131.5
8080         249.4       94.8      146.8      133.4
8100         252.4       96.1      147.7      135.2
8120         255.3       97.4      148.5      137.0
8140         258.2       98.7      149.3      138.8
8160         261.1      100.0      149.9      140.5
8180         264.0      101.2      150.5      142.2
8200         266.8      102.4      151.0      143.8
8220         269.7      103.5      151.4      145.4
8240         272.4      104.6      151.8      146.9
8260         275.2      105.7      152.0      148.4
8280         277.9      106.7      152.2      149.8
8300         280.6      107.6      152.2      151.2
8320         283.2      108.6      152.2      152.5
8340         285.8      109.4      152.2      153.8
8360         288.3      110.2      152.0      155.1
8380         290.8      111.0      151.8      156.3
8400         293.2      111.7      151.5      157.5
8420         295.6      112.4      151.1      158.6
8440         297.9      113.0      150.7      159.8
8460         300.2      113.6      150.2      160.9
8480         302.3      114.2      149.6      161.9
8500         304.5      114.7      149.0      163.0
8520         306.5      115.2      148.4      164.0
8540         308.5      115.7      147.7      165.0
8560         310.5      116.1      147.0      166.1
8580         312.4      116.5      146.2      167.1
8600         314.2      116.9      145.4      168.1
8620         316.0      117.3      144.6      169.1
8640         317.7      117.7      143.8      170.1
8660         319.3      118.1      142.9      171.2
8680         321.0      118.5      142.0      172.2
8700         322.5      118.9      141.1      173.3
8720         324.1      119.3      140.2      174.4
8740         325.6      119.7      139.3      175.5
8760         327.0      120.1      138.4      176.6
8780         328.5      120.5      137.5      177.7
8800         329.9      121.0      136.7      178.9
8820         331.3      121.4      135.8      180.1
8840         332.7      121.9      134.9      181.3
8860         334.1      122.4      134.0      182.5
8880         335.5      122.9      133.2      183.7
8900         336.9      123.4      132.4      185.0
8920         338.3      123.9      131.6      186.3
8940         339.8      124.4      130.8      187.7
8960         341.3      125.0      130.1      189.0
8980         342.8      125.6      129.4      190.4
9000         344.3      126.2      128.7      191.8
9020         345.9      126.8      128.0      193.2
9040         347.5      127.4      127.4      194.6
9060         349.2      128.0      126.8      196.1
9080         350.9      128.6      126.2      197.6
9100         352.7      129.2      125.7      199.1
9120         354.5      129.9      125.2      200.6
9140         356.4      130.5      124.7      202.1
9160         358.3      131.1      124.3      203.7
9180         360.3      131.7      124.0      205.3
9200         362.4      132.4      123.6      206.9
9220         364.5      133.0      123.3      208.5
9240         366.7      133.6      123.1      210.1
9260         368.9      134.2      122.8      211.8
9280         371.2      134.7      122.7      213.5
9300         373.6      135.3      122.5      215.2
9320         376.0      135.9      122.4      217.0
9340         378.4      136.4      122.3      218.7
9360         381.0      137.0      122.3      220.5
9380         383.5      137.5      122.3      222.4
9400         386.2      138.1      122.4      224.2
9420         388.8      138.6      122.5      226.1
9440         391.6      139.1      122.6      228.1
9460         394.3      139.6      122.8      230.1
9480         397.2      140.1      123.0      232.1
9500         400.0      140.7      123.3      234.2
9520         402.9      141.2      123.6      236.3
9540         405.8      141.7      123.9      238.5
9560         408.8      142.3      124.3      240.7
9580         411.8      142.8      124.7      243.0
9600         414.9      143.4      125.1      245.3
9620         417.9      144.0      125.6      247.7
9640         421.0      144.6      126.1      250.2
9660         424.2      145.3      126.7      252.7
9680         427.3      146.0      127.3      255.3
9700         430.5      146.6      127.9      258.0
9720         433.7      147.4      128.6      260.7
9740         436.9      148.1      129.3      263.5
9760         440.2      148.9      130.0      266.3
9780         443.4      149.8      130.8      269.3
9800         446.7      150.6      131.5      272.2
9820         449.9      151.5      132.4      275.3
9840         453.2      152.5      133.2      278.4
9860         456.5      153.5      134.1      281.6
9880         459.8      154.5      135.0      284.8
9900         463.0      155.5      135.9      288.1
9920         466.3      156.6      136.9      291.4
9940         469.6      157.7      137.9      294.8
9960         472.8      158.9      138.8      298.3
9980         476.0      160.0      139.9      301.7
10000        479.2      161.2      140.9      305.2
10020        482.4      162.4      141.9      308.7
10040        485.6      163.6      143.0      312.3
10060        488.7      164.9      144.0      315.9
10080        491.8      166.1      145.1      319.4
10100        494.9      167.3      146.2      323.0
10120        497.9      168.6      147.2      326.6
10140        500.9      169.8      148.3      330.2
10160        503.8      171.1      149.4      333.7
10180        506.7      172.3      150.5      337.3
10200        509.5      173.5      151.5      340.8
10220        512.3      174.7      152.6      344.2
10240        515.1      175.9      153.6      347.7
10260        517.7      177.0      154.7      351.0
10280        520.3      178.1      155.7      354.3
10300        522.9      179.2      156.7      357.6
10320        525.4      180.3      157.6      360.8
10340        527.8      181.3      158.6      363.9
10360        530.1      182.2      159.5      367.0
10380        532.4      183.2      160.4      369.9
10400        534.6      184.0      161.3      372.8
10420        536.8      184.9      162.1      375.6
10440        538.8      185.6      162.9      378.3
10460        540.8      186.3      163.6      380.8
10480        542.8      187.0      164.4      383.3
10500        544.6      187.6      165.0      385.7
10520        546.4      188.2      165.7      388.0
10540        548.1      188.6      166.2      390.1
10560        549.8      189.1      166.8      392.2
10580        551.4      189.4      167.2      394.1
10600        552.9      189.7      167.7      395.9
10620        554.4      189.9      168.0      397.6
10640        555.8      190.1      168.4      399.2
10660        557.2      190.2      168.6      400.7
10680        558.5      190.2      168.8      402.0
10700        559.7      190.2      168.9      403.2
10720        560.9      190.1      169.0      404.3
10740        562.1      189.9      169.0      405.3
10760        563.1      189.6      169.0      406.2
10780        564.2      189.3      168.8      407.0
10800        565.2      188.9      168.6      407.6
10820        566.1      188.4      168.4      408.2
10840        567.0      187.8      168.0      408.6
10860        567.9      187.2      167.6      408.9
10880        568.7      186.5      167.1      409.1
10900        569.4      185.7      166.6      409.2
10920        570.2      184.8      166.0      409.1
10940        570.8      183.8      165.3      409.0
10960        571.4      182.8      164.5      408.8
10980        572.0      181.7      163.6      408.4
11000        572.5      180.5      162.7      408.0
11020        573.0      179.3      161.8      407.4
11040        573.4      177.9      160.7      406.7
11060        573.7      176.5      159.6      406.0
11080        574.0      175.1      158.4      405.1
11100        574.2      173.5      157.2      404.1
11120        574.4      171.9      155.8      403.1
11140        574.4      170.3      154.5      401.9
11160        574.5      168.5      153.0      400.7
11180        574.4      166.7      151.5      399.3
11200        574.3      164.9      150.0      397.9
11220        574.1      163.0      148.4      396.4
11240        573.8      161.0      146.8      394.8
11260        573.5      159.1      145.1      393.1
11280        573.0      157.0      143.3      391.3
11300        572.5      154.9      141.5      389.5
11320        571.9      152.8      139.7      387.6
11340        571.2      150.6      137.8      385.6
11360        570.4      148.5      135.9      383.6
11380        569.6      146.2      134.0      381.5
11400        568.7      144.0      132.0      379.3
11420        567.7      141.7      130.0      377.1
11440        566.6      139.4      127.9      374.8
11460        565.4      137.1      125.9      372.5
11480        564.1      134.8      123.8      370.1
11500        562.8      132.4      121.7      367.7
11520        561.4      130.1      119.5      365.2
11540        559.9      127.7      117.4      362.7
11560        558.4      125.3      115.2      360.2
11580        556.8      122.9      113.0      357.6
11600        555.1      120.5      110.8      355.0
11620        553.3      118.1      108.6      352.4
11640        551.5      115.7      106.4      349.7
11660        549.6      113.3      104.2      347.0
11680        547.6      110.9      101.9      344.3
11700        545.6      108.4       99.7      341.6

