GISP2 Stratigraphy

REFERENCES: 

Alley, R.B., C.A. Shuman, D.A. Meese, A.J. Gow, K.C. Taylor, K.M. Cuffey,
J.J. Fitzpatrick, P.M. Grootes, G.A. Zielinski, M. Ram, G. Spinelli, and
B.C. Elder. 1997. Visual-stratigraphic dating of the GISP2 ice core: Basis,
reproducibility, and application. Journal of Geophysical Research 102:26367
26381.

Meese, D.A., A.J. Gow, R.B. Alley, G.A. Zielinski, P.M. Grootes, M. Ram,
K.C. Taylor, P.A. Mayewski, and J.F. Bolzan. 1997. The Greenland Ice Sheet
Project 2 depth-age scale: Methods and results. Journal of Geophysical
Research 102:26411-26423.

Spinelli, G. 1996. A statistical analysis of ice-accumulation level and
variability in the GISP2 ice core and a reexamination of the age of the
termination of the Younger Dryas cooling episode. Earth System Science
Center Technical Report No. 96-001, University of New Hampshire, Durham.

Kapsner, W.R., R.B. Alley, C.A. Shuman, S. Anandakrishnan, and P.M.
Grootes. 1995. Dominant influence of atmospheric circulation on snow
accumulation in Greenland over the past 18,000 years. Nature 373:52-54.

Alley, R.B., D.A. Meese, C.A. Shuman, A.J. Gow, K.C. Taylor, P.M. Grootes,
J.W.C. White, M. Ram, E.D. Waddington, P.A. Mayewski, and G.A. Zielinski.
1993. Abrupt increase in Greenland snow accumulation at the end of the
Younger Dryas event. Nature 362:527-529.

Alley, R.B., E.S. Saltzman, K.M. Cuffey, and J.J. Fitzpatrick. 1990.
Summertime formation of depth hoar in central Greenland. Geophysical
Research Letters 17:2393-2396.

DATA DESCRIPTION: 

This file gives the depths of mid-summer as determined separately from ECM
and visual stratigraphy in the GISP2-D ice core.  Also given are
calculated layer thicknesses (true and ice equivalent) and calculated
accumulation rates, all in meters.  Factor A = (accum)/(layer thickness).
Summ. refers to the calender year associated with the mid-summer pick. 

DATA:

ECM Z	Strt Z	Summ.	Layer	Density	H2O Eqv	Fact. A	Corrected	Comments

109.13	109.05	1645	0.25	0.894	0.224	1.03	0.23	
109.36	109.24	1644	0.19	0.894	0.17	1.03	0.175	
109.53	109.51	1643	0.27	0.894	0.241	1.031	0.249	
109.81	109.71	1642	0.2	0.894	0.179	1.031	0.184	
110.03	110.02	1641	0.31	0.895	0.277	1.031	0.286
110.41	110.3	1640	0.28	0.895	0.251	1.031	0.258
110.5	110.52	1639	0.22	0.895	0.197	1.031	0.203
110.74	111.01	1638	0.49	0.895	0.439	1.031	0.452
111.23	111.18	1637	0.17	0.895	0.152	1.031	0.157
111.56	111.42	1636	0.24	0.895	0.215	1.031	0.221
111.85	111.86	1635	0.44	0.896	0.394	1.031	0.407
112.08	112.05	1634	0.19	0.896	0.17	1.031	0.176
112.31	112.31	1633	0.26	0.896	0.233	1.031	0.24
112.55	112.51	1632	0.2	0.896	0.179	1.031	0.185
112.78	112.75	1631	0.24	0.896	0.215	1.032	0.222
113.02	112.98	1630	0.23	0.896	0.206	1.032	0.213
113.22	113.22	1629	0.24	0.897	0.215	1.032	0.222
113.5	113.48	1628	0.26	0.897	0.233	1.032	0.241
113.71	113.71	1627	0.23	0.897	0.206	1.032	0.213
113.93	113.93	1626	0.22	0.897	0.197	1.032	0.204
114.22	114.22	1625	0.29	0.897	0.26	1.032	0.268	
114.5	114.5	1624	0.28	0.897	0.251	1.032	0.259	
114.73	114.71	1623	0.21	0.898	0.189	1.032	0.195	
114.98	114.99	1622	0.28	0.898	0.251	1.032	0.26	
115.32	115.2	1621	0.21	0.898	0.189	1.032	0.195	?
115.39	115.38	1620	0.18	0.898	0.162	1.032	0.167	
115.66	115.63	1619	0.25	0.898	0.225	1.032	0.232	
115.95	115.94	1618	0.31	0.898	0.278	1.033	0.287	
116.22	116.18	1617	0.24	0.899	0.216	1.033	0.223	
116.43	116.43	1616	0.25	0.899	0.225	1.033	0.232	
116.62	116.63	1615	0.2	0.899	0.18	1.033	0.186	
999999	116.89	1614	0.26	0.899	0.234	1.033	0.241	
117.23	117.18	1613	0.29	0.899	0.261	1.033	0.269	?
117.31	117.3	1612	0.12	0.899	0.108	1.033	0.111	
117.45	117.5	1611	0.2	0.9	0.18	1.033	0.186	
117.73	117.7	1610	0.2	0.9	0.18	1.033	0.186	
118.02	117.97	1609	0.27	0.9	0.243	1.033	0.251	
118.27	118.31	1608	0.34	0.9	0.306	1.033	0.316	
118.59	118.56	1607	0.25	0.9	0.225	1.033	0.233	
118.79	118.76	1606	0.2	0.9	0.18	1.033	0.186	
118.99	119.02	1605	0.26	0.901	0.234	1.034	0.242	
119.49	119.26	1604	0.24	0.901	0.216	1.034	0.224	?
119.77	119.67	1603	0.41	0.901	0.369	1.034	0.382	
120.01	119.99	1602	0.32	0.901	0.288	1.034	0.298	
120.17	120.21	1601	0.22	0.902	0.198	1.034	0.205	
120.52	120.58	1600	0.37	0.902	0.334	1.034	0.345	
120.77	120.89	1599	0.31	0.902	0.28	1.034	0.289	
121.26	121.21	1598	0.32	0.902	0.289	1.034	0.299	
121.48	121.4	1597	0.19	0.902	0.171	1.034	0.177	
121.77	121.61	1596	0.21	0.902	0.189	1.034	0.196	?
121.87	121.82	1595	0.21	0.902	0.189	1.034	0.196	?
122	122.11	1594	0.29	0.903	0.262	1.035	0.271	
122.17	122.28	1593	0.17	0.903	0.154	1.035	0.159	
122.5	122.54	1592	0.26	0.903	0.235	1.035	0.243	
122.78	122.78	1591	0.24	0.903	0.217	1.035	0.224	
123.04	123.01	1590	0.23	0.903	0.208	1.035	0.215	
123.27	123.27	1589	0.26	0.903	0.235	1.035	0.243	
123.42	123.53	1588	0.26	0.903	0.235	1.035	0.243	
123.72	123.75	1587	0.22	0.903	0.199	1.035	0.206	
123.96	999999	1586	0.21	0.903	0.19	1.035	0.196	No Strat
124.18	124.21	1585	0.25	0.904	0.226	1.035	0.234	
124.43	124.42	1584	0.21	0.904	0.19	1.035	0.197	?
124.75	124.71	1583	0.29	0.904	0.262	1.035	0.271	
125.07	124.98	1582	0.27	0.904	0.244	1.035	0.253	
125.27	125.29	1581	0.31	0.904	0.28	1.036	0.29	
125.52	125.51	1580	0.22	0.904	0.199	1.036	0.206	
125.75	125.74	1579	0.23	0.904	0.208	1.036	0.215	
125.94	125.98	1578	0.24	0.904	0.217	1.036	0.225	?
126.15	126.15	1577	0.17	0.905	0.154	1.036	0.159	
126.26	126.28	1576	0.13	0.905	0.118	1.036	0.122	
126.52	126.51	1575	0.23	0.905	0.208	1.036	0.216	
126.72	126.75	1574	0.24	0.905	0.217	1.036	0.225	
126.98	126.98	1573	0.23	0.905	0.208	1.036	0.216	
127.11	127.27	1572	0.29	0.905	0.262	1.036	0.272	
127.38	127.39	1571	0.12	0.905	0.109	1.036	0.113	
127.6	127.63	1570	0.24	0.905	0.217	1.036	0.225	
127.94	127.9	1569	0.27	0.905	0.244	1.036	0.253	
128.05	128.06	1568	0.16	0.906	0.145	1.036	0.15	?
128.29	128.32	1567	0.26	0.906	0.236	1.037	0.244	
128.51	128.54	1566	0.22	0.906	0.199	1.037	0.207	
128.69	128.74	1565	0.2	0.906	0.181	1.037	0.188	
128.96	128.96	1564	0.22	0.906	0.199	1.037	0.207	
129.17	129.17	1563	0.21	0.906	0.19	1.037	0.197	
129.45	129.42	1562	0.25	0.906	0.227	1.037	0.235	
129.53	129.55	1561	0.13	0.906	0.118	1.037	0.122	
999999	129.68	1560	0.13	0.906	0.118	1.037	0.122	No ECM
999999	129.88	1559	0.2	0.906	0.181	1.037	0.188	No ECM
130.23	130.23	1558	0.35	0.907	0.317	1.037	0.329	
130.54	130.58	1557	0.35	0.907	0.317	1.037	0.329	
130.78	130.73	1556	0.15	0.907	0.136	1.037	0.141	
130.89	130.87	1555	0.14	0.907	0.127	1.037	0.132	
131.06	131.05	1554	0.18	0.907	0.163	1.037	0.169	
131.25	131.41	1553	0.36	0.907	0.327	1.038	0.339	
131.64	131.67	1552	0.26	0.907	0.236	1.038	0.245	
999999	131.89	1551	0.22	0.907	0.2	1.038	0.207	No ECM
132.15	132.16	1550	0.27	0.907	0.245	1.038	0.254	
132.33	132.39	1549	0.23	0.907	0.209	1.038	0.217	
132.63	132.63	1548	0.24	0.907	0.218	1.038	0.226	
132.8	132.93	1547	0.3	0.907	0.272	1.038	0.282	
133.08	133.11	1546	0.18	0.907	0.163	1.038	0.169	
133.38	133.29	1545	0.18	0.907	0.163	1.038	0.169
133.6	133.47	1544	0.18	0.907	0.163	1.038	0.17
