GISP2 Visual Stratigraphy

REFERENCES: 

Alley, R.B., C.A. Shuman, D.A. Meese, A.J. Gow, K.C. Taylor, K.M. Cuffey,
J.J. Fitzpatrick, P.M. Grootes, G.A. Zielinski, M. Ram, G. Spinelli, and
B.C. Elder. 1997. Visual-stratigraphic dating of the GISP2 ice core: Basis,
reproducibility, and application. Journal of Geophysical Research 102:26367
26381.

Spinelli, G. 1996. A statistical analysis of ice-accumulation level and
variability in the GISP2 ice core and a reexamination of the age of the
termination of the Younger Dryas cooling episode. Earth System Science
Center Technical Report No. 96-001, University of New Hampshire, Durham.

Alley, R.B., and S. Anandakrishnan. 1995. Variations in melt-layer
frequency in the GISP2 ice core: implications for Holocene summer
temperatures in central Greenland. Annals of Glaciology 21:64-70.

DATA DESCRIPTION:

Visible-stratigraphic log of the upper part of the GISP2 ice core, based
on observations by R.B. Alley in the Holocene and Alley and C.A. Shuman in
the late glacial, as compiled by G. Spinelli. 

Columns are: accumulation in m ice/yr from the previous (next shallower or
younger or higher in the data file) summer pick, confidence (3=strong
indication of summer observed, lower numbers indicate less confidence, and
0 indicates an interpolation because of core loss or poor core quality),
depth in m in the core at which the summer indicator was observed, and the
age in years before A.D. or C.E. 1950. These are approximately, though not
exactly, the data in Alley et al. (1993).  Accumulation was calculated as
in that paper and is not updated to reflect the more-recent work of
Cuffey, Bolzan and Nereson, et al. Depth is in the B core down through
year 517, and in the D core deeper. The switch from B to D is based on the
visual data and interpretation of electrical measurements by Kendrick
Taylor.  (Remember that GISP2 is a combination of the shallow B and the
deeper D core). All observations are visible, and were made by R.B. Alley
down into the Younger Dryas (younger than about 11700 bp), and then by
Alley and C.A. Shuman below that.  Notice that this is not the official
depth-age scale, nor the most accurate possible depth-age scale.  As
described in the JGR paper, the official scale includes changes in
technique at various depths, and those changes may have affected the
estimated variability of the accumulation-rate reconstructions. This is
the most consistent time scale we have developed to date, not the most
accurate. 


DATA:

Depth (m)	Accum (m ice)	Conf.	Age (yr B.P.)

0.99	0.189	2.0	-38
1.77	0.264	2.0	-37
2.25	0.181	3.0	-36
2.91	0.248	2.0	-35
3.60	0.278	3.0	-34
4.10	0.213	2.0	-33
4.45	0.149	1.0	-32
5.00	0.245	2.0	-31
5.53	0.236	2.0	-30
6.00	0.219	2.0	-29
6.55	0.256	2.0	-28
7.12	0.276	3.0	-27
7.66	0.262	3.0	-26
8.09	0.216	3.0	-25
8.43	0.171	2.0	-24
8.86	0.216	2.0	-23
9.38	0.271	3.0	-22
9.77	0.203	2.0	-21
10.21	0.236	3.0	-20
10.69	0.258	3.0	-19
11.09	0.220	3.0	-18
11.49	0.221	3.0	-17
11.77	0.154	3.0	-16
12.23	0.259	3.0	-15
12.66	0.242	3.0	-14
13.13	0.270	3.0	-13
13.53	0.230	3.0	-12
13.85	0.184	3.0	-11
14.35	0.293	3.0	-10
14.77	0.246	3.0	-9
15.20	0.256	3.0	-8
15.60	0.239	3.0	-7
16.00	0.242	3.0	-6
16.48	0.290	3.0	-5
16.93	0.272	3.0	-4
17.40	0.288	3.0	-3
17.83	0.264	3.0	-2
18.12	0.180	3.0	-1
18.44	0.198	3.0	0
18.76	0.198	3.0	1
19.30	0.338	3.0	2
19.70	0.250	3.0	3
20.06	0.228	2.0	4
20.47	0.259	2.0	5
20.91	0.278	2.0	6
21.37	0.294	3.0	7
21.86	0.313	3.0	8
22.21	0.226	3.0	9
22.60	0.252	3.0	10
23.00	0.261	2.0	11
23.39	0.255	2.0	12
23.61	0.144	1.0	13
23.95	0.222	1.0	14
24.40	0.297	2.0	15
24.81	0.270	2.0	16
25.17	0.240	3.0	17
25.51	0.226	3.0	18
25.95	0.293	3.0	19
26.35	0.269	1.0	20
26.72	0.249	2.0	21
27.09	0.251	2.0	22
27.37	0.190	2.0	23
27.72	0.238	1.0	24
28.00	0.192	1.0	25
28.35	0.240	1.0	26
28.55	0.137	2.0	27
28.92	0.254	2.0	28
29.37	0.312	2.0	29
29.59	0.152	1.0	30
29.84	0.173	2.0	31
30.22	0.265	3.0	32
30.64	0.293	3.0	33
30.97	0.230	3.0	34
31.39	0.296	3.0	35
31.73	0.239	3.0	36
32.10	0.262	2.0	37
32.43	0.234	2.0	38
32.83	0.284	2.0	39
33.18	0.250	2.0	40
33.56	0.272	2.0	41
33.83	0.193	2.0	42
34.21	0.274	2.0	43
34.42	0.151	1.0	44
34.65	0.166	1.0	45
35.01	0.261	1.0	46
35.24	0.167	1.0	47
35.71	0.341	1.0	48
36.14	0.315	1.0	49
36.50	0.263	2.0	50
36.81	0.227	2.0	51
37.08	0.199	3.0	52
37.52	0.324	3.0	53
37.76	0.177	3.0	54
38.08	0.238	3.0	55
38.48	0.297	3.0	56
38.83	0.260	2.0	57
39.14	0.232	3.0	58
39.47	0.247	3.0	59
39.89	0.314	3.0	60
40.26	0.279	3.0	61
40.58	0.241	2.0	62
40.90	0.241	2.0	63
41.29	0.296	3.0	64
41.58	0.220	3.0	65
41.87	0.220	1.0	66
42.12	0.191	2.0	67
42.40	0.214	2.0	68
42.79	0.298	2.0	69
43.05	0.200	1.0	70
43.45	0.307	1.0	71
43.80	0.269	2.0	72
44.11	0.240	1.0	73
44.44	0.255	1.0	74
44.80	0.278	2.0	75
45.18	0.295	3.0	76
45.48	0.233	3.0	77
45.78	0.233	2.0	78
46.03	0.195	2.0	79
46.32	0.227	2.0	80
46.67	0.274	2.0	81
46.88	0.164	1.0	82
47.20	0.252	2.0	83
47.46	0.204	3.0	84
47.78	0.252	2.0	85
48.11	0.261	2.0	86
48.37	0.206	2.0	87
48.70	0.261	2.0	88
49.02	0.254	3.0	89
49.39	0.294	3.0	90
49.65	0.207	3.0	91
49.85	0.159	3.0	92
50.28	0.344	3.0	93
50.63	0.280	3.0	94
50.96	0.264	2.0	95
51.26	0.241	2.0	96
51.58	0.257	3.0	97
51.86	0.225	3.0	98
52.17	0.250	3.0	99
52.50	0.267	2.0	100
52.79	0.234	2.0	101
53.07	0.227	2.0	102
53.33	0.211	1.0	103
53.55	0.179	1.0	104
53.84	0.236	2.0	105
54.13	0.237	3.0	106
54.36	0.188	3.0	107
54.58	0.180	2.0	108
54.94	0.294	2.0	109
55.17	0.189	3.0	110
55.53	0.296	3.0	111
55.86	0.271	3.0	112
56.09	0.190	2.0	113
56.35	0.215	2.0	114
56.63	0.231	3.0	115
56.99	0.297	3.0	116
57.32	0.274	2.0	117
57.69	0.307	2.0	118
58.09	0.334	1.0	119
58.45	0.301	1.0	120
58.81	0.301	1.0	121
59.07	0.218	1.0	122
59.42	0.294	2.0	123
59.70	0.235	3.0	124
59.92	0.185	3.0	125
60.21	0.245	2.0	126
60.48	0.228	2.0	127
60.74	0.220	2.0	128
61.09	0.297	2.0	129
61.33	0.204	2.0	130
61.59	0.221	2.0	131
61.80	0.178	3.0	132
62.06	0.222	3.0	133
62.26	0.171	3.0	134
62.54	0.239	3.0	135
62.81	0.230	3.0	136
63.04	0.197	3.0	137
63.40	0.309	2.0	138
63.68	0.240	1.0	139
64.08	0.345	1.0	140
64.35	0.233	2.0	141
64.65	0.259	2.0	142
64.91	0.224	2.0	143
65.08	0.147	2.0	144
65.27	0.165	1.0	145
65.54	0.234	1.0	146
65.82	0.243	2.0	147
66.07	0.218	2.0	148
66.31	0.209	2.0	149
66.60	0.252	1.0	150
66.93	0.287	1.0	151
67.15	0.192	2.0	152
67.47	0.280	1.0	153
67.75	0.245	1.0	154
67.97	0.192	1.0	155
68.25	0.246	1.0	156
68.58	0.290	2.0	157
68.83	0.220	2.0	158
69.07	0.212	2.0	159
69.32	0.221	2.0	160
69.60	0.247	2.0	161
69.82	0.194	2.0	162
70.07	0.222	2.0	163
70.37	0.266	1.0	164
70.82	0.399	1.0	165
71.13	0.276	3.0	166
71.36	0.205	2.0	167
71.57	0.187	2.0	168
71.84	0.240	2.0	169
72.13	0.259	2.0	170
72.36	0.206	2.0	171
72.57	0.188	2.0	172
72.84	0.242	2.0	173
73.04	0.180	2.0	174
73.33	0.260	2.0	175
73.68	0.314	2.0	176
73.95	0.242	2.0	177
74.18	0.207	1.0	178
74.39	0.189	1.0	179
74.65	0.234	1.0	180
74.94	0.261	1.0	181
75.10	0.145	1.0	182
75.33	0.208	1.0	183
75.65	0.290	1.0	184
75.96	0.281	1.0	185
76.15	0.173	2.0	186
76.40	0.227	2.0	187
76.70	0.273	1.0	188
76.90	0.182	1.0	189
77.13	0.210	1.0	190
77.51	0.346	1.0	191
77.75	0.219	1.0	192
78.03	0.256	2.0	193
78.26	0.211	2.0	194
78.52	0.238	1.0	195
78.80	0.256	1.0	196
79.07	0.248	1.0	197
79.35	0.257	2.0	198
79.65	0.276	2.0	199
80.07	0.387	1.0	200
80.30	0.212	1.0	201
80.67	0.341	1.0	202
80.89	0.203	1.0	203
81.08	0.176	1.0	204
81.31	0.213	2.0	205
81.57	0.241	1.0	206
81.83	0.241	2.0	207
82.04	0.195	1.0	208
82.28	0.223	1.0	209
82.50	0.204	1.0	210
82.85	0.325	1.0	211
83.10	0.233	1.0	212
83.40	0.280	1.0	213
83.59	0.177	1.0	214
83.88	0.270	1.0	215
84.10	0.206	1.0	216
84.40	0.281	2.0	217
84.67	0.252	2.0	218
84.95	0.262	3.0	219
85.27	0.300	3.0	220
85.51	0.225	2.0	221
85.85	0.319	2.0	222
86.09	0.226	1.0	223
86.50	0.386	1.0	224
86.88	0.358	1.0	225
87.20	0.302	1.0	226
87.41	0.198	2.0	227
87.68	0.255	2.0	228
87.95	0.255	2.0	229
88.17	0.208	2.0	230
88.40	0.218	2.0	231
88.71	0.294	2.0	232
88.89	0.170	2.0	233
89.07	0.171	1.0	234
89.31	0.228	1.0	235
89.68	0.352	1.0	236
89.91	0.219	1.0	237
90.10	0.181	1.0	238
90.40	0.286	2.0	239
90.69	0.276	2.0	240
90.87	0.172	1.0	241
91.17	0.287	1.0	242
91.45	0.268	1.0	243
91.68	0.220	1.0	244
91.90	0.210	1.0	245
92.06	0.153	1.0	246
92.30	0.230	1.0	247
92.60	0.288	1.0	248
92.81	0.202	1.0	249
93.05	0.231	1.0	250
93.35	0.289	1.0	251
93.75	0.385	1.0	252
94.01	0.251	1.0	253
94.25	0.231	1.0	254
94.51	0.251	1.0	255
94.75	0.232	1.0	256
94.95	0.193	1.0	257
95.28	0.319	2.0	258
95.55	0.261	2.0	259
95.85	0.290	2.0	260
96.12	0.262	2.0	261
96.38	0.252	2.0	262
96.63	0.242	1.0	263
96.88	0.242	2.0	264
97.20	0.311	1.0	265
97.44	0.233	2.0	266
97.73	0.282	2.0	267
97.98	0.243	2.0	268
98.25	0.263	2.0	269
98.49	0.234	2.0	270
98.83	0.331	2.0	271
99.02	0.185	2.0	272
99.35	0.322	2.0	273
99.63	0.273	2.0	274
99.92	0.283	2.0	275
100.14	0.217	1.0	276
100.38	0.237	2.0	277
100.65	0.266	1.0	278
100.95	0.296	1.0	279
101.10	0.148	1.0	280
101.34	0.237	1.0	281
101.55	0.207	1.0	282
101.75	0.197	1.0	283
102.07	0.316	2.0	284
102.30	0.227	2.0	285
102.50	0.198	2.0	286
102.75	0.247	2.0	287
102.95	0.198	2.0	288
103.18	0.227	2.0	289
103.45	0.267	2.0	290
103.80	0.346	2.0	291
104.10	0.296	2.0	292
104.32	0.217	2.0	293
104.62	0.297	3.0	294
104.85	0.227	3.0	295
105.08	0.227	2.0	296
105.32	0.237	2.0	297
105.59	0.267	2.0	298
105.79	0.198	3.0	299
106.07	0.277	3.0	300
106.33	0.257	3.0	301
106.64	0.307	3.0	302
106.93	0.287	2.0	303
107.11	0.178	1.0	304
107.41	0.297	2.0	305
107.67	0.257	3.0	306
107.86	0.188	3.0	307
108.10	0.238	3.0	308
108.33	0.228	3.0	309
108.59	0.257	2.0	310
108.83	0.238	2.0	311
109.19	0.356	1.0	312
109.53	0.337	1.0	313
109.76	0.228	1.0	314
110.00	0.238	2.0	315
110.21	0.210	1.0	316
110.48	0.270	1.0	317
110.80	0.320	1.0	318
111.00	0.200	1.0	319
111.20	0.200	1.0	320
111.40	0.200	1.0	321
111.65	0.250	1.0	322
111.91	0.260	1.0	323
112.20	0.290	2.0	324
112.54	0.340	2.0	325
112.80	0.260	1.0	326
113.02	0.220	1.0	327
113.28	0.260	1.0	328
113.55	0.270	1.0	329
113.78	0.230	1.0	330
114.09	0.310	1.0	331
114.40	0.310	1.0	332
114.61	0.210	2.0	333
114.91	0.300	2.0	334
115.23	0.320	2.0	335
115.46	0.230	1.0	336
115.67	0.210	2.0	337
115.90	0.230	2.0	338
116.15	0.250	3.0	339
116.34	0.190	3.0	340
116.55	0.210	1.0	341
116.75	0.200	2.0	342
116.95	0.200	1.0	343
117.22	0.270	3.0	344
117.49	0.270	3.0	345
117.73	0.240	1.0	346
118.00	0.270	2.0	347
118.22	0.220	2.0	348
118.45	0.230	2.0	349
118.70	0.250	2.0	350
119.01	0.311	2.0	351
119.22	0.210	2.0	352
119.45	0.230	1.0	353
119.70	0.251	1.0	354
119.90	0.200	1.0	355
120.23	0.333	1.0	356
120.55	0.323	1.0	357
120.83	0.283	1.0	358
121.00	0.172	1.0	359
121.22	0.222	2.0	360
121.57	0.353	1.0	361
121.73	0.162	1.0	362
122.00	0.273	1.0	363
122.23	0.232	1.0	364
122.42	0.192	2.0	365
122.74	0.323	2.0	366
122.95	0.212	2.0	367
123.16	0.212	1.0	368
123.40	0.242	2.0	369
123.73	0.333	3.0	370
124.00	0.273	1.0	371
124.20	0.202	1.0	372
124.43	0.232	2.0	373
124.72	0.293	2.0	374
124.97	0.253	1.0	375
125.17	0.202	2.0	376
125.42	0.253	2.0	377
125.69	0.273	1.0	378
125.87	0.182	1.0	379
126.09	0.223	1.0	380
126.36	0.273	1.0	381
126.55	0.192	2.0	382
126.83	0.283	2.0	383
127.00	0.172	1.0	384
127.22	0.223	2.0	385
127.48	0.263	1.0	386
127.71	0.233	1.0	387
127.91	0.202	1.0	388
128.02	0.111	1.0	389
128.19	0.172	1.0	390
128.40	0.213	2.0	391
128.61	0.213	2.0	392
128.88	0.273	2.0	393
129.14	0.263	2.0	394
129.40	0.263	2.0	395
129.61	0.213	2.0	396
129.81	0.203	2.0	397
130.15	0.346	3.0	398
130.38	0.234	2.0	399
130.63	0.254	2.0	400
130.87	0.244	2.0	401
131.11	0.244	2.0	402
131.34	0.234	2.0	403
131.56	0.224	3.0	404
131.86	0.306	2.0	405
132.10	0.244	2.0	406
132.38	0.285	1.0	407
132.70	0.326	1.0	408
132.90	0.204	2.0	409
133.17	0.275	2.0	410
133.40	0.234	3.0	411
133.66	0.265	3.0	412
133.89	0.234	3.0	413
134.11	0.224	3.0	414
134.38	0.275	2.0	415
134.62	0.245	2.0	416
134.86	0.245	2.0	417
135.17	0.316	2.0	418
135.36	0.194	2.0	419
135.63	0.275	2.0	420
135.83	0.204	2.0	421
136.07	0.245	2.0	422
136.32	0.255	3.0	423
136.57	0.255	3.0	424
136.85	0.286	2.0	425
137.05	0.204	2.0	426
137.31	0.265	2.0	427
137.55	0.245	1.0	428
137.69	0.143	1.0	429
137.83	0.143	1.0	430
138.07	0.245	2.0	431
138.30	0.235	2.0	432
138.53	0.235	1.0	433
138.67	0.143	1.0	434
138.90	0.235	2.0	435
139.19	0.296	2.0	436
139.50	0.317	2.0	437
139.72	0.225	2.0	438
139.98	0.266	2.0	439
140.19	0.215	1.0	440
140.40	0.215	1.0	441
140.68	0.287	1.0	442
140.90	0.226	1.0	443
141.15	0.256	2.0	444
141.38	0.236	2.0	445
141.65	0.277	2.0	446
141.93	0.287	1.0	447
142.21	0.287	1.0	448
142.45	0.246	1.0	449
142.71	0.267	2.0	450
142.97	0.267	1.0	451
143.14	0.174	1.0	452
143.29	0.154	1.0	453
143.47	0.185	1.0	454
143.71	0.246	1.0	455
143.99	0.288	1.0	456
144.13	0.144	1.0	457
144.37	0.246	1.0	458
144.61	0.247	1.0	459
144.87	0.267	1.0	460
145.15	0.288	1.0	461
145.33	0.185	1.0	462
145.60	0.277	1.0	463
145.81	0.216	2.0	464
146.00	0.195	1.0	465
146.18	0.185	2.0	466
146.45	0.278	2.0	467
146.67	0.226	2.0	468
146.91	0.247	2.0	469
147.18	0.278	2.0	470
147.33	0.154	2.0	471
147.51	0.185	1.0	472
147.83	0.329	1.0	473
148.00	0.175	1.0	474
148.17	0.175	1.0	475
148.33	0.165	1.0	476
148.50	0.175	2.0	477
148.85	0.360	2.0	478
149.00	0.154	1.0	479
149.18	0.185	1.0	480
149.40	0.226	1.0	481
149.64	0.247	2.0	482
149.90	0.268	1.0	483
150.16	0.268	1.0	484
150.32	0.165	1.0	485
150.51	0.196	1.0	486
150.76	0.258	1.0	487
150.94	0.186	1.0	488
151.18	0.248	0.0	489
151.43	0.258	0.0	490
151.67	0.248	0.0	491
151.92	0.258	0.0	492
152.16	0.248	0.0	493
152.41	0.258	0.0	494
152.65	0.248	0.0	495
152.90	0.258	0.0	496
153.14	0.248	0.0	497
153.39	0.258	0.0	498
153.63	0.248	2.0	499
153.89	0.269	2.0	500
154.13	0.248	2.0	501
154.35	0.227	2.0	502
154.61	0.269	2.0	503
154.84	0.238	2.0	504
155.04	0.207	1.0	505
155.23	0.196	2.0	506
155.45	0.227	2.0	507
155.76	0.321	2.0	508
156.05	0.300	1.0	509
156.35	0.310	1.0	510
156.62	0.279	1.0	511
156.90	0.290	1.0	512
157.18	0.290	1.0	513
157.41	0.238	1.0	514
157.66	0.259	1.0	515
157.86	0.207	1.0	516
158.19	0.342	1.0	517
159.24	0.211	1.0	518
159.47	0.247	1.0	519
159.77	0.316	1.0	520
159.95	0.190	1.0	521
160.21	0.274	3.0	522
160.51	0.311	3.0	523
160.70	0.205	3.0	524
160.93	0.237	3.0	525
161.13	0.216	2.0	526
161.32	0.195	2.0	527
161.56	0.253	2.0	528
161.76	0.211	2.0	529
161.96	0.216	1.0	530
162.21	0.264	2.0	531
162.40	0.200	2.0	532
162.73	0.343	2.0	533
162.98	0.269	2.0	534
163.28	0.317	2.0	535
163.53	0.264	2.0	536
163.76	0.237	2.0	537
164.02	0.280	1.0	538
164.23	0.222	1.0	539
164.49	0.274	1.0	540
164.70	0.216	1.0	541
164.91	0.227	1.0	542
165.20	0.301	2.0	543
165.45	0.269	2.0	544
165.64	0.201	2.0	545
165.89	0.264	2.0	546
166.11	0.232	2.0	547
166.47	0.380	2.0	548
166.77	0.317	2.0	549
167.00	0.243	1.0	550
167.26	0.275	2.0	551
167.46	0.206	2.0	552
167.67	0.227	2.0	553
167.93	0.270	2.0	554
168.21	0.301	3.0	555
168.49	0.296	3.0	556
168.75	0.275	3.0	557
168.98	0.243	3.0	558
169.28	0.317	2.0	559
169.53	0.259	2.0	560
169.76	0.243	2.0	561
169.98	0.238	1.0	562
170.25	0.286	2.0	563
170.50	0.265	2.0	564
170.72	0.233	2.0	565
170.93	0.222	2.0	566
171.14	0.222	2.0	567
171.39	0.265	1.0	568
171.60	0.222	1.0	569
171.79	0.201	1.0	570
171.99	0.207	1.0	571
172.24	0.265	2.0	572
172.45	0.228	2.0	573
172.68	0.239	2.0	574
172.91	0.249	2.0	575
173.17	0.270	2.0	576
173.37	0.217	2.0	577
173.58	0.223	2.0	578
173.79	0.217	2.0	579
174.08	0.313	1.0	580
174.38	0.318	1.0	581
174.67	0.308	1.0	582
174.91	0.255	2.0	583
175.14	0.244	1.0	584
175.41	0.281	1.0	585
175.77	0.382	1.0	586
175.97	0.218	1.0	587
176.22	0.260	2.0	588
176.42	0.218	1.0	589
176.69	0.287	1.0	590
176.89	0.212	3.0	591
177.14	0.260	3.0	592
177.35	0.228	3.0	593
177.56	0.218	2.0	594
177.83	0.287	3.0	595
178.08	0.266	3.0	596
178.35	0.287	2.0	597
178.55	0.213	1.0	598
178.77	0.239	1.0	599
178.97	0.213	1.0	600
179.20	0.245	2.0	601
179.46	0.277	2.0	602
179.79	0.346	2.0	603
180.00	0.229	2.0	604
180.27	0.282	2.0	605
180.49	0.234	2.0	606
180.72	0.250	2.0	607
180.96	0.255	1.0	608
181.14	0.186	2.0	609
181.42	0.298	2.0	610
181.66	0.261	2.0	611
181.95	0.309	2.0	612
182.15	0.208	2.0	613
182.35	0.218	2.0	614
182.67	0.336	2.0	615
182.91	0.261	2.0	616
183.14	0.245	2.0	617
183.46	0.336	2.0	618
183.65	0.208	2.0	619
183.89	0.256	2.0	620
184.16	0.288	2.0	621
184.47	0.331	2.0	622
184.69	0.235	2.0	623
184.90	0.224	2.0	624
185.21	0.331	3.0	625
185.47	0.277	1.0	626
185.74	0.288	0.0	627
186.01	0.288	1.0	628
186.27	0.272	2.0	629
186.54	0.294	2.0	630
186.75	0.219	2.0	631
186.95	0.219	2.0	632
187.19	0.256	2.0	633
187.44	0.267	1.0	634
187.66	0.235	0.0	635
187.88	0.235	0.0	636
188.10	0.235	3.0	637
188.31	0.219	3.0	638
188.56	0.267	3.0	639
188.78	0.240	3.0	640
189.00	0.235	3.0	641
189.32	0.337	3.0	642
189.60	0.299	3.0	643
189.88	0.305	0.0	644
190.17	0.305	2.0	645
190.35	0.198	2.0	646
190.63	0.300	2.0	647
190.91	0.294	2.0	648
191.12	0.230	2.0	649
191.42	0.321	2.0	650
191.69	0.289	2.0	651
191.92	0.246	0.0	652
192.15	0.246	3.0	653
192.46	0.327	2.0	654
192.73	0.289	2.0	655
193.00	0.289	1.0	656
193.20	0.214	1.0	657
193.41	0.230	1.0	658
193.66	0.263	1.0	659
193.88	0.236	0.0	660
194.10	0.236	1.0	661
194.37	0.295	1.0	662
194.67	0.316	2.0	663
194.89	0.236	2.0	664
195.12	0.247	3.0	665
195.36	0.257	3.0	666
195.60	0.263	2.0	667
195.85	0.263	0.0	668
196.09	0.263	3.0	669
196.32	0.247	3.0	670
196.62	0.317	3.0	671
196.87	0.274	3.0	672
197.08	0.225	3.0	673
197.29	0.225	3.0	674
197.51	0.231	3.0	675
197.74	0.252	3.0	676
197.98	0.252	3.0	677
198.20	0.236	3.0	678
198.41	0.226	3.0	679
198.67	0.285	3.0	680
198.98	0.333	2.0	681
199.24	0.279	3.0	682
199.49	0.269	3.0	683
199.75	0.279	2.0	684
199.96	0.226	2.0	685
200.21	0.263	2.0	686
200.45	0.258	2.0	687
200.70	0.274	1.0	688
200.96	0.274	3.0	689
201.21	0.269	2.0	690
201.47	0.285	2.0	691
201.65	0.194	2.0	692
201.89	0.258	3.0	693
202.10	0.221	3.0	694
202.32	0.237	3.0	695
202.54	0.242	3.0	696
202.76	0.231	3.0	697
203.02	0.285	1.0	698
203.29	0.285	3.0	699
203.56	0.296	1.0	700
203.85	0.307	1.0	701
204.12	0.296	1.0	702
204.35	0.242	1.0	703
204.60	0.275	1.0	704
204.83	0.242	1.0	705
205.08	0.269	2.0	706
205.32	0.259	2.0	707
205.56	0.264	2.0	708
205.78	0.232	2.0	709
205.96	0.199	2.0	710
206.19	0.248	3.0	711
206.40	0.226	3.0	712
206.62	0.232	3.0	713
206.81	0.205	3.0	714
207.03	0.237	2.0	715
207.34	0.340	2.0	716
207.53	0.205	2.0	717
207.83	0.324	2.0	718
208.15	0.345	2.0	719
208.42	0.286	2.0	720
208.69	0.297	1.0	721
208.93	0.254	1.0	722
209.14	0.232	2.0	723
209.36	0.232	2.0	724
209.62	0.286	2.0	725
209.84	0.232	2.0	726
210.04	0.222	2.0	727
210.19	0.162	1.0	728
210.38	0.205	1.0	729
210.62	0.254	3.0	730
210.86	0.265	3.0	731
211.11	0.265	3.0	732
211.35	0.265	3.0	733
211.53	0.195	3.0	734
211.76	0.249	3.0	735
211.99	0.249	3.0	736
212.26	0.287	3.0	737
212.48	0.243	3.0	738
212.67	0.200	3.0	739
212.88	0.233	3.0	740
213.10	0.238	3.0	741
213.32	0.233	3.0	742
213.54	0.244	3.0	743
213.77	0.249	1.0	744
213.99	0.238	1.0	745
214.17	0.195	3.0	746
214.42	0.271	2.0	747
214.57	0.162	2.0	748
214.71	0.146	2.0	749
215.02	0.336	3.0	750
215.29	0.298	3.0	751
215.48	0.206	3.0	752
215.72	0.260	3.0	753
215.92	0.217	3.0	754
216.14	0.233	1.0	755
216.38	0.260	1.0	756
216.59	0.228	1.0	757
216.82	0.255	1.0	758
217.05	0.249	2.0	759
217.24	0.206	3.0	760
217.41	0.179	1.0	761
217.63	0.244	1.0	762
217.83	0.217	3.0	763
218.12	0.315	2.0	764
218.35	0.250	2.0	765
218.62	0.293	2.0	766
218.91	0.315	1.0	767
219.11	0.217	2.0	768
219.30	0.201	3.0	769
219.56	0.288	3.0	770
219.70	0.147	1.0	771
219.87	0.185	1.0	772
220.13	0.282	3.0	773
220.36	0.250	3.0	774
220.57	0.234	3.0	775
220.84	0.293	3.0	776
221.08	0.255	2.0	777
221.24	0.179	2.0	778
221.49	0.272	2.0	779
221.80	0.332	3.0	780
222.06	0.283	3.0	781
222.24	0.201	3.0	782
222.45	0.223	3.0	783
222.71	0.283	3.0	784
222.93	0.245	1.0	785
223.08	0.163	3.0	786
223.37	0.310	2.0	787
223.56	0.212	2.0	788
223.84	0.299	1.0	789
224.04	0.218	1.0	790
224.27	0.250	2.0	791
224.47	0.223	2.0	792
224.76	0.310	2.0	793
225.01	0.272	3.0	794
225.28	0.300	3.0	795
225.54	0.283	3.0	796
225.78	0.261	3.0	797
225.99	0.223	2.0	798
226.21	0.245	3.0	799
226.43	0.240	3.0	800
226.71	0.300	3.0	801
226.95	0.267	3.0	802
227.16	0.229	3.0	803
227.34	0.191	3.0	804
227.54	0.224	3.0	805
227.76	0.240	3.0	806
228.02	0.284	3.0	807
228.26	0.256	3.0	808
228.49	0.256	3.0	809
228.76	0.289	1.0	810
229.01	0.278	3.0	811
229.27	0.284	3.0	812
229.60	0.355	2.0	813
229.88	0.311	3.0	814
230.14	0.278	3.0	815
230.41	0.295	3.0	816
230.61	0.224	3.0	817
230.84	0.246	3.0	818
231.08	0.268	2.0	819
231.33	0.268	1.0	820
231.56	0.251	1.0	821
231.76	0.224	3.0	822
232.03	0.295	2.0	823
232.22	0.202	2.0	824
232.50	0.306	2.0	825
232.80	0.334	1.0	826
233.06	0.284	2.0	827
233.33	0.290	1.0	828
233.62	0.317	1.0	829
233.84	0.241	0.0	830
234.06	0.241	0.0	831
234.28	0.241	3.0	832
234.49	0.235	3.0	833
234.74	0.268	2.0	834
234.97	0.257	3.0	835
235.24	0.296	3.0	836
235.43	0.208	3.0	837
235.66	0.252	3.0	838
235.93	0.296	3.0	839
236.16	0.252	3.0	840
236.42	0.279	3.0	841
236.66	0.268	2.0	842
236.85	0.208	3.0	843
237.04	0.208	1.0	844
237.21	0.186	3.0	845
237.49	0.307	3.0	846
237.70	0.230	0.0	847
237.91	0.230	0.0	848
238.11	0.219	0.0	849
238.32	0.230	0.0	850
238.53	0.230	0.0	851
238.74	0.230	0.0	852
238.95	0.230	0.0	853
239.15	0.219	0.0	854
239.36	0.230	0.0	855
239.57	0.230	0.0	856
239.78	0.230	0.0	857
239.99	0.230	0.0	858
240.20	0.225	3.0	859
240.40	0.220	2.0	860
240.59	0.209	2.0	861
240.76	0.192	1.0	862
240.92	0.170	2.0	863
241.10	0.198	2.0	864
241.31	0.231	3.0	865
241.57	0.286	3.0	866
241.78	0.236	3.0	867
241.94	0.176	2.0	868
242.17	0.253	2.0	869
242.37	0.220	3.0	870
242.68	0.341	2.0	871
242.92	0.258	2.0	872
243.16	0.269	2.0	873
243.35	0.209	2.0	874
243.53	0.192	1.0	875
243.66	0.148	2.0	876
243.91	0.269	0.0	877
244.15	0.264	2.0	878
244.39	0.264	1.0	879
244.66	0.297	0.0	880
244.93	0.297	3.0	881
245.22	0.325	2.0	882
245.43	0.231	1.0	883
245.69	0.281	2.0	884
245.89	0.220	3.0	885
246.18	0.325	2.0	886
