Depth	ECM	Age
Top (m)	(microeq./kg)	Top (yr BP)

113.85	1.28	359
114.4	2.02	362
114.95	1.44	364
115.5	1.22	367
116.05	1.79	369
116.6	1.15	371
117.15	1.28	374
117.7	1.02	376
118.25	1.08	378
118.8	1.17	381
119.35	1.47	384
119.9	1.94	386
120.45	1.3	389
121	1.24	391
121.55	2.17	393
122.1	1.72	396
122.65	1.85	398
123.2	1.18	400
123.75	1.48	403
124.3	1.74	406
124.85	1.44	408
125.4	1.77	410
125.95	1.27	413
126.5	1.24	415
127.05	1.18	417
127.6	1.95	420
128.15	1.96	422
128.7	1.78	425
129.25	1.78	427
129.8	1.38	430
130.35	2.34	432
130.9	2.31	435
131.45	1.55	437
132	1.95	439
132.55	1.51	442
133.1	1.15	444
133.65	1.93	446
134.2	1.75	449
134.75	1.94	451
135.3	1.92	454
135.85	1.34	456
136.4	1.43	459
136.95	0.88	461
137.5	0.82	464
138.05	2.29	466
138.6	2.48	469
139.15	2.61	471
139.7	2.09	474
140.25	1.87	477
140.8	1.81	479
141.35	1.61	482
141.9	2.27	484
142.45	2.4	487
143	1.85	489
143.55	1.86	491
144.1	1.78	494
144.65	1.98	496
145.2	1.82	499
145.75	1.66	501
146.3	2.18	504
146.85	2.84	506
147.4	2.14	508
147.95	1.92	511
148.5	1.59	513
149.05	1.38	516
149.6	1.54	518
150.15	1.58	521
150.7	1.48	523
151.25	1.77	526
151.8	2.42	529
152.35	2.12	531
152.9	1.84	534
153.45	2.19	536
154	2.34	539
154.55	2.3	541
155.1	2.33	543
155.65	1.83	546
156.2	1.78	548
156.75	2.02	551
157.3	1.91	553
157.85	1.8	556
158.4	1.9	558
158.95	2.34	560
159.5	2.32	563
160.05	2.34	565
160.6	2.34	568
161.15	1.95	571
161.7	1.57	574
162.25	1.2	576
162.8	1.43	579
163.35	1.09	581
163.9	1.13	584
164.45	1.2	586
165	1.22	590
165.55	1.22	592
166.1	1.15	595
166.65	1.4	598
167.2	1.13	600
167.75	1.23	603
168.3	1.67	606
168.85	1.7	608
169.4	1.86	611
169.95	1.08	613
170.5	1.95	616
171.05	1.5	619
171.6	2.07	621
172.15	1.89	624
172.7	1.8	626
173.25	1.5	629
173.8	1.59	632
174.35	1.8	634
174.9	1.57	637
175.45	1.21	640
176	1.43	642
176.55	1.49	645
177.1	0.98	647
177.65	1.69	650
178.2	1.57	652
178.75	1.31	655
179.3	1.28	657
179.85	1.45	660
180.4	1.84	662
180.95	1.94	665
181.5	1.25	667
182.05	1.56	670
182.6	1.22	672
183.15	1.5	675
183.7	1.6	677
184.25	1.71	680
184.8	2.34	682
185.35	1.82	685
185.9	1.79	687
186.45	1.93	690
187	5.58	693
187.55	1.44	695
188.1	1.9	698
188.65	1.61	701
189.2	1.67	703
189.75	1.51	706
190.3	1.66	709
190.85	1.14	711
191.4	1.82	714
191.95	1.99	716
192.5	1.32	719
193.05	3.24	721
193.6	2.44	724
194.15	1.89	727
194.7	1.39	729
195.25	1.4	731
195.8	1.65	734
196.35	1.14	737
196.9	0.97	739
197.45	1.09	742
198	1.32	744
198.55	1.29	747
199.1	1.59	749
199.65	1.89	752
200.2	1.13	754
200.75	2.2	757
201.3	2.37	759
201.85	2.08	762
202.4	1.59	765
202.95	2.31	767
203.5	3.04	770
204.05	1.57	773
204.6	1.25	775
205.15	1.79	778
205.7	1.69	781
206.25	0.99	783
206.8	1.17	786
207.35	1.28	788
207.9	1.21	791
208.45	1.19	794
209	1.41	796
209.55	1.9	799
210.1	1.56	802
210.65	1.14	805
211.2	1.55	807
211.75	1.54	810
212.3	1.58	812
212.85	1.63	815
213.4	1.76	817
213.95	1.95	820
214.5	1.82	823
215.05	1.32	825
215.6	1.46	828
216.15	1.3	830
216.7	2.02	833
217.25	1.12	835
217.8	1.23	838
218.35	1.19	841
218.9	2.08	844
219.45	2.61	847
220	1.51	850
220.55	1.56	852
221.1	1.65	855
221.65	1.75	857
222.2	2.17	860
222.75	1.75	863
223.3	2.02	865
223.85	1.74	868
224.4	1.2	870
224.95	1.49	873
225.5	1.95	875
226.05	1.4	878
226.6	1.32	881
227.15	1.63	883
227.7	1.15	886
228.25	1.19	888
228.8	1.61	891
229.35	1.75	894
229.9	1.23	896
230.45	1.56	899
231	1.98	902
231.55	2.08	904
232.1	1.71	907
232.65	1.62	910
233.2	1.49	912
233.75	1.46	915
234.3	1.43	918
234.85	1.19	920
235.4	1.61	923
235.95	2.02	926
236.5	2.26	928
237.05	2.04	931
237.6	1.22	933
238.15	1.67	936
238.7	1.71	939
239.25	1.7	941
239.8	1.7	944
240.35	2.02	947
240.9	2.29	949
241.45	2.08	952
242	2.36	954
242.55	2.3	957
243.1	2.35	960
243.65	2.14	963
244.2	1.77	965
244.75	1.55	968
245.3	2.19	971
245.85	1.1	973
246.4	1.03	976
246.95	1.3	978
247.5	1.53	981
248.05	1.01	984
248.6	0.9	986
249.15	0.9	989
249.7	1.41	991
250.25	1.08	994
250.8	1.53	996
251.35	1.28	998
251.9	1.17	1001
252.45	1.75	1004
253	1.51	1006
253.55	1.99	1009
254.1	2.58	1011
254.65	2.04	1014
255.2	0.98	1017
255.75	6.48	1019
256.3	1.28	1022
256.85	1.36	1025
257.4	1.37	1027
257.95	1.84	1030
258.5	2.11	1032
259.05	2.01	1035
259.6	1.79	1038
260.15	1.84	1040
260.7	2.14	1043
261.25	1.75	1046
261.8	1.14	1048
262.35	1.24	1051
262.9	1.27	1053
263.45	2.4	1056
264	1.96	1058
264.55	2.17	1061
265.1	1.62	1064
265.65	1.62	1066
266.2	1.62	1069
266.75	1.44	1072
267.3	1.42	1075
267.85	1.77	1077
268.4	1.84	1080
268.95	2.96	1083
269.5	1.54	1085
270.05	1.45	1088
270.6	1.22	1091
271.15	1.12	1093
271.7	0.78	1096
272.25	1.44	1099
272.8	2.24	1102
273.35	2.01	1105
273.9	2.18	1107
274.45	1.18	1110
275	1.05	1113
275.55	0.71	1115
276.1	0.78	1117
276.65	0.67	1120
277.2	0.65	1123
277.75	0.61	1125
278.3	1.25	1128
278.85	1.41	1131
279.4	1.94	1133
279.95	1.32	1136
280.5	1.6	1138
281.05	2.02	1141
281.6	1.74	1144
282.15	1.4	1147
282.7	1.16	1150
283.25	1.75	1152
283.8	1.51	1155
284.35	1.98	1158
284.9	2.06	1160
285.45	2.11	1163
286	1.57	1166
286.55	1.49	1168
287.1	1.94	1171
287.65	1.81	1174
288.2	1.5	1176
288.75	1.81	1180
289.3	1.66	1182
289.85	1.95	1185
290.4	2.3	1187
290.95	1.62	1190
291.5	1.26	1192
292.05	1.83	1195
292.6	2.19	1197
293.15	1.67	1200
293.7	2.03	1203
294.25	2.15	1205
294.8	2.31	1208
295.35	2.57	1210
295.9	1.96	1213
296.45	1.54	1215
297	1.21	1218
297.55	1.15	1221
298.1	1.28	1223
298.65	1.52	1226
299.2	1.58	1229
299.75	1.89	1231
300.3	1.05	1234
300.85	0.99	1236
301.4	0.99	1239
301.95	0.98	1241
302.5	1.03	1244
303.05	0.87	1246
303.6	0.88	1249
304.15	0.93	1252
304.7	0.93	1255
305.25	0.84	1258
305.8	1.59	1261
306.35	1.43	1263
306.9	1.48	1266
307.45	1.22	1269
308	0.69	1271
308.55	1.22	1274
309.1	1.82	1277
309.65	1.36	1280
310.2	1.26	1283
310.75	1.45	1285
311.3	1.5	1288
311.85	0.97	1290
312.4	1.2	1293
312.95	0.99	1296
313.5	1.55	1298
314.05	1.05	1301
314.6	1.17	1304
315.15	0.89	1306
315.7	1.53	1309
316.25	1.93	1312
316.8	1.01	1314
317.35	0.93	1317
317.9	1.16	1320
318.45	0.9	1322
319	0.49	1325
319.55	1.73	1328
320.1	1.09	1331
320.65	2.17	1333
321.2	1.29	1336
321.75	0.77	1339
322.3	0.65	1342
322.85	1.22	1345
323.4	1.24	1347
323.95	0.87	1350
324.5	0.87	1352
325.05	1.37	1355
325.6	1.31	1358
326.15	1.65	1361
326.7	1.53	1363
327.25	1.48	1366
327.8	1.8	1369
328.35	1.41	1372
328.9	1.51	1375
329.45	1.34	1377
330	1.75	1380
330.55	1.13	1383
331.1	1.85	1386
331.65	1.71	1389
332.2	1.16	1392
332.75	1.77	1394
333.3	1.46	1397
333.85	1.14	1399
334.4	0.99	1402
334.95	1.21	1404
335.5	1.04	1407
336.05	0.52	1410
336.6	0.87	1412
337.15	1.37	1415
337.7	1.82	1418
338.25	2	1421
338.8	2.17	1423
339.35	3.32	1426
339.9	1.46	1429
340.45	1.68	1432
341	0.88	1435
341.55	1.23	1438
342.1	2.19	1440
342.65	1.71	1443
343.2	1.5	1446
343.75	1.26	1449
344.3	1.14	1452
344.85	1.52	1455
345.4	1.24	1458
345.95	1.26	1461
346.5	1.52	1463
347.05	1.49	1466
347.6	1.46	1469
348.15	1.34	1472
348.7	1.37	1475
349.25	1.58	1478
349.8	1.52	1480
350.35	1.28	1484
350.9	1.67	1486
351.45	1.12	1489
352	1.01	1492
352.55	0.86	1495
353.1	1.27	1497
353.65	1.74	1500
354.2	0.91	1503
354.75	1.12	1506
355.3	1.24	1509
355.85	1.32	1512
356.4	1.57	1514
356.95	1.6	1517
357.5	1.37	1519
358.05	0.79	1522
358.6	1.33	1525
359.15	1.44	1528
359.7	1.46	1531
360.25	1.43	1534
360.8	1.21	1536
361.35	1.43	1539
361.9	0.93	1542
362.45	1.19	1544
363	1.11	1547
363.55	1.25	1550
364.1	1.34	1553
364.65	1.17	1555
365.2	1.31	1558
365.75	1.26	1560
366.3	1.44	1563
366.85	1.18	1566
367.4	0.91	1569
367.95	0.74	1572
368.5	1.05	1574
369.05	1.37	1577
369.6	1.46	1579
370.15	1.23	1582
370.7	0.94	1585
371.25	1.15	1587
371.8	0.82	1590
372.35	1.08	1593
372.9	1.14	1595
373.45	1.07	1598
374	1.24	1601
374.55	0.9	1604
375.1	1.16	1607
375.65	1.26	1609
